courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAAD-A 100,African American Dance Company: Foundations And Practices,2,College of Arts and Sciences,,Bloomington
AAAD-A 101,Contemporary Minority Political Problems,3,College of Arts and Sciences,,Northwest
AAAD-A 103,Introduction To Urban Studies,3,College of Arts and Sciences,,Northwest
AAAD-A 110,African American Choral Ensemble: Foundations And Practices,2,College of Arts and Sciences,,Bloomington
AAAD-A 112,Black Music Of Two Worlds,3,College of Arts and Sciences,,Bloomington
AAAD-A 113,Atkins Living-Learning Center Foundational Course,1,College of Arts and Sciences,,Bloomington
AAAD-A 120,Soul Revue: Foundations And Practices,2,College of Arts and Sciences,,Bloomington
AAAD-A 132,Recent African American And African Diaspora Literature,3,College of Arts and Sciences,,Bloomington
AAAD-A 150,Survey Of The Culture Of Black Americans,3,College of Arts and Sciences,,Bloomington
AAAD-A 151,Minority People In The U.S.,3,College of Arts and Sciences,,Northwest
AAAD-A 154,History Of Race In The Americas,3,College of Arts and Sciences,,Bloomington
AAAD-A 156,Black Liberation Struggles Against Jim Crow And Apartheid,3,College of Arts and Sciences,,Bloomington
AAAD-A 169,Introduction To African American Literature,3,College of Arts and Sciences,,Bloomington
AAAD-A 197,Topics In African American And African Diaspora Studies,3,College of Arts and Sciences,,Bloomington
AAAD-A 199,Special Topics In Arts And Humanities For Aaads,3,College of Arts and Sciences,,Bloomington
AAAD-A 201,Introduction To African American And African Diaspora Studies,3,College of Arts and Sciences,,Bloomington
AAAD-A 203,Studying Blacks Of The New World: African Americans And Africans In The African Diaspora,3,College of Arts and Sciences,,Bloomington
AAAD-A 204,Topics In Afro-American Studies,3,College of Arts and Sciences,,Northwest
AAAD-A 205,Black Electoral Politics,3,College of Arts and Sciences,,Bloomington
AAAD-A 206,The Urban Community,3,College of Arts and Sciences,,Northwest
AAAD-A 208,The African Caribbean,3,College of Arts and Sciences,,Northwest
AAAD-A 210,Black Women In The Diaspora,3,College of Arts and Sciences,,Bloomington
AAAD-A 219,History Of Black Dance,3,College of Arts and Sciences,,Bloomington
AAAD-A 221,Dance In The African Diaspora,3,College of Arts and Sciences,,Bloomington
AAAD-A 222,Black Women Artists,3,College of Arts and Sciences,,Bloomington
AAAD-A 230,Contemporary Urban Affairs And The African American Experience,3,College of Arts and Sciences,,Northwest
AAAD-A 238,Communication In Black America,3,College of Arts and Sciences,,Bloomington
AAAD-A 240,Social Welfare And Minorities,3,College of Arts and Sciences,,Northwest
AAAD-A 243,Race And Representation In American Art,3,College of Arts and Sciences,,Bloomington
AAAD-A 249,African American Autobiography,3,College of Arts and Sciences,,Bloomington
AAAD-A 250,U.S. Contemporary Minorities,3,College of Arts and Sciences,,Bloomington
AAAD-A 251,Photography Of And By The African Diaspora,3,College of Arts and Sciences,,Bloomington
AAAD-A 255,The Black Church In America,3,College of Arts and Sciences,,Bloomington
AAAD-A 257,Monuments And Memories: Jewish And Black Experiences,3,College of Arts and Sciences,,Bloomington
AAAD-A 261,The Black Family,3,College of Arts and Sciences,,Northwest
AAAD-A 263,Contemporary Social Issues In The African American Community,3,College of Arts and Sciences,,Bloomington
AAAD-A 264,History Of Sport & The African American Experience,3,College of Arts and Sciences,,Bloomington
AAAD-A 265,Modern Sports And The African American Experience,3,College of Arts and Sciences,,Bloomington
AAAD-A 275,Language And Identity In The Black Diaspora,3,College of Arts and Sciences,,Bloomington
AAAD-A 277,Imgs Blacks Films: 1903-1950'S,3,College of Arts and Sciences,,Bloomington
AAAD-A 278,Contemporary Black Film,3,College of Arts and Sciences,,Bloomington
