courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
HSPS 164,Fire Inspection/Code Enforcement 2,"(3, 3)",Other Courses,,
VETN 100,Intro to Vet Profession,"(3, 3)",Other Courses,,
VETN 105,Vet Assist Techniques,"(4, 4)",Other Courses,,
VETN 110,Vet Office Skills,"(2, 2)",Other Courses,,
VETN 115,Anat Phys Domestic Animals,"(5, 5)",Other Courses,,
VETN 130,Comp Animal Nursing,"(5, 5)",Other Courses,,
VETN 178,Vet Externship I,"(2, 2)",Other Courses,,
VETN 179,Vet Externship II,"(2, 2)",Other Courses,,
VETN 200,Pharmacology for Vet Nurse,"(3, 3)",Other Courses,,
VETN 205,Diag Imag Techniques,"(None, None)",Other Courses,,
VETN 210,Animal Diseases I,"(2, 2)",Other Courses,,
VETN 220,Clin Lab Procedures I,"(3, 3)",Other Courses,,
VETN 230,Large Animal Nursing,"(5, 5)",Other Courses,,
VETN 235,Anesth & Surg Nursing,"(5, 5)",Other Courses,,
VETN 240,Principles Vet Dentistry,"(3, 3)",Other Courses,,
VETN 250,Animal Diseases II,"(3, 3)",Other Courses,,
VETN 255,Vet Microbiology,"(3, 3)",Other Courses,,
VETN 260,Vet Practice Mgmt,"(2, 2)",Other Courses,,
VETN 270,Clin Lab Procedures II,"(3, 3)",Other Courses,,
VETN 275,Exotic and Lab Animal Care,"(3, 3)",Other Courses,,
VETN 278,Vet Externship III,"(2, 2)",Other Courses,,
VETN 279,Vet Externship IV,"(2, 2)",Other Courses,,
ACCT 101,Financial Accounting,"(3, 3)",Accounting,,
ACCT 102,Managerial Accounting,"(3, 3)",Accounting,,
ACCT 106,Payroll Accounting,"(3, 3)",Accounting,,
ACCT 118,Financial Concepts for Accounting,"(3, 3)",Accounting,,
ACCT 122,Accounting Systems Applications,"(3, 3)",Accounting,,
ACCT 201,Intermediate Accounting I,"(3, 3)",Accounting,,
ACCT 202,Intermediate Accounting II,"(3, 3)",Accounting,,
ACCT 203,Cost Accounting I,"(3, 3)",Accounting,,
ACCT 205,Income Tax,"(3, 3)",Accounting,,
ACCT 207,Accounting for Government and Nonprofit Entities,"(3, 3)",Accounting,,
ACCT 208,Advanced Income Tax,"(3, 3)",Accounting,,
ACCT 209,Auditing,"(3, 3)",Accounting,,
ACCT 210,Forensic Accounting,"(3, 3)",Accounting,,
ACCT 212,Business Finance,"(3, 3)",Accounting,,
ACCT 223,Enrolled Agent Review,"(3, 3)",Accounting,,
ACCT 273,Volunteer Income Tax Assistance (Vita) Service,"(3, 3)",Accounting,,
ACCT 274,Introduction to Data Analytics for Accounting,"(3, 3)",Accounting,,
ACCT 280,CO-OP/Internship,"(3, 3)",Accounting,,
ACCT 281,Special Topics,"(1, 1)",Accounting,,
ACCT 282,Special Topics,"(1, 1)",Accounting,,
ACCT 283,Special Topics,"(1, 1)",Accounting,,
ACCT 284,Special Topics,"(1, 1)",Accounting,,
ACCT 285,Special Topics,"(1, 1)",Accounting,,
ACCT 286,Special Topics Intr Data Anlytcs - Acct,"(3, 3)",Accounting,,
ACCT 287,Special Topics,"(1, 1)",Grading Scale,,
ACCT 288,Special Topics,"(1, 1)",Grading Scale,,
ACCT 289,Special Topics,"(1, 1)",Grading Scale,,
ACCT 290,Special Topics,"(1, 1)",Grading Scale,,
ACCT 291,Special Topics,"(1, 1)",Grading Scale,,
ACCT 292,Special Topics,"(1, 1)",Grading Scale,,
ACCT 293,Special Topics,"(1, 1)",Grading Scale,,
ACCT 294,Special Topics,"(1, 1)",Grading Scale,,
ADMF 101,Key Principles of Advanced Man,"(3, 3)",Advanced Manufacturing,,
ADMF 102,Technology in Advanced Manufac,"(3, 3)",Advanced Manufacturing,,
ADMF 106,Supervision and Teams at Work,"(3, 3)",Advanced Manufacturing,,
ADMF 109,Green Manufacturing Operations,"(3, 3)",Advanced Manufacturing,,
ADMF 112,Mechanical Drives I,"(3, 3)",Advanced Manufacturing,,
