courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AS 1000,COLLEGE COMPASS,1,Academic Success,,
AS 1010,ADVISING FOR SUCCESS,0-1,Academic Success,,
AS 1020,ADVISING FOR SUCCESS,0-1,Academic Success,,
AS 1030,ADVISING FOR SUCCESS,0-1,Academic Success,,
AS 1040,ADVISING FOR SUCCESS,0-1,Academic Success,,
AS 1045,ADVISING FOR SUCCESS,0-1,Academic Success,,
AS 1100,INTRO TO ONWARD,0-1,Academic Success,,
AS 1200,ACADEMIC SUCCESS STRATEGIES,1,Academic Success,,
AS 1250,ENTERING RESEARCH,1,Academic Success,,
AS 1350,ENTERING THE STEMM WORKFORCE,1,Academic Success,,
AS 1450,STEMM ENTREPRENEURSHIP,1,Academic Success,,
AS 1XXX,ACADEMIC SUCCESS ELECTIVE,1-6,Academic Success,,
AS 2XXX,ACADEMIC SUCCESS ELECTIVE,1-6,Academic Success,,
AC 1100,LINK: CATHOLIC SOCIAL TEACHING IN BUSINESS,3,Accounting,,
AC 1170,VOLUNTEER INCOME TAX ASSISTANCE (CREDIT),1,Accounting,,
AC 1173,VOLUNTEER INCOME TAX ASSISTANCE (NO CREDIT),0,Accounting,,
AC 1XXX,ACCOUNTANCY ELECTIVE,1-6,Accounting,,
AC 2201,ACCOUNTING PRINCIPLES I,3,Accounting,,
AC 2202,ACCOUNTING PRINCIPLES II,3,Accounting,,
AC 2210,BUSINESS ANALYTICS IN ACCOUNTING,3,Accounting,,
AC 2221,FUNDAMENTALS OF ACCOUNTING,3,Accounting,,
AC 2270,VITA FOR SOPHOMORES,1,Accounting,,
AC 2273,VOLUNTEER INCOME TAX ASSISTANCE,0,Accounting,,
AC 2XXX,ACCOUNTANCY ELECTIVE,1-6,Accounting,,
AC 3303,INTERMEDIATE ACCOUNTING I,3,Accounting,,
AC 3304,INTERMEDIATE ACCOUNTING II,3,Accounting,,
AC 3305,INTERMEDIATE ACCOUNTING III,3,Accounting,,
AC 3310,ACCOUNTING FOR FINANCE MAJORS,3,Accounting,,
AC 3312,COST ANALYSIS AND BUDGETARY CONTROL,3,Accounting,,
AC 3321,PRINCIPLES OF FEDERAL TAXATION,3,Accounting,,
AC 3341,ACCOUNTING INFORMATION SYSTEMS,3,Accounting,,
AC 3370,VITA FOR JUNIORS,1,Accounting,,
