courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AS.001.100.,FYS: What is the Common Good?,"(3, 3)",As First Year Seminars,,
AS.001.101.,FYS: The Hospital,"(3, 3)",As First Year Seminars,,
AS.001.102.,FYS: Japanese Robots,"(3, 3)",As First Year Seminars,,
AS.001.103.,FYS: When Worlds Collide - Science Goes Global,"(3, 3)",As First Year Seminars,,
AS.001.104.,FYS: The Science of Color,"(3, 3)",As First Year Seminars,,
AS.001.105.,FYS: The Science Behind the Fiction,"(3, 3)",As First Year Seminars,,
AS.001.106.,FYS: Legal Fictions - Law and Humanities,"(3, 3)",As First Year Seminars,,
AS.001.108.,FYS: Heart Matters,"(3, 3)",As First Year Seminars,,
AS.001.109.,FYS: Why'd Your Brain Sign You up for This?,"(3, 3)",As First Year Seminars,,
AS.001.110.,FYS: How We Read,"(3, 3)",As First Year Seminars,,
AS.001.111.,FYS: What's Music Do?,"(3, 3)",As First Year Seminars,,
AS.001.112.,"FYS: Story, Song, Food, And Film - A Thousand Years Of Jewish Culture","(3, 3)",As First Year Seminars,,
AS.001.113.,FYS: The Poetry of Music - Lyrics and the Art of Songwriting,"(3, 3)",As First Year Seminars,,
AS.001.114.,FYS: The Politics of Reproduction,"(3, 3)",As First Year Seminars,,
AS.001.115.,"FYS: Illusions, Delusions, and Other Confusions","(3, 3)",As First Year Seminars,,
AS.001.116.,FYS: Literature of the Everyday: The Nineteenth-Century Realist Novel,"(3, 3)",As First Year Seminars,,
AS.001.117.,FYS: Composer Biographies in Film,"(3, 3)",As First Year Seminars,,
AS.001.118.,"FYS: Imagined Worlds - Science, Technology and Society","(3, 3)",As First Year Seminars,,
AS.001.119.,FYS: The Nature of Nature,"(3, 3)",As First Year Seminars,,
AS.001.120.,FYS: U.S. History of the Present,"(3, 3)",As First Year Seminars,,
AS.001.121.,FYS: Socrates and his Intellectual Context,"(3, 3)",As First Year Seminars,,
AS.001.122.,FYS: Global Cinema in the 21st Century,"(3, 3)",As First Year Seminars,,
AS.001.123.,FYS: Wired to Read: the Science and the Art,"(3, 3)",As First Year Seminars,,
AS.001.124.,FYS: Monuments and Memorials: Shaping Historical Memory,"(3, 3)",As First Year Seminars,,
AS.001.125.,"FYS: Matchmaker, Matchmaker! Love, Marriage, and Modern Jewish Identity","(3, 3)",As First Year Seminars,,
AS.001.127.,FYS: Public Opinion and Democracy,"(3, 3)",As First Year Seminars,,
AS.001.128.,FYS: Deep Listening and Multimedia Sound Art,"(3, 3)",As First Year Seminars,,
AS.001.129.,FYS: Environmental Poisons,"(3, 3)",As First Year Seminars,,
AS.001.130.,FYS: Evolutionary Psychology,"(3, 3)",As First Year Seminars,,
AS.001.131.,FYS: Techno - Anthropology,"(3, 3)",As First Year Seminars,,
AS.001.132.,FYS: Exploring Economic Inequality,"(3, 3)",As First Year Seminars,,
AS.001.133.,FYS: Hot Topics in Education,"(3, 3)",As First Year Seminars,,
AS.001.134.,FYS: Great Books at Hopkins - a closer reading,"(3, 3)",As First Year Seminars,,
AS.001.135.,FYS: Free Speech and Its Limits,"(3, 3)",As First Year Seminars,,
AS.001.136.,"FYS: Cults, Communes, and Conspiracies","(3, 3)",As First Year Seminars,,
AS.001.137.,"FYS: The Power of Speech: Law, Politics, and the Humanities","(3, 3)",As First Year Seminars,,
AS.001.138.,FYS: Soccer in Brazil: Opium of the Masses,"(3, 3)",As First Year Seminars,,
AS.001.139.,FYS: Medicine and Cinema,"(3, 3)",As First Year Seminars,,
AS.001.140.,FYS: What Everyone Should Know about How Science Works,"(3, 3)",As First Year Seminars,,
AS.001.141.,FYS: The Art of Mathematics,"(3, 3)",As First Year Seminars,,
AS.001.142.,FYS: The Physics of Democracy,"(3, 3)",As First Year Seminars,,
AS.001.143.,"FYS: Poets, Physicists, Philosophers, and the Ultimate Nature of Reality","(3, 3)",As First Year Seminars,,
AS.001.144.,FYS: Literary Multilingualism,"(3, 3)",As First Year Seminars,,
AS.001.145.,FYS: The Haitian Revolution,"(3, 3)",As First Year Seminars,,
AS.001.146.,"FYS: Nature, Nurture, Cognition","(3, 3)",As First Year Seminars,,
AS.001.147.,FYS: Reading Ancient Middle Eastern Literature,"(3, 3)",As First Year Seminars,,
AS.001.148.,FYS: Dining and drinking in the ancient Mediterranean world,"(3, 3)",As First Year Seminars,,
AS.001.149.,FYS: What Is Poverty? A View from Economics and the Social Sciences,"(3, 3)",As First Year Seminars,,
AS.001.150.,FYS: Master of the Senate,"(3, 3)",As First Year Seminars,,
AS.001.151.,FYS: Citizenship and Society in the United States,"(3, 3)",As First Year Seminars,,
AS.001.152.,FYS: When Chemistry Changed History,"(3, 3)",As First Year Seminars,,
AS.001.154.,FYS: Phage Hunters - Discovering novel bacteriophages,"(3, 3)",As First Year Seminars,,
AS.001.155.,FYS: Is a Corporation a Person?,"(3, 3)",As First Year Seminars,,
AS.001.156.,"FYS: Cognition, Language, and the Self","(3, 3)",As First Year Seminars,,
AS.001.157.,"FYS: Leonardo da Vinci - Art, Science, and Medicine","(3, 3)",As First Year Seminars,,
AS.001.158.,"FYS: Love, Anger, Fear, and Hope","(3, 3)",As First Year Seminars,,
AS.001.159.,"FYS: Apartheid as Analogy - Structures of Racial Hierarchy in South Africa, Baltimore, and Beyond","(3, 3)",As First Year Seminars,,
AS.001.160.,FYS: The Neuroscience of Learning and Memory,"(3, 3)",As First Year Seminars,,
AS.001.161.,"FYS: Books, Authenticity, and Truth","(3, 3)",As First Year Seminars,,
AS.001.162.,FYS: From Shakespeare to Baltimore,"(3, 3)",As First Year Seminars,,
AS.001.163.,FYS: Black Baltimore Archives - From Frederick Douglass to Billie Holiday,"(3, 3)",As First Year Seminars,,
AS.001.164.,FYS: Curating Women,"(3, 3)",As First Year Seminars,,
AS.001.165.,FYS: Biology in Deep Time,"(3, 3)",As First Year Seminars,,
AS.001.166.,FYS: The Pleasures of the Imagination - British culture in the eighteenth century,"(3, 3)",As First Year Seminars,,
AS.001.167.,FYS: The Natural History of the Homewood Campus,"(3, 3)",As First Year Seminars,,
AS.001.168.,FYS: The Psychology of Mass Politics in the U.S,"(3, 3)",As First Year Seminars,,
AS.001.169.,FYS: Inventing a City - Exploring Baltimore Through Maps and Mapping,"(3, 3)",As First Year Seminars,,
AS.001.170.,FYS: Vive la Différence? The Love-Hate Relationship Between France and the USA,"(3, 3)",As First Year Seminars,,
AS.001.171.,FYS: Rough Magic - Shakespeare and Power,"(3, 3)",As First Year Seminars,,
AS.001.172.,FYS: Privacy and Surveillance,"(3, 3)",As First Year Seminars,,
AS.001.173.,FYS: Taking TV Seriously - Analysis and Interpretation,"(3, 3)",As First Year Seminars,,
AS.001.174.,FYS: Women and Family in Chinese Film,"(3, 3)",As First Year Seminars,,
AS.001.175.,FYS: Music and Shakespeare,"(3, 3)",As First Year Seminars,,
AS.001.176.,FYS: Microbe Hunters - Student-sourcing Antibiotic Discovery,"(3, 3)",As First Year Seminars,,
AS.001.177.,"FYS: The Right to the City - Race, Class, and Struggle in Baltimore","(3, 3)",As First Year Seminars,,
AS.001.178.,FYS: Words in Public,"(3, 3)",As First Year Seminars,,
AS.001.179.,FYS: Race Before Race - Difference and Diversity in the Ancient Mediterranean,"(3, 3)",As First Year Seminars,,
AS.001.180.,FYS: Lunar Histories,"(3, 3)",As First Year Seminars,,
AS.001.181.,FYS: Introduction to Lives in Medicine - Exploring the Experience of Patients and Practitioners,"(3, 3)",As First Year Seminars,,
AS.001.182.,FYS: Seeing Things,"(3, 3)",As First Year Seminars,,
AS.001.183.,"FYS: What Does It Mean to Be Religious? Creativity, Experience, and the Individual","(3, 3)",As First Year Seminars,,
AS.001.184.,"FYS: The Mathematics of Politics, Democracy, and Social Choice","(3, 3)",As First Year Seminars,,
AS.001.185.,FYS: Why We Science?,"(3, 3)",As First Year Seminars,,
AS.001.186.,FYS: Tuberculosis,"(3, 3)",As First Year Seminars,,
AS.001.187.,FYS: Gender x Aging x Health in America,"(3, 3)",As First Year Seminars,,
AS.001.188.,"FYS: Skepticism - Ancient, Modern, Contemporary","(3, 3)",As First Year Seminars,,
AS.001.189.,"FYS: Language, Advertising, and Propaganda","(3, 3)",As First Year Seminars,,
AS.001.190.,FYS: Poisons! A History,"(3, 3)",As First Year Seminars,,
AS.001.192.,FYS: How Not to be Afraid of Poetry,"(3, 3)",As First Year Seminars,,
AS.001.194.,FYS: The Arrow of Time,"(3, 3)",As First Year Seminars,,
AS.001.195.,FYS: Chemistry and Everyday Living,"(3, 3)",As First Year Seminars,,
AS.001.196.,FYS: What is Love?: A Long History,"(3, 3)",As First Year Seminars,,
AS.001.197.,FYS: Doctors and Patients: A Few Case Studies,"(3, 3)",As First Year Seminars,,
AS.001.198.,FYS: Secret Science,"(3, 3)",As First Year Seminars,,
AS.001.199.,FYS: Technology and Globalization,"(3, 3)",As First Year Seminars,,
