courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACTG 594,Business Practicum for Accountants,"(1, 3)",Accounting,Graduate,
ACTG 625,Tax Research and Strategy,"(3, 3)",Accounting,Graduate,
ACTG 627,Advanced Taxation of Business Entities I,"(3, 3)",Accounting,Graduate,
ACTG 628,Advanced Taxation of Business Entities II,"(1, 3)",Accounting,Graduate,
ACTG 629,Selected Topics in Taxation,"(1, 3)",Accounting,Graduate,
ACTG 630,Seminar in Financial Planning,"(1, 3)",Accounting,Graduate,
ACTG 640,Data Analytics for Accountants,"(1, 3)",Accounting,Graduate,
ACTG 645,Advanced Accounting and Reporting,"(1, 3)",Accounting,Graduate,
ACTG 675,Accounting Theory,"(3, 3)",Accounting,Graduate,
ACTG 677,Advanced Assurance Theory and Data Analysis,"(3, 3)",Accounting,Graduate,
ACTG 678,Governmental Accounting and Reporting,"(1, 3)",Accounting,Graduate,
ACTG 680,Directed Readings,"(1, 3)",Accounting,Graduate,
ACTG 681,Directed Research,"(1, 3)",Accounting,Graduate,
ACTG 690,Information Security and Control,"(3, 3)",Accounting,Graduate,
ACTG 691,Computer Forensics for Accountants,"(3, 3)",Accounting,Graduate,
ACTG 692,Ethics for Business and Accounting,"(3, 3)",Accounting,Graduate,
ACTG 693,Financial Statement and Data Analysis,"(3, 3)",Accounting,Graduate,
ACTG 695,Seminar in Accounting,"(1, 3)",Accounting,Graduate,
ACTG 696,Tax Compliance,"(1, 3)",Accounting,Graduate,
AHRD 520,Foundations of Adult Education/Human Resource Development,"(3, 3)",Adult Education/Human Resource Development,Graduate,
AHRD 540,Leadership and Facilitation,"(3, 3)",Adult Education/Human Resource Development,Graduate,
AHRD 550,Human Resource Work Experience,"(3, 3)",Adult Education/Human Resource Development,Graduate,
AHRD 575,Diversity and Ethics in AHRD,"(3, 3)",Adult Education/Human Resource Development,Graduate,
AHRD 580,Learning in Adulthood,"(3, 3)",Adult Education/Human Resource Development,Graduate,
AHRD 600,Performance Analysis and Needs Assessment in Adult Education/Human Resource Development,"(3, 3)",Adult Education/Human Resource Development,Graduate,
AHRD 610,Instructional Design in Adult Education/Human Resource Development,"(3, 3)",Adult Education/Human Resource Development,Graduate,
AHRD 620,Consulting in AHRD,"(3, 3)",Adult Education/Human Resource Development,Graduate,
AHRD 630,Research and Inquiry in Adult Education/Human Resource Development,"(3, 3)",Adult Education/Human Resource Development,Graduate,
AHRD 635,Organization Development and Change Management in Adult Education/Human Resource Development,"(3, 3)",Adult Education/Human Resource Development,Graduate,
AHRD 640,Program Evaluation and Measurement in Adult Education/Human Resource Development,"(3, 3)",Adult Education/Human Resource Development,Graduate,
AHRD 670,American Higher Education,"(3, 3)",Adult Education/Human Resource Development,Graduate,
AHRD 671,Teaching and Learning Processes in Higher Education,"(3, 3)",Adult Education/Human Resource Development,Graduate,
AHRD 680,Reading and Research,"(3, 3)",Adult Education/Human Resource Development,Graduate,
AHRD 690,Special Studies in Adult Education/Human Development,"(3, 3)",Adult Education/Human Resource Development,Graduate,
AHRD 698,Comprehensive Continuance,"(1, 1)",Adult Education/Human Resource Development,Graduate,
AHRD 699,Thesis Continuance,"(2, 2)",Adult Education/Human Resource Development,Graduate,
AHRD 700,Thesis Research,"(3, 6)",Adult Education/Human Resource Development,Graduate,
ATEP 511,Foundation of Athletic Training,"(3, 3)",Athletic Training Education Program,Graduate,
ATEP 512,Emergency Management of Injuries and Illnesses,"(3, 3)",Athletic Training Education Program,Graduate,
ATEP 520,Pre-Season Clinical Education Experience I,"(1, 1)",Athletic Training Education Program,Graduate,
ATEP 521,Clinical I: Psychosocial Concepts and Cultural Sensitivity,"(3, 3)",Athletic Training Education Program,Graduate,
ATEP 525,Lower Extremity Orthopedic Examination,"(3, 3)",Athletic Training Education Program,Graduate,
ATEP 526,Therapeutic Interventions I,"(3, 3)",Athletic Training Education Program,Graduate,
ATEP 535,Upper Extremity Orthopedic Examination,"(3, 3)",Athletic Training Education Program,Graduate,
ATEP 536,Therapeutic Interventions II,"(3, 3)",Athletic Training Education Program,Graduate,
ATEP 613,Clinical Applications of Human Gross Anatomy,"(5, 5)",Athletic Training Education Program,Graduate,
ATEP 624,General Medicine for the Athletic Trainer Part I,"(3, 3)",Athletic Training Education Program,Graduate,
ATEP 632,Clinical II: Nutrition and Exercise,"(3, 3)",Athletic Training Education Program,Graduate,
ATEP 634,General Medicine for the Athletic Trainer Part II,"(3, 3)",Athletic Training Education Program,Graduate,
ATEP 645,"Hip, Pelvis and Spine Orthopedic Examination and Rehabilitation","(2, 2)",Athletic Training Education Program,Graduate,
ATEP 646,Therapeutic Interventions III,"(3, 3)",Athletic Training Education Program,Graduate,
ATEP 647,Evidence Based Practice in Athletic Training,"(3, 3)",Athletic Training Education Program,Graduate,
ATEP 652,Pre-Season Clinical Education Experience II,"(1, 1)",Athletic Training Education Program,Graduate,
ATEP 653,Clinical III: Professional Development,"(None, None)",Athletic Training Education Program,Graduate,
ATEP 657,Applications in Evidence Based Practice,"(1, 1)",Athletic Training Education Program,Graduate,
ATEP 660,Administration in Athletic Training,"(3, 3)",Athletic Training Education Program,Graduate,
ATEP 664,Clinical IV: Transition to Practice,"(6, 6)",Athletic Training Education Program,Graduate,
ART 501,Workshop in Art,"(1, 3)",Art,Graduate,
ART 560,Advanced Photography:  Alternative Processes,"(1, 3)",Art,Graduate,
ART 562,"Advanced Photography: The Prehistory of Photography, Magic and Illusion","(3, 3)",Art,Graduate,
ART 564,Advanced Photography: The Photograph as a Document,"(3, 3)",Art,Graduate,
ART 566,Advanced Photography: Performance for the Lens,"(3, 3)",Art,Graduate,
ART 568,Advanced Photography: Screen-Based Photo/Video,"(3, 3)",Art,Graduate,
ART 590,Topics in Art,"(3, 3)",Art,Graduate,
ART 593,Contemporary Art Theory,"(3, 3)",Art,Graduate,
ART 595,Internship in Art,"(1, 6)",Art,Graduate,
ART 600,Graduate Integrative Seminar,"(3, 3)",Art,Graduate,
ART 601,Graduate Studio Practice,"(3, 3)",Art,Graduate,
ART 602,Contextual Practice,"(3, 3)",Art,Graduate,
ART 683,Criticism of Art,"(3, 3)",Art,Graduate,
ART 690,Reading and Research,"(1, 3)",Art,Graduate,
ART 698,Comprehensive Continuance,"(1, 1)",Art,Graduate,
ART 699,Thesis Continuance,"(2, 2)",Art,Graduate,
ART 700,Thesis Research,"(3, 3)",Art,Graduate,
ARED 518,Contemporary Issues in Art Education,"(3, 3)",Art Education,Graduate,
ARED 590,Topics in Art Education,"(3, 3)",Art Education,Graduate,
ARED 610,Studio Experiences in the Schools,"(3, 3)",Art Education,Graduate,
ARED 682,Research Methods for Educational Settings,"(3, 3)",Art Education,Graduate,
ARED 683,Criticism of Art,"(3, 3)",Art Education,Graduate,
ARED 700,Thesis Research,"(1, 6)",Art Education,Graduate,
ARTH 508,The Museum: History and Controversies,"(3, 3)",Art History,Graduate,
ARTH 519,Topics in African Art,"(3, 3)",Art History,Graduate,
ARTH 539,Topics in Medieval Art,"(3, 3)",Art History,Graduate,
ARTH 546,Renaissance Art and the East,"(3, 3)",Art History,Graduate,
ARTH 569,Topics in Nineteenth Century Art,"(3, 3)",Art History,Graduate,
ARTH 571,Commemoration and Controversy:  A History of Public Art in America,"(3, 3)",Art History,Graduate,
ARTH 572,Modern Art Since 1945,"(3, 3)",Art History,Graduate,
ARTH 579,Topics in Modern Art,"(3, 3)",Art History,Graduate,
ARTH 584,Art of the Americas,"(3, 3)",Art History,Graduate,
ARTH 586,Monticello,"(3, 3)",Art History,Graduate,
ARTH 589,Topics in American Art History,"(3, 3)",Art History,Graduate,
ARTH 590,Topics in Art History,"(3, 3)",Art History,Graduate,
ARTH 595,Internship in Art History,"(1, 6)",Art History,Graduate,
