courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAE 1001L,Introduction to Aerospace Engineering Laboratory,"(None, None)",Aero And Astronautical Engineering,,
AAE 3000,Introduction to Flight,"(None, None)",Aero And Astronautical Engineering,,
AAE 3125,Orbital Mechanics,"(None, None)",Aero And Astronautical Engineering,,
AAE 3801L,Aerodynamics and UAS Lab,"(None, None)",Aero And Astronautical Engineering,,
AAE 4201,Aircraft and UAS Design I,"(None, None)",Aero And Astronautical Engineering,,
AAE 4202,Aircraft and UAS Design II,"(None, None)",Aero And Astronautical Engineering,,
AAE 4203,Spacecraft Design 1,"(None, None)",Aero And Astronautical Engineering,,
AAE 4204,Spacecraft Design II,"(None, None)",Aero And Astronautical Engineering,,
AAE 4250,Aerospace Structures Computer-Aided Design,"(None, None)",Aero And Astronautical Engineering,,
AAE 4501,Aircraft and UAS Dynamic Systems Control,"(None, None)",Aero And Astronautical Engineering,,
AAE 4502,Aircraft and UAS Dynamic Systems and Control Lab,"(None, None)",Aero And Astronautical Engineering,,
AAE 4503,Spacecraft Dynamic Systems and Control,"(None, None)",Aero And Astronautical Engineering,,
AAE 4504,Spacecraft Dynamic Systems and Control Lab,"(None, None)",Aero And Astronautical Engineering,,
AAE 4802,Spacecraft Propulsion,"(None, None)",Aero And Astronautical Engineering,,
ACCT 2101,Principles of Accounting I,"(None, None)",Accounting,,
ACCT 2102,Principles of Accounting II,"(None, None)",Accounting,,
ACCT 3100,Intermediate Financial Accounting I,"(None, None)",Accounting,,
ACCT 3200,Concepts in Federal Taxation,"(None, None)",Accounting,,
ACCT 3300,Accounting Information Systems,"(None, None)",Accounting,,
ACCT 3397,Internship and Experiential Learning in Accountancy,"(None, None)",Accounting,,
ACCT 4050,Intermediate Financial Accounting II,"(None, None)",Accounting,,
ACCT 4100,Advanced Financial Accounting,"(None, None)",Accounting,,
ACCT 4150,Auditing and Assurance,"(None, None)",Accounting,,
ACCT 4152,Internal Auditing,"(None, None)",Accounting,,
ACCT 4200,Advanced Managerial Accounting,"(None, None)",Accounting,,
ACCT 4250,Advanced Taxation,"(None, None)",Accounting,,
ACCT 4300,International Accounting,"(None, None)",Accounting,,
ACCT 4350,Accounting Systems Audit and Control,"(None, None)",Accounting,,
ACCT 4400,Directed Study,"(None, None)",Accounting,,
ACCT 4490,Special Topics in Accounting,"(None, None)",Accounting,,
ACCT 4550,Accounting Data Analytics,"(None, None)",Accounting,,
ACCT 4600,Governmental and Not-for Profit Accounting,"(None, None)",Accounting,,
ACCT 4700,Valuation of Closely Held Businesses,"(None, None)",Accounting,,
