courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 23020,Introduction To Financial Accounting,"(3, 3)",Accounting (Acct),,
ACCT 23021,Introduction To Managerial Accounting,"(3, 3)",Accounting (Acct),,
ACCT 33001,Intermediate Financial Accounting I,"(3, 3)",Accounting (Acct),,
ACCT 33004,Introduction To Accounting Systems,"(3, 3)",Accounting (Acct),,
ACCT 33010,Cost Accounting,"(3, 3)",Accounting (Acct),,
ACCT 33012,Intermediate Financial Accounting Ii,"(3, 3)",Accounting (Acct),,
ACCT 33013,Tax For Entrepreneurs,"(3, 3)",Accounting (Acct),,
ACCT 33061,Financial Reporting Issues And Analysis,"(3, 3)",Accounting (Acct),,
ACCT 33063,Cost Control And Analysis For Management,"(3, 3)",Accounting (Acct),,
ACCT 43009,Accounting Data Analytics,"(3, 3)",Accounting (Acct),,
ACCT 43010,Principles Of Auditing (Elr) (Wic),"(3, 3)",Accounting (Acct),,
ACCT 43013,Advanced Management Accounting,"(3, 3)",Accounting (Acct),,
ACCT 43020,Advanced Financial Accounting,"(3, 3)",Accounting (Acct),,
ACCT 43031,Income Taxation I - Individual Taxation,"(3, 3)",Accounting (Acct),,
ACCT 43033,Income Taxation Ii - Entity Taxation,"(3, 3)",Accounting (Acct),,
ACCT 43043,Internal Audit And Fraud Examination,"(3, 3)",Accounting (Acct),,
ACCT 43089,International Accounting Experience (Divg) (Elr),"(3, 3)",Accounting (Acct),,
ACCT 43092,Accounting Internship (Elr),"(3, 3)",Accounting (Acct),,
ACCT 43093,Variable Title Workshop In Accounting,"(1, 3)",Accounting (Acct),,
ACCT 43095,Special Topics: Accounting,"(3, 3)",Accounting (Acct),,
ACCT 43096,Individual Investigation In Accounting,"(1, 3)",Accounting (Acct),,
ACCT 53001,Financial Reporting I,"(3, 3)",Accounting (Acct),,
ACCT 53010,Auditing Fundamentals,"(3, 3)",Accounting (Acct),,
ACCT 53012,Financial Reporting Ii,"(3, 3)",Accounting (Acct),,
ACCT 53013,Advanced Management Accounting,"(3, 3)",Accounting (Acct),,
ACCT 53020,Advanced Financial Accounting,"(3, 3)",Accounting (Acct),,
ACCT 53033,Income Taxation Ii - Entity Taxation,"(3, 3)",Accounting (Acct),,
ACCT 53041,Individual Income Tax,"(3, 3)",Accounting (Acct),,
ACCT 53043,Internal Audit And Fraud Examination,"(3, 3)",Accounting (Acct),,
ACCT 53089,International Accounting Experience,"(3, 3)",Accounting (Acct),,
ACCT 53095,Special Topics: Accounting,"(3, 3)",Accounting (Acct),,
ACCT 63022,Professional Issues And Ethics In Accounting,"(3, 3)",Accounting (Acct),,
ACCT 63024,Information Technology Audit: Controls And Analytics,"(3, 3)",Accounting (Acct),,
ACCT 63031,Advanced Auditing Theory And Practice,"(3, 3)",Accounting (Acct),,
ACCT 63037,Financial Accounting For Decision Making,"(2, 2)",Accounting (Acct),,
ACCT 63038,Managerial Accounting For Decision Making,"(2, 2)",Accounting (Acct),,
ACCT 63045,Tax Research And Planning,"(3, 3)",Accounting (Acct),,
ACCT 63050,Advanced Accounting Analytics And Technology,"(3, 3)",Accounting (Acct),,
ACCT 63092,Internship,"(3, 3)",Accounting (Acct),,
ACCT 63093,Variable Title Workshop In Accounting,"(1, 3)",Accounting (Acct),,
ACCT 63095,Special Topics In Accounting,"(3, 3)",Accounting (Acct),,
ACCT 73022,Professional Issues And Ethics In Accounting,"(3, 3)",Accounting (Acct),,
ACCT 73024,Information Technology Audit: Controls And Analytics,"(3, 3)",Accounting (Acct),,
ACCT 73031,Advanced Auditing Theory And Practice,"(3, 3)",Accounting (Acct),,
ACCT 73093,Variable Title Workshop In Accounting,"(1, 3)",Accounting (Acct),,
ACCT 73098,Research In Accounting,"(1, 3)",Accounting (Acct),,
ACCT 83031,Auditing Issues,"(3, 3)",Accounting (Acct),,
ACCT 83033,Managerial Accounting Issues,"(3, 3)",Accounting (Acct),,
ACCT 83037,Financial Accounting Issues,"(3, 3)",Accounting (Acct),,
ACCT 83038,Basic Accounting Research Methodology,"(3, 3)",Accounting (Acct),,
ACCT 83091,Seminar-Selected Accounting Topics,"(3, 3)",Accounting (Acct),,
ACCT 83098,Research In Accounting,"(3, 3)",Accounting (Acct),,
ACTT 11000,Accounting I: Financial,"(4, 4)",Accounting Technology (Actt),,
ACTT 11001,Accounting Ii: Managerial,"(4, 4)",Accounting Technology (Actt),,
ACTT 11003,Payroll Accounting,"(3, 3)",Accounting Technology (Actt),,
ACTT 20012,Accounting Software Applications,"(3, 3)",Accounting Technology (Actt),,
ACTT 21000,Accounting Iii: Financial,"(3, 3)",Accounting Technology (Actt),,
ACTT 21003,Fundamentals Of Tax Preparation,"(3, 3)",Accounting Technology (Actt),,
ACTT 21092,Internship In Accounting Technology (Elr),"(2, 3)",Accounting Technology (Actt),,
ACTT 21095,Special Topics In Accounting Technology,"(1, 3)",Accounting Technology (Actt),,
ACTT 21096,Individual Investigation In Accounting Technology,"(1, 3)",Accounting Technology (Actt),,
ACTT 31063,Introduction To Cost Accounting,"(3, 3)",Accounting Technology (Actt),,
ADED 20000,Topics In Social Justice In Teaching And Learning,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 20020,Exploring Secondary Science Teaching,"(1, 1)",Adolescent And Adult Education (Aded),,
ADED 22275,Issues And Trends In Social Studies Education,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 32142,Principles Of Teaching Adolescents (Wic),"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 32268,The Secondary School Mathematics Curriculum,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 32275,Curriculum And Pedagogy In Social Studies,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 32277,Teaching Science In Secondary Schools,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 33268,Mathematical Modeling For Secondary Teachers,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 42196,Individual Project In Adolescent Education,"(2, 4)",Adolescent And Adult Education (Aded),,
ADED 42268,Teaching Of Mathematics In Secondary Schools,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 42275,Teaching Social Studies In Grades 7 - 12,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 42277,Topics In Secondary School Science Teaching,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 42292,Field Work Practicum (Elr),"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 42392,Secondary Student Teaching (Elr),"(9, 9)",Adolescent And Adult Education (Aded),,
ADED 43210,Teaching Reading In Middle And High School With Young Adult Literature,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 43315,Teaching Literature In The Secondary Schools,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 43325,Multi-Modal Literacies In The Secondary Classroom,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 43335,Teaching Language And Composition,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 49525,Inquiry Into Professional Practice,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 52267,Improving Mathematics Instruction For Adolescent And Adult Education,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 52277,Teaching Science In The Secondary School,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 53315,Teaching Literature In The Secondary Schools,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 62092,Advanced Practicum,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 62145,Principles Of Secondary Teaching,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 62191,Seminar In Secondary Education,"(1, 3)",Adolescent And Adult Education (Aded),,
ADED 62198,Research In Secondary Education,"(2, 15)",Adolescent And Adult Education (Aded),,
ADED 63192,Secondary Education Student Teaching Internship,"(1, 10)",Adolescent And Adult Education (Aded),,
ADED 63292,Adolescent/Young Adult Integrated Language Arts Additional Licensure Internship,"(1, 1)",Adolescent And Adult Education (Aded),,
ADED 63392,Adolescent/Young Adult Integrated Social Studies Additional Licensure Internship,"(1, 1)",Adolescent And Adult Education (Aded),,
ADED 63492,Adolescent/Young Adult Integrated Mathematics Additional Licensure Internship,"(1, 1)",Adolescent And Adult Education (Aded),,
ADED 63592,Adolescent/Young Adult Integrated Science Additional Licensure Internship,"(1, 1)",Adolescent And Adult Education (Aded),,
ADED 67147,Teaching Adolescents In The Secondary School Culture,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 67232,Secondary School Social Studies,"(3, 3)",Adolescent And Adult Education (Aded),,
ADED 72191,Seminar In Secondary Education,"(1, 3)",Adolescent And Adult Education (Aded),,
AERN 15000,Introduction To Aeronautics,"(3, 3)",Aeronautics (Aern),,
AERN 15740,Elements Of Flight Theory,"(5, 5)",Aeronautics (Aern),,
AERN 15745,Non-Pilot Elements Of Flight Theory,"(3, 3)",Aeronautics (Aern),,
AERN 15750,Elements Of Flight Theory I,"(3, 3)",Aeronautics (Aern),,
AERN 15751,Private Pilot Flight I,"(2, 2)",Aeronautics (Aern),,
AERN 15752,Elements Of Flight Theory Ii,"(2, 2)",Aeronautics (Aern),,
AERN 15753,Private Pilot Flight Ii,"(3, 3)",Aeronautics (Aern),,
AERN 22500,Introduction To Aviation Maintenance Management,"(2, 2)",Aeronautics (Aern),,
AERN 25100,Introduction To Aviation Management,"(3, 3)",Aeronautics (Aern),,
AERN 25250,Elements Of Aviation Weather,"(3, 3)",Aeronautics (Aern),,
AERN 25251,Weather Information Systems,"(3, 3)",Aeronautics (Aern),,
AERN 25252,Thunderstorms And Severe Weather,"(3, 3)",Aeronautics (Aern),,
AERN 25350,Fundamentals Of Air Traffic Control,"(2, 2)",Aeronautics (Aern),,
AERN 25351,Fundamentals Of Air Traffic Control Laboratory,"(1, 1)",Aeronautics (Aern),,
AERN 25800,Introduction To Unmanned Aircraft Systems,"(3, 3)",Aeronautics (Aern),,
AERN 30000,Professional Development In Aeronautics,"(1, 1)",Aeronautics (Aern),,
AERN 32100,Advanced Aircraft Composite Technology,"(2, 2)",Aeronautics (Aern),,
AERN 32200,Avionics Maintenance For Glass Cockpits,"(2, 2)",Aeronautics (Aern),,
AERN 32300,Inspection Authorization I,"(2, 2)",Aeronautics (Aern),,
AERN 32400,Aviation Communications,"(2, 2)",Aeronautics (Aern),,
AERN 35020,Aircraft Propulsion Systems,"(3, 3)",Aeronautics (Aern),,
AERN 35021,Radar Satellite Weather Information,"(3, 3)",Aeronautics (Aern),,
AERN 35022,Weather Strategy For Aircrews,"(3, 3)",Aeronautics (Aern),,
AERN 35030,Introduction To Corporate Aviation,"(3, 3)",Aeronautics (Aern),,
AERN 35031,Air Transportation Industry Regulations,"(3, 3)",Aeronautics (Aern),,
AERN 35040,Aircraft Systems I,"(3, 3)",Aeronautics (Aern),,
AERN 35150,Aircraft Structures,"(3, 3)",Aeronautics (Aern),,
AERN 35250,Unmanned Aircraft Systems Law And Regulations,"(2, 2)",Aeronautics (Aern),,
AERN 35339,Fixed Base Operator Operations,"(3, 3)",Aeronautics (Aern),,
AERN 35340,Airport Management,"(3, 3)",Aeronautics (Aern),,
