courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAI 301,Career Readiness for Applied and Technical Professions,"(3, 3)",,Undergraduate,
AAI 395,Undergraduate Topics in Applied and Interdisciplinary Studies,"(5, 3)",,Undergraduate,
AAI 495,Undergraduate Special Topics in Applied and Interdisciplinary Studies,"(5, 3)",,Undergraduate,
AAI 501,Internship in Applied and Interdisciplinary Studies,"(3, 3)",,Undergraduate,
AAI 502,Applied Studies Seminar,"(3, 3)",,Undergraduate,
AAI 595,Undergraduate Advanced Topics in Applied and Interdisciplinary Studies,"(5, 3)",,Undergraduate,
AAI 695,Special Topics in Applied and Interdisciplinary Studies,"(5, 3)",,Undergraduate,
AAI 795,Topics in Applied and Interdisciplinary Studies,"(5, 6)",,Undergraduate,
AAI 797,U.S. Animal Politics and Policymaking,"(2, 2)",,Undergraduate,
AAI 801,Interdisciplinary Process,"(3, 3)",,Undergraduate,
AAI 840,Regulatory Aspects of Drug and Vaccine Development in the Animal Health Industry,"(2, 2)",,Undergraduate,
AAI 841,Strategies in Pre-Clinical and Clinical Research for Regulatory Affairs in Animal Science,"(2, 2)",,Undergraduate,
AAI 842,Strategies in the Stewardship of Licensed Pharmaceuticals and Biologics in Animal Health,"(1, 1)",,Undergraduate,
AAI 843,Regulatory Development of Animal Pharmaceuticals - FDA,"(None, None)",,Undergraduate,
AAI 844,Regulatory Development of Animal Pesticides - EPA,"(2, 2)",,Undergraduate,
AAI 845,Regulatory Development of Animal Biologicals and Diagnostics - USDA,"(2, 2)",,Undergraduate,
AAI 846,Special Topics: Regulatory Affairs in Animal Health,"(1, 1)",,Undergraduate,
AAI 852,Vaccinology,"(3, 3)",,Undergraduate,
AAI 858,Capstone Experience I,"(1, 1)",,Undergraduate,
AAI 859,Capstone Experience II,"(2, 2)",,Undergraduate,
AAI 860,Introduction to Systems and Data in Animal Health,"(None, None)",,Undergraduate,
AAI 861,Research Strategies to Drive Development of Animal Health Products,"(2, 2)",,Undergraduate,
AAI 862,Applied Analytics in Animal Health,"(None, None)",,Undergraduate,
AAI 863,Special Topics: Data Analytics and Insights in Animal Health,"(1, 1)",,Undergraduate,
AAI 864,Introduction to Computing for Animal Health,"(None, None)",,Undergraduate,
AAI 865,Assessing Effectiveness of Animal Therapeutics and Vaccines,"(1, 1)",,Undergraduate,
AAI 867,Zoonotic Pathogens in the Food Chain,"(2, 2)",,Undergraduate,
AAI 870,Seminar in Applied and Interdisciplinary Studies,"(1, 6)",,Undergraduate,
AAI 880,Problems in Applied and Interdisciplinary Studies,"(1, 6)",,Undergraduate,
AAI 895,Advanced Topics in Applied and Interdisciplinary Studies,"(5, 6)",,Undergraduate,
AAI 899,Research in Applied and Interdisciplinary Studies.,"(1, 6)",,Undergraduate,
AAM 472,Large Fixed-Wing Operations Flight Lab,"(2, 2)",,Undergraduate,
AAM 601,Introduction to Advanced Air Mobility Systems,"(1, 1)",,Undergraduate,
AAM 605,System Architectures in Advanced Air Mobility Systems,"(2, 2)",,Undergraduate,
AAM 732,Aerospace Communication Systems,"(3, 3)",,Undergraduate,
AAM 762,Guidance and Navigation Systems,"(3, 3)",,Undergraduate,
AAM 801,Electromagnetic Threats and Mitigation Design for Advanced Air Mobility Systems,"(3, 3)",,Undergraduate,
ACCTG 231,Introduction to Managerial Accounting,"(3, 3)",,Undergraduate,
ACCTG 241,Introduction to Financial Accounting,"(3, 3)",,Undergraduate,
ACCTG 331,Intermediate Accounting and Analytics I,"(3, 3)",,Undergraduate,
ACCTG 342,Taxation I,"(3, 3)",,Undergraduate,
ACCTG 413,Accounting Information Systems,"(3, 3)",,Undergraduate,
ACCTG 431,Problems in Accounting,"(1, 18)",,Undergraduate,
ACCTG 432,Cost Accounting,"(3, 3)",,Undergraduate,
ACCTG 433,Intermediate Accounting and Analytics II,"(3, 3)",,Undergraduate,
ACCTG 442,Auditing I,"(3, 3)",,Undergraduate,
ACCTG 445,Financial Statement Analysis,"(3, 3)",,Undergraduate,
ACCTG 490,Accounting Analytics,"(None, None)",,Undergraduate,
ACCTG 494,Law for Accountants,"(3, 3)",,Undergraduate,
ACCTG 622,Fraud and Forensics,"(3, 3)",,Undergraduate,
ACCTG 625,International and Multijurisdictional Taxation,"(3, 3)",,Undergraduate,
ACCTG 631,Accounting Internship,"(0, 3)",,Undergraduate,
ACCTG 641,Intermediate Accounting and Analytics III,"(3, 3)",,Undergraduate,
ACCTG 642,Accounting Research and Communication,"(3, 3)",,Undergraduate,
ACCTG 710,Foundations of Accounting,"(3, 3)",,Undergraduate,
ACCTG 811,Advanced Financial Reporting,"(3, 3)",,Undergraduate,
ACCTG 830,Professional Ethics in Accounting,"(None, None)",,Undergraduate,
ACCTG 831,Fraud and Forensics,"(3, 3)",,Undergraduate,
ACCTG 832,Advanced Auditing,"(3, 3)",,Undergraduate,
ACCTG 833,Corporate Taxation,"(3, 3)",,Undergraduate,
ACCTG 834,Partnership Taxation,"(3, 3)",,Undergraduate,
ACCTG 835,Business Consulting & Advanced Managerial Accounting,"(3, 3)",,Undergraduate,
ACCTG 840,Introduction to Academic Accounting Research,"(3, 3)",,Undergraduate,
ACCTG 841,Advanced Accounting Theory,"(3, 3)",,Undergraduate,
ACCTG 842,Advanced Topics in Taxation,"(3, 3)",,Undergraduate,
ACCTG 844,Design of Accounting and Business Information Processes,"(3, 3)",,Undergraduate,
ACCTG 845,International Accounting,"(3, 3)",,Undergraduate,
ACCTG 846,International and Multijurisdictional Taxation,"(3, 3)",,Undergraduate,
ACCTG 847,Merger and Acquisition Taxation,"(3, 3)",,Undergraduate,
ACCTG 852,Accounting Research and Communication,"(3, 3)",,Undergraduate,
ACCTG 855,Financial Statement Analysis and Business Valuation,"(3, 3)",,Undergraduate,
ACCTG 856,Accounting Analytics,"(3, 3)",,Undergraduate,
ACCTG 857,Accounting for Not-For-Profit Entities,"(3, 3)",,Undergraduate,
ACCTG 860,Management Accounting and Business Problem Solving,"(3, 3)",,Undergraduate,
ACCTG 870,Problems in Accounting,"(3, 3)",,Undergraduate,
ACCTG 884,Enterprise Information Systems Assurance,"(3, 3)",,Undergraduate,
ACCTG 890,Seminars in Professional Accounting,"(1, 6)",,Undergraduate,
ACCTG 895,Accounting Internship,"(3, 3)",,Undergraduate,
ACCTG 896,Accounting International Experience,"(1, 6)",,Undergraduate,
