courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AESP 160,Applied English Center Special Topics:  _____,"(None, None)",Applied English Center,,
AEC 5,Short Term Program with Applied English Center Course Enrollment:  _____,"(None, None)",Applied English Center,,
AEC 6,Anticipated Future Applied English Center Credit Hours,"(None, None)",Applied English Center,,
AEC 7,Short Term Programs Self-Contained Enrollment:  _____,"(None, None)",Applied English Center,,
AEC 90,English Proficiency Test,"(None, None)",Applied English Center,,
AECR 10,"Reading, Writing and Grammar for Academic Purposes 1","(None, None)",Applied English Center,,
AECR 140,"Reading, Writing and Grammar for Academic Purposes 4","(None, None)",Applied English Center,,
AECR 151,"Reading, Writing and Grammar for Academic Purposes 5","(None, None)",Applied English Center,,
AECR 20,"Reading, Writing and Grammar for Academic Purposes 2","(None, None)",Applied English Center,,
AECR 30,"Reading, Writing and Grammar for Academic Purposes 3","(None, None)",Applied English Center,,
ACMP 527,Accompanying,"(None, None)",Music,,
ACMP 529,Performance Class in Accompanying,"(None, None)",Music,,
ACMP 727,Accompanying,"(None, None)",Music,,
ACMP 811,Advanced Accompanying,"(None, None)",Music,,
ACMP 822,The Accompanist's Literature,"(None, None)",Music,,
AECL 10,"Listening, Speaking and Grammar for Academic Purposes 1","(None, None)",Applied English Center,,
AECL 140,"Listening, Speaking and Grammar for Academic Purposes 4","(None, None)",Applied English Center,,
AECL 151,"Listening, Speaking and Grammar for Academic Purposes 5","(None, None)",Applied English Center,,
AECL 20,"Listening, Speaking and Grammar for Academic Purposes 2","(None, None)",Applied English Center,,
AECL 30,"Listening, Speaking and Grammar for Academic Purposes 3","(None, None)",Applied English Center,,
ANSL 976,Anesthesiology,"(None, None)",Anesthesiology,,
ANSL 995,Special Topics in Anesthesia,"(None, None)",Anesthesiology,,
ANES 910,Anesthesiology,"(None, None)",Anesthesiology,,
ANES 911,Critical Care: Post-Anesthesia Unit,"(None, None)",Anesthesiology,,
ANES 912,Special Topics in Anesthesiology,"(None, None)",Anesthesiology,,
AIR 100,Leadership Laboratory,"(None, None)",Rotc: Air And Space Studies,,
AIR 144,Heritage and Values of the United States Air Force I,"(None, None)",Rotc: Air And Space Studies,,
AIR 148,Heritage and Values of the United States Air Force II,"(None, None)",Rotc: Air And Space Studies,,
AIR 284,Team and Leadership Fundamentals I,"(None, None)",Rotc: Air And Space Studies,,
AIR 288,Team and Leadership Fundamentals II,"(None, None)",Rotc: Air And Space Studies,,
AIR 344,Leading People and Effective Communication I,"(None, None)",Rotc: Air And Space Studies,,
AIR 348,Leading People and Effective Communication II,"(None, None)",Rotc: Air And Space Studies,,
AIR 404,National Security/Leadership Responsibilities and Commissioning Preparation I,"(None, None)",Rotc: Air And Space Studies,,
AIR 408,National Security/Leadership Responsibilities and Commissioning Preparation II,"(None, None)",Rotc: Air And Space Studies,,
ACED 800,Introduction to Doctoring,"(None, None)",Active Competency,,
ACED 805,Molecular and Cellular Medicine,"(None, None)",Active Competency,,
ACED 810,"Infection, Blood and Immunity","(None, None)",Active Competency,,
ACED 815,Respiration and Circulation,"(None, None)",Active Competency,,
ACED 820,Gastrointestinal and Renal,"(None, None)",Active Competency,,
ACED 825,Muscles and Movement,"(None, None)",Active Competency,,
ACED 830,"Brain, Mind and Behavior","(None, None)",Active Competency,,
ACED 835,"Reproduction, Development and Sexuality","(None, None)",Active Competency,,
ACED 840,Medicine Capstone,"(None, None)",Active Competency,,
ACED 845,Transition to Clerkships,"(None, None)",Active Competency,,
ANTM 380,Special Topics In Anatomy,"(None, None)",Anatomy And Cell Biology,,
AECO 21,University Life in the U.S. 1,"(None, None)",Applied English Center,,
AECO 22,University Life in the U.S. 2,"(None, None)",Applied English Center,,
AECO 51,Intensive English Online 1,"(None, None)",Applied English Center,,
AECO 52,Intensive English Online 2,"(None, None)",Applied English Center,,
AECO 53,Intensive English Online 3,"(None, None)",Applied English Center,,
AECO 54,Intensive English Online 4,"(None, None)",Applied English Center,,
AECO 55,Intensive English Online 5,"(None, None)",Applied English Center,,
AECO 56,Intensive English Online 6,"(None, None)",Applied English Center,,
AECO 57,Intensive English Online 7,"(None, None)",Applied English Center,,
AECO 58,Intensive English Online 8,"(None, None)",Applied English Center,,
AECO 81,Staying Current: Professional Development for EFL Teachers,"(None, None)",Applied English Center,,
AMBC 976,Ambulatory Clinic in Dermatology,"(None, None)",Ambulatory Clinic,,
AMBC 977,Ambulatory Clinic Selective in ENT,"(None, None)",Ambulatory Clinic,,
AMBC 978,Ambulatory Clinic in Ophthalmology,"(None, None)",Ambulatory Clinic,,
AMBC 979,Ambulatory Clinic in Urology,"(None, None)",Ambulatory Clinic,,
AMBC 980,Ambulatory Clinic in Rehabilitation and Physical Medicine,"(None, None)",Ambulatory Clinic,,
AMBC 981,Ambulatory Clinic in Sports Medicine,"(None, None)",Ambulatory Clinic,,
AMBC 982,Ambulatory Clinic in General Surgery,"(None, None)",Ambulatory Clinic,,
AMBC 983,Ambulatory Clinic in Plastic Surgery,"(None, None)",Ambulatory Clinic,,
AMBC 984,Ambulatory Clinic in Diabetes,"(None, None)",Ambulatory Clinic,,
AMBC 985,Ambulatory Clinic in Endocrinology,"(None, None)",Ambulatory Clinic,,
AMBC 986,Ambulatory Clinic in Genetics,"(None, None)",Ambulatory Clinic,,
AMBC 987,Ambulatory Clinic in Addiction Medicine,"(None, None)",Ambulatory Clinic,,
ARAB 101,Introduction to Modern Standard Arabic,"(None, None)",African & African,,
ARAB 102,Introduction to Modern Standard Arabic II,"(None, None)",African & African,,
ARAB 110,Elementary Arabic I,"(None, None)",African & African,,
ARAB 120,Elementary Arabic II,"(None, None)",African & African,,
ARAB 210,Intermediate Arabic I,"(None, None)",African & African,,
ARAB 220,Intermediate Arabic II,"(None, None)",African & African,,
