courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AFS 099,Elective in Africana Studies,0.75-1,Africana Studies,,
AFS 101,Ideas of Africa,1,Africana Studies,,
AFS 102,Intro to Africana Studies,1,Africana Studies,,
AFS 199,Elective in Africana Studies,0.75-1,Africana Studies,,
AFS 210,African Diasporas Across World,1,Africana Studies,,
AFS 211,The Black Experience,1,Africana Studies,,
AFS 220,Race and Technology,1,Africana Studies,,
AFS 228,Religion &amp; Politics in Africa,1,Africana Studies,,
AFS 245,"Race, Policing, and Justice",1,Africana Studies,,
AFS 299,Elective in Africana Studies,0.75-1,Africana Studies,,
AFS 307,Black Social &amp; Political Thght,1,Africana Studies,,
AFS 320,Black Feminism,1,Africana Studies,,
AFS 330,African Cowboys,1,Africana Studies,,
AFS 340,"Culture, Life and Death in Islamic West Africa",1,Africana Studies,,
AFS 380,Internship,1,Africana Studies,,
AFS 390,Independent Study,1,Africana Studies,,
AFS 391,Independent Study,1,Africana Studies,,
AFS 399,Elective in Africana Studies,0.75-1,Africana Studies,,
AFS 405,Advanced Seminar in Africana Studies,1,Africana Studies,,
AFS 495,Thesis,1,Africana Studies,,
AFS 496,Thesis,1,Africana Studies,,
AGS 099,Elective in Aging Studies,0.75-1,Aging Studies,,
AGS 199,Elective in Aging Studies,0.75-1,Aging Studies,,
AGS 299,Elective in Aging Studies,0.75-1,Aging Studies,,
AGS 399,Elective in Aging Studies,0.75-1,Aging Studies,,
AMS 241,"Work, Culture &amp; Society",1,American Studies,,
AMS 250,Intro to American Studies,1,American Studies,,
AMS 253,Drug Use in America,1,American Studies,,
AMS 256,US-Latin American Relations,1,American Studies,,
AMS 350,Drug Use in America,1,American Studies,,
AMS 351,Rise Indus America,1,American Studies,,
AMS 352,The Story of World War II,1,American Studies,,
AMS 353,Constructing Ethnic Identities,1,American Studies,,
AMS 354,Gender &amp; Amer Material Culture,1,American Studies,,
AMS 355,Technology &amp; American Image,1,American Studies,,
AMS 361,History of Drug Use in America,1,American Studies,,
A&S 099,Elective in Anthro &amp; Sociology,0.75-1,Anthropology &amp; Sociology,,
A&S 102,Cultural Anthropology,1,Anthropology &amp; Sociology,,
A&S 103,Introduction to Sociology,1,Anthropology &amp; Sociology,,
A&S 199,Elective in Anthro &amp; Sociology,0.75-1,Anthropology &amp; Sociology,,
A&S 200,Research Methods &amp; Design,1,Anthropology &amp; Sociology,,
A&S 201,Culture and the Environment,1,Anthropology &amp; Sociology,,
A&S 202,Anthro of Mid East &amp; N Africa,1,Anthropology &amp; Sociology,,
A&S 204,European Communities,1,Anthropology &amp; Sociology,,
A&S 205,African Modernities,1,Anthropology &amp; Sociology,,
A&S 208,"Race, Ethnicity &amp; Segregation",1,Anthropology &amp; Sociology,,
A&S 209,Select Studies in Ethnography,1,Anthropology &amp; Sociology,,
A&S 210,Contemporary American Society,1,Anthropology &amp; Sociology,,
A&S 211,Symbolic Interaction,1,Anthropology &amp; Sociology,,
A&S 212,Sex and Gender:Cross-Cult View,1,Anthropology &amp; Sociology,,
A&S 214,Race and Ethnic Relations,1,Anthropology &amp; Sociology,,
A&S 215,Occupations and Professions,1,Anthropology &amp; Sociology,,
A&S 216,"Class, Status and Power",1,Anthropology &amp; Sociology,,
A&S 217,Poverty in the United States,1,Anthropology &amp; Sociology,,
A&S 218,Political Sociology,1,Anthropology &amp; Sociology,,
A&S 220,Who Gets What &amp; Why,1,Anthropology &amp; Sociology,,
A&S 222,Medical Anthropology,1,Anthropology &amp; Sociology,,
A&S 224,"Self, Society and Culture",1,Anthropology &amp; Sociology,,
A&S 225,Deviance,1,Anthropology &amp; Sociology,,
A&S 226,"Race, Racism &amp; Health in US",1,Anthropology &amp; Sociology,,
A&S 227,The Family,1,Anthropology &amp; Sociology,,
A&S 228,Alienation,1,Anthropology &amp; Sociology,,
A&S 229,Sociology of Sex and Gender,1,Anthropology &amp; Sociology,,
A&S 230,Social Memory,1,Anthropology &amp; Sociology,,
A&S 231,Anthropology of Education,1,Anthropology &amp; Sociology,,
