courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AASC 3102,Narrative for Prior Experential Learning Credit,1,Applied Arts and Sciences,,
AASC 3301,Leadership and Communication Strategies,3,Applied Arts and Sciences,,
AASC 4301,Personal Productivity,3,Applied Arts and Sciences,,
ACCT 2301,Introduction to Financial Accounting,3,Accounting,,
ACCT 2302,Introduction to Managerial Accounting,3,Accounting,,
ACCT 3310,Intermediate Accounting I,3,Accounting,,
ACCT 3320,Intermediate Accounting II,3,Accounting,,
ACCT 3330,Governmental Accounting,3,Accounting,,
ACCT 3340,Cost Accounting,3,Accounting,,
ACCT 3350,Professional Ethics,3,Accounting,,
ACCT 3380,Taxation Accounting I,3,Accounting,,
ACCT 3390,Taxation Accounting II,3,Accounting,,
ACCT 4300,Introduction to Auditing,3,Accounting,,
ACCT 4310,Advanced Accounting,3,Accounting,,
ACCT 4315,Internal Audit,3,Accounting,,
ACCT 4320,Data Analytics in Accounting,3,Accounting,,
ACCT 4330,Financial Analysis and Valuation,3,Accounting,,
ACCT 4340,Accounting Theory and Practice,3,Accounting,,
ACCT 4370,Accounting Internship,3,Accounting,,
ACCT 4390,Special Topics in Accounting,3,Accounting,,
ACCT 5310,Financial Accounting Research and Procedures,3,Accounting,,
ACCT 5315,Financial & Managerial Accounting Foundations,3,Accounting,,
ACCT 5325,Fraud Examination & Forensic Accounting Principles,3,Accounting,,
ACCT 5340,Tax Research,3,Accounting,,
ACCT 5353,Emerging Technology in Accounting,3,Accounting,,
ACCT 5355,Accounting Data Analytics and AI,3,Accounting,,
ACCT 5361,Financial Statement Analysis,3,Accounting,,
ACCT 5365,Internal and External Financial Reporting,3,Accounting,,
ACCT 5370,Managerial Accounting,3,Accounting,,
ACCT 5375,Advanced Accounting Information Systems,3,Accounting,,
ACCT 5380,Internship,3,Accounting,,
ACCT 5390,Special Topics,3,Accounting,,
ANTH 2302,Archaeology,3,Anthropology,,
ANTH 2346,Introduction to Anthropology,3,Anthropology,,
ANTH 2351,Cultural Anthropology,3,Anthropology,,
ANTH 2372,Ethnic Heritage,3,Anthropology,,
ANTH 3301,Physical Anthropology,3,Anthropology,,
ANTH 3302,Forensic Anthropology,3,Anthropology,,
ANTH 4340,Topics in Anthropology,3,Anthropology,,
ARTS 1301,Art Appreciation,3,Art,,
ARTS 1303,Art History I,3,Art,,
ARTS 1304,Survey of Art II,3,Art,,
ARTS 1311,Design I,3,Art,,
ARTS 1312,Design II,3,Art,,
ARTS 1316,Drawing I,3,Art,,
ARTS 1317,Drawing II,3,Art,,
ARTS 2305,Late Modern and Contemporary Art,3,Art,,
ARTS 2311,Design III,3,Art,,
ARTS 2323,Drawing III,3,Art,,
ARTS 2331,Introduction to Graphic Design,3,Art,,
ARTS 2356,Photography I,3,Art,,
ARTS 3199,Studio Seminar,1,Art,,
ARTS 3303,Large Format Camera Photo,3,Art,,
ARTS 3305,Digital Imaging,3,Art,,
ARTS 3313,Illustration I,3,Art,,
ARTS 3314,Painting I,3,Art,,
ARTS 3315,Drawing V,3,Art,,
ARTS 3316,Watercolor I,3,Art,,
ARTS 3317,Painting II,3,Art,,
ARTS 3320,ArchiCAD: Digital Design,3,Art,,
ARTS 3321,Intro to Interior Design,3,Art,,
ARTS 3323,Illustration II,3,Art,,
ARTS 3324,Drawing IV,3,Art,,
ARTS 3325,Drawing VI,3,Art,,
ARTS 3326,Watercolor II,3,Art,,
ARTS 3327,Painting III,3,Art,,
ARTS 3328,Sculpture I,3,Art,,
ARTS 3330,Character Art,3,Art,,
ARTS 3333,Typography,3,Art,,
ARTS 3337,Non-Western Art,3,Art,,
ARTS 3338,Art Crime,3,Art,,
ARTS 3351,2D Graphics,3,Art,,
ARTS 3352,3D Graphics,3,Art,,
ARTS 3355,Printmaking I,3,Art,,
ARTS 3365,Printmaking II,3,Art,,
ARTS 3371,Study in Visual Art,3,Art,,
ARTS 3375,Sculpture II,3,Art,,
ARTS 3376,Ceramics I,3,Art,,
ARTS 3379,Photography II,3,Art,,
ARTS 3381,Introduction to Art Education and Global Culture,3,Art,,
ARTS 3385,Sculpture III,3,Art,,
ARTS 3386,Ceramics II,3,Art,,
ARTS 4303,Color Photography,3,Art,,
ARTS 4305,Digital Fine Art Photo,3,Art,,
ARTS 4306,Video Art,3,Art,,
ARTS 4315,Drawing VII,3,Art,,
ARTS 4316,Painting IV,3,Art,,
ARTS 4317,Museum & Gallery Practices,3,Art,,
ARTS 4320,Residential Design,3,Art,,
ARTS 4321,Commercial Design,3,Art,,
ARTS 4325,Drawing VIII,3,Art,,
ARTS 4326,Painting V,3,Art,,
ARTS 4330,Illustration III,3,Art,,
ARTS 4331,Alternative Fiber Processes,3,Art,,
ARTS 4333,Brand Identity,3,Art,,
ARTS 4335,Portfolio Development,3,Art,,
ARTS 4336,Professional Practices,3,Art,,
ARTS 4337,Ancient Art,3,Art,,
ARTS 4338,Renaissance Art,3,Art,,
ARTS 4343,Motion Design,3,Art,,
ARTS 4344,3D Printing,3,Art,,
ARTS 4348,19th & 20th Century Art,3,Art,,
ARTS 4353,Web Design,3,Art,,
ARTS 4355,Printmaking III,3,Art,,
ARTS 4363,Adv Studies in Graphic Design,3,Art,,
ARTS 4365,Printmaking IV,3,Art,,
ARTS 4368,Global Perspectives in Contemporary Art,3,Art,,
ARTS 4371,Elementary Visual Art,3,Art,,
ARTS 4373,Internship,3,Art,,
ARTS 4375,Sculpture III,3,Art,,
ARTS 4376,Ceramics III,3,Art,,
ARTS 4380,History Graphic Design,3,Art,,
ARTS 4381,Advanced Studies in Visual Art,3,Art,,
ARTS 4385,Sculpture IV,3,Art,,
ARTS 4389,Criticism and Theory in the Visual Arts,3,Art,,
ARTS 4391,Directed Individual Study,3,Art,,
ARTS 4392,Study Abroad Italy,3,Art,,
ARTS 4393,Directed Individual Study,3,Art,,
ARTS 4395,Directed Individual Study,3,Art,,
ARTS 4398,History of Photography,3,Art,,
ARTS 4399,Senior Thesis & Exhibition,3,Art,,
ARTS 5323,Problems in Visual Media,3,Art,,
ARTS 5325,Problems in Drawing,3,Art,,
ATED 3320,Classroom Management Skills,3,Athletic Education,,
