courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
MATH 0994,,,MATH,,
ACCT 2013: PRINCIPLES OF FINANCIAL ACCOUNTING,,,ACCT,,
ACCT 2023: PRINCIPLES OF MANAGERIAL ACCOUNTING,,,ACCT,,
ACCT 3033: INTERMEDIATE ACCOUNTING,,,ACCT,,
ACCT 3043: INTERMEDIATE ACCOUNTING,,,ACCT,,
ACCT 3053: INTERMEDIATE ACCOUNTING,,,ACCT,,
ACCT 3073: INCOME TAX,,,ACCT,,
ACCT 3083: MANAGERIAL COST ACCOUNTING,,,ACCT,,
ACCT 4013: INTERNSHIP IN ACCOUNTING I,,,ACCT,,
ACCT 4023: INTERNSHIP IN ACCOUNTING II,,,ACCT,,
ACCT 4063: ADVANCED INCOME TAX,,,ACCT,,
ACCT 4123: MUNICIPAL AND GOVERNMENT ACCOUNTING,,,ACCT,,
ACCT 4133: AUDITING,,,ACCT,,
ACCT 4143: ADVANCED ACCOUNTING,,,ACCT,,
ACCT 4253: FRAUD DETECTION AND PREVENTION,,,ACCT,,
ACCT 4333: ACCOUNTING INFORMATION SYSTEMS,,,ACCT,,
ACCT 4393: ACCOUNTING ANALYTICS,,,ACCT,,
ACCT 4853: INTERNATIONAL ACCOUNTING,,,ACCT,,
ACCT 4943: FOUNDATIONS IN ACCOUNTING,,,ACCT,,
ACCT 5053: ACCOUNTING ANALYSIS FOR DECISION-MAKING,,,ACCT,,
ACCT 5073: CONTEMPORARY ACCOUNTING THEORY,,,ACCT,,
ACCT 5083: ADVANCED MANAGERIAL ACCOUNTING,,,ACCT,,
ACCT 5093: ADVANCED INCOME TAX,,,ACCT,,
ACCT 5123: MUNICIPAL AND GOVERNMENT ACCOUNTING,,,ACCT,,
ACCT 5133: ADVANCED AUDITING,,,ACCT,,
ACCT 5143: ADVANCED ACCOUNTING,,,ACCT,,
ACCT 5173: EDP ACCOUNTING,,,ACCT,,
ACCT 5193: INTERNATIONAL ACCOUNTING,,,ACCT,,
ACCT 5203: ACCOUNTING ANALYTICS,,,ACCT,,
"ACCT 5213: CASES, RESEARCH & PROBLEMS IN TAX",,,ACCT,,
ACCT 5253: FRAUD DETECTION AND PREVENTION,,,ACCT,,
ACCT 5333: ACCOUNTING INFORMATION SYSTEMS,,,ACCT,,
ACCT 5393: ACCOUNTING ANALYTICS,,,ACCT,,
ACCT 5423: ETHICS & PROFESSIONAL DEVELOPMENT,,,ACCT,,
ACCT 5501: DIRECTED STUDY IN ACCOUNTING,,,ACCT,,
