courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 007,Financial Literacy,3,Accounting,,
ACCT 095,Miscellaneous,1-3,Accounting,,
ACCT 098,Miscellaneous,1-3,Accounting,,
ACCT 108,Fundamentals of Accounting,3,Accounting,,
ACCT 151,Introduction to Financial Accounting,3,Accounting,,
ACCT 152,Introduction to Managerial Accounting,3,Accounting,,
ACCT 305,Corporate Sustainability and ESG Reporting,3,Accounting,,
ACCT 307,Fundamentals of Federal Income Taxation,3,Accounting,,
ACCT 310,Essential Tax Planning for Business Strategies,3,Accounting,,
ACCT 311,Accounting Information Systems,3,Accounting,,
ACCT 315,Intermediate Accounting I,3,Accounting,,
ACCT 316,Intermediate Accounting II,3,Accounting,,
ACCT 317,Advanced Financial Accounting,3,Accounting,,
ACCT 318,Analysis of Financial Statements,3,Accounting,,
ACCT 320,Fundamentals of Auditing,3,Accounting,,
ACCT 324,Advanced Managerial Accounting,3,Accounting,,
ACCT 330,Data Analytics and Artificial Intelligence in Accounting,3,Accounting,,
ACCT 340,Investment Banking and Capital Markets Accounting,3,Accounting,,
ACCT 371,Directed Readings,1-3,Accounting,,
ACCT 372,Special Topics,1-3,Accounting,,
ACCT 373,Accounting Internship,1,Accounting,,
ACCT 395,Miscellaneous,1-3,Accounting,,
ACCT 397,Miscellaneous,0-3,Accounting,,
ACCT 398,Miscellaneous,1-4,Accounting,,
ACCT 405,Corporate Sustainability and ESG Reporting,3,Accounting,,
ACCT 410,Essential Tax Planning for Business Strategies,3,Accounting,,
ACCT 430,Data Analytics and Artificial Intelligence in Accounting,3,Accounting,,
ACCT 432,Accounting for Managers,3,Accounting,,
ACCT 440,Investment Banking and Capital Markets Accounting,3,Accounting,,
ACCT 442,Financial Reporting and Analysis,2,Accounting,,
ACCT 444,Accounting for Decision Making,2,Accounting,,
ACCT 495,Miscellaneous,1-3,Accounting,,
ACCT 496,Special Topics,1-3,Accounting,,
ACCT 497,Miscellaneous,3,Accounting,,
ACCT 498,Miscellaneous,3,Accounting,,
AESE 401,Introduction to Modern Aerospace Engineering,3,Aerospace Engineering,,
AESE 402,Advanced Astrodynamics,3,Aerospace Engineering,,
AESE 403,Space Propulsion Systems,3,Aerospace Engineering,,
AESE 404,"Guidance, Navigation and Control",3,Aerospace Engineering,,
AESE 405,Launch Vehicle Engineering,3,Aerospace Engineering,,
AESE 406,Data Fusion and State Estimation,3,Aerospace Engineering,,
AESE 407,Hypersonic Flows,3,Aerospace Engineering,,
AESE 408,Advanced Aerospace Vehicle Design,3,Aerospace Engineering,,
AESE 460,Aerospace and Space Systems Engineering Project,1-6,Aerospace Engineering,,
AESE 490,Thesis,1-6,Aerospace Engineering,,
AAS 003,Introduction to Africana Studies,4,Africana Studies,,
AAS 004,Diversity in Africa,4,Africana Studies,,
AAS 005,African Civilization,4,Africana Studies,,
AAS 025,Introduction to Black Religions and Hip-Hop,4,Africana Studies,,
AAS 038,Introduction to African Literature,3,Africana Studies,,
AAS 066,Hip Hop Dance,2,Africana Studies,,
AAS 076,Hip Hop Dance II,2,Africana Studies,,
AAS 080,Independent Study,1-4,Africana Studies,,
AAS 090,Big Questions Seminar,3-4,Africana Studies,,
AAS 091,Special Topics,1-4,Africana Studies,,
AAS 096,Miscellaneous,1-4,Africana Studies,,
AAS 097,Miscellaneous,1-4,Africana Studies,,
AAS 098,Miscellaneous,1-4,Africana Studies,,
AAS 102,Promised Lands: Jewish and African American Children&#39;s Literature,4,Africana Studies,,
AAS 103,Race and Ethnicity in the Contemporary U.S.,4,Africana Studies,,
AAS 106,Race and Ethnicity in the Americas,4,Africana Studies,,
AAS 117,"Race, Racism, and Philosophy",4,Africana Studies,,
AAS 121,Topics in African-American Literature,4,Africana Studies,,
AAS 124,Arts of the Black World 16th-20th Centuries,4,Africana Studies,,
AAS 125,Art and Architecture of Africa from Colonial to Contemporary Times,4,Africana Studies,,
AAS 126,How Black Women Made Modern America,4,Africana Studies,,
AAS 128,Jazz History I,3,Africana Studies,,
AAS 129,Jazz History II,3,Africana Studies,,
AAS 130,African American History,4,Africana Studies,,
AAS 131,"Women, Gender, Sexuality and Race in African Societies",4,Africana Studies,,
AAS 132,Hip Hop Theatre,4,Africana Studies,,
AAS 134,History and Cultures of Ghana,4,Africana Studies,,
AAS 138,Introduction to African American Literature,4,Africana Studies,,
AAS 140,African American Theatre,4,Africana Studies,,
AAS 144,Global Hip Hop and Social Change,4,Africana Studies,,
AAS 147,"Dreams and Nightmares: The Music Industry, Media and Inequality",4,Africana Studies,,
AAS 155,Afro-Latino Social Movements in Latin America &amp; the Caribbean,4,Africana Studies,,
AAS 163,Sociology of Hip Hop Culture,4,Africana Studies,,
AAS 164,Sociology of Black Families,4,Africana Studies,,
AAS 166,Wealth and Poverty in the United States,4,Africana Studies,,
AAS 176,Keeping Africa and Africans Healthy: A History of Illness and Wellness,4,Africana Studies,,
AAS 178,Globalization and Health in Ghana,3,Africana Studies,,
AAS 179,Black Political Thought in America,4,Africana Studies,,
AAS 180,Independent Study,1-4,Africana Studies,,
AAS 191,Special Topics,1-4,Africana Studies,,
AAS 195,Miscellaneous,1-4,Africana Studies,,
AAS 196,Miscellaneous,1-4,Africana Studies,,
AAS 197,Miscellaneous,1-4,Africana Studies,,
AAS 198,Miscellaneous,1-4,Africana Studies,,
AAS 205,The Political Development of American Race Relations,4,Africana Studies,,
AAS 210,Revolution on Campus,4,Africana Studies,,
AAS 230,Social Movements From the 1960s to Present,4,Africana Studies,,
AAS 278,"Race, Sports, Media and Social Activism",4,Africana Studies,,
AAS 280,Independent Study,1-4,Africana Studies,,
AAS 291,Special Topics,1-4,Africana Studies,,
AAS 295,Miscellaneous,1-4,Africana Studies,,
AAS 296,Miscellaneous,1-4,Africana Studies,,
AAS 297,Miscellaneous,1-4,Africana Studies,,
AAS 298,Miscellaneous,1-4,Africana Studies,,
AAS 299,Internship in Africana Studies,1-4,Africana Studies,,
AAS 300,Apprentice Teaching,1-4,Africana Studies,,
AAS 305,Residential Segregation: Policies and Practices,4,Africana Studies,,
AAS 306,Ain&#39;t I a _____? Black Identity and Gender Politics,4,Africana Studies,,
AAS 311,African Culture on Film,4,Africana Studies,,
AAS 312,Modernity in the Maghreb,4,Africana Studies,,
AAS 313,Keep the Change: Social Movements in Society,4,Africana Studies,,
AAS 314,"Infections and Inequalities: HIV, TB and Malaria in the Global South",4,Africana Studies,,
AAS 317,So You Want to Save the World: Anthropological Encounters with Humanitarianism and Development,4,Africana Studies,,
AAS 318,Topics in African American Literature and Culture,3-4,Africana Studies,,
AAS 320,Imagining Freedom: 19th-Century African American Literature and Politics,3-4,Africana Studies,,
AAS 322,"African Women, Voices and Lives",3-4,Africana Studies,,
AAS 325,"The Harlem Renaissance: Early 20th-Century African American Literature, Art and Politics",3-4,Africana Studies,,
AAS 327,The Black Intellectual Tradition,4,Africana Studies,,
AAS 330,Africans and the Atlantic World,4,Africana Studies,,
AAS 331,United States and Africa,3-4,Africana Studies,,
AAS 332,Slavery and the American South,3-4,Africana Studies,,
AAS 333,"Reporting the Crises: Identity, Journalism and Power",4,Africana Studies,,
AAS 341,"Global Africa: Aid, Volunteerism, NGO&#39;s and International Studies",3-4,Africana Studies,,
AAS 343,Global Politics of Race: Asia and Africa,4,Africana Studies,,
AAS 345,Colonialism and the Black Radical Tradition,4,Africana Studies,,
AAS 361,Supervised Research,1-4,Africana Studies,,
AAS 375,Global Media and Culture,4,Africana Studies,,
AAS 379,Race and Class in America,4,Africana Studies,,
AAS 380,Independent Study,1-4,Africana Studies,,
AAS 382,Seminar on a topic in Africana Studies,1-4,Africana Studies,,
AAS 389,Seminar in Africana Studies,4,Africana Studies,,
AAS 390,Honors Thesis,1-4,Africana Studies,,
AAS 391,Special Topics,1-4,Africana Studies,,
AAS 392,Internship,1-4,Africana Studies,,
AAS 393,Black Feminist Thought and the Media Industries,4,Africana Studies,,
AAS 395,Miscellaneous,1-4,Africana Studies,,
AAS 396,Miscellaneous,1-4,Africana Studies,,
AAS 397,Miscellaneous,1-4,Africana Studies,,
AAS 398,Miscellaneous,1-4,Africana Studies,,
AAS 422,"African Women, Voices and Lives",3,Africana Studies,,
AAS 427,The Black Intellectual Tradition,3,Africana Studies,,
AAS 493,Black Feminist Thought and the Media Industries,3,Africana Studies,,
AAS 496,Miscellaneous,1-3,Africana Studies,,
ANTH 011,Cultural Diversity and Human Nature,4,Anthropology,,
ANTH 012,Intro to Archaeology and Human Origins,4,Anthropology,,
ANTH 090,Big Questions Seminar,3-4,Anthropology,,
ANTH 091,Special Topics,1-4,Anthropology,,
ANTH 096,Miscellaneous,1-4,Anthropology,,
ANTH 097,Miscellaneous,1-4,Anthropology,,
ANTH 098,Miscellaneous,1-4,Anthropology,,
ANTH 099,Anthropology Elective,1-4,Anthropology,,
ANTH 100,Seminar in Anthropology,1-4,Anthropology,,
ANTH 106,Cultural Studies and Globalization,4,Anthropology,,
ANTH 108,Not-so-Lonely Planet: The Anthropology of Tourism,4,Anthropology,,
ANTH 117,Archaeology of Latin America,4,Anthropology,,
ANTH 121,Environment and Culture,4,Anthropology,,
ANTH 126,Urban Anthropology,4,Anthropology,,
ANTH 140,Introduction to Linguistics,4,Anthropology,,
ANTH 145,Human Evolution,4,Anthropology,,
ANTH 155,Medical Anthropology,4,Anthropology,,
ANTH 173,Archaeology of the Middle East,4,Anthropology,,
ANTH 176,Roman Archaeology,4,Anthropology,,
ANTH 178,Mesoamerican Archaeology,4,Anthropology,,
ANTH 182,Indigenous Cultures of North America,4,Anthropology,,
ANTH 184,Indigenous Cultures of Latin America,4,Anthropology,,
ANTH 187,Contemporary Southeast Asia,4,Anthropology,,
ANTH 191,Special Topics,1-4,Anthropology,,
ANTH 192,Independent Study,1-4,Anthropology,,
ANTH 195,Miscellaneous,1-4,Anthropology,,
ANTH 196,Miscellaneous,1-4,Anthropology,,
ANTH 197,Miscellaneous,1-4,Anthropology,,
ANTH 198,Miscellaneous,1-4,Anthropology,,
ANTH 212,Doing Archaeology,0-4,Anthropology,,
ANTH 213,Culture Theory,4,Anthropology,,
ANTH 214,How to Study Culture,4,Anthropology,,
ANTH 215,Field School,1-8,Anthropology,,
ANTH 218,Science of Archaeology,0-4,Anthropology,,
ANTH 227,Archaeological Theory,4,Anthropology,,
ANTH 291,Special Topics,1-4,Anthropology,,
ANTH 292,Independent Study,1-4,Anthropology,,
ANTH 296,Miscellaneous,1-4,Anthropology,,
ANTH 300,Apprentice Teaching,1-4,Anthropology,,
ANTH 301,Violence of Science,4,Anthropology,,
ANTH 304,Socio-cultural Foundations of Environmental Policy,4,Anthropology,,
ANTH 311,African Culture on Film,4,Anthropology,,
ANTH 317,So You Want to Save the World: Anthropological Encounters with Humanitarianism and Development,4,Anthropology,,
ANTH 320,Global Capitalism,4,Anthropology,,
ANTH 325,Economic Anthropology,4,Anthropology,,
ANTH 331,Anthropology of Violence and Conflict,4,Anthropology,,
ANTH 335,"Religion, Witchcraft, and Shamanism",4,Anthropology,,
ANTH 339,Seminar In Anthropology,4,Anthropology,,
ANTH 353,Ethnobotany: People and Plants,4,Anthropology,,
ANTH 366,"Power, Preparedness, Precarity: Urban Resilience in an Age of Uncertainty",4,Anthropology,,
ANTH 377,Archaeology Of Death,4,Anthropology,,
ANTH 389,Honors Project,1-8,Anthropology,,
ANTH 391,Special Topics,1-4,Anthropology,,
ANTH 392,Independent Study,1-4,Anthropology,,
ANTH 393,Supervised Research,1-4,Anthropology,,
ANTH 395,Internship,1-4,Anthropology,,
ANTH 396,Miscellaneous,1-4,Anthropology,,
ANTH 397,Miscellaneous,1-4,Anthropology,,
ANTH 398,Miscellaneous,1-4,Anthropology,,
ANTH 399,Senior Thesis,1-4,Anthropology,,
ANTH 492,Independent Study,1-4,Anthropology,,
ANTH 497,Miscellaneous,1-4,Anthropology,,
ARAB 001,Elementary Arabic I,4,Arabic,,
ARAB 002,Elementary Arabic II,4,Arabic,,
ARAB 011,Intermediate Arabic I,4,Arabic,,
ARAB 012,Intermediate Arabic II,4,Arabic,,
ARAB 080,Independent Study,1-4,Arabic,,
ARAB 090,Big Questions Seminar,3-4,Arabic,,
ARAB 091,Special Topics,1-4,Arabic,,
ARAB 095,Miscellaneous,1-4,Arabic,,
ARAB 098,Miscellaneous,1-4,Arabic,,
ARAB 099,Language &amp; Culture Abroad I,1-8,Arabic,,
ARAB 180,Independent Study,1-4,Arabic,,
ARAB 191,Special Topics,1-4,Arabic,,
ARAB 197,Miscellaneous,1-4,Arabic,,
ARAB 198,Miscellaneous,1-4,Arabic,,
ARAB 199,Language &amp; Culture Abroad II,0-8,Arabic,,
ARAB 231,Third Year Arabic I,4,Arabic,,
ARAB 232,Third Year Arabic II,4,Arabic,,
ARAB 270,Internship,1-4,Arabic,,
ARAB 275,Supervised Research,1-4,Arabic,,
ARAB 280,Independent Study,1-4,Arabic,,
ARAB 291,Special Topics,1-4,Arabic,,
ARAB 297,Miscellaneous,1-4,Arabic,,
ARAB 298,Miscellaneous,1-4,Arabic,,
ARAB 299,Language &amp; Culture Abroad III,0-8,Arabic,,
ARAB 300,Apprentice Teaching,1-4,Arabic,,
ARAB 341,Fourth Year Arabic I,4,Arabic,,
ARAB 342,Fourth Year Arabic II,4,Arabic,,
ARAB 370,Internship,1-4,Arabic,,
ARAB 375,Supervised Research,1-4,Arabic,,
ARAB 380,Independent Study,1-4,Arabic,,
ARAB 391,Special Topics,1-4,Arabic,,
ARAB 399,Language &amp; Culture Abroad IV,0-8,Arabic,,
ARCH 002,History of Architecture,4,Architecture,,
ARCH 010,Engineering/Architectural Graphics and Design,0-3,Architecture,,
ARCH 034,Digital Drawing and 3D Modeling,4,Architecture,,
