courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 2301,Principles of Financial Accounting,"(3, 3)",Accounting,,"CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online,"
ACCT 2302,Principles Of Managerial Accounting,"(3, 3)",Accounting,,"CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online,"
ACNT 1303,Introduction to Accounting I,"(3, 3)",Accounting Technician,,"CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online,"
ACNT 1311,Intro to Computerized Accounting,"(3, 3)",Accounting Technician,,"CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online,"
ACNT 1313,Computerized Accounting Applications,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Online,"
ACNT 1329,Payroll and Business Tax Accounting,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Online,"
ACNT 1331,Federal Income Tax: Individual,"(3, 3)",Accounting Technician,,"CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online,"
ACNT 1340,Accounting and Business Ethics,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park,"
ACNT 1347,Federal Income Tax for Partnerships and Corporations,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Online,"
ACNT 1370,Taxation Procedures for Individuals,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park,"
ACNT 1371,Financial Accounting Reporting Standards I,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park,"
ACNT 1372,Financial Accounting Reporting Standards II,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park,"
ACNT 1373,"Taxation Procedures for Partnerships, C Corporations, and S Corporations","(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park,"
ACNT 1391,Special Topics in Fraud Investigation,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park,"
ACNT 1392,Robotic Process Automation Foundations,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Online,"
ACNT 1393,Special Topics in Taxation,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park,"
ACNT 2303,Intermediate Accounting I,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Online,"
ACNT 2304,Intermediate Accounting II,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Online,"
ACNT 2309,Cost Accounting,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park,"
ACNT 2330,Gov. and Not-For-Profit Accounting,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park,"
ACNT 2331,Internal Control and Auditing,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Online,"
ACNT 2332,Accounting Information Systems,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, Tomball, University Park,"
ACNT 2333,Advanced Accounting,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park,"
ACNT 2336,Financial Statement Analysis,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park,"
ACNT 2337,International Financial Reporting,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park,"
ACNT 2345,Technical Writing for Accountants,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park,"
ACNT 2370,Financial Statement Auditing Theory,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park,"
ACNT 2380,Cooperative Education,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park,"
ACNT 2381,Co-op Work Experience Seminar II,"(3, 3)",Accounting Technician,,"CyFair, Kingwood, Montgomery, North Harris, Tomball,"
AFSC 1271,Foundations of United States Air Force I,"(2, 2)",Rotc Air Force,,"North Harris,"
AFSC 1272,Foundations of US Air Force II,"(2, 2)",Rotc Air Force,,"North Harris,"
