courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 500,Fundamentals of Accounting3 Units,"(3, 3)",Accounting,Graduate,
ACCT 501,Intermediate Accounting I3 Units,"(3, 3)",Accounting,Graduate,
ACCT 526,Finance and Accounting Applications in Logistics and Distribution3 Units,"(3, 3)",Accounting,Graduate,
ACCT 611,Cost and Operations Management3 Units,"(3, 3)",Accounting,Graduate,
ACCT 615,Advanced Financial and Governmental Accounting3 Units,"(3, 3)",Accounting,Graduate,
ACCT 620,Management Control Systems3 Units,"(3, 3)",Accounting,Graduate,
ACCT 631,Federal Taxation3 Units,"(3, 3)",Accounting,Graduate,
ACCT 641,Financial Accounting and Professionalism3 Units,"(3, 3)",Accounting,Graduate,
ACCT 651,Auditing and Systems6 Units,"(6, 6)",Accounting,Graduate,
ACCT 655,Special Topics in Accounting3 Units,"(3, 3)",Accounting,Graduate,
ACCT 661,Enterprise Resource Planning Systems3 Units,"(3, 3)",Accounting,Graduate,
ACCT 680,Special Topics in Accounting1-6 Units,"(1, 6)",Accounting,Graduate,
ACCT 698,Research Seminar in Accounting1-3 Units,"(1, 3)",Accounting,Graduate,
ASNB 502,Fundamentals of Neuroscience3 Units,"(3, 3)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 514,Molecular Neuroscience -CUE3 Units,"(3, 3)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 517,Seminar on Developmental Neurobiology -CUE3 Units,"(3, 3)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 530,Origin of Mammalian Sensory Systems and Comparative Neurobiology -CUE3 Units,"(3, 3)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 566,Synaptic Organization of the Central Nervous System -CUE3 Units,"(3, 3)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 601,Gross Anatomy6.5 Units,"(7, 7)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 602,Fundamentals of Neuroscience4 Units,"(4, 4)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 605,Human Embryology3 Units,"(3, 3)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 606,Anatomy Seminar1 Unit,"(1, 1)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 608,Neural Systems4 Units,"(4, 4)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 609,Fundementals of Neuroscience Discussion1 Unit,"(1, 1)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 610,Neuroscience Methods1-2 Units,"(1, 2)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 614,Molecular Neuroscience4 Units,"(4, 4)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 616,Special Projects in Anatomy1-15 Units,"(1, 15)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 617,Seminar on Developmental Neurobiology3 Units,"(3, 3)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 618,Laboratory Rotation1-3 Units,"(1, 3)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 619,Original Investigations1-15 Units,"(1, 15)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 620,Thesis1-6 Units,"(1, 6)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 621,Introduction to Scientific Computing2 Units,"(2, 2)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 622,Analytics in Biomedical Science3 Units,"(3, 3)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 630,Origin of Mammalian Sensory Systems and Comparative Neurobiology4 Units,"(4, 4)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 666,Synaptic Organization of the Central Nervous System3 Units,"(3, 3)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 671,General and Oral Histology5 Units,"(5, 5)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 672,Integrated Biomedical Sciences II11 Units,"(11, 11)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 675,Advanced Head and Neck Anatomy2 Units,"(2, 2)",Anatomical Sciences & Neurobiology,Graduate,
ASNB 677,Current Topics in Sensory Systems Research1 Unit,"(1, 1)",Anatomical Sciences & Neurobiology,Graduate,
ANTH 507,"Space, Place and Culture3 Units","(3, 3)",Anthropology,Graduate,
ANTH 508,"History of Anthropology -WR,CUE3 Units","(3, 3)",Anthropology,Graduate,
ANTH 509,Archaeological Theory and Methods -WR3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 510,Methods in Biological Anthropology -WR3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 511,Ethnographic Methods -WR3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 512,Methods in Skeletal Forensics -WR3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 517,Anthropology of China3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 522,"Ecology, Politics and Culture3 Units","(3, 3)",Anthropology,Graduate,
ANTH 526,Archaeology as Practice3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 528,Animals and Humans3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 529,Zooarchaeology3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 530,Human Impacts on Past Environments3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 531,Anthropology of Water3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 534,Food and Farm Movements in the Americas3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 535,Nutritional Anthropology3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 536,"The American South: History, Culture, Political Economy3 Units","(3, 3)",Anthropology,Graduate,
ANTH 540,Health and Civilization3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 549,Modes of Consiousness3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 555,Black Death: The Pandemic that Changed Human History3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 562,Special Topics in Cultural Anthropology3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 563,Special Topics in Biological Anthropology1-3 Units,"(1, 3)",Anthropology,Graduate,
ANTH 564,Special Topics in Archaeology1-3 Units,"(1, 3)",Anthropology,Graduate,
ANTH 576,Quantitative Analysis in Anthropology3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 578,Lithic Technology3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 579,Ceramic Analysis3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 581,Geoarchaeology3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 582,Kentucky Archaeology3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 583,Who Owns the Past?3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 584,Anthropology of Death3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 607,Emergence of Human Culture3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 608,Social and Cultural Theory3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 609,Research Design: Archaeology3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 610,Research Design: Biological Anthropology3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 611,Research Design: Socio-Cultural Anthropology3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 612,Seminar: Contemporary Issues in Anthropology3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 622,Anthropology of Violence3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 624,Black Cultural Traditions3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 625,"Globalization, Transnationalism, and Anthropology3 Units","(3, 3)",Anthropology,Graduate,
ANTH 626,Food Justice3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 627,Political Economy and Culture3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 640,Linguistic Anthropology3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 650,Health and Disease: A Bio-Cultural Approach3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 651,Seminar in Biological Anthropology3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 653,Human Molecular Evolutionary Genetics3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 661,Special Topics in Anthropology3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 662,Special Topics in Cultural Anthropology3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 663,Special Topics in Biological Anthropology1-3 Units,"(1, 3)",Anthropology,Graduate,
ANTH 664,Special Topics in Archaeology3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 670,Independent Study (Reading)1-6 Units,"(1, 6)",Anthropology,Graduate,
ANTH 671,Independent Study (Research)1-6 Units,"(1, 6)",Anthropology,Graduate,
ANTH 672,Thesis1-6 Units,"(1, 6)",Anthropology,Graduate,
ANTH 673,Internship1-6 Units,"(1, 6)",Anthropology,Graduate,
ANTH 682,Kentucky Archaeology3 Units,"(3, 3)",Anthropology,Graduate,
ANTH 683,Who Owns the Past?3 Units,"(3, 3)",Anthropology,Graduate,
ART 501,Concepts in Painting3 Units,"(3, 3)",Art,Graduate,
ART 502,Advanced Concepts in Painting3 Units,"(3, 3)",Art,Graduate,
ART 503,Special Topics in Painting3 Units,"(3, 3)",Art,Graduate,
ART 504,Directed Study in Painting3 Units,"(3, 3)",Art,Graduate,
ART 505,Advanced Figure Drawing3 Units,"(3, 3)",Art,Graduate,
ART 506,Themes and Concepts in Drawing3 Units,"(3, 3)",Art,Graduate,
ART 507,Directed Study in Drawing3 Units,"(3, 3)",Art,Graduate,
ART 508,Art Education Methods and Research I3 Units,"(3, 3)",Art,Graduate,
ART 509,Anatomy & Life Drawing3 Units,"(3, 3)",Art,Graduate,
ART 510,Information Visualization3 Units,"(3, 3)",Art,Graduate,
ART 511,Advanced Glassmaking Techniques3 Units,"(3, 3)",Art,Graduate,
ART 512,Directed Study in Glass3 Units,"(3, 3)",Art,Graduate,
ART 516,Advanced Digital Illustration3 Units,"(3, 3)",Art,Graduate,
ART 518,Art Education Methods and Research II3 Units,"(3, 3)",Art,Graduate,
ART 520,Adventures in Design Methods and Processes3 Units,"(3, 3)",Art,Graduate,
ART 521,Practice of Sculpture3 Units,"(3, 3)",Art,Graduate,
ART 522,Sculpture Strategies3 Units,"(3, 3)",Art,Graduate,
ART 523,Directed Study in Sculpture3 Units,"(3, 3)",Art,Graduate,
ART 530,Environmental Graphic Design and Wayfinding3 Units,"(3, 3)",Art,Graduate,
ART 531,Advanced Ceramics: Wheelthrowing3 Units,"(3, 3)",Art,Graduate,
ART 532,Advanced Ceramics: Sculptural Forms3 Units,"(3, 3)",Art,Graduate,
ART 533,Clay Glazes and Firing3 Units,"(3, 3)",Art,Graduate,
ART 534,Directed Study in Ceramics3 Units,"(3, 3)",Art,Graduate,
ART 540,"Art, Design and Meaning3 Units","(3, 3)",Art,Graduate,
ART 541,Studio Practice in Printmaking3 Units,"(3, 3)",Art,Graduate,
ART 542,Digital Printmaking3 Units,"(3, 3)",Art,Graduate,
ART 543,Directed Study in Printmaking3 Units,"(3, 3)",Art,Graduate,
ART 550,Lettering and Font Design3 Units,"(3, 3)",Art,Graduate,
ART 551,Lighting3 Units,"(3, 3)",Art,Graduate,
ART 552,Digital Photography3 Units,"(3, 3)",Art,Graduate,
ART 554,Experimental Photography I3 Units,"(3, 3)",Art,Graduate,
ART 555,Directed Study in Photography3 Units,"(3, 3)",Art,Graduate,
ART 556,Experimental Photography II3 Units,"(3, 3)",Art,Graduate,
ART 557,Advanced Photography Seminar3 Units,"(3, 3)",Art,Graduate,
ART 558,Special Topics in Photography3 Units,"(3, 3)",Art,Graduate,
ART 559,Computer Applications for Interiors I3 Units,"(3, 3)",Art,Graduate,
ART 560,Sustainable Design3 Units,"(3, 3)",Art,Graduate,
ART 561,Interior Design Studio I3 Units,"(3, 3)",Art,Graduate,
ART 562,Interior Design Studio II3 Units,"(3, 3)",Art,Graduate,
ART 563,Interior Design Studio III3 Units,"(3, 3)",Art,Graduate,
ART 564,Interior Design Studio IV3 Units,"(3, 3)",Art,Graduate,
ART 565,Directed Projects in Interior Design3 Units,"(3, 3)",Art,Graduate,
ART 566,Interiors Construction3 Units,"(3, 3)",Art,Graduate,
