courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 2000,Survey of Accounting,"(3, 3)",Accounting,,
ACCT 2001,Introductory Financial Accounting,"(3, 3)",Accounting,,
ACCT 2002,Honors: Introductory Financial Accounting,"(3, 3)",Accounting,,
ACCT 2101,Introductory Managerial Accounting,"(3, 3)",Accounting,,
ACCT 2102,Honors: Introductory Managerial Accounting,"(3, 3)",Accounting,,
ACCT 3001,Intermediate Accounting–Part I,"(3, 3)",Accounting,,
ACCT 3002,Honors: Intermediate Accounting–Part I,"(3, 3)",Accounting,,
ACCT 3021,Intermediate Accounting–Part II,"(3, 3)",Accounting,,
ACCT 3025,Accounting Analytics,"(3, 3)",Accounting,,
ACCT 3121,Cost Analysis and Control,"(3, 3)",Accounting,,
ACCT 3122,Accounting Information Systems,"(3, 3)",Accounting,,
ACCT 3201,Fundamental Tax Problems and Tax Planning for Individuals,"(3, 3)",Accounting,,
ACCT 3221,Income Tax Accounting I,"(3, 3)",Accounting,,
ACCT 3222,Auditing,"(3, 3)",Accounting,,
ACCT 3233,Internal Auditing I,"(3, 3)",Accounting,,
ACCT 4021,Cases in Accounting Policy,"(3, 3)",Accounting,,
ACCT 4022,Advanced Accounting,"(3, 3)",Accounting,,
ACCT 4121,Advanced Cost Analysis,"(3, 3)",Accounting,,
ACCT 4221,Income Tax Accounting II,"(3, 3)",Accounting,,
ACCT 4225,Research in Federal Income Taxation,"(3, 3)",Accounting,,
ACCT 4231,Internship in Accounting,"(3, 3)",Accounting,,
ACCT 4233,Case Studies in Auditing,"(3, 3)",Accounting,,
ACCT 4234,Internal Auditing II,"(3, 3)",Accounting,,
ACCT 4235,Fraud Auditing and Forensic Accounting,"(3, 3)",Accounting,,
ACCT 4236,"Environmental, Social, and Governance","(3, 3)",Accounting,,
ACCT 4237,"Governance, Risk, and Controls","(3, 3)",Accounting,,
ACCT 4244,Audit Analytics,"(3, 3)",Accounting,,
ACCT 4333,Internship in Internal Auditing,"(3, 3)",Accounting,,
ACCT 4344,Tax Analytics,"(3, 3)",Accounting,,
ACCT 4421,Governmental and Not-for-Profit Accounting,"(3, 3)",Accounting,,
ACCT 4501,Petroleum Accounting,"(3, 3)",Accounting,,
ACCT 4800,Professional Exam Preparation,"(3, 3)",Accounting,,
ACCT 7011,Intermediate Accounting,"(3, 3)",Accounting,,
ACCT 7021,Advanced Theory of Accounts,"(3, 3)",Accounting,,
ACCT 7201,Tax Aspects of Business Entities,"(3, 3)",Accounting,,
ACCT 7210,"Tax Research, Planning and Business Decision Making","(3, 3)",Accounting,,
ACCT 7222,Auditing Theory and Standards,"(3, 3)",Accounting,,
