courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 201,Introductory Accounting I,"(3, 3)",Accounting,,
ACCT 201H,Introductory Accounting I - Honors,"(3, 3)",Accounting,,
ACCT 202,Introductory Accounting II,"(3, 3)",Accounting,,
ACCT 202H,Introductory Accounting II - Honors,"(3, 3)",Accounting,,
ACCT 303,Intermediate Accounting I,"(3, 3)",Accounting,,
ACCT 304,Intermediate Accounting II,"(3, 3)",Accounting,,
ACCT 306,Advanced Financial Accounting,"(3, 3)",Accounting,,
ACCT 307,Adv Accounting: Not-For-Profit Entities & Adv Financial Accounting Topics,"(3, 3)",Accounting,,
ACCT 308,Accounting Information Systems and Sustainability Reporting,"(3, 3)",Accounting,,
ACCT 311,Auditing & Internal Control Systems,"(3, 3)",Accounting,,
ACCT 317,Managerial Accounting,"(3, 3)",Accounting,,
ACCT 323,Advanced CPA Topics,"(3, 3)",Accounting,,
ACCT 326,Fraud Investigation,"(3, 3)",Accounting,,
ACCT 328,Concepts in Taxation,"(3, 3)",Accounting,,
ACCT 331,Introduction to the Business of Applied Artificial Intelligence,"(3, 3)",Accounting,,
ACCT 341,Advanced Studies in Taxation,"(3, 3)",Accounting,,
ACCT 350,Accounting Full Time Winter Internship,"(6, 6)",Accounting,,
ACCT 395,Independent Study in Accounting,"(1, 3)",Accounting,,
ACCT 399,Special Topics in Accounting,"(1, 3)",Accounting,,
ACCT 400,Financial Accounting for Business Decisions,"(3, 3)",Accounting,,
ACCT 400B,Financial Accounting for Business Decisions,"(3, 3)",Accounting,,
ACCT 400E,Financial Statement Analysis and Decision Making,"(3, 3)",Accounting,,
ACCT 402,Issues in Financial Reporting,"(3, 3)",Accounting,,
ACCT 404,Financial State Analysis,"(3, 3)",Accounting,,
ACCT 405,Accounting Theory I,"(3, 3)",Accounting,,
ACCT 406,Accounting Theory II,"(3, 3)",Accounting,,
ACCT 407,Tax Principles Applied to Individuals,"(3, 3)",Accounting,,
ACCT 408,Tax Principles Applied to Entities,"(3, 3)",Accounting,,
ACCT 409,Audit I -Audit and Assurance,"(3, 3)",Accounting,,
ACCT 410,Audit II-Advanced Audit and Professional Ethics,"(3, 3)",Accounting,,
ACCT 411,Business Law and Accountants,"(3, 3)",Accounting,,
ACCT 412,Special Topics in Accounting,"(3, 3)",Accounting,,
ACCT 424,Managerial Accounting,"(3, 3)",Accounting,,
ACCT 424E,Strategic Cost Accounting,"(3, 3)",Accounting,,
ACCT 425,International Accounting,"(3, 3)",Accounting,,
ACCT 431,Tax Research,"(3, 3)",Accounting,,
ACCT 432,"State, Local and International Tax","(3, 3)",Accounting,,
ACCT 433,International Tax,"(3, 3)",Accounting,,
ACCT 435,Internal Audit,"(3, 3)",Accounting,,
ACCT 436,Forensic Accounting and Fraud,"(3, 3)",Accounting,,
ACCT 437,Advanced Forensic Accounting,"(3, 3)",Accounting,,
ACCT 439,Independent Study,"(1, 3)",Accounting,,
AFR 102,Introduction to Black World Studies,"(3, 3)",African Studies And The African Diaspora,,
AFR 295,Directed Readings in Black World Studies,"(3, 3)",African Studies And The African Diaspora,,
AFR 397,Capstone/Internship,"(3, 3)",African Studies And The African Diaspora,,
ASL 101,American Sign Language I,"(3, 3)",American Sign Language,,
ASL 102,American Sign Language II,"(3, 3)",American Sign Language,,
ASL 103,American Sign Language III,"(3, 3)",American Sign Language,,
ASL 104,American Sign Language IV,"(3, 3)",American Sign Language,,
ANTH 100,Globalization and Local Cultures,"(3, 3)",Anthropology,,
ANTH 101,Human Origins,"(3, 3)",Anthropology,,
