courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 3,Essentials of Accounting,"(3, 3)",,,
ACCT 4A,Financial Accounting Principles and Systems,"(3, 3)",,,
ACCT 4B,Managerial Accounting Principles and Systems,"(3, 3)",,,
ACCT 120A,Intermediate Accounting I,"(4, 4)",,,
ACCT 120B,Intermediate Accounting II,"(4, 4)",,,
ACCT 132,Cost Accounting,"(4, 4)",,,
ACCT 144,Tax Accounting and Planning,"(4, 4)",,,
ACCT 145,Federal Income Taxation of Entities and the Federal Uniform Estate and Gift Tax,"(4, 4)",,,
ACCT 146S,Accounting Information Systems and Controls SL,"(4, 4)",,,
ACCT 148,Accounting for Governmental and Nonprofit Organizations,"(4, 4)",,,
ACCT 162,Auditing,"(4, 4)",,,
ACCT 165,International Accounting,"(4, 4)",,,
ACCT 167,Advanced Accounting Problems,"(4, 4)",,,
ACCT 169,Forensic Accounting,"(4, 4)",,,
ACCT 170A,CPA Exam Study I: Business Environment and Concepts (BEC) & Financial Accounting and Reporting (FAR),"(3, 3)",,,
ACCT 170B,CPA Exam Study II: Auditing (AUD) & Regulation (REG),"(3, 3)",,,
ACCT 187,Accounting Ethics and Professional Responsibilities,"(3, 3)",,,
ACCT 189T,Topics in Accounting and Auditing,"(3, 3)",,,
ACCT 190,Independent Study,"(1, 3)",,,
ACCT 195I,Internship,"(3, 3)",,,
AFRS 1,Ethnic Experience,"(3, 3)",,,
AFRS 10,"Introduction to Africana Studies: Beginnings, Political Struggle, and Academic Warfare","(3, 3)",,,
AFRS 15,Slavery and the American Experience,"(3, 3)",,,
AFRS 20,Critical Thinking About Race,"(3, 3)",,,
AFRS 21,Gospel Choir,"(1, 1)",,,
AFRS 24,African American Music,"(3, 3)",,,
AFRS 27,Black Popular Culture,"(3, 3)",,,
AFRS 35,Art and Music of Africa,"(3, 3)",,,
AFRS 36,Contemporary African Societies,"(3, 3)",,,
AFRS 38,Sociology of the Black Experience,"(3, 3)",,,
