courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAA 200,AAA 200 - Understanding Africa,"(None, None)",,,
AAA 201,AAA 201 - Introduction to African American Studies,"(None, None)",,,
AAA 231,AAA 231 - Early African American Literature,"(None, None)",,,
AAA 232,AAA 232 - Modern African American Literature,"(None, None)",,,
AAA 300,AAA 300 - U.S. - Africa Relations,"(None, None)",,,
AAA 302,AAA 302 - African Diaspora,"(None, None)",,,
AAA 319,AAA 319 - African Politics,"(None, None)",,,
AAA 333,AAA 333 - Study Abroad - African/African American Studies,"(None, None)",,,
AAA 337,AAA 337 - Contemporary Black Literature,"(None, None)",,,
AAA 340,AAA 340 - African American Culture and Social Thought,"(None, None)",,,
AAA 343,AAA 343 - Black Feminist Thought,"(None, None)",,,
AAA 352,AAA 352 - Black Women's Culture and Communities,"(None, None)",,,
AAA 357,AAA 357 - The Black Athlete in History,"(None, None)",,,
AAA 380,AAA 380 - Special Topics in African/African American Studies,"(None, None)",,,
AAA 399,AAA 399 - Independent Readings,"(None, None)",,,
AAA 490,AAA 490 - Practicum: Career-Service in Community Building,"(None, None)",,,
AAA 499,AAA 499 - Independent Study and Research,"(None, None)",,,
ACC 201,ACC 201 - Accounting for Non-Business Majors 1,"(None, None)",,,
ACC 202,ACC 202 - Accounting for Non-Business Majors 2,"(None, None)",,,
ACC 212,ACC 212 - Principles of Financial Accounting,"(None, None)",,,
ACC 213,ACC 213 - Principles of Managerial Accounting,"(None, None)",,,
ACC 240,ACC 240 - Financial Accounting Applications,"(None, None)",,,
ACC 280,ACC 280 - Special Topics in Accounting,"(None, None)",,,
ACC 310,ACC 310 - Intermediate Accounting I,"(None, None)",,,
ACC 311,ACC 311 - Intermediate Accounting II,"(None, None)",,,
ACC 317,ACC 317 - Individual Income Taxation,"(None, None)",,,
ACC 318,ACC 318 - Entity Taxation,"(None, None)",,,
ACC 321,ACC 321 - Cost Strategy and Decision Making,"(None, None)",,,
ACC 330,ACC 330 - International Accounting,"(None, None)",,,
ACC 333,ACC 333 - Corporate Governance and Accounting Ethics,"(None, None)",,,
ACC 340,ACC 340 - Accounting Systems,"(None, None)",,,
ACC 380,ACC 380 - Special Topics in Accounting,"(None, None)",,,
ACC 408,ACC 408 - Governmental and Not-for-Profit Accounting,"(None, None)",,,
ACC 413,ACC 413 - Internal Auditing,"(None, None)",,,
ACC 414,ACC 414 - External Auditing,"(None, None)",,,
ACC 416,ACC 416 - Information Systems Auditing,"(None, None)",,,
ACC 480,ACC 480 - Special Topics in Accounting,"(None, None)",,,
ACC 490,ACC 490 - Accounting Internship,"(None, None)",,,
ACC 499,ACC 499 - Independent Research,"(None, None)",,,
ACC 508,ACC 508 - Governmental and Not-for-Profit Accounting,"(None, None)",,,
ACC 511,ACC 511 - Financial and Managerial Accounting Concepts,"(None, None)",,,
ACC 513,ACC 513 - Internal Auditing,"(None, None)",,,
ACC 514,ACC 514 - External Auditing,"(None, None)",,,
ACC 516,ACC 516 - Information Systems Auditing,"(None, None)",,,
ACC 580,ACC 580 - Special Topics in Accounting,"(None, None)",,,
ACC 603,ACC 603 - Accounting and Auditing Research,"(None, None)",,,
ACC 607,ACC 607 - Ethics for Accountants,"(None, None)",,,
ACC 608,ACC 608 - Forensic Accounting,"(None, None)",,,
ACC 611,ACC 611 - Contemporary Managerial Accounting,"(None, None)",,,
ACC 612,ACC 612 - The Accountant's Legal Environment,"(None, None)",,,
ACC 613,ACC 613 - Financial Statement Analysis,"(None, None)",,,
ACC 615,ACC 615 - Entity Taxation-Theory and Practice,"(None, None)",,,
ACC 616,ACC 616 - Structured Accounting Analytics and Emerging Technologies,"(None, None)",,,
ACC 617,ACC 617 - International Accounting,"(None, None)",,,
ACC 618,ACC 618 - Advanced Accounting,"(None, None)",,,
ACC 620,ACC 620 - Accounting Theory,"(None, None)",,,
ACC 622,ACC 622 - Tax Research and Writing,"(None, None)",,,
ACC 623,"ACC 623 - Sales, Exchanges, and Other Property Dispositions","(None, None)",,,
ACC 624,ACC 624 - Corporate Tax I,"(None, None)",,,
ACC 625,ACC 625 - Corporate Tax II,"(None, None)",,,
ACC 627,"ACC 627 - Estate, Gift, and Trust I","(None, None)",,,
ACC 628,ACC 628 - Fiduciary Income Tax,"(None, None)",,,
ACC 629,ACC 629 - Partnership Taxation,"(None, None)",,,
ACC 630,ACC 630 - Multistate Taxation,"(None, None)",,,
ACC 631,ACC 631 - Employee Benefit Plans and Deferred Compensation,"(None, None)",,,
ACC 632,ACC 632 - Tax Accounting,"(None, None)",,,
ACC 633,ACC 633 - International Tax Practice,"(None, None)",,,
ACC 636,"ACC 636 - Taxation Problems, Planning, and Current Issues","(None, None)",,,
ACC 639,ACC 639 - Federal Tax Practice and Procedure,"(None, None)",,,
ACC 640,ACC 640 - S Corp and Limited Liability Co Taxation,"(None, None)",,,
