courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ARP 100,Academic Recovery Seminar,,ARP,,
ACC 201,Principles of Financial Accounting,,ACC,,
ACC 202,Principles of Managerial Accounting,,ACC,,
ACC 290,Introduction to Topics in Accounting,,ACC,,
ACC 301,Intermediate Accounting I,,ACC,,
ACC 302,Intermediate Accounting II,,ACC,,
ACC 305,Cost Accounting,,ACC,,
ACC 309,Accounting for Governmental and Not-For-Profit Entities,,ACC,,
ACC 310,Auditing,,ACC,,
ACC 312,Federal Income Taxation,,ACC,,
ACC 314,Small Business Accounting,,ACC,,
ACC 315,Accounting Information System,,ACC,,
ACC 396,Field Experience/Internship in Accounting,,ACC,,
ACC 490,Special Topics in Accounting,,ACC,,
ASL 101,Elementary American Sign Language I,,ASL,,
ASL 102,Elementary American Sign Language II,,ASL,,
AVS 145,Introduction to Animal Science,,AVS,,
AVS 146,Introduction to Animal Science Laboratory,,AVS,,
AVS 196,Introduction to Equine Cooperative,,AVS,,
AVS 203,Equine Science,,AVS,,
AVS 211,Introduction to Aquaculture,,AVS,,
AVS 249,Laboratory and Companion Animal Science,,AVS,,
AVS 254,Introduction to Animal Microbiomes,,AVS,,
AVS 270,Winter Dairy Travel Course,,AVS,,
AVS 303,Equine Husbandry,,AVS,,
AVS 346,Dairy Cattle Management,,AVS,,
AVS 347,Dairy Cattle Technology Laboratory,,AVS,,
AVS 353,Equine Reproduction and Breeding Management,,AVS,,
AVS 368,Independent Study in the Animal Sciences,,AVS,,
AVS 393,Training the Standardbred Horse,,AVS,,
AVS 396,Internship Experience in Animal and Veterinary Sciences,,AVS,,
AVS 401,Capstone in Animal Science I,,AVS,,
AVS 402,Capstone in Animal Science II,,AVS,,
AVS 405,Livestock and Companion Animal Behavior,,AVS,,
AVS 411,Advanced Aquaculture,,AVS,,
AVS 430,Animal Genetics and Selection,,AVS,,
AVS 437,Animal Diseases,,AVS,,
AVS 446,Forage Science and Range Management,,AVS,,
AVS 454,DNA Sequencing Analysis Lab,,AVS,,
AVS 455,Animal Nutrition,,AVS,,
AVS 466,Livestock Feeds and Feeding,,AVS,,
AVS 477,Zoonoses and Animal Health,,AVS,,
AVS 480,Physiology of Reproduction,,AVS,,
ANT 101,Introduction to Anthropology: Human Origins and Prehistory,,ANT,,
ANT 102,Introduction to Anthropology: Diversity of Cultures,,ANT,,
ANT 120,Religions of the World,,ANT,,
ANT 207,Contemporary Archaeology,,ANT,,
ANT 210,Biological Anthropology,,ANT,,
ANT 212,The Anthropology of Food,,ANT,,
ANT 221,Introduction to Folklore,,ANT,,
ANT 225,"Climate Change, Societies and Cultures",,ANT,,
ANT 235,Cultural Perceptions of Nature,,ANT,,
ANT 239,Archaeology and Pseudoscience,,ANT,,
ANT 240,Hollywood Archaeology,,ANT,,
ANT 245,Sex and Gender in Cross-Cultural Perspective,,ANT,,
ANT 247,Animals across Cultures,,ANT,,
ANT 249,Religion and Violence,,ANT,,
ANT 250,Conservation Anthropology: The Socio-Cultural Dimension of Environmental Issues,,ANT,,
ANT 260,Forensic Anthropology,,ANT,,
ANT 270,Environmental Justice Movements in the United States,,ANT,,
ANT 285,Introduction to Historic Preservation,,ANT,,
ANT 290,Special Topics in Anthropology,,ANT,,
ANT 295,American Indians and Climate Change,,ANT,,
ANT 310,"Migrant, Citizen, Refugee: The Anthropology of Migration",,ANT,,
ANT 311,Geography of Climate Change,,ANT,,
ANT 317,Fundamentals of Archaeology,,ANT,,
ANT 330,The U.S. Folk Experience,,ANT,,
ANT 350,Mediterranean Ancient Landscapes Modern World,,ANT,,
ANT 372,North American Prehistory,,ANT,,
ANT 380,Arctic Anthropology: Life in the Arctic amid Global Transformations,,ANT,,
ANT 390,Topics: Travel Study in Anthropology/Geography,,ANT,,
ANT 400,Basic Theory in Cultural Anthropology,,ANT,,
ANT 410,Human Dimensions of Climate Change,,ANT,,
ANT 411,"Culture, Illness and Healing",,ANT,,
ANT 426,Native American Folklore,,ANT,,
ANT 428,Museum Anthropology,,ANT,,
ANT 430,Who Owns Native Cultures?,,ANT,,
ANT 431,"Folklore, the Environment and Public Policy",,ANT,,
ANT 448,Ethnography Through Film,,ANT,,
ANT 451,Native American Cultures and Identities,,ANT,,
ANT 464,Ecological Anthropology,,ANT,,
ANT 466,Economic Anthropology,,ANT,,
ANT 476,Archaeology and Heritage in the Maya World,,ANT,,
ANT 477,Field Research in Archaeology,,ANT,,
ANT 478,Zooarchaeology,,ANT,,
ANT 479,Laboratory Techniques in Prehistoric Archaeology,,ANT,,
ANT 490,Topics in Anthropology,,ANT,,
ANT 493,Anthropology Senior Seminar & Capstone Research Project,,ANT,,
ANT 494,Method and Theory in Archaeology,,ANT,,
ANT 497,Department Projects,,ANT,,
ART 100,Drawing I,,ART,,
ART 104,Successful Strategies for Visual Arts Majors,,ART,,
ART 106,Art Fundamentals,,ART,,
ART 110,2-D Design,,ART,,
ART 119,Photography,,ART,,
ART 120,3-D Design,,ART,,
ART 180,Photography I,,ART,,
ART 182,Photography and Digital Imaging,,ART,,
ART 200,Drawing II,,ART,,
ART 210,Introduction to Drawing and Illustration I,,ART,,
ART 211,Painting Fundamentals,,ART,,
ART 212,Illustration,,ART,,
ART 213,Introduction to Graphic Design,,ART,,
ART 216,Book Arts I,,ART,,
ART 217,Printmaking and Papermaking I,,ART,,
ART 218,Introduction to Printmaking,,ART,,
ART 220,Sculpture I,,ART,,
ART 222,Socially-Engaged Art,,ART,,
ART 224,Intro to Ceramics Handbuilding,,ART,,
ART 230,Painting I,,ART,,
ART 235,Museum and Gallery Management I,,ART,,
ART 240,Printmaking I,,ART,,
ART 250,Graphic Design I,,ART,,
ART 255,Studies in the Graphic Novel,,ART,,
ART 270,Digital Art I,,ART,,
ART 298,Special Topics in Art,,ART,,
ART 310,Drawing & Illustration II,,ART,,
ART 311,Studio Painting,,ART,,
ART 313,Photography II,,ART,,
ART 316,Book Arts II,,ART,,
ART 317,Printmaking and Papermaking II,,ART,,
ART 318,Advanced Printmaking,,ART,,
ART 320,Sculpture II,,ART,,
ART 321,Life Drawing,,ART,,
ART 322,Book Design and Publishing,,ART,,
ART 324,Ceramics Handbuilding II,,ART,,
ART 330,Painting II,,ART,,
ART 335,Museum and Gallery Management II,,ART,,
ART 340,Printmaking II,,ART,,
ART 350,Graphic Design II,,ART,,
ART 351,Drawing III,,ART,,
ART 360,Topics in Studio Art,,ART,,
ART 370,Digital Art II,,ART,,
ART 397,Independent Study in Studio Art,,ART,,
ART 398,Directed Study in Studio Art,,ART,,
ART 403,Advance Graphic Novel Workshop,,ART,,
