courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAA 105,Peak Performance In Activated Learning,1,Counseling (PCC01),Credit (PCC01),
AAA 115,Creating College Success,1,Counseling and Personal Development (RSC06),Credit (RSC06),
AAA 150,Strategies for College Success,3,Counseling (PCC01),Credit (PCC01),
AAA ELC,Advancing Academic Achievement Elective,0.25-99.99,Counseling (GCC02),Credit (GCC02),
ABA 101,Hand and Power Tools,1,Applied Technology (RSC06),Credit (RSC06),
ABA 102,Electrical Fundamentals,1,MCC All Divisions (MCC04),Credit (MCC04),
ABA 103,Hand Bending of Electrical Conduit,0.5,Apprenticship Programs (GWC03),Credit (GWC03),
ABA 104,"Raceways, Boxes, Fittings, Anchors/Supports",1.5,Applied Technology (RSC06),Credit (RSC06),
ABA 106,Introduction to Materials Handling,0.5,SCC All Divisions (SCC05),Credit (SCC05),
ABA 112,Electrical I,6,Applied Technology (RSC06),Credit (RSC06),
ABA 114,Electrical II,6,SMC All Divisions (SMC07),Credit (SMC07),
ABA 120,Carpentry Fundamentals,1,PCC All Divisions (PCC01),Credit (PCC01),
ABA 121,Floor And Wall Systems,2,Applied Technology (RSC06),Credit (RSC06),
ABA 122,Electrical III,6,SCC All Divisions (SCC05),Credit (SCC05),
ABA 124,Electrical IV,6,SCC All Divisions (SCC05),Credit (SCC05),
ABA 130,Installation of Electric Services,1,PCC All Divisions (PCC01),Credit (PCC01),
ABA 135,Cast-In-Place Stairs,1,MCC All Divisions (MCC04),Credit (MCC04),
ABA 136,Communications in Construction,1,CGC All Divisions (CGC08),Credit (CGC08),
ABA 150,Advanced Calculations for Electricians,1.5,GCC All Divisions (GCC02),Credit (GCC02),
ABA 179,Installing And Sizing Water Supply Piping,3,CGC All Divisions (CGC08),Credit (CGC08),
ABA 192,Plumbing Level I,3,CGC All Divisions (CGC08),Credit (CGC08),
ABA 204,Contactors and Relays,1,GCC All Divisions (GCC02),Credit (GCC02),
ABA 207,Construction Trades: Green Environment,1,GCC All Divisions (GCC02),Credit (GCC02),
ABA 222,"Introduction to Welding, Brazing and Cutting",2,CGC All Divisions (CGC08),Credit (CGC08),
ABA 232,Electrical V,6,GCC All Divisions (GCC02),Credit (GCC02),
ABA 234,Electrical VI,6,EMC All Divisions (EMC10),Credit (EMC10),
ABA 242,Electrical VII,6,Applied Technology (RSC06),Credit (RSC06),
ABA 244,Electrical VIII,6,PCC All Divisions (PCC01),Credit (PCC01),
ABA 251,High Voltage Termination and Splicing,1,SMC All Divisions (SMC07),Credit (SMC07),
ABA 255,"Commercial, Industrial and Specialty Lighting",0.5,GCC All Divisions (GCC02),Credit (GCC02),
ABA ELC,Arizona Builders Alliance Elective,0.25-99.99,PVC All Divisions (PVC09),Credit (PVC09),
ABC 118,OSHA Standards and Regulations,1.5,PVC All Divisions (PVC09),Credit (PVC09),
ABC 119,Basic Safety,1,PCC All Divisions (PCC01),Credit (PCC01),
ABC 120,Basic Calculations for Construction,1.5,PCC All Divisions (PCC01),Credit (PCC01),
ABC 121,Introduction to Hand and Power Tools,1,PCC All Divisions (PCC01),Credit (PCC01),
ABC 122,Rigging Safety and Equipment,1,PCC All Divisions (PCC01),Credit (PCC01),
ABC 123,Introduction to Construction Drawings,0.5,GCC All Divisions (GCC02),Credit (GCC02),
ABC 124,Conduit Bending,1,Apprenticship Programs (GWC03),Credit (GWC03),
ABC 126,Electrical Test Equipment,1,PCC All Divisions (PCC01),Credit (PCC01),
ABC 130,Conductor Installation/Termination,1,PCC All Divisions (PCC01),Credit (PCC01),
ABC 131,Cable Tray Installation,0.5,PCC All Divisions (PCC01),Credit (PCC01),
ABC 132,Circuit Breakers and Fuses,1,PCC All Divisions (PCC01),Credit (PCC01),
ABC 133,Basic Lighting,1,PCC All Divisions (PCC01),Credit (PCC01),
ABC 135,Fundamentals of Concrete,1,EMC All Divisions (EMC10),Credit (EMC10),
ABC 136,Roof Systems,1,PCC All Divisions (PCC01),Credit (PCC01),
ABC 142,Alternating Current,1,SCC All Divisions (SCC05),Credit (SCC05),
ABC 143,Motors: Theory And Application,2,EMC All Divisions (EMC10),Credit (EMC10),
ABC 144,Grounding,1,GCC All Divisions (GCC02),Credit (GCC02),
ABC 221,Motors and Motor Controls,3,EMC All Divisions (EMC10),Credit (EMC10),
ABC 222,Hazardous Locations-Electrical,1,EMC All Divisions (EMC10),Credit (EMC10),
ABC 226,"Raceways, Wiring Devices, Boxes And Fittings",1.5,Applied Technology (RSC06),Credit (RSC06),
ABC 230,Stair Construction,1,SCC All Divisions (SCC05),Credit (SCC05),
ABC 231,Exterior Wall Finishes,3,PCC All Divisions (PCC01),Credit (PCC01),
