courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACG 1403,Excel for Business,1-3,ACG,,
ACG 2001,Principles of Accounting 1,3,ACG,,
ACG 2001L,Principles of Accounting 1 Lab,1,ACG,,
ACG 2011,Principles of Accounting 2,3,ACG,,
ACG 2011L,Principles of Accounting 2 Lab,1,ACG,,
ACG 2021,Financial Accounting,3,ACG,,
ACG 2021L,Financial Accounting Lab,1,ACG,,
ACG 2031,Accounting Theory,3,ACG,,
ACG 2071,Managerial Accounting,3,ACG,,
ACG 2071L,Managerial Accounting Lab,1,ACG,,
ACG 2450,Microcomputers in Accounting,3,ACG,,
ACG 2500,FIN MGT NON-PRFT ORG,3,ACG,,
ACG 2630,Auditing,3,ACG,,
ACG 3103,Intermediate Accounting I,3,ACG,,
ACG 3113,Intermediate Financial Accounting II,3,ACG,,
ACG 3343,Cost Accounting and Controls,3,ACG,,
ACG 4401,Accounting Information Systems,3,ACG,,
ACG 4632,Auditing,3,ACG,,
AER 0605,Tesla Electronic System Technician,13.330,AER,,
AER 0606,Tesla Maintenance Technician,13.330,AER,,
AFR 1101,The Foundation of the United States Air Force - Part 1,1,AFR,,
AFR 1111,Introduction to the United States Air Force - Part 3 Sem Basic Air Force ROTC,1,AFR,,
AFR 2130,The Foundation of the United States Air Force - Part 2,1,AFR,,
AFR 2131,Introduction to the United States Air Force - Part 2,1,AFR,,
AMH 2010,History of the US to 1877,3,AMH,,
AMH 2020,History of the US since 1877,3,AMH,,
AMH 2035,Recent American History Since 1945,3,AMH,,
AMH 2079,History of South Florida,3,AMH,,
AMH 2090,History of Women in the United States,3,AMH,,
AMH 2091,Afro-American History,3,AMH,,
AML 2010,American Literature 1,3,AML,,
AML 2020,American Literature 2,3,AML,,
AML 2600,African American Literature,3,AML,,
AMT 0044,"Tools, Materials, and Processes 1",1.330,AMT,,
AMT 0045,"Tools, Materials, and Process 2",1.330,AMT,,
AMT 0046,"Aircraft Materials, Hardware & Processes",2.260,AMT,,
AMT 0047,Applying the Design Process,1.760,AMT,,
AMT 0219,Aircraft Hydraulics & Aviation Mathematics,0.630,AMT,,
AMT 0269,Aircraft Electrical Systems & Quality Control,2.130,AMT,,
AMT 0509,Composites and Capstone Project,0.400,AMT,,
AMT 0949,On the Job Training (OJT),22.220,AMT,,
ANT 2000,Introduction to Anthropology,3,ANT,,
ANT 2410,Introduction to Cultural Anthropology,3,ANT,,
ANT 2511,Introduction to Physical Anthropology,3,ANT,,
ARC 1115,Architectural Communications 1,2,ARC,,
ARC 1126C,Architectural Drawing 1,4,ARC,,
ARC 1128,Architecture Drawing 2,4,ARC,,
ARC 1301,Architectural Design 1,4,ARC,,
ARC 1302,Architectural Design 2,4,ARC,,
ARC 1949,Co-op Work Experience 1: ARC,3,ARC,,
ARC 2053,Architectural Computer Applications,4,ARC,,
ARC 2056,Computer Aided Architectural Presentation,4,ARC,,
ARC 2171C,Computer Aided Drafting 1,4,ARC,,
ARC 2172,Computer Aided Drafting 2,4,ARC,,
ARC 2180C,Introduction to 3D Building Modeling,4,ARC,,
ARC 2201,Theory of Architecture,3,ARC,,
ARC 2303,Architectural Design 3,5,ARC,,
ARC 2304,Architectural Design 4,5,ARC,,
ARC 2312C,Introduction to Building Assembly Modeling,4,ARC,,
ARC 2461,Architectural Materials and Construction 1,4,ARC,,
ARC 2580,Architectural Structures 1,4,ARC,,
ARC 2681,Environmental Technology,3,ARC,,
ARC 2701,History of Architecture 1,3,ARC,,
ARC 2702,History of Architecture 2,3,ARC,,
ARC 2949,Co-Op Work Experience 2: ARC,3,ARC,,
ARH 1000,Art Appreciation,3,ARH,,
ARH 2050,Art History 1,3,ARH,,
ARH 2051,Art History 2,3,ARH,,
ARH 2740,Cinema Appreciation,3,ARH,,
ARH 2833,Museum and Gallery Exhibition Design,3,ARH,,
ARH 2857,Introduction to Museum Studies,3,ARH,,
ARH 2990,Museum and Gallery Co-Op Work Experience,3,ARH,,
ART 1201C,Basic Design,3-4,ART,,
ART 1202C,Two-Dimensional Design,3-4,ART,,
ART 1203C,Three-Dimensional Design,4,ART,,
ART 1205C,Color and Composition 1,3-4,ART,,
ART 1300C,Drawing,4,ART,,
ART 1330C,Figure Drawing,4,ART,,
ART 1803C,Workshop for ART Research and Practice: Studio,6,ART,,
ART 2301C,Drawing 2,3-4,ART,,
ART 2302C,Advanced Drawing,3-4,ART,,
ART 2400C,Printmaking 1,3-4,ART,,
ART 2401C,Printmaking 2,3-4,ART,,
ART 2406C,Advanced Printmaking,3-4,ART,,
ART 2500C,Painting 1,3-4,ART,,
ART 2501C,Painting 2,3-4,ART,,
ART 2502C,Advanced Painting,3-4,ART,,
ART 2600C,Computer Art,3-4,ART,,
ART 2601C,Intermediate Computer Art,3-4,ART,,
ART 2602C,Advanced Computer Art,4,ART,,
ART 2701C,Sculpture 1,3-4,ART,,
ART 2702C,Sculpture 2,3-4,ART,,
ART 2703C,Advanced Sculpture,3-4,ART,,
ART 2750C,Ceramics 1,3-4,ART,,
ART 2751C,Ceramics 2,3-4,ART,,
ART 2771C,Advanced Ceramics,3-4,ART,,
ART 2802C,Visual Arts Workshop,1-4,ART,,
ART 2950,Portfolio Preparation - ART,3,ART,,
ASC 1210,Aviation Meteorology,3,ASC,,
ASC 1550,Aerodynamics,3,ASC,,
ASC 1560,Introduction to Unmanned Aerial Vehicles and Systems (UAVs),3,ASC,,
ASC 1563,UAS Applications in Aerial Photography,3,ASC,,
ASC 1610,Aircraft Engines and Structure Theory,3,ASC,,
ASC 2320,Aviation Laws and Regulations,3,ASC,,
ASC 2470,Physiology-Psychology of Flight,3,ASC,,
ASC 2670,Aircraft Systems,3,ASC,,
ASL 1140C,American Sign Language 1,4,ASL,,
ASL 1150C,American Sign Language 2,4,ASL,,
