courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
CANV 2000,F-1 Student Orientation**,,CANV,,
ACAD 1100,Academic Strategies,,ACAD,,
ACAD 1102,Intro To University II,,ACAD,,
ACAD 2200,Academic Success Seminar**,,ACAD,,
ACCT 2010,Financial Accounting,,ACCT,,
ACCT 2020,Managerial ACCT/Non-Acct Major,,ACCT,,
ACCT 3011,Business Law **,,ACCT,,
ACCT 3100,Foundations of Accounting**,,ACCT,,
ACCT 3110,Intermediate Accounting I **,,ACCT,,
ACCT 3120,Intermediate Accounting II **,,ACCT,,
ACCT 3130,Legal/Social/Political Environ **,,ACCT,,
ACCT 3310,Intermediate Managerial Accounting **,,ACCT,,
ACCT 3320,Accounting Data Analytics I,,ACCT,,
ACCT 4020,Accounting Information Systems **,,ACCT,,
ACCT 4025,Forensic Accounting Analytics**,,ACCT,,
ACCT 4030,Systems Assurance/Advisory I,,ACCT,,
ACCT 4211,Adv Financial & Gov Reporting,,ACCT,,
ACCT 4240,Audit/Assurance Services **,,ACCT,,
ACCT 4521,Individual Tax Compliance/Plan **,,ACCT,,
ACCT 4531,Personal Tax Advisory,,ACCT,,
ACCT 4540,Govt/Health/Non-Profit,,ACCT,,
ACCT 4625,Internl Acct/IFRS/US GAAP **,,ACCT,,
ACCT 4910,Problems in Accounting **,,ACCT,,
ACCT 4911,Internship in Accounting,,ACCT,,
ACCT 4920-4929,Special Topics in Accounting,,ACCT,,
ACCT 4996,Senior Honors Thesis,,ACCT,,
ADVR 3310,Branding and Strategic Media,,ADVR,,
ADVR 3320,Account Planning & Management,,ADVR,,
ADVR 3321,Copywriting,,ADVR,,
ADVR 3324,Ad Creative Strategy,,ADVR,,
ADVR 4830,Directed Indiv Study,,ADVR,,
AERO 1111,The Heritage & Values of the USAF I,,AERO,,
AERO 1112,Heritage & Values of the USAF II,,AERO,,
AERO 1113,Heritage & Values of the USAF Lab,,AERO,,
AERO 2211,Team & Leadership Fundamentals I,,AERO,,
AERO 2212,Team & Leadership Fundamentals II,,AERO,,
AERO 2213,Team & Leader Fundamental Lab,,AERO,,
AERO 3311,Leading People/Effective Communication I,,AERO,,
AERO 3312,Leading People/Effective Communication II,,AERO,,
AERO 3313,Leading People/Effective Communication Lab,,AERO,,
