courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 211,Principles of Financial Accounting,"(3, 3)",Accounting Business Administration,,
ACC 212,Managerial Accounting,"(3, 3)",Accounting Business Administration,,
ACC 221,Accelerated Principles of Financial Accounting,"(3, 3)",Accounting Business Administration,,
ACC 222,Accelerated Managerial Accounting,"(3, 3)",Accounting Business Administration,,
ACC 223,Principles of Financial and Managerial Accounting,"(4, 4)",Accounting Business Administration,,
ACC 301,Cost Accounting,"(3, 3)",Accounting Business Administration,,
ACC 311,Intermediate Accounting I,"(3, 3)",Accounting Business Administration,,
ACC 312,Intermediate Accounting II,"(3, 3)",Accounting Business Administration,,
ACC 315,Accounting for Health Care Organizations,"(3, 3)",Accounting Business Administration,,
ACC 336,Integrated Reporting,"(3, 3)",Accounting Business Administration,,
ACC 402,Auditing,"(3, 3)",Accounting Business Administration,,
ACC 403,Fundamentals of Taxation,"(3, 3)",Accounting Business Administration,,
ACC 404,Advanced Taxation,"(3, 3)",Accounting Business Administration,,
ACC 406,Accounting Systems,"(3, 3)",Accounting Business Administration,,
ACC 411,Advanced Accounting,"(3, 3)",Accounting Business Administration,,
ACC 496,Directed Studies in Accounting,"(1, 3)",Accounting Business Administration,,
ACC 497,Directed Studies in Accounting,"(1, 3)",Accounting Business Administration,,
ACC 498,Special Topics in Accounting,"(3, 3)",Accounting Business Administration,,
ACC 499,Special Topics in Accounting,"(3, 3)",Accounting Business Administration,,
ACC 506,Internal Auditing,"(2, 2)",Accounting Business Administration,,
ACC 507,Statement Analysis,"(3, 3)",Accounting Business Administration,,
ACC 522,Advanced Issues in Auditing,"(3, 3)",Accounting Business Administration,,
ACC 524,Accounting for Governmental and Not-for-Profit Entities,"(2, 2)",Accounting Business Administration,,
ACC 530,International Financial Reporting Standards,"(1, 1)",Accounting Business Administration,,
ACC 550,Accounting Internship,"(1, 3)",Accounting Business Administration,,
ACC 555,Accounting Departmental Honors Research Project,"(3, 3)",Accounting Business Administration,,
ACC 572,Advanced Financial Analysis,"(2, 2)",Accounting Business Administration,,
ACC 600,Accounting for Decision-Making and Control,"(2, 3)",Accounting Business Administration,,
ACC 601,Trends in Present Day Accounting,"(2, 2)",Accounting Business Administration,,
ACC 602,Financial Reporting and Control in the Healthcare Industry,"(1, 3)",Accounting Business Administration,,
ACC 603,Cases in Financial Reporting Issues,"(2, 2)",Accounting Business Administration,,
ACC 604,Seminar in Cost Accounting,"(2, 2)",Accounting Business Administration,,
ACC 606,Internal Auditing,"(2, 2)",Accounting Business Administration,,
ACC 607,Financial Accounting and Reporting,"(3, 3)",Accounting Business Administration,,
ACC 608,Managerial Accounting,"(3, 3)",Accounting Business Administration,,
ACC 610,Capstone: Financial Reporting Research,"(2, 2)",Accounting Business Administration,,
ACC 611,Auditing Seminar,"(2, 2)",Accounting Business Administration,,
ACC 616,CPA Review I,"(0, 0)",Accounting Business Administration,,
ACC 617,CPA Review II,"(3, 3)",Accounting Business Administration,,
ACC 620,Accounting Controls in Information Technology,"(2, 2)",Accounting Business Administration,,
ACC 622,Advanced Issues in Auditing,"(2, 3)",Accounting Business Administration,,
ACC 623,International Accounting and Taxation,"(2, 2)",Accounting Business Administration,,
ACC 624,Accounting for Governmental and Not-for-Profit Entities,"(2, 2)",Accounting Business Administration,,
ACC 626,Litigation and Advisory Services,"(2, 2)",Accounting Business Administration,,
ACC 627,Accounting Regulations and Complliance,"(2, 2)",Accounting Business Administration,,
ACC 628,Introduction to Accounting Analytics,"(2, 2)",Accounting Business Administration,,
ACC 630,International Financial Reporting Standards,"(1, 1)",Accounting Business Administration,,
ACC 631,Business Combinations & Complex Estimates,"(2, 2)",Accounting Business Administration,,
ACC 632,Intermediate Accounting I,"(2, 2)",Accounting Business Administration,,
ACC 633,Intermediate Accounting II,"(2, 2)",Accounting Business Administration,,
ACC 634,Cost Accounting,"(2, 2)",Accounting Business Administration,,
ACC 635,Auditing,"(2, 2)",Accounting Business Administration,,
ACC 636,Accounting Systems,"(2, 2)",Accounting Business Administration,,
ACC 639,Income Taxation and Business Entitles,"(2, 2)",Accounting Business Administration,,
ACC 640,Corporate Taxation I,"(2, 2)",Accounting Business Administration,,
ACC 641,Corporate Taxation II,"(2, 2)",Accounting Business Administration,,
ACC 642,Seminar in Taxation,"(2, 2)",Accounting Business Administration,,
ACC 643,Tax Research,"(2, 2)",Accounting Business Administration,,
ACC 645,Partnership Taxation,"(2, 2)",Accounting Business Administration,,
ACC 647,Personal Financial Planning,"(2, 2)",Accounting Business Administration,,
ACC 648,Accounting for Income Taxes,"(2, 2)",Accounting Business Administration,,
ACC 649,Issues in Tax Policy,"(1, 2)",Accounting Business Administration,,
ACC 650,Accounting Internship,"(1, 3)",Accounting Business Administration,,
ACC 660,Managerial Accounting in Healthcare Organizational,"(3, 3)",Accounting Business Administration,,
ACC 662,Taxation of Multinational Corporations,"(2, 2)",Accounting Business Administration,,
ACC 664,Financial Reporting & Regulatory Issues in Complex Deals,"(2, 2)",Accounting Business Administration,,
ACC 665,Health Care Financial and Managerial Accounting,"(2, 3)",Accounting Business Administration,,
ACC 666,Accounting for Sustainability,"(2, 2)",Accounting Business Administration,,
ACC 670,Financial Reporting and Analysis,"(2, 2)",Accounting Business Administration,,
ACC 671,Accounting for Decision Making,"(2, 2)",Accounting Business Administration,,
ACC 672,Financial Statement Analysis,"(2, 2)",Accounting Business Administration,,
ACC 673,Taxation for Business and Investment Decisions,"(2, 2)",Accounting Business Administration,,
ACC 675,"Compensation, Incentives and Strategic Control","(2, 2)",Accounting Business Administration,,
ACC 677,Forensic Accounting,"(2, 2)",Accounting Business Administration,,
ACC 681,Introduction to Financial and Managerial Accounting,"(4, 4)",Accounting Business Administration,,
ACC 682,Intermediate Accounting,"(4, 4)",Accounting Business Administration,,
ACC 683,Taxation,"(4, 4)",Accounting Business Administration,,
ACC 684,Accounting Information Systems,"(4, 4)",Accounting Business Administration,,
ACC 685,Financial Statement Analysis and Valuation,"(4, 4)",Accounting Business Administration,,
ACC 686,Auditing,"(4, 4)",Accounting Business Administration,,
ACC 687,Advanced Cost Accounting,"(4, 4)",Accounting Business Administration,,
ACC 688,Advanced Accounting and Financial Reporting,"(4, 4)",Accounting Business Administration,,
ACC 689,Current Issues in Accounting,"(4, 4)",Accounting Business Administration,,
ACC 690,Fraud and Forensic Accounting: Ethics and Legal Environment,"(4, 4)",Accounting Business Administration,,
ACC 691,Research,"(3, 3)",Accounting Business Administration,,
ACC 692,Research,"(3, 3)",Accounting Business Administration,,
ACC 698,Selected Topics,"(1, 3)",Accounting Business Administration,,
ACC 699,Directed Readings,"(1, 3)",Accounting Business Administration,,
ACC 701,Empirical Accounting Research I,"(3, 3)",Accounting Business Administration,,
ACC 702,Empirical Accounting Research II,"(0, 3)",Accounting Business Administration,,
ACC 703,Empirical Accounting Research III,"(3, 3)",Accounting Business Administration,,
ACC 715,Seminar-Based Doctoral Students Workshop in Accounting,"(1, 3)",Accounting Business Administration,,
ACC 771,Theory and Foundations of Scholarly Research,"(3, 3)",Accounting Business Administration,,
ACC 772,Creating Impactful Business Knowledge,"(3, 3)",Accounting Business Administration,,
ACC 773,Generating Business Insights Using Qualitative Analysis,"(3, 3)",Accounting Business Administration,,
ACC 774,Generating Business Insights Using Quantitative Analysis 1,"(3, 3)",Accounting Business Administration,,
ACC 775,Introduction to Foundational Business Theories,"(3, 3)",Accounting Business Administration,,
ACC 776,Generating Business Insights Using Quantitative Analysis 2,"(3, 3)",Accounting Business Administration,,
ACC 777,Decision Making and Creative Thinking,"(3, 3)",Accounting Business Administration,,
ACC 778,Thinking Strategically in the Global Marketplace,"(3, 3)",Accounting Business Administration,,
ACC 823,Topics in Empirical Accounting Research I,"(3, 3)",Accounting Business Administration,,
ACC 824,Topics in Empirical Accounting Research II,"(3, 3)",Accounting Business Administration,,
ACC 825,Comprehensive Test Preparation,"(1, 3)",Accounting Business Administration,,
ACC 826,Introduction to Textual Analysis in Accounting Research,"(3, 3)",Accounting Business Administration,,
ACC 827,Topics in Empirical Accounting Research III,"(3, 3)",Accounting Business Administration,,
ACC 830,Pre-Candidacy Dissertation Research,"(1, 12)",Accounting Business Administration,,
ACC 840,Post-Candidacy Dissertation Research,"(1, 12)",Accounting Business Administration,,
ACC 850,Research in Residence,"(1, 1)",Accounting Business Administration,,
AIS 101,Heritage and Values 1,"(1, 1)",Aerospace Studies,,
AIS 102,Heritage and Values 2,"(1, 1)",Aerospace Studies,,
AIS 150,Leadership Laboratory,"(0, 0)",Aerospace Studies,,
AIS 201,Team and Leadership Fundamentals I,"(1, 1)",Aerospace Studies,,
AIS 202,Team and Leadership Fundamentals 2,"(1, 1)",Aerospace Studies,,
AIS 301,Leading People and Effective Communication I,"(3, 3)",Aerospace Studies,,
AIS 302,Leading People and Effective Communication 2,"(3, 3)",Aerospace Studies,,
AIS 401,"National Security, Leadership Responsibilities and Commissioning Preparation 1","(3, 3)",Aerospace Studies,,
AIS 402,"National Security, Leadership Responsibilities and Commissioning Preparation 2","(3, 3)",Aerospace Studies,,
AAS 150,Introduction to Africana Studies,"(3, 3)",Africana Studies,,
AAS 260,History of Slavery in the Atlantic,"(3, 3)",Africana Studies,,
AAS 290,Special Topics,"(3, 3)",Africana Studies,,
AAS 350,Black Leadership in the U,"(3, 3)",Africana Studies,,
AAS 355,Black Health,"(3, 3)",Africana Studies,,
AAS 360,Black Miami Studies,"(3, 3)",Africana Studies,,
AAS 370,Special Topics in Africana History,"(3, 3)",Africana Studies,,
AAS 390,Special Topics in Africana Literary & Cultural Studies,"(3, 3)",Africana Studies,,
AAS 490,Senior Seminar in Africana Studies,"(3, 3)",Africana Studies,,
AAS 502,Service Learning in Africana Studies,"(3, 6)",Africana Studies,,
AAS 590,Advanced Topics in Africana Studies,"(3, 3)",Africana Studies,,
AMS 101,Introduction to American Studies,"(3, 3)",American Studies,,
AMS 301,Topics in American Studies,"(0, 3)",American Studies,,
AMS 310,The United States in the World,"(3, 3)",American Studies,,
AMS 321,Topics in American Studies: History,"(3, 3)",American Studies,,
AMS 322,Topics in American Studies: Literature,"(3, 3)",American Studies,,
AMS 323,Topics in American Studies: Politics,"(3, 3)",American Studies,,
AMS 324,Topics in American Studies: Religion,"(3, 3)",American Studies,,
AMS 325,Topics in American Studies: Law,"(3, 3)",American Studies,,
AMS 326,Topics in American Studies: Education,"(3, 3)",American Studies,,
AMS 327,Topics in American Studies: Film,"(3, 3)",American Studies,,
AMS 328,Topics in American Studies: Music,"(3, 3)",American Studies,,
AMS 329,Topics in American Studies: Art,"(3, 3)",American Studies,,
AMS 330,Topics in American Studies: Sociology,"(3, 3)",American Studies,,
AMS 331,Topics in American Studies: Geography,"(3, 3)",American Studies,,
AMS 332,Topics in American Studies: Anthropology,"(3, 3)",American Studies,,
AMS 333,Topics in American Studies: Environmental Studies,"(3, 3)",American Studies,,
AMS 334,Topics in American Studies: Ethnic Studies,"(3, 3)",American Studies,,
AMS 335,Topics in American Studies: Women's and Gender Studies,"(3, 3)",American Studies,,
AMS 336,Topics in American Studies: LGBTQ Studies,"(3, 3)",American Studies,,
AMS 337,Topics in American Studies: Cultural Studies,"(3, 3)",American Studies,,
AMS 338,Topics in American Studies: International Studies,"(3, 3)",American Studies,,
AMS 339,Topics in American Studies: Urban Studies,"(3, 3)",American Studies,,
AMS 350,History and Culture of South Florida,"(3, 3)",American Studies,,
AMS 399,Independent Study,"(1, 3)",American Studies,,
AMS 401,Seminar in American Studies,"(3, 3)",American Studies,,
AMS 499,Independent Study,"(3, 3)",American Studies,,
AMS 501,Senior Project,"(3, 3)",American Studies,,
AMS 505,Honors Thesis,"(3, 3)",American Studies,,
APY 100,Introduction to Forensic Investigation (EXP),"(3, 3)",Anthropology,,
APY 101,Introduction to Anthropology,"(3, 3)",Anthropology,,
APY 105,"HIV: Sex, Science, and Society","(3, 3)",Anthropology,,
APY 109,Anthropology of Religion,"(3, 3)",Anthropology,,
APY 200,Introduction to Forensic Anthropology (EXP),"(3, 3)",Anthropology,,
APY 201,Principles of Archaeology,"(3, 3)",Anthropology,,
APY 202,Principles of Cultural Anthropology,"(3, 3)",Anthropology,,
APY 203,Principles of Physical Anthropology,"(3, 3)",Anthropology,,
APY 204,Principles of Linguistic Anthropology,"(3, 3)",Anthropology,,
APY 205,Medicine and Health Care in Society,"(3, 3)",Anthropology,,
APY 230,The Sounds of the World's Languages,"(3, 3)",Anthropology,,
APY 301,World Prehistory: From Caves to Quinoa,"(3, 3)",Anthropology,,
APY 306,Human Evolution,"(3, 3)",Anthropology,,
APY 307,Human Adaptation,"(3, 3)",Anthropology,,
APY 309,Evolution of Human Behavior,"(3, 3)",Anthropology,,
APY 310,Primate Behavior and Adaptation,"(3, 3)",Anthropology,,
APY 311,"Cuba Culture, History, and Society","(3, 3)",Anthropology,,
APY 312,Primate Cognition,"(3, 3)",Anthropology,,
APY 313,Data science of culture and language,"(3, 3)",Anthropology,,
APY 315,Folk and Alternative Medicine: Psychedelic Plants in Cultural Context,"(3, 3)",Anthropology,,
APY 320,The Evolution of Language,"(3, 3)",Anthropology,,
APY 340,Marine Archaeology,"(3, 3)",Anthropology,,
APY 345,Blood and Chocolate: Ancient Civilizations of Mesoamerica,"(3, 3)",Anthropology,,
APY 356,Florida Archaeology,"(3, 3)",Anthropology,,
APY 359,The Archaeology of Plastics,"(3, 3)",Anthropology,,
APY 360,Anthropology of Food,"(3, 3)",Anthropology,,
APY 361,Gender and Language,"(3, 3)",Anthropology,,
APY 362,The Languages of the World,"(3, 3)",Anthropology,,
APY 376,Economic Anthropology,"(3, 3)",Anthropology,,
APY 377,Anthropology of Political Systems and Discourse,"(3, 3)",Anthropology,,
APY 384,Caribbean Archaeology,"(3, 3)",Anthropology,,
APY 385,Caribbean Cultures,"(3, 3)",Anthropology,,
APY 390,Dead Bodies & Bioethics,"(3, 3)",Anthropology,,
APY 391,Gender in Ancient Cultures,"(3, 3)",Anthropology,,
APY 392,Sex and Culture,"(3, 3)",Anthropology,,
APY 393,Drugs and Culture,"(3, 3)",Anthropology,,
APY 394,Comparative Religion,"(3, 3)",Anthropology,,
APY 395,"Gender, Race, and Class","(3, 3)",Anthropology,,
APY 396,"Youth Culture, Identity, and Globalization","(3, 3)",Anthropology,,
APY 397,Violence and Ritual,"(3, 3)",Anthropology,,
APY 398,Coastal Cultures,"(3, 3)",Anthropology,,
APY 399,The Anthropology of Kinship and Family in America,"(3, 3)",Anthropology,,
APY 405,Readings in Anthropology,"(1, 3)",Anthropology,,
APY 406,Readings in Anthropology,"(1, 3)",Anthropology,,
APY 410,Guided Research in Anthropology,"(1, 6)",Anthropology,,
APY 413,Medical Anthropology,"(3, 3)",Anthropology,,
APY 414,Human Osteology,"(3, 3)",Anthropology,,
APY 415,Forensic Anthropology II: Fieldwork,"(3, 3)",Anthropology,,
APY 416,Bioarchaeology-Peopling the past,"(3, 3)",Anthropology,,
APY 417,Archaeometry: The Science of Material Culture,"(3, 3)",Anthropology,,
APY 418,Seminar in Anthropology,"(3, 3)",Anthropology,,
APY 419,Politics of the Past,"(3, 3)",Anthropology,,
APY 420,"Archaeology, Architecture, and the City","(3, 3)",Anthropology,,
APY 421,Interpreting Bodies,"(3, 3)",Anthropology,,
APY 422,Pseudoscience in Archaeology,"(3, 3)",Anthropology,,
APY 423,Paleopathology: Health and disease in ancient peoples,"(3, 3)",Anthropology,,
APY 435,Anthropology of Nature and Environment,"(3, 3)",Anthropology,,
APY 480,Undergrad Internship Anthrology,"(3, 9)",Anthropology,,
APY 484,Anthropological Theory,"(3, 3)",Anthropology,,
APY 485,Archeological Theory and Technique,"(3, 3)",Anthropology,,
APY 501,Methods of Anthropological Research,"(3, 6)",Anthropology,,
APY 502,Field Studies in Anthropology,"(3, 6)",Anthropology,,
APY 505,Museum Internship,"(3, 3)",Anthropology,,
APY 506,Workshop in Anthropology,"(3, 6)",Anthropology,,
APY 511,Artlab At Lowe,"(3, 3)",Anthropology,,
APY 512,Advanced Medical Anthropology,"(3, 3)",Anthropology,,
APY 518,Advanced Seminar in Anthropology,"(3, 3)",Anthropology,,
APY 601,"Advanced Seminar in Archaeology, Theory and Practice","(3, 3)",Anthropology,,
APY 602,Advanced Seminar in Cultural Anthropology,"(3, 3)",Anthropology,,
APY 603,Advanced Seminar in Biological Anthropology,"(3, 3)",Anthropology,,
APY 604,Advanced Seminar in Linguistic Anthropology,"(3, 3)",Anthropology,,
APY 605,Museum Internship,"(3, 3)",Anthropology,,
APY 611,Methods of Anthropological Research,"(3, 6)",Anthropology,,
APY 612,Advanced Medical Anthropology,"(3, 3)",Anthropology,,
APY 615,Advanced Museum Internship,"(3, 3)",Anthropology,,
APY 616,Advanced Workshop in Anthropology,"(3, 6)",Anthropology,,
APY 628,Advanced Graduate Seminar,"(3, 3)",Anthropology,,
APY 690,Teaching Practicum in Anthropology,"(3, 3)",Anthropology,,
APY 696,Advanced & Graduate Colloquy in Black Feminist Theory and Praxis: Major of 7 Black Feminist Thinkers,"(3, 3)",Anthropology,,
APY 699,Directed Reading in Anthropology,"(3, 6)",Anthropology,,
APY 702,Field Studies in Anthropology,"(3, 6)",Anthropology,,
APY 805,Graduate Internship: Professional Practice of Anthropology,"(1, 9)",Anthropology,,
APY 810,Master's Degree Thesis Preparation and Writing,"(1, 9)",Anthropology,,
ARB 101,Elementary Arabic I,"(4, 4)",Arabic,,
ARB 102,Elementary Arabic II,"(4, 4)",Arabic,,
ARB 201,Intermediate Arabic I,"(3, 3)",Arabic,,
ARB 202,Intermediate Arabic II,"(3, 3)",Arabic,,
ARB 203,Advanced Arabic,"(3, 3)",Arabic,,
ARB 204,Arabic 204: Advanced Arabic II,"(3, 3)",Arabic,,
ARB 207,Arabic for Heritage Learners,"(3, 3)",Arabic,,
ARB 208,Arabic for Heritage Learners II,"(3, 3)",Arabic,,
ARB 251,Levantine Colloquial Arabic I,"(3, 3)",Arabic,,
ARB 310,Topics in Arabic Literature and Culture in Translation,"(3, 3)",Arabic,,
ARB 312,Arab Cultures: A Cultural History of the Arab World,"(3, 3)",Arabic,,
ARB 315,Topics in Gender and Sexuality in Translation,"(3, 3)",Arabic,,
ARB 394,Arabic Internship,"(1, 3)",Arabic,,
ARB 410,Language and Power in the Arab World,"(3, 3)",Arabic,,
ARB 591,Directed Readings,"(1, 3)",Arabic,,
ARB 641,Elementary ARB I for Graduate Students,"(0, 0)",Arabic,,
ARB 642,Elementary ARB II for Graduate Students,"(0, 0)",Arabic,,
ARB 651,Intermediate ARB I for Graduate Research,"(0, 0)",Arabic,,
ARB 652,Intermediate ARB II for Graduate Research,"(0, 0)",Arabic,,
ARB 653,Advanced ARB I for Graduate Research,"(0, 0)",Arabic,,
ARB 654,Advanced ARB II for Graduate Research,"(0, 0)",Arabic,,
