courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 177,Independent Studies,"(0, 6)",Accountancy,,
ACC 211,Accounting for the Non-Business Major,"(3, 3)",Accountancy,,
ACC 221,Introduction to Financial Accounting,"(3, 3)",Accountancy,,
ACC 222,Introduction to Managerial Accounting,"(3, 3)",Accountancy,,
ACC 256,Accountancy Career Exploration and Planning,"(1, 1)",Accountancy,,
ACC 277,Independent Studies,"(0, 6)",Accountancy,,
ACC 305,"Information Technology Governance, Risk Management, Security and Audit","(3, 3)",Accountancy,,
ACC 321,Intermediate Financial Accounting,"(3, 3)",Accountancy,,
ACC 333,Managerial Accounting,"(3, 3)",Accountancy,,
ACC 340,Internship,"(0, 20)",Accountancy,,
ACC 343,Federal Income Tax Accounting,"(3, 3)",Accountancy,,
ACC 361,Accounting Information Systems,"(3, 3)",Accountancy,,
ACC 377,Independent Studies,"(0, 6)",Accountancy,,
ACC 422/ACC 522,Financial Accounting Research,"(3, 3)",Accountancy,,
ACC 445/ACC 545,Advanced Tax,"(3, 3)",Accountancy,,
ACC 446/ACC 546,Taxes and Business Strategy,"(3, 3)",Accountancy,,
ACC 448/ACC 548,Information for Business Valuation and Decisions,"(3, 3)",Accountancy,,
ACC 452,Internal Auditing,"(3, 3)",Accountancy,,
ACC 453/ACC 553,Financial Statement Auditing,"(3, 3)",Accountancy,,
ACC 461/ACC 561,Accounting for Business Combinations,"(3, 3)",Accountancy,,
ACC 462/ACC 562,Mergers & Acquisitions,"(3, 3)",Accountancy,,
ACC 468/ACC 568,Accounting for Not-for-Profit and Governmental Organizations,"(3, 3)",Accountancy,,
ACC 477,Independent Studies,"(0, 6)",Accountancy,,
ACC 480/ACC 580,Accounting and Business Ethics,"(3, 3)",Accountancy,,
ACC 490,Current Topics in Accounting and Auditing,"(1, 3)",Accountancy,,
ACC 495/ACC 595,Accounting Analysis,"(3, 3)",Accountancy,,
ACC 611,Accounting for Managers,"(3, 3)",Accountancy,,
ACC 628,Advanced Issues in Financial Accounting and Reporting,"(3, 3)",Accountancy,,
ACC 635,Financial Leadership in Organizations,"(3, 3)",Accountancy,,
ACC 650,Fraud Examination,"(3, 3)",Accountancy,,
ACC 653,Assurance Services,"(3, 3)",Accountancy,,
ACC 655,Control of Accounting & Reporting Risk,"(3, 3)",Accountancy,,
ACC 677,Independent Studies,"(0, 6)",Accountancy,,
ACC 695,Integrative Accounting Capstone,"(3, 3)",Accountancy,,
AES 110,Leadership Laboratory,"(1, 1)",Aerospace Studies,,
AES 111,Leadership Laboratory,"(1, 1)",Aerospace Studies,,
AES 121,Heritage and Values of the United States Air Force,"(1, 1)",Aerospace Studies,,
AES 122,Heritage and Values of the United States Air Force,"(1, 1)",Aerospace Studies,,
AES 177,Independent Studies,"(0, 6)",Aerospace Studies,,
AES 210,Leadership Laboratory,"(1, 1)",Aerospace Studies,,
AES 211,Leadership Laboratory,"(1, 1)",Aerospace Studies,,
AES 221,Team and Leadership Fundamentals,"(1, 1)",Aerospace Studies,,
AES 222,Team and Leadership Fundamentals,"(1, 1)",Aerospace Studies,,
AES 277,Independent Studies,"(0, 6)",Aerospace Studies,,
AES 310,Leadership Laboratory,"(1, 1)",Aerospace Studies,,
AES 311,Leadership Laboratory,"(1, 1)",Aerospace Studies,,
AES 331,Leading People and Effective Communication,"(3, 3)",Aerospace Studies,,
AES 332,Leading People and Effective Communication,"(3, 3)",Aerospace Studies,,
AES 340,Internship,"(0, 20)",Aerospace Studies,,
AES 377,Independent Studies,"(0, 6)",Aerospace Studies,,
AES 410,Leadership Laboratory,"(1, 1)",Aerospace Studies,,
AES 411,Leadership Laboratory,"(1, 1)",Aerospace Studies,,
AES 431,National Security/Leadership Responsibilities/Commissioning Preparation,"(3, 3)",Aerospace Studies,,
AES 432,National Security/Leadership Responsibilities/Commissioning Preparation,"(3, 3)",Aerospace Studies,,
AES 477,Independent Studies,"(0, 6)",Aerospace Studies,,
ACE 051,Academic English Structure and Application,"(4, 4)",American Culture & English Program,,
ACE 112,Advanced Communications Strategies: Speaking and Listening for Academic Contexts,"(5, 5)",American Culture & English Program,,
ACE 113,Reading and Writing in Academic Contexts,"(4, 4)",American Culture & English Program,,
ACE 310,Special Topics in American Academic Culture for International Students,"(1, 3)",American Culture & English Program,,
ACE 612,Advanced Communication Strategies for Graduate International Students,"(5, 5)",American Culture & English Program,,
ACE 613,Advanced Reading and Writing for Graduate International Students,"(4, 4)",American Culture & English Program,,
ACE 619,Advanced Speaking and Presentation for Graduate International Students,"(2, 2)",American Culture & English Program,,
AMS 135,"Understanding Jazz, Its History and Context","(3, 3)",American Studies,,
AMS 177,Independent Studies,"(0, 6)",American Studies,,
AMS 205,Introduction to American Cultures,"(3, 3)",American Studies,,
AMS 206,Approaches to American Culture,"(3, 3)",American Studies,,
AMS 207,America: Global and Intercultural Perspectives,"(3, 3)",American Studies,,
AMS 216,Introduction to Public History,"(3, 3)",American Studies,,
AMS 222,Italian American Culture,"(3, 3)",American Studies,,
AMS 241,Religions of the American Peoples,"(3, 3)",American Studies,,
AMS 248,Asian American Literature,"(3, 3)",American Studies,,
AMS 259,Introduction to the Miami Tribe of Oklahoma,"(3, 3)",American Studies,,
AMS 277,Independent Studies,"(0, 6)",American Studies,,
AMS 281,Americans in Berlin: An Interdisciplinary Study-Abroad Workshop,"(6, 6)",American Studies,,
AMS 285,Introduction to African American Music,"(3, 3)",American Studies,,
AMS 286,"Rhythm, Rhyme, and Resistance: Hip Hop Culture in America","(3, 3)",American Studies,,
AMS 301,American Identities,"(3, 3)",American Studies,,
AMS 302,Immigrant America,"(3, 3)",American Studies,,
AMS 303,Consumer Culture,"(3, 3)",American Studies,,
AMS 304,"History, Memory, Tradition","(3, 3)",American Studies,,
AMS 305,American Icons,"(3, 3)",American Studies,,
AMS 310,Special Topics in American Studies,"(1, 4)",American Studies,,
AMS 310Z,Topics in Dramatic Literature and Cultural Performance,"(3, 3)",American Studies,,
AMS 312,The American West,"(3, 3)",American Studies,,
AMS 315,"Latin American Diaspora: Communities, Conditions and Issues","(3, 3)",American Studies,,
AMS 340,Internship in American Studies,"(0, 20)",American Studies,,
AMS 341,Protestantism and the Development of American Culture,"(3, 3)",American Studies,,
AMS 348,Ethnic American Literatures,"(3, 3)",American Studies,,
AMS 352,Geographies of Urban Change,"(3, 3)",American Studies,,
AMS 357,Gilded Age America,"(3, 3)",American Studies,,
AMS 362,The Era of the American Revolution,"(3, 3)",American Studies,,
AMS 363,The Early American Republic 1783-1815,"(3, 3)",American Studies,,
AMS 367,The United States in the 1960s,"(3, 3)",American Studies,,
AMS 371,Native American History to 1840,"(3, 3)",American Studies,,
AMS 377,Independent Studies,"(0, 6)",American Studies,,
AMS 382,Women in American History,"(3, 3)",American Studies,,
AMS 390,Studies In Amer Regionalism,"(3, 3)",American Studies,,
AMS 392,Sex and Gender in American Culture,"(3, 3)",American Studies,,
AMS 401,Senior Capstone in American Studies,"(4, 4)",American Studies,,
AMS 477,Independent Studies,"(0, 6)",American Studies,,
ATH 113,Investigating the Paranormal,"(3, 3)",Anthropology,,
