courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AMFG501,ADDITIVE MANUFACTURING PROCESSES. 3.0 Semester Hrs,,ADVANCED MANUFACTURING,,
AMFG510,OFF EARTH ADDITIVE MANUFACTURING. 3.0 Semester Hrs,,ADVANCED MANUFACTURING,,
AMFG511,DATA DRIVEN ADVANCED MANUFACTURING. 3.0 Semester Hrs,,ADVANCED MANUFACTURING,,
AMFG521,DESIGN FOR ADDITIVE MANUFACTURING. 3.0 Semester Hrs,,ADVANCED MANUFACTURING,,
AMFG522,LEAN MANUFACTURING. 3.0 Semester Hrs,,ADVANCED MANUFACTURING,,
AMFG523,DESIGN AND ANALYSIS OF EXPERIMENTS. 3.0 Semester Hrs,,ADVANCED MANUFACTURING,,
AMFG531,MATERIALS FOR ADDITIVE MANUFACTURING. 3.0 Semester Hrs,,ADVANCED MANUFACTURING,,
AMFG541,ADDITIVE MANUFACTURING PROJECT. 3.0 Semester Hrs,,ADVANCED MANUFACTURING,,
AMFG581,OPTIMIZATION MODELS IN MANUFACTURING. 3.0 Semester Hrs,,ADVANCED MANUFACTURING,,
AMFG592,ADDITIVE MANUFACTURING BUILD PREPARATION. 1.0 Semester Hr,,ADVANCED MANUFACTURING,,
AMFG598,SPECIAL TOPICS IN ADVANCED MANUFACTURING. 1-6 Semester Hr,,ADVANCED MANUFACTURING,,
AMFG599,INDEPENDENT STUDY. 1-6 Semester Hr,,ADVANCED MANUFACTURING,,
AFGN101,HERITAGE AND VALUES I. 1.5 Semester Hr,,AIR FORCE,,
AFGN102,HERITAGE AND VALUES II. 1.5 Semester Hr,,AIR FORCE,,
AFGN201,TEAM AND LEADERSHIP FUNDAMENTA. 1.5 Semester Hr,,AIR FORCE,,
AFGN202,TEAM AND LEADERSHIP FUNDAMENTALS II. 1.5 Semester Hr,,AIR FORCE,,
AFGN301,LEADING PEOPLE AND EFFECTIVE COMMUNICATION I. 3.5 Semester Hrs,,AIR FORCE,,
AFGN302,LEADING PEOPLE AND EFFECTIVE COMMUNICATION II. 3.5 Semester Hrs,,AIR FORCE,,
AFGN401,"NATIONAL SECURITY, LEADERSHIP RESPONSIBILITIES, COMMISSIONING PREPARATION I. 3.5 Semester Hrs",,AIR FORCE,,
AFGN402,"NATIONAL SECURITY, LEADERSHIP RESPONSIBILITIES, COMMISSIONING PREPARATION II. 3.5 Semester Hrs",,AIR FORCE,,
BIOL300,QUANTITATIVE BIOLOGY I. 3.0 Semester Hrs,,BIOLOGY,,
BIOL301,QUANTITATIVE BIOLOGY II. 3.0 Semester Hrs,,BIOLOGY,,
BIOL398,SPECIAL TOPICS. 0-6 Semester Hr,,BIOLOGY,,
BIOL399,INDEPENDENT STUDY. 1-6 Semester Hr,,BIOLOGY,,
BIOL410,ENTREPRENEURSHIP IN THE BIOLOGICAL SCIENCES SEMINAR. 1.0 Semester Hr,,BIOLOGY,,
BIOL412,ENTREPRENEURSHIP IN THE BIOLOGICAL SCIENCES. 3.0 Semester Hrs,,BIOLOGY,,
BIOL415,QUANTITATIVE BIOSCIENCES AND ENGINEERING FIELD SESSION. 3.0 Semester Hrs,,BIOLOGY,,
BIOL490,QUANTITATIVE BIOSCIENCES & ENGINEERING UNDERGRADUATE SEMINAR. 1.0 Semester Hr,,BIOLOGY,,
BIOL491,QBE CAPSTONE DESIGN. 3.0 Semester Hrs,,BIOLOGY,,
BIOL498,SPECIAL TOPICS IN BIOLOGY. 0-6 Semester Hr,,BIOLOGY,,
BIOL499,INDEPENDENT STUDY. 0.5-6 Semester Hr,,BIOLOGY,,
BIOL500,CELL BIOLOGY AND BIOCHEMISTRY. 4.0 Semester Hrs,,BIOLOGY,,
BIOL501,ADVANCED BIOCHEMISTRY. 3.0 Semester Hrs,,BIOLOGY,,
BIOL510,BIOINFORMATICS. 3.0 Semester Hrs,,BIOLOGY,,
BIOL520,SYSTEMS BIOLOGY. 3.0 Semester Hrs,,BIOLOGY,,
BIOL590,QUANTITATIVE BIOSCIENCES + ENGINEERING GRADUATE SEMINAR. 1.0 Semester Hr,,BIOLOGY,,
BIOL598,SPECIAL TOPICS. 0-6 Semester Hr,,BIOLOGY,,
BIOL599,INDEPENDENT STUDY. 0.5-6 Semester Hr,,BIOLOGY,,
BIOL707,GRADUATE THESIS / DISSERTATION RESEARCH CREDIT. 1-15 Semester Hr,,BIOLOGY,,
CHGN1XX,Chemistry Elective. 0-6 Semester Hr,,CHEMISTRY,,
CHGN111,INTRODUCTORY CHEMISTRY. 3.0 Semester Hrs,,CHEMISTRY,,
CHGN121,PRINCIPLES OF CHEMISTRY I. 4.0 Semester Hrs,,CHEMISTRY,,
CHGN122,PRINCIPLES OF CHEMISTRY II (SC1). 4.0 Semester Hrs,,CHEMISTRY,,
CHGN125,MOLECULAR ENGINEERING + MATERIALS CHEMISTRY. 4.0 Semester Hrs,,CHEMISTRY,,
CHGN198,SPECIAL TOPICS IN CHEMISTRY. 1-6 Semester Hr,,CHEMISTRY,,
CHGN198LA,SPECIAL TOPICS. 0-6 Semester Hr,,CHEMISTRY,,
CHGN198LB,SPECIAL TOPICS. 0-6 Semester Hr,,CHEMISTRY,,
CHGN199,INDEPENDENT STUDY. 1-6 Semester Hr,,CHEMISTRY,,
CHGN209,INTRODUCTION TO CHEMICAL THERMODYNAMICS. 3.0 Semester Hrs,,CHEMISTRY,,
CHGN221,ORGANIC CHEMISTRY I. 3.0 Semester Hrs,,CHEMISTRY,,
CHGN222,ORGANIC CHEMISTRY II. 3.0 Semester Hrs,,CHEMISTRY,,
CHGN223,ORGANIC CHEMISTRY I LABORATORY. 1.0 Semester Hr,,CHEMISTRY,,
CHGN224,ORGANIC CHEMISTRY II LABORATORY. 1.0 Semester Hr,,CHEMISTRY,,
CHGN298,SPECIAL TOPICS. 1-6 Semester Hr,,CHEMISTRY,,
CHGN299,INDEPENDENT STUDY. 1-6 Semester Hr,,CHEMISTRY,,
CHGN311,INTRODUCTION TO NANOSCIENCE AND NANOTECHNOLOGY. 3.0 Semester Hrs,,CHEMISTRY,,
CHGN323,QUALITATIVE ORGANIC ANALYSIS AND APPLIED SPECTROSCOPY. 2.0 Semester Hrs,,CHEMISTRY,,
CHGN335,INSTRUMENTAL ANALYSIS. 3.0 Semester Hrs,,CHEMISTRY,,
