courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCTCY 2010,Introduction to Accounting,"(3, 3)",Accountancy,,
ACCTCY 2026,Accounting I,"(3, 3)",Accountancy,,
ACCTCY 2027,Accounting II,"(3, 3)",Accountancy,,
ACCTCY 2036,Accounting I,"(3, 3)",Accountancy,,
ACCTCY 2037,Accounting II,"(3, 3)",Accountancy,,
ACCTCY 2136H,Honors Accounting I,"(3, 3)",Accountancy,,
ACCTCY 2137H,Honors Accounting II,"(3, 3)",Accountancy,,
ACCTCY 2258,Computer-Based Data Systems,"(3, 3)",Accountancy,,
ACCTCY 3326,Financial Accounting Theory and Practice I,"(3, 3)",Accountancy,,
ACCTCY 3328,Accounting Information Systems,"(3, 3)",Accountancy,,
ACCTCY 3346,Financial Accounting Theory and Practice II,"(3, 3)",Accountancy,,
ACCTCY 3347,Cost and Managerial Accounting,"(3, 3)",Accountancy,,
ACCTCY 4000,Accountancy Professional Speakers and Symposia,"(0, 0)",Accountancy,,
ACCTCY 4301,Topics in Accounting,"(1, 3)",Accountancy,,
ACCTCY 4353,Introduction to Taxation,"(3, 3)",Accountancy,,
ACCTCY 4356,Financial Accounting Concepts,"(3, 3)",Accountancy,,
ACCTCY 4365,Governmental Accounting and Budgeting,"(3, 3)",Accountancy,,
ACCTCY 4384,Auditing Theory and Practice I,"(3, 3)",Accountancy,,
ACCTCY 4940,Professional Accounting Internship,"(3, 6)",Accountancy,,
ACCTCY 7000,Accountancy Professional Speakers and Symposia,"(0, 0)",Accountancy,,
ACCTCY 7353,Introduction to Taxation,"(3, 3)",Accountancy,,
ACCTCY 7356,Financial Accounting Concepts,"(3, 3)",Accountancy,,
ACCTCY 7365,Governmental Accounting and Budgeting,"(3, 3)",Accountancy,,
ACCTCY 7384,Auditing Theory and Practice I,"(3, 3)",Accountancy,,
ACCTCY 7940,Professional Accounting Internship,"(3, 6)",Accountancy,,
ACCTCY 8310,Accounting for Managers,"(3, 3)",Accountancy,,
ACCTCY 8363,Multi-Jurisdictional Tax,"(3, 3)",Accountancy,,
ACCTCY 8373,Taxation of Corporations and Shareholders,"(3, 3)",Accountancy,,
ACCTCY 8393,"Taxation of Trust, Gifts and Estates","(3, 3)",Accountancy,,
ACCTCY 8401,Topics in Accounting,"(1, 3)",Accountancy,,
ACCTCY 8404,Internal Auditing,"(3, 3)",Accountancy,,
ACCTCY 8410,Accounting Ethics,"(3, 3)",Accountancy,,
ACCTCY 8414,Audit of Internal Controls,"(3, 3)",Accountancy,,
ACCTCY 8419,International Accounting,"(3, 3)",Accountancy,,
ACCTCY 8420,Data Based Decision Making,"(3, 3)",Accountancy,,
ACCTCY 8423,Tax Research and Planning,"(3, 3)",Accountancy,,
ACCTCY 8424,Fraud Examination,"(3, 3)",Accountancy,,
ACCTCY 8428,Data Visualization and Data Mining,"(3, 3)",Accountancy,,
ACCTCY 8430,Accounting Policies and Impacts,"(3, 3)",Accountancy,,
ACCTCY 8433,Mergers and Acquisitions Taxation,"(3, 3)",Accountancy,,
ACCTCY 8436,Advanced Accounting,"(3, 3)",Accountancy,,
ACCTCY 8438,Forensic Accounting,"(3, 3)",Accountancy,,
ACCTCY 8444,Advanced Audit,"(3, 3)",Accountancy,,
ACCTCY 8448,Emerging Issues in Accounting Information Systems,"(3, 3)",Accountancy,,
ACCTCY 8450,Accounting and Strategic Business Analysis,"(3, 3)",Accountancy,,
ACCTCY 8453,Taxes and Business Strategies,"(3, 3)",Accountancy,,
ACCTCY 8456,Corporate Governance,"(3, 3)",Accountancy,,
ACCTCY 8463,Partnership Taxation,"(3, 3)",Accountancy,,
ACCTCY 9090,Research in Accounting,"(1, 99)",Accountancy,,
ACCTCY 9401,Doctoral Research Problems in Accounting,"(1, 3)",Accountancy,,
ACCTCY 9419,Seminar in International Accounting Research,"(3, 3)",Accountancy,,
ACCTCY 9444,Seminar in Auditing Research,"(3, 3)",Accountancy,,
ACCTCY 9457,Seminar in Tax Research,"(3, 3)",Accountancy,,
ACCTCY 9460,Overview of Accounting Research,"(3, 3)",Accountancy,,
ACCTCY 9466,Seminar in Financial Accounting Research,"(3, 3)",Accountancy,,
ACCTCY 9467,Seminar in Behavioral Accounting Research,"(3, 3)",Accountancy,,
AERO 1100,Heritage and Values of the United States Air Force,"(2, 2)",Aerospace Studies,,
AERO 1200,Heritage and Values of the United States Air Force,"(2, 2)",Aerospace Studies,,
AERO 2100,Team and Leadership Fundamentals,"(2, 2)",Aerospace Studies,,
AERO 2200,Team and Leadership Fundamentals,"(2, 2)",Aerospace Studies,,
AERO 3100,Leading People and Effective Communication,"(3, 3)",Aerospace Studies,,
AERO 3200W,Leading People and Effective Communication - Writing Intensive,"(3, 3)",Aerospace Studies,,
AERO 4100,"National Security Affairs, Leadership Responsibility, and Active Duty Preparation 1","(3, 3)",Aerospace Studies,,
AERO 4200W,"National Security, Leadership Responsibilities, and Active Duty Preparation II - Writing Intensive","(3, 3)",Aerospace Studies,,
AERO 4887,Internship in Aerospace Studies ROTC Lab,"(0, 0)",Aerospace Studies,,
ABM 1010,Introduction to Agribusiness Management,"(3, 3)",Agribusiness Management,,
ABM 1041,Applied Microeconomics,"(3, 3)",Agribusiness Management,,
ABM 1042,Applied Macroeconomics,"(3, 3)",Agribusiness Management,,
ABM 1120,"Population, Environment and Sustainability","(3, 3)",Agribusiness Management,,
ABM 1200,Applied Computer Applications,"(3, 3)",Agribusiness Management,,
ABM 1230,Introduction to the Agricultural Policy Process,"(3, 3)",Agribusiness Management,,
ABM 1230H,Introduction to the Agricultural Policy Process - Honors,"(3, 3)",Agribusiness Management,,
ABM 2050,For the Love of Food: Global Food System Debate,"(3, 3)",Agribusiness Management,,
ABM 2070W,Environmental Economics and Policy - Writing Intensive,"(3, 3)",Agribusiness Management,,
ABM 2123,Quantitative Applications in Agricultural and Natural Resource Sciences,"(3, 3)",Agribusiness Management,,
ABM 2215,Introduction to the Theory and Practice of Sustainable Agriculture,"(3, 3)",Agribusiness Management,,
ABM 2215H,Introduction to the Theory and Practice of Sustainable Agriculture - Honors,"(3, 3)",Agribusiness Management,,
ABM 2225,Statistical Analysis,"(3, 3)",Agribusiness Management,,
ABM 2294,Market Watch - Understanding and Using Commodity Markets,"(3, 3)",Agribusiness Management,,
ABM 2301,Topics in Agribusiness Management,"(1, 3)",Agribusiness Management,,
ABM 3150,International Agribusiness,"(3, 3)",Agribusiness Management,,
ABM 3183,"The Economics of the Food, Fiber and Fuel Supply Chain","(3, 3)",Agribusiness Management,,
ABM 3223,Relationship Selling: Creating Value for Customers,"(3, 3)",Agribusiness Management,,
ABM 3224,New Products Marketing,"(3, 3)",Agribusiness Management,,
ABM 3224W,New Products Marketing - Writing Intensive,"(3, 3)",Agribusiness Management,,
ABM 3230,Agricultural and Rural Economic Policy,"(3, 3)",Agribusiness Management,,
ABM 3230H,Agricultural and Rural Economic Policy - Honors,"(3, 3)",Agribusiness Management,,
ABM 3235,Global Perspectives and Realities,"(3, 3)",Agribusiness Management,,
ABM 3235W,Global Perspectives and Realities - Writing Intensive,"(3, 3)",Agribusiness Management,,
ABM 3241W,Ethical Issues in Agriculture - Writing Intensive,"(3, 3)",Agribusiness Management,,
ABM 3256,Agribusiness and Biotechnology Law,"(3, 3)",Agribusiness Management,,
ABM 3260,General Farm Management,"(3, 3)",Agribusiness Management,,
ABM 3271,International Agricultural Development,"(3, 3)",Agribusiness Management,,
ABM 3272,International Food Trade and Policy,"(3, 3)",Agribusiness Management,,
ABM 3282,Agribusiness Finance,"(3, 3)",Agribusiness Management,,
ABM 3283,Fundamentals of Entrepreneurship,"(3, 3)",Agribusiness Management,,
ABM 3285,Problems in Agribusiness Management,"(1, 3)",Agribusiness Management,,
ABM 3286,Economics of Managerial Decision Making,"(3, 3)",Agribusiness Management,,
ABM 3294,Agricultural Marketing and Procurement,"(3, 3)",Agribusiness Management,,
ABM 3295,Real Money: Speculative Trading for Beginners,"(3, 3)",Agribusiness Management,,
ABM 3370,Transportation in the Global Supply Chain,"(3, 3)",Agribusiness Management,,
ABM 4110,Business Golf Management and Etiquette,"(2, 2)",Agribusiness Management,,
ABM 4215,Community Food Systems,"(3, 3)",Agribusiness Management,,
ABM 4223,Professional Solution Selling,"(3, 3)",Agribusiness Management,,
ABM 4230,Understanding the Agricultural Policy Process,"(3, 3)",Agribusiness Management,,
ABM 4240,Microeconomics Theory and Applications,"(3, 3)",Agribusiness Management,,
ABM 4251,Agricultural Prices,"(3, 3)",Agribusiness Management,,
ABM 4251H,Agricultural Prices - Honors,"(3, 3)",Agribusiness Management,,
ABM 4286,Behavioral and Experimental Economics,"(3, 3)",Agribusiness Management,,
ABM 4295,Agricultural Risk Management,"(3, 3)",Agribusiness Management,,
ABM 4301,Topics in Agribusiness Management,"(1, 6)",Agribusiness Management,,
ABM 4301H,Topics in Agribusiness Management - Honors,"(1, 6)",Agribusiness Management,,
ABM 4315,Organic Production and Marketing,"(3, 3)",Agribusiness Management,,
ABM 4360,Energy Markets and Regulation,"(3, 3)",Agribusiness Management,,
ABM 4370,"Society, Environment and Natural Resources","(3, 3)",Agribusiness Management,,
ABM 4415,"Seeds of Equity: Exploring Race, Class, and Gender in our Food System","(3, 3)",Agribusiness Management,,
ABM 4415H,"Seeds of Equity: Exploring Race, Class, and Gender in our Food System - Honors","(3, 3)",Agribusiness Management,,
ABM 4940,Internship Opportunities,"(1, 3)",Agribusiness Management,,
ABM 4945,Experiential Learning in Industry Internship in Agribusiness Management,"(0, 0)",Agribusiness Management,,
ABM 4962,Planning the Farm Business,"(3, 3)",Agribusiness Management,,
ABM 4971,Agribusiness Management Strategy,"(3, 3)",Agribusiness Management,,
ABM 4971W,Agribusiness Management Strategy - Writing Intensive,"(3, 3)",Agribusiness Management,,
ABM 4972,Agri-Food Business and Cooperative Management,"(3, 3)",Agribusiness Management,,
ABM 4983,Strategic Entrepreneurship in Agri-Food,"(3, 3)",Agribusiness Management,,
ABM 4983W,Strategic Entrepreneurship in Agri-Food - Writing Intensive,"(3, 3)",Agribusiness Management,,
ABM 4990H,Economic Analysis of Policy and Regulation - Honors,"(3, 3)",Agribusiness Management,,
ABM 4990HW,Economic Analysis of Policy and Regulation - Honors/Writing Intenisve,"(3, 3)",Agribusiness Management,,
ABM 4990W,Economic Analysis of Policy and Regulation - Writing Intensive,"(3, 3)",Agribusiness Management,,
AAE 7223,Professional Solution Selling,"(3, 3)",Agricultural & Applied Economics,,
AAE 7240,Microeconomics Theory and Applications,"(3, 3)",Agricultural & Applied Economics,,
AAE 7251,Agricultural Prices,"(3, 3)",Agricultural & Applied Economics,,
AAE 7286,Behavioral and Experimental Economics,"(3, 3)",Agricultural & Applied Economics,,
AAE 7295,Agricultural Risk Management,"(3, 3)",Agricultural & Applied Economics,,
AAE 7301,Topics in Agricultural and Applied Economics,"(1, 6)",Agricultural & Applied Economics,,
AAE 7360,Energy Markets and Regulation,"(3, 3)",Agricultural & Applied Economics,,
AAE 7370,"Society, Environment and Natural Resources","(3, 3)",Agricultural & Applied Economics,,
AAE 7400,"Environmental Law, Policy, and Justice","(3, 3)",Agricultural & Applied Economics,,
AAE 7940,Internship Experiences in Agricultural and Applied Economics,"(1, 3)",Agricultural & Applied Economics,,
