courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 600,Accounting Concepts for Managers,"(3, 3)",Accounting,Graduate,
ACC 601,Intermediate Accounting I,"(3, 3)",Accounting,Graduate,
ACC 602,Intermediate Accounting II,"(3, 3)",Accounting,Graduate,
ACC 604,Advanced Accounting,"(3, 3)",Accounting,Graduate,
ACC 606,International Accounting,"(3, 3)",Accounting,Graduate,
ACC 610,Managerial Cost Accounting,"(3, 3)",Accounting,Graduate,
ACC 613,Managerial Cost Accounting II,"(3, 3)",Accounting,Graduate,
ACC 620,Tax Accounting I,"(3, 3)",Accounting,Graduate,
ACC 624,Tax Accounting II,"(3, 3)",Accounting,Graduate,
ACC 625,Individual Income Tax Assistance,"(3, 3)",Accounting,Graduate,
ACC 640,Accounting and Management Information Systems,"(3, 3)",Accounting,Graduate,
ACC 642,Data Analytics in Accounting,"(3, 3)",Accounting,Graduate,
ACC 653,Auditing,"(3, 3)",Accounting,Graduate,
ACC 655,Internal Auditing,"(3, 3)",Accounting,Graduate,
ACC 656,Operational Auditing,"(3, 3)",Accounting,Graduate,
ACC 688,Healthcare Accounting Concepts,"(3, 3)",Accounting,Graduate,
ACC 695,Research Issues and Problems: Accounting,"(3, 3)",Accounting,Graduate,
ACC 703,Seminar in Accounting Theory for Financial Executives,"(3, 3)",Accounting,Graduate,
ACC 705,Advanced Financial Accounting Problems,"(3, 3)",Accounting,Graduate,
ACC 711,Managerial Accounting,"(3, 3)",Accounting,Graduate,
ACC 712,Controllership and Cost Analytics,"(3, 3)",Accounting,Graduate,
ACC 715,Advanced Cost Accounting,"(3, 3)",Accounting,Graduate,
ACC 721,Research Techniques and Consulting in Tax,"(3, 3)",Accounting,Graduate,
ACC 722,Public Service Tax Accounting,"(3, 3)",Accounting,Graduate,
ACC 723,Tax Considerations for Decision Makers,"(3, 3)",Accounting,Graduate,
ACC 726,Regulation Issues for Accountants,"(3, 3)",Accounting,Graduate,
ACC 731,Control of Non-Profit Organizations,"(3, 3)",Accounting,Graduate,
ACC 732,Governmental and Not-For-Profit Organizational Accounting,"(3, 3)",Accounting,Graduate,
ACC 741,Advanced Accounting and Management Information Systems,"(3, 3)",Accounting,Graduate,
ACC 750,Advanced Auditing,"(3, 3)",Accounting,Graduate,
ACC 751,Computer Forensics and IT Auditing,"(3, 3)",Accounting,Graduate,
ACC 752,Fraud Examination,"(3, 3)",Accounting,Graduate,
ACC 754,Forensic Accounting: Litigation Support and Expert Witnessing,"(3, 3)",Accounting,Graduate,
ACC 762,Business and Accounting Concepts for Accountants,"(3, 3)",Accounting,Graduate,
ACC 790,Current Topics in Corporate and International Accounting,"(3, 3)",Accounting,Graduate,
ACC 794,Internship: Accounting,"(3, 3)",Accounting,Graduate,
ACC 796,Independent Study-Accounting,"(1, 3)",Accounting,Graduate,
ACC 797,Special Topics in Accounting,"(1, 3)",Accounting,Graduate,
ACC 799,Thesis,"(1, 6)",Accounting,Graduate,
AGB 614,International Agricultural Trade,"(3, 3)",Agricultural Business,Graduate,
AGB 624,Agricultural Prices,"(3, 3)",Agricultural Business,Graduate,
AGB 634,Production Economics,"(3, 3)",Agricultural Business,Graduate,
AGB 644,Legal Aspects of Agriculture,"(3, 3)",Agricultural Business,Graduate,
AGB 654,Agricultural Industry Study,"(2, 2)",Agricultural Business,Graduate,
AGB 674,Advanced Agricultural Risk Management,"(3, 3)",Agricultural Business,Graduate,
AGB 684,Farm Business Management,"(3, 3)",Agricultural Business,Graduate,
AGB 694,Agricultural Entrepreneurship,"(3, 3)",Agricultural Business,Graduate,
AGC 693,Capstone in Agricultural Communications,"(3, 3)",,Graduate,
AGE 608,Teaching Adults in Vocational Education,"(3, 3)",Agricultural Education,Graduate,
AGE 628,Agriculture Education-Special Topics,"(1, 3)",Agricultural Education,Graduate,
AGE 648,Agriculture in the Classroom,"(1, 1)",Agricultural Education,Graduate,
AGE 658,Teaching of Agriculture,"(3, 3)",Agricultural Education,Graduate,
AGE 668,Course and Program Building in Agricultural Education,"(3, 3)",Agricultural Education,Graduate,
AGE 678,Methods of Teaching Agricultural Management,"(2, 2)",Agricultural Education,Graduate,
AGE 688,Methods of Teaching Agricultural Laboratory Management,"(2, 2)",Agricultural Education,Graduate,
AGE 718,Topics in Agricultural Education,"(1, 3)",Agricultural Education,Graduate,
AGE 728,Induction Year Teaching I,"(2, 2)",Agricultural Education,Graduate,
AGE 738,Induction Year Teaching II,"(2, 2)",Agricultural Education,Graduate,
AGN 605,Soil Fertility and Plant Nutrition,"(3, 3)",,Graduate,
AGN 635,Soil Conservation and Water Management,"(3, 3)",,Graduate,
AGN 643,Silviculture,"(3, 3)",,Graduate,
AGN 655,"Soil Genesis, Morphology and Classification","(3, 3)",,Graduate,
AGN 665,Environmental Soil Science,"(3, 3)",,Graduate,
AGN 699,Special Topics in Natural Resources,"(1, 3)",,Graduate,
AGN 725,Advanced Soils Interpretations,"(3, 3)",,Graduate,
AGN 730,Advanced Topics in Natural Resources,"(1, 3)",,Graduate,
AGP 603,Suburban Horticulture,"(3, 3)",,Graduate,
AGP 611,Viticulture,"(3, 3)",,Graduate,
AGP 613,Insects Affecting Horticulture and Forestry Crops,"(3, 3)",,Graduate,
AGP 625,Hydroponic Systems,"(3, 3)",,Graduate,
AGP 633,Crop Physiology,"(3, 3)",,Graduate,
AGP 641,Vegetable Production,"(3, 3)",,Graduate,
AGP 644,High Tunnel Crop Production,"(3, 3)",,Graduate,
AGP 653,Turf Science,"(3, 3)",,Graduate,
AGP 655,Plant Molecular Biology,"(3, 3)",,Graduate,
AGP 660,Site Specific Techniques in Agriculture and Natural Resources,"(3, 3)",,Graduate,
AGP 663,Greenhouse Production,"(3, 3)",,Graduate,
AGP 665,"Grain Crops for Food, Feed and Energy","(3, 3)",,Graduate,
AGP 670,Forage Crops for Animals and the Environment,"(3, 3)",,Graduate,
AGP 673,Plant Propagation,"(3, 3)",,Graduate,
AGP 675,Plant Breeding and Genetics,"(2, 2)",,Graduate,
AGP 676,Plant Breeding and Genetics Lab,"(1, 1)",,Graduate,
AGP 680,Plant Biotechnology,"(3, 3)",,Graduate,
AGP 683,Plant Pathology,"(3, 3)",,Graduate,
AGP 685,Weed Ecology and Management,"(3, 3)",,Graduate,
