courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
4.021,Design Studio: How to Design,3-3,Department of Architecture,,
4.022,Introduction to Architectural Design Techniques,3-6,Department of Architecture,,
4.023,Architecture Design Studio I,12-12,Department of Architecture,,
4.024,Architecture Design Studio II,12-12,Department of Architecture,,
4.02A,Design Studio: How to Design Intensive,2-5,Department of Architecture,,
4.031,Design Studio: Objects and Interaction,3-6,Department of Architecture,,
4.032,Design Studio: Information Design and Visualization,3-6,Department of Architecture,,
4.033,Design Studio: Information Design and Visualization,,Department of Architecture,,
4.041,Design Studio: Advanced Product Design,3-6,Department of Architecture,,
4.043,Design Studio: Interaction Intelligence,3-6,Department of Architecture,,
4.044,Design Studio: Interaction Intelligence,,Department of Architecture,,
4.051,The Human Factor in Innovation and Design Strategy,2-8,Department of Architecture,,
4.053,Visual Communication Fundamentals,3-3,Department of Architecture,,
4.090,Practical Experience in Architecture for Undergraduates,,Department of Architecture,,
4.091,Independent Study in Design,,Department of Architecture,,
4.092,Independent Study in Design,,Department of Architecture,,
4.093,Independent Study in Design,,Department of Architecture,,
4.094,Independent Study in Design,,Department of Architecture,,
4.105,Fundamentals of Computation Design and Fabrication,2-5,Department of Architecture,,
4.109,Materials and Fabrication for Architecture,3-6,Department of Architecture,,
4.110,Design Across Scales and Disciplines,2-2,Department of Architecture,,
4.111,Design Across Scales and Disciplines,2-8,Department of Architecture,,
4.117,Creative Computation,,Department of Architecture,,
4.118,Creative Computation,0-9,Department of Architecture,,
4.120,Furniture Making Workshop,2-5,Department of Architecture,,
4.123,Architectural Assemblies,2-5,Department of Architecture,,
4.130,Architectural Design Theory and Methodologies,3-6,Department of Architecture,,
4.151,Architecture Design Core Studio I,12-9,Department of Architecture,,
4.152,Architecture Design Core Studio II,12-9,Department of Architecture,,
4.153,Architecture Design Core Studio III,12-9,Department of Architecture,,
4.154,Architecture Design Option Studio,10-11,Department of Architecture,,
4.180,Design Workshop,,Department of Architecture,,
4.181,Architectural Design Workshop,,Department of Architecture,,
4.182,Architectural Design Workshop,,Department of Architecture,,
4.189,Preparation for MArch Thesis,1-5,Department of Architecture,,
4.190,Practical Experience in Architecture,,Department of Architecture,,
4.191,Independent Study in Architecture Design,,Department of Architecture,,
4.192,Independent Study in Architecture Design,,Department of Architecture,,
4.193,Independent Study in Architecture Design,,Department of Architecture,,
4.194,Independent Study in Architecture Design,,Department of Architecture,,
4.S00,Special Subject: Design,,Department of Architecture,,
4.S01,Special Subject: Design,,Department of Architecture,,
4.S02,Special Subject: Design,,Department of Architecture,,
4.S03,Special Subject: Design,,Department of Architecture,,
4.S10,Special Subject: Architecture Design,,Department of Architecture,,
4.S11,Special Subject: Architecture Design,,Department of Architecture,,
4.S12,Special Subject: Architecture Design,,Department of Architecture,,
4.S13,Special Subject: Architecture Design,,Department of Architecture,,
4.S14,Special Subject: Architecture Design,,Department of Architecture,,
4.S15,Special Subject: Design,,Department of Architecture,,
4.S16,Special Subject: Architecture Design,,Department of Architecture,,
4.210,Positions: Cultivating Critical Practice,0-6,Department of Architecture,,
4.218,Disaster Resilient Design,0-9,Department of Architecture,,
4.221,Architecture Studies Colloquium,0-1,Department of Architecture,,
4.222,Professional Practice,0-3,Department of Architecture,,
4.227,Landscapes of Energy,0-9,Department of Architecture,,
4.288,Preparation for SMArchS Thesis,,Department of Architecture,,
