courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 6023,Advanced Accounting,3,Adkerson School of Accountancy,Graduate,
ACC 6043,Municipal and Governmental Accounting,3,Adkerson School of Accountancy,Graduate,
ACC 6063,Income Tax II,3,Adkerson School of Accountancy,Graduate,
ACC 6200,Accounting Internship,6,Adkerson School of Accountancy,Graduate,
ACC 6990,Special Topics in Accounting,1-9,Adkerson School of Accountancy,Graduate,
ACC 7000,Directed Individual Study in Accounting,1-6,Adkerson School of Accountancy,Graduate,
ACC 8013,Seminar in Financial Accounting Theory,3,Adkerson School of Accountancy,Graduate,
ACC 8023,Advanced Managerial Accounting,3,Adkerson School of Accountancy,Graduate,
ACC 8033,Assurance and Audit Data Analysis,3,Adkerson School of Accountancy,Graduate,
ACC 8043,Fraud Examination and Data Analysis,3,Adkerson School of Accountancy,Graduate,
ACC 8053,Financial Accounting Policy,3,Adkerson School of Accountancy,Graduate,
ACC 8063,Research in Tax Practice and Procedures,3,Adkerson School of Accountancy,Graduate,
ACC 8073,Taxation of Corporations and Shareholders,3,Adkerson School of Accountancy,Graduate,
ACC 8093,"Taxation of Partnerships, S Corporations, Trusts, and Estates",3,Adkerson School of Accountancy,Graduate,
ACC 8101,Analysis Accounting Data,1,Adkerson School of Accountancy,Graduate,
ACC 8113,Advanced Individual Taxation and Wealth Management,3,Adkerson School of Accountancy,Graduate,
ACC 8123,Tax Topics,3,Adkerson School of Accountancy,Graduate,
ACC 8143,Advanced Accounting Analytics,3,Adkerson School of Accountancy,Graduate,
ACC 8153,Ethics in Accounting,3,Adkerson School of Accountancy,Graduate,
ACC 8163,Multijurisdictional Tax,3,Adkerson School of Accountancy,Graduate,
ACC 8173,"IT Audit, Control, and Data Analysis",3,Adkerson School of Accountancy,Graduate,
ACC 8183,International Accounting,3,Adkerson School of Accountancy,Graduate,
ACC 8203,Advanced Accounting Analysis for Decision Making,3,Adkerson School of Accountancy,Graduate,
ACC 8213,Financial Statement and Management Accounting Report Analysis for Decision Making,3,Adkerson School of Accountancy,Graduate,
ACC 8990,Special Topics in Accounting,1-9,Adkerson School of Accountancy,Graduate,
ACC 9000,Research in Accounting,1-13,Adkerson School of Accountancy,Graduate,
ACC 9013,Seminar in Financial Accounting,3,Adkerson School of Accountancy,Graduate,
ACC 9033,Seminar in Accounting Research,3,Adkerson School of Accountancy,Graduate,
ASE 6013,Directed Project in Aerospace Engineering,3,Aerospace Engineering,Graduate,
ASE 6133,Automatic Control of Aerospace Vehicles,3,Aerospace Engineering,Graduate,
ASE 6153,Advanced Performance,3,Aerospace Engineering,Graduate,
ASE 6163,Introduction to Flight Test Engineering,3,Aerospace Engineering,Graduate,
ASE 6233,Structural Dynamics,3,Aerospace Engineering,Graduate,
ASE 6353,Combustion Theory and Modeling,3,Aerospace Engineering,Graduate,
ASE 6423,Introduction to Computational Fluid Dynamics,3,Aerospace Engineering,Graduate,
ASE 6433,Fundamentals of Numerical Grid Generation,3,Aerospace Engineering,Graduate,
ASE 6553,Engineering Design Optimization,3,Aerospace Engineering,Graduate,
ASE 6713,Introduction to Unmanned Aircraft Systems,3,Aerospace Engineering,Graduate,
