courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAAS 100,Pathways into AAAS,,African American and African Studies,,
AAAS 200,"Black Feminisms: Past, Present, and Futures",,African American and African Studies,,
AAAS 201,"Black Sexualities Studies: Past, Present, and Futures",,African American and African Studies,,
AAAS 202,"Black Genders Studies: Past, Present, and Futures",,African American and African Studies,,
AAAS 300,Communities in Action,,African American and African Studies,,
AAAS 301,"Creative Expression, Culture, and Performance",,African American and African Studies,,
AAAS 302,"Black Institutions, Sustainability, and Statecraft",,African American and African Studies,,
AAAS 303,Black Girlhood Studies,,African American and African Studies,,
AAAS 304,Afrofuturism,,African American and African Studies,,
AAAS 305,Black People and Land,,African American and African Studies,,
AAAS 306,Black Language and Literacy,,African American and African Studies,,
AAAS 307,Creative Expression as Craft,,African American and African Studies,,
AAAS 308,Black Spirituality and Religion,,African American and African Studies,,
AAAS 309,Centering Wellness,,African American and African Studies,,
AAAS 390,Special Topics in Black Studies,,African American and African Studies,,
AAAS 401,Social Media and New Journalism,,African American and African Studies,,
AAAS 402,Producing Culture,,African American and African Studies,,
AAAS 403,Institutions and Oppression,,African American and African Studies,,
AAAS 404,Black Ecologies and Environmental Justice,,African American and African Studies,,
AAAS 405,Black Entrepreneurship and Hustle,,African American and African Studies,,
AAAS 406,Pedagogies of Protest,,African American and African Studies,,
AAAS 490,Independent Study in African American and African Studies,,African American and African Studies,,
AAAS 495,Writing For Our Lives (W),,African American and African Studies,,
AAAS 821,"Collaboration, Research and Methodologies",,African American and African Studies,,
AAAS 830,Introduction to African American Studies,,African American and African Studies,,
AAAS 841,Seminar in Black Feminist Studies,,African American and African Studies,,
AAAS 861,Seminar in Black Sexualities Studies,,African American and African Studies,,
AAAS 871,Seminar in Black Genders Studies,,African American and African Studies,,
AAAS 890,Independent Study in African American and African Studies,,African American and African Studies,,
AAAS 891,Special Topics in African American and African Studies,,African American and African Studies,,
AAAS 892,Master’s Thesis Planning,,African American and African Studies,,
AAAS 893A,Pedagogical Project,,African American and African Studies,,
AAAS 894,Master’s Project Planning,,African American and African Studies,,
AAAS 898,Master’s Capstone Project,,African American and African Studies,,
AAAS 899,Master's Thesis Research,,African American and African Studies,,
AAAS 999,Doctoral Dissertation Research,,African American and African Studies,,
AAE 220,English Grammar and Composition for Non-Native Speakers of English,,Advanced Academic English,,
AAE 221,English Composition for Non-Native Speakers of English,,Advanced Academic English,,
AAE 222,Listening and Speaking for Academic Purposes for Non-Native Speakers of English,,Advanced Academic English,,
AAE 223,Reading for Academic Purposes for Non-Native Speakers of English,,Advanced Academic English,,
AAE 291,Special Topics in Academic English,,Advanced Academic English,,
AAE 451,Effective Oral Communication for International Teaching Assistants,,Advanced Academic English,,
AAE 452,Language of the American Classroom for International Teaching Assistants,,Advanced Academic English,,
AAE 453,Support for In-service International Teaching Assistants,,Advanced Academic English,,
AAE 491,Advanced Special Topics in Academic English,,Advanced Academic English,,
ACC 201,Principles of Financial Accounting,,Accounting,,
ACC 202,Principles of Management Accounting,,Accounting,,
ACC 230,Survey of Accounting Concepts,,Accounting,,
ACC 250,Preparing for an Accounting Career,,Accounting,,
ACC 293,Cooperative Education for Business Students,,Accounting,,
ACC 300,Intermediate Financial Accounting I,,Accounting,,
ACC 301,Intermediate Financial Accounting II,,Accounting,,
ACC 305,Intermediate Accounting for Finance Majors,,Accounting,,
ACC 308,Governmental and Not-for-Profit Accounting,,Accounting,,
ACC 321,Accounting Information Systems,,Accounting,,
ACC 331,Federal Income Tax Accounting,,Accounting,,
ACC 341,Accounting for Management Decision Making,,Accounting,,
ACC 393,Introduction to International Business,,Accounting,,
ACC 411,Auditing,,Accounting,,
ACC 490,Independent Study,,Accounting,,
ACC 491,Special Topics in Accounting and Information Systems,,Accounting,,
ACC 493,Internship,,Accounting,,
