courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
NURA 3020,Foundations Professional Pract,6,Accelerated Nursing,,
NURA 3110,Intro to Gerontology Nursing,3,Accelerated Nursing,,
NURA 3160,Nursing Ethics,3,Accelerated Nursing,,
NURA 3210,Health Assessment,2,Accelerated Nursing,,
NURA 3400,EBP through Nursing Research,3,Accelerated Nursing,,
NURA 3410,Clinical Pharmacology,4,Accelerated Nursing,,
NURA 3500,Mental Health Nursing,5,Accelerated Nursing,,
NURA 3610,Accelerated Pathophysiology,3,Accelerated Nursing,,
NURA 3700,Nursing Health Assessment,3,Accelerated Nursing,,
NURA 3810,Medical Surgical Nurs Care I,6,Accelerated Nursing,,
NURA 3907,Informatics in Nursing,1,Accelerated Nursing,,
NURA 4000,Community Health Nursing,6,Accelerated Nursing,,
NURA 4010,Community Health Nursing,5,Accelerated Nursing,,
NURA 4030,Nursng Care Childbearng Family,5,Accelerated Nursing,,
NURA 4040,Nursing Informatics,3,Accelerated Nursing,,
NURA 4110,Med Surgcl Nursing Care II,6,Accelerated Nursing,,
NURA 4200,Child &amp; Family Health Nursing,5,Accelerated Nursing,,
NURA 4300,Ldrshp Mgmt Prof Nursing Prct,3,Accelerated Nursing,,
NURA 4410,Nursing Research,3,Accelerated Nursing,,
NURA 4710,Ldrship &amp; Managemnt in Nursing,3,Accelerated Nursing,,
NURA 4810,Accel Nursing Senior Expnce,5,Accelerated Nursing,,
NURA 4850,Nursing Senior Experience,5,Accelerated Nursing,,
NURA 498A,Ldrshp Mgmt Prof Nursing Prct,1,Accelerated Nursing,,
NURA 498B,M/S/Leadership Indep Study,1,Accelerated Nursing,,
ACC 1010,Fundamentals of Accounting,3,Accounting,,
ACC 1985,Business Careers Intern,3,Accounting,,
ACC 2010,Principles of Accounting I,3,Accounting,,
ACC 2020,Principles of Accounting II,3,Accounting,,
ACC 3090,Income Tax I,3,Accounting,,
ACC 3100,Income Tax II,3,Accounting,,
ACC 3110,Voluntr Income Tax Asst (VITA),3,Accounting,,
ACC 3120,Financial Leadership for Hosp.,3,Accounting,,
ACC 3130,Accounting for Entrepreneurs,3,Accounting,,
ACC 3200,Governmental Accounting,3,Accounting,,
ACC 3300,Accounting Info Systems,3,Accounting,,
ACC 3400,Cost Accounting,3,Accounting,,
ACC 3510,Intermediate Accounting I,3,Accounting,,
ACC 3520,Intermediate Accounting II,3,Accounting,,
ACC 3700,Risk Assurance and Advisory I,3,Accounting,,
ACC 3750,International Accounting,3,Accounting,,
ACC 3980,Internship Accounting,1-15,Accounting,,
ACC 398A,Taxation of Business Entities,3,Accounting,,
ACC 4090,Tax Procedure and Research,3,Accounting,,
ACC 4200,Auditing and Attestation,3,Accounting,,
ACC 4300,Adv. Auditing &amp; Attestation,3,Accounting,,
ACC 4440,Ethics in Accounting,3,Accounting,,
ACC 4510,Advanced Accounting,3,Accounting,,
ACC 4520,Mergers and Acquisitions,3,Accounting,,
ACC 4650,Fraud: Issues in Acct. &amp; Audit,3,Accounting,,
ACC 49AB,Auditing the Acc Info System,3,Accounting,,
ACC 49AC,Tax Research,3,Accounting,,
ACC 49AD,VITA and Tax Research,3,Accounting,,
ACC 49AE,A Survey of Corporate Taxation,3,Accounting,,
ACC 49AF,Internal Audit Research,3,Accounting,,
AMS 1010,Surv Adv Manufac &amp; Wrkplc Prep,3,Advanced Manufacturing Science,,
AMS 3010,Additive Manuf Stratasys Prep,3,Advanced Manufacturing Science,,
AMS 3980,Industry Internship,1-15,Advanced Manufacturing Science,,
AMS 4700,Team Project Experience,3,Advanced Manufacturing Science,,
AMS 4940,AMS Capstone,3,Advanced Manufacturing Science,,
AMS 4950,Professional Internship,1-15,Advanced Manufacturing Science,,
AES 0345,Aerobatic &amp; Glider Flight Lab,0,Aerospace Science,,
AES 1010,Aviation and Aerosp Management,3,Aerospace Science,,
AES 1040,Intro Unmanned Aircraft System,3,Aerospace Science,,
AES 1041,Unmnnd Arcrft Sytms Flght Ctrl,3,Aerospace Science,,
AES 1050,Introduction to Space,3,Aerospace Science,,
AES 1100,Private Pilot Ground,4,Aerospace Science,,
AES 1400,Aviation Weather,3,Aerospace Science,,
AES 1500,Private Pilot Flight Lab,2,Aerospace Science,,
AES 1710,Instrument Flight Simulation,3,Aerospace Science,,
AES 1910,Aero Industry Expl. &amp; Analysis,3,Aerospace Science,,
AES 1920,Basic Av &amp; Aero Analysis I,1,Aerospace Science,,
AES 1930,Basic Av &amp; Aero Analysis II,1,Aerospace Science,,
AES 1940,Basic Av &amp; Aero Analysis III,1,Aerospace Science,,
AES 1950,Aerospace Digitalization,3,Aerospace Science,,
AES 1960,Aero Workforce Analysis &amp; Dev,3,Aerospace Science,,
AES 2040,Unmanned Sys Flight &amp; Cntrl,4,Aerospace Science,,
AES 2050,Aviation &amp; Aerospc Hist &amp; Devi,3,Aerospace Science,,
AES 2120,Instrument Pilot Ground,4,Aerospace Science,,
AES 2200,Fundament Air Traffic Control,4,Aerospace Science,,
AES 2220,Flight Dispatch &amp; Load Plann.,3,Aerospace Science,,
AES 2330,Precision Flight &amp; Navigation,3,Aerospace Science,,
AES 233A,Precision Flight &amp; Navigtn Lab,0,Aerospace Science,,
AES 2350,Fund. of Aerobatic &amp; Flight,3,Aerospace Science,,
AES 2500,Instrument Pilot Flight Lab,2,Aerospace Science,,
AES 2607,Intro to Aerospace System Sim,3,Aerospace Science,,
AES 2630,Spacecraft Mission Ops. I,3,Aerospace Science,,
AES 2710,Instrument Flight SimulationII,3,Aerospace Science,,
AES 290E,Inter Aerobatic &amp; Glide Flight,0,Aerospace Science,,
AES 3000,Aircraft Systems &amp; Propulsion,3,Aerospace Science,,
AES 3040,Unm. A/C Sys Data Coll and Anl,4,Aerospace Science,,
AES 3130,Commercial Pilot Ground,3,Aerospace Science,,
AES 3220,Aviation &amp; Aerospace Law,3,Aerospace Science,,
AES 3230,Airline Management,3,Aerospace Science,,
AES 3240,Airline Planning,3,Aerospace Science,,
AES 3330,Intermed Prec Flight &amp; Navigat,2,Aerospace Science,,
AES 3340,Advanced Prec Flight &amp; Navigat,1,Aerospace Science,,
AES 3520,Commercial Flight Lab,2,Aerospace Science,,
AES 3530,Aerodynamics,3,Aerospace Science,,
AES 3570,Ground Instructor Practicum,2,Aerospace Science,,
AES 3600,Space Flight Ops I,3,Aerospace Science,,
AES 3607,Orbit Mechanics Aero Sys Sim,3,Aerospace Science,,
AES 3610,Elements of Spcft Design I,3,Aerospace Science,,
AES 3620,Aero Syt Project &amp; Missn Sched,3,Aerospace Science,,
AES 3630,Spacecraft Mission Ops II,3,Aerospace Science,,
AES 3640,Fund of Aero System Analysis,4,Aerospace Science,,
AES 3650,Advanced Flight Technologies,3,Aerospace Science,,
AES 3710,Multi Engine Flight Simultn I,3,Aerospace Science,,
AES 3850,Hum Factors &amp; Physiol of Flgt,3,Aerospace Science,,
AES 3870,Aircraft Accident Investigat,3,Aerospace Science,,
AES 3880,Aviation Security,3,Aerospace Science,,
AES 3980,Internship in Aviation,1-15,Aerospace Science,,
AES 4040,Aircraft Performance,3,Aerospace Science,,
AES 4100,Adv Air Traffic Control,3,Aerospace Science,,
AES 4200,Airport Planning Management I,3,Aerospace Science,,
AES 4210,Airport Planning/Management II,3,Aerospace Science,,
AES 4230,General &amp; Business Aviation Op,3,Aerospace Science,,
AES 4240,Air Cargo Industry,3,Aerospace Science,,
AES 4370,Advanced Navigation Systems,3,Aerospace Science,,
AES 4500,Commercial Flight Lab,2,Aerospace Science,,
AES 4510,Flight Instructor Flight Lab,2,Aerospace Science,,
AES 4520,Flight Instructor- Instrument,1,Aerospace Science,,
AES 4530,Flight Instructor Multi-Engine,1,Aerospace Science,,
AES 4540,FAA Instr Certification-Ground,3,Aerospace Science,,
AES 4550,Flight Helicopter,1,Aerospace Science,,
AES 4560,Crew Resource Management,3,Aerospace Science,,
AES 4570,Airline Transport Pilot,1,Aerospace Science,,
AES 4580,Turbojet Flght Engr Or Typ Rtg,4,Aerospace Science,,
AES 4590,Flight Instructor Practicum,2,Aerospace Science,,
AES 4601,Space Flight Ops II,3,Aerospace Science,,
AES 4602,Aerospace Commercialization Op,3,Aerospace Science,,
AES 4603,Aerospace Op Sys Analysis Dsgn,3,Aerospace Science,,
AES 4610,Aerodynamic Design,3,Aerospace Science,,
AES 4620,Elements of Spcft Design II,3,Aerospace Science,,
AES 4640,Aero Model-Based Sys Analysis,3,Aerospace Science,,
AES 4650,Aero Software &amp; Msn Vis Tools,3,Aerospace Science,,
AES 471A,Turbo Flight Simulation Lab,0,Aerospace Science,,
AES 4860,Aviation Safety,3,Aerospace Science,,
AES 4870,Aviation Safety Prog Managemnt,3,Aerospace Science,,
AES 4910,Av and Aerospace Strat Plan,3,Aerospace Science,,
AES 4930,Prof Flight Standards Seminar,3,Aerospace Science,,
AES 4935,Adv Commercial Aircraft System,4,Aerospace Science,,
AAS 1010,Intro to Africana Studies,3,African American Studies,,
AAS 1030,Soc Justice &amp; Decoloniality,3,African American Studies,,
AAS 1080,Readings in Africana Studies,3,African American Studies,,
AAS 1090,Social Justice and Advocacy,3,African American Studies,,
AAS 1130,Survey of African History,3,African American Studies,,
AAS 1150,Race in U.S. History,3,African American Studies,,
AAS 2000,Social Movements &amp; Black Exper,3,African American Studies,,
AAS 2010,Interdisc Research Methods,3,African American Studies,,
AAS 2090,Black Lives Matter Movement,3,African American Studies,,
AAS 2100,Women of Color,3,African American Studies,,
AAS 2200,Politics and Black People,3,African American Studies,,
AAS 2300,African Peoples &amp; Cultures,3,African American Studies,,
AAS 2400,USA - Africa Relations,3,African American Studies,,
AAS 2900,Intermediate Topics,1-12,African American Studies,,
AAS 3010,Advanced Research Methods,3,African American Studies,,
AAS 3130,Readings in African History,3,African American Studies,,
AAS 3220,Prejudice and Discrimination,3,African American Studies,,
AAS 3240,African American Literature,4,African American Studies,,
AAS 3250,Black Women Writers,3,African American Studies,,
AAS 3300,The Black Community,3,African American Studies,,
AAS 3310,Arts of Africa,3,African American Studies,,
AAS 3330,Egyptian Art,3,African American Studies,,
AAS 3400,Contemporary Africa,3,African American Studies,,
AAS 3405,Human Trafficking Pub Health,3,African American Studies,,
AAS 3440,American Slavery,3,African American Studies,,
AAS 3550,The Black Family,3,African American Studies,,
AAS 3570,African American History I,3,African American Studies,,
AAS 3580,African American History II,3,African American Studies,,
AAS 3610,Caribbean History and Culture,3,African American Studies,,
AAS 3630,The African Diaspora,3,African American Studies,,
AAS 367W,Humn Traffckng &amp; Contmp Slvery,3,African American Studies,,
AAS 3700,Psychology of Group Prejudice,3,African American Studies,,
AAS 3910,African Politics &amp; Government,3,African American Studies,,
AAS 3920,Hip-Hop Culture and Rap Music,3,African American Studies,,
AAS 3930,African Authors,3,African American Studies,,
AAS 3980,Internship in Africana Studies,1-12,African American Studies,,
AAS 398A,African Authors,3,African American Studies,,
AAS 39AB,The Haitian Revolution,3,African American Studies,,
AAS 4010,Educ of African Amer Children,3,African American Studies,,
AAS 4160,Human Trafficking,3,African American Studies,,
AAS 421E,Intro to Black Theatre II,3,African American Studies,,
AAS 4490,Contmp Issues Africana Studies,3,African American Studies,,
AAS 449A,Black Female Identity,3,African American Studies,,
AAS 449D,The Gullah Experience,3,African American Studies,,
AAS 449E,JohnsonSeries:AnOutreachCourse,3,African American Studies,,
AAS 449I,Human Rights and Dev in Africa,3,African American Studies,,
AAS 449J,African/Black Psychology,3,African American Studies,,
AAS 449K,African Americans and the City,3,African American Studies,,
AAS 449L,Rec Leisr in Afr. Am. Commty,3,African American Studies,,
AAS 449M,VT African American Philosophy,3,African American Studies,,
AAS 449N,Afr Am Cvl Rgts &amp; Constitution,3,African American Studies,,
AAS 449O,Intro to Black Theatre I,3,African American Studies,,
AAS 449P,VT: Race and Law,3,African American Studies,,
AAS 4850,Rsrch Seminar Africana Studies,3,African American Studies,,
AAS 490D,Africana Women Forming Identit,3,African American Studies,,
AAS 490E,Octavia E. Butler,3,African American Studies,,
AAS 498F,Rsrch African American Migratn,3,African American Studies,,
AAS 49AB,African Diaspora,3,African American Studies,,
AAS 49AC,Gullah Women and Community,3,African American Studies,,
AGE 1010,Introduction to Aging and LTC,3,Aging Services Leadership,,
AGE 2020,Ageism and Ableism,3,Aging Services Leadership,,
AGE 3030,Aging Srvc: Topics/Trends,3,Aging Services Leadership,,
AGE 3800,Long-Term Care: Mgt Continuum,3,Aging Services Leadership,,
AFR 1010,Heritage and Values I,0-1,Air Force ROTC,,
AFR 1020,Heritage and Values II,1,Air Force ROTC,,
AFR 102A,The Air Force Today 2 Lab,0,Air Force ROTC,,
AFR 2010,Team and Leadership Fundamen I,0-1,Air Force ROTC,,
AFR 2020,Team and Leadership Fundam II,1,Air Force ROTC,,
AFR 202A,The Air Force Way 2 Lab,0,Air Force ROTC,,
AFR 2980,Cooperative Education,1-12,Air Force ROTC,,
AFR 3010,Leading People and Eff Comm I,0-3,Air Force ROTC,,
AFR 3020,Leading People and Eff Comm II,3,Air Force ROTC,,
AFR 302A,Air Force Mgmt &amp; Ldershp Lab,0,Air Force ROTC,,
AFR 3980,Cooperative Education,1-12,Air Force ROTC,,
AFR 4010,Natl Sec Ldshp Comm Prep I,0-3,Air Force ROTC,,
AFR 4020,Natl Sec Ldshp Prep II,3,Air Force ROTC,,
AFR 402A,Natl Security Forces 2 Lab,0,Air Force ROTC,,
ALP 2200,Diversity &amp; Multicultural Educ,3,Alternative Licensure Program,,
ALP 3600,Exceptional Learner in Classrm,3,Alternative Licensure Program,,
ALP 3650,SPED Law and IEP,3,Alternative Licensure Program,,
ALP 3675,Transition Planning &amp; Instr.,3,Alternative Licensure Program,,
ALP 3700,Educ Medical Aspects Dsblties,3,Alternative Licensure Program,,
ALP 3750,Asmt/Mthds/Tech Sev Disabilits,3,Alternative Licensure Program,,
ALP 3820,Literacy Instr Stdnt w Disblti,3,Alternative Licensure Program,,
ALP 3950,Math Inst Stdnt w/disabilities,3,Alternative Licensure Program,,
ALP 4050,Assessment/Instructional Plan,3,Alternative Licensure Program,,
ALP 4200,Reading Dsblts &amp; Content Instc,3,Alternative Licensure Program,,
ALP 4250,Effectve Behavr Support Systms,3,Alternative Licensure Program,,
ALP 4300,Asmt/Mthds Emotnl/Beh Disordrs,3,Alternative Licensure Program,,
ALP 4440,K-12 Practicum in Special Ed.,3-6,Alternative Licensure Program,,
ALP 4490,Sp. Ed. Student Tchg. &amp; Sem.,12,Alternative Licensure Program,,
