courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACTG 2110,Principles of Accounting I,,ACTG,,
ACTG 2120,Principles of Accounting II,,ACTG,,
ACTG 2125,Principles of Accounting II for Accounting Majors,,ACTG,,
ACTG 3000,Survey of Accounting for General Business,,ACTG,,
ACTG 3020,Managerial Accounting,,ACTG,,
ACTG 3110,Intermediate Accounting I,,ACTG,,
ACTG 3120,Intermediate Accounting II,,ACTG,,
ACTG 3300,Managerial Accounting with Data Analytics,,ACTG,,
ACTG 3310,Cost Accounting,,ACTG,,
ACTG 4110,Advanced Financial Accounting,,ACTG,,
ACTG 4310,Accounting for Decision Making,,ACTG,,
ACTG 4420,Accounting Internship,,ACTG,,
ACTG 4510,Accounting Systems,,ACTG,,
ACTG 4530,Individual Income Tax,,ACTG,,
ACTG 4550,Introduction to Federal Income Tax,,ACTG,,
ACTG 4610,Financial Reporting for Governmental and Not-for-Profit Entities,,ACTG,,
ACTG 4620,External Auditing I,,ACTG,,
ACTG 4640,Internal Auditing,,ACTG,,
ACTG 4650,Financial Accounting Standards,,ACTG,,
ACTG 4680,Forensic Accountancy and Fraud Auditing,,ACTG,,
ACTG 4840,Study Abroad,,ACTG,,
ACTG 4980,Independent Study in Accounting,,ACTG,,
ACSI 2100,Introduction to Actuarial Science,,ACSI,,
ACSI 4140,Mathematical Foundations of Actuarial Science,,ACSI,,
ACSI 4200,Introduction to Mathematics of Investment,,ACSI,,
ACSI 4220,Mathematics of Corporate Finance,,ACSI,,
ACSI 4230,Mathematics of Compound Interest,,ACSI,,
ACSI 4240,"Mathematics of Interest Theory, Economics and Finance",,ACSI,,
ACSI 4280,Undergraduate Research,,ACSI,,
ACSI 4330,Actuarial Mathematics I,,ACSI,,
ACSI 4340,Actuarial Mathematics II,,ACSI,,
ACSI 4430,Introduction to Loss Models and Credibility,,ACSI,,
ACSI 4440,Advanced Topics on Loss Models and Credibility,,ACSI,,
ACSI 4530,Rate Making and Loss Reserving,,ACSI,,
ACSI 4600,Problems in Actuarial Science,,ACSI,,
ACSI 4630,Mathematics of Risk Management,,ACSI,,
ACSI 4640,"Mathematics of Options, Futures, and Other Derivatives",,ACSI,,
ADV 2322,Agency Ever Blue Branding I,,ADV,,
ADV 3020,Principles of Advertising,,ADV,,
ADV 3060,Issues in Advertising: Sexuality and Gender,,ADV,,
ADV 3160,Advertising Design and Visuals,,ADV,,
ADV 3170,Advertising Copy and Creativity,,ADV,,
ADV 3322,Agency Ever Blue Branding II,,ADV,,
ADV 3480,Media Strategy and Buying,,ADV,,
ADV 3520,Special Topics in Professional Issues,,ADV,,
ADV 3530,Advanced Advertising Creative,,ADV,,
ADV 3800,Journalism and Media Topics,,ADV,,
ADV 4230,Case Studies in Strategic Communication,,ADV,,
ADV 4250,Interactive Advertising and Social Media,,ADV,,
ADV 4322,Agency Ever Blue Branding III,,ADV,,
ADV 4970,Advertising Campaigns,,ADV,,
ADPR 3080,Ethical Standards and Practices in Advertising and Public Relations,,ADPR,,
ADPR 4950,Advertising and Public Relations Campaigns,,ADPR,,
AERO 1010,Introduction to Aerospace,,AERO,,
AERO 1020,Theory of Flight,,AERO,,
AERO 1230,Aviation Laws and Regulations,,AERO,,
AERO 1340,Introduction to Aerospace Maintenance,,AERO,,
AERO 1380,Aerospace Maintenance Shop Practices,,AERO,,
AERO 1710,Introduction to Unmanned Aircraft Systems,,AERO,,
AERO 2010,Aviation Weather,,AERO,,
AERO 2201,Professional Pilot Flight Lab I,,AERO,,
AERO 2230,Professional Pilot I,,AERO,,
AERO 2331,Airframe Inspection,,AERO,,
AERO 2342,Powerplant Inspection,,AERO,,
AERO 2371,Aircraft Welding,,AERO,,
AERO 2381,"Non-Metallic Structures: Dope, Fabric, and Finishing",,AERO,,
AERO 2710,sUAS Remote Pilot Certification,,AERO,,
AERO 2715,Small Unmanned Aircraft Systems Certification,,AERO,,
AERO 3020,Aerospace Materials,,AERO,,
AERO 3030,Propulsion Fundamentals,,AERO,,
AERO 3080,Aviation Weather II,,AERO,,
AERO 3100,Aerospace in Our Lives,,AERO,,
AERO 3110,Airport Management,,AERO,,
AERO 3160,Aviation Contracts and Leases,,AERO,,
AERO 3170,Aviation Safety,,AERO,,
AERO 3190,Airline Operations Management,,AERO,,
AERO 3202,Cross-Country Flight Lab (25 Hours),,AERO,,
AERO 3203,Professional Pilot Flight Lab II,,AERO,,
AERO 3204,Professional Pilot Flight Lab III,,AERO,,
AERO 3205,Conventional Landing Gear Airplane Flight Lab,,AERO,,
AERO 3210,Professional Pilot II,,AERO,,
AERO 3212,Cross-Country Flight Lab (50 Flight Hours),,AERO,,
AERO 3215,Professional Pilot III,,AERO,,
AERO 3222,High-Altitude Aircraft Operations Flight Lab,,AERO,,
AERO 3223,High-Performance Aircraft Flight Lab,,AERO,,
AERO 3230,Crew Resource Management,,AERO,,
AERO 3240,Professional Pilot IV,,AERO,,
AERO 3241,Air Charter Flight Lab,,AERO,,
AERO 3261,Professional Pilot Flight Lab IV,,AERO,,
AERO 3301,Sheet Metal Repair,,AERO,,
AERO 3322,Aerospace Reciprocating Engine Overhaul,,AERO,,
AERO 3362,Advanced Aerospace Engine Systems Maintenance and Repair,,AERO,,
AERO 3371,Aircraft Finishing and Non-Destructive Inspection,,AERO,,
AERO 3392,Reciprocating Engine Maintenance Repair,,AERO,,
AERO 3440,Fundamentals of Aerodynamics,,AERO,,
AERO 3510,Instrument Operations in the National Airspace System,,AERO,,
AERO 3630,Introduction to Air Traffic Control,,AERO,,
AERO 3710,Unmanned Aircraft,,AERO,,
AERO 3711,Unmanned Aircraft Lab,,AERO,,
AERO 3720,Unmanned Aircraft Systems,,AERO,,
AERO 3721,Unmanned Aircraft Systems Lab,,AERO,,
AERO 3730,Unmanned Remote Sensing,,AERO,,
AERO 3731,Unmanned Remote Sensing Lab,,AERO,,
AERO 3745,Aerial Cinematography I,,AERO,,
AERO 4040,Professional Aviation Pathways,,AERO,,
AERO 4050,Aerospace Internship I,,AERO,,
AERO 4060,Aerospace Internship II,,AERO,,
AERO 4071,Problems in Aerospace,,AERO,,
AERO 4120,Airport Operations,,AERO,,
AERO 4130,Aerospace Physiology,,AERO,,
AERO 4140,Seminar in Airline Administration,,AERO,,
AERO 4150,Fixed Base Operations Management,,AERO,,
AERO 4170,Airport Capacity and Planning,,AERO,,
AERO 4201,Flight Instructor-Airplane Lab,,AERO,,
AERO 4202,Flight Instructor-Instrument Lab,,AERO,,
AERO 4203,Flight Instructor-Multi-Engine Lab,,AERO,,
AERO 4210,Flight Instructor Fundamentals,,AERO,,
AERO 4250,Professional Pilot V,,AERO,,
AERO 4301,Advanced Aerospace Vehicle Structural Repair,,AERO,,
AERO 4310,Aerospace Vehicle Systems,,AERO,,
AERO 4311,Aerospace Accessory Systems Maintenance and Repair,,AERO,,
AERO 4312,Turbine Engine System,,AERO,,
AERO 4332,Reciprocating Engine Troubleshooting,,AERO,,
AERO 4340,Maintenance Management Capstone,,AERO,,
AERO 4342,Turbine Engine Inspection and Troubleshooting,,AERO,,
AERO 4371,Advanced Aerospace Vehicle Systems Overhaul,,AERO,,
AERO 4381,Advanced Aerospace Accessory Systems Maintenance and Repair,,AERO,,
AERO 4392,Aerospace Turbine Engine Maintenance and Overhaul,,AERO,,
AERO 4400,Space,,AERO,,
AERO 4410,Aerospace Technology Research Capstone,,AERO,,
AERO 4440,Aircraft Performance,,AERO,,
AERO 4490,Aerospace Science for Teachers,,AERO,,
AERO 4580,Flight Dispatch and ATP Written Preparation,,AERO,,
AERO 4590,Flight Dispatch,,AERO,,
AERO 4700,Advanced UAS Operations and Applications,,AERO,,
AERO 4701,Advanced UAS Operations and Applications Lab,,AERO,,
AERO 4710,Unmanned Aircraft Systems Operations Capstone,,AERO,,
AERO 4719,Unmanned Aircraft System Flight Lab-Multirotor,,AERO,,
AERO 4720,Unmanned Aircraft Systems Technology Research Capstone I,,AERO,,
AERO 4721,Unmanned Aircraft Systems Technology Research Capstone II,,AERO,,
AERO 4729,Unmanned Aircraft System Flight Lab-Vertical Takeoff and Landing,,AERO,,
AERO 4730,Honors Seminar in Aviation Psychology,,AERO,,
AERO 4739,Unmanned Aircraft System Flight Lab-Fixed-Wing,,AERO,,
AERO 4745,Aerial Cinematography II,,AERO,,
AERO 4775,Unmanned Aircraft Systems in Research and Applications,,AERO,,
