courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC-240,Fundamentals of Accounting,"(4, 4)",,,
ACC-250,Financial Accounting,"(4, 4)",,,
ACC-260,Management Accounting,"(4, 4)",,,
ACC-335,Accounting Information Systems,"(4, 4)",,,
ACC-337,Introduction to Accounting,"(4, 4)",,,
ACC-360,Cost Accounting,"(4, 4)",,,
ACC-361,Intermediate Managerial,"(4, 4)",,,
ACC-370,Intermediate Accounting I,"(4, 4)",,,
ACC-371,Intermediate Accounting II,"(4, 4)",,,
ACC-425,Ethics in Accounting,"(4, 4)",,,
ACC-460,Taxation,"(4, 4)",,,
ACC-465,Taxation II,"(4, 4)",,,
ACC-482,Accounting Capstone,"(4, 4)",,,
ACC-485,Advanced Accounting,"(4, 4)",,,
ACC-486,Financial Statement Analysis,"(4, 4)",,,
ACC-491,Auditing,"(4, 4)",,,
ACC-502,Accounting Practices,"(4, 4)",,,
ACC-614,Accounting Research,"(2, 2)",,,
ACC-616,Financial Research and,"(4, 4)",,,
ACC-622,Accounting Information Systems,"(4, 4)",,,
ACC-650,Managerial Accounting,"(4, 4)",,,
ACC-653,Advanced Managerial and Cost,"(4, 4)",,,
ACC-656,Advanced Accounting,"(4, 4)",,,
ACC-657,Advanced Data Analytics,"(4, 4)",,,
ACC-658,Governmental and Not-For-Profit,"(4, 4)",,,
ACC-660,Advanced Financial Accounting,"(4, 4)",,,
ACC-661,Flow-Through Entities and,"(4, 4)",,,
ACC-663,Personal Financial Advisory,"(4, 4)",,,
ACC-669,Corporate Taxation,"(4, 4)",,,
ACC-670,Advanced Financial Statement,"(4, 4)",,,
ACC-680,Auditing and Data Analytics Core,"(4, 4)",,,
ACC-681,Tax Core,"(4, 4)",,,
ACC-682,Accounting and Data Analytics,"(4, 4)",,,
ACC-683,TCP Discipline Capstone,"(2, 2)",,,
ACC-685,BAR Discipline Capstone,"(2, 2)",,,
ADM-530,Public and Nonprofit,"(4, 4)",,,
ADM-560,"Influence, Power, and Politics in","(4, 4)",,,
ADM-614,Economics for Public,"(4, 4)",,,
ADM-620,Leading Public Organizations,"(4, 4)",,,
ADM-624,Public Governance,"(4, 4)",,,
ADM-626,Public Budgeting and Financial,"(4, 4)",,,
ADM-630,Introduction to the Nonprofit and,"(4, 4)",,,
ADM-634,Policy Studies,"(4, 4)",,,
ADM-638,Fundamentals of Community,"(4, 4)",,,
ADM-640,Program Evaluation,"(4, 4)",,,
ADM-641,Funding and Program Evaluation,"(4, 4)",,,
ADM-645,Strategic Planning and Program,"(4, 4)",,,
ADV-110,Fundamentals of Advertising,"(4, 4)",,,
ADV-250҂,Advanced Design Fundamentals,"(4, 4)",,,
ADV-260∆,Advertising Copywriting,"(4, 4)",,,
ADV-340∆҂,Media Law and Ethics,"(4, 4)",,,
ADV-350∆҂,Digital Advertising Communication,"(4, 4)",,,
ADV-355,Image Creation,"(4, 4)",,,
ADV-371,Design Studio I,"(4, 4)",,,
ADV-456,Design Studio II,"(4, 4)",,,
ADV-471,Design Studio III,"(4, 4)",,,
AES-101,Air Force Today I,"(2, 2)",,,
AES-101A,Heritage and Values I,"(2, 2)",,,
AES-101B,DAF Professionalism,"(2, 2)",,,
AES-102,Leadership Laboratory,"(0, 0)",,,
AES-103,The Air Force Today II,"(2, 2)",,,
AES-103A,Heritage and Values II,"(2, 2)",,,
AES-103B,Competition and Security,"(2, 2)",,,
AES-104,Leadership Laboratory,"(0, 0)",,,
AES-201,Evolution of USAF Air/Space,"(2, 2)",,,
AES-201A,Team and Leadership,"(2, 2)",,,
AES-202,Leadership Laboratory,"(2, 2)",,,
AES-202A,Leadership Laboratory,"(0, 0)",,,
AES-203,Evolution of USAF Air/Space,"(2, 2)",,,
AES-203A,Team and Leadership,"(2, 2)",,,
AES-204,Leadership Laboratory,"(0, 0)",,,
AES-294A,Air Force Physical Fitness,"(2, 2)",,,
AES-294B,Air Force Physical Fitness,"(2, 2)",,,
AES-294C,Air Force Physical Fitness,"(2, 2)",,,
AES-294D,Air Force Physical Fitness,"(2, 2)",,,
AES-294E,Air Force Physical Fitness,"(2, 2)",,,
AES-294F,Air Force Physical Fitness,"(2, 2)",,,
AES-294G,Air Force Physical Fitness,"(2, 2)",,,
AES-294H,Air Force Physical Fitness,"(2, 2)",,,
AES-301,U.S. Air Force Communication,"(3, 3)",,,
AES-301A,Leading People and Effective,"(3, 3)",,,
AES-302,Leadership Laboratory,"(0, 0)",,,
AES-303,Air Force Leadership Studies II,"(3, 3)",,,
AES-303A,Leading People and Effective,"(3, 3)",,,
AES-304,Leadership Laboratory,"(0, 0)",,,
AES-401,National Security Affairs,"(3, 3)",,,
AES-401A,"National Security, Leadership","(3, 3)",,,
AES-402,Leadership Laboratory,"(0, 0)",,,
AES-403A,Regional Security Issues,"(3, 3)",,,
AES-403B,"National Security, Leadership","(3, 3)",,,
AES-404,Leadership Laboratory,"(0, 0)",,,
AIT-104,Data Mining and Machine,"(4, 4)",,,
AIT-110,Statistical Learning Theory,"(4, 4)",,,
AIT-204,Deep Learning,"(4, 4)",,,
AIT-210,Applied Mathematics for AI,"(4, 4)",,,
AMP-450V,Leadership and Vocation,"(3, 3)",,,
ANP-635Ω,Health Promotion and Maintenance,"(4, 4)",,,
ANP-635CEΩ,ANP-635 On-Campus Experience I,"(0, 0)",,,
ANP-650Ω,Adult-Gerontology Acute Care I,"(7, 7)",,,
ANP-652Ω,Adult-Gerontology Acute Care II,"(7, 7)",,,
ANP-654Ω,Adult-Gerontology Acute Care III,"(7, 7)",,,
ANP-654CEΩ,ANP-654 On-Campus Experience,"(0, 0)",,,
ARE-480Ω,Student Teaching: Arts Education,"(12, 12)",,,
ART-220,Creative Collaboration,"(4, 4)",,,
ATP-214Ω,"Care, Treatment, and Prevention of","(3, 3)",,,
ATP-214LΩ,"Care, Treatment, and Prevention of","(1, 1)",,,
ATP-256Ω,Health Promotion and Wellness,"(4, 4)",,,
ATP-301҂Ω,Recognition and Evaluation of,"(3, 3)",,,
ATP-301L҂Ω,Recognition and Evaluation of,"(1, 1)",,,
ATP-302҂Ω,Recognition and Evaluation of,"(3, 3)",,,
ATP-302HN҂,Recognition and Evaluation of,"(3, 3)",,,
ATP-302L҂Ω,Recognition and Evaluation of,"(1, 1)",,,
ATP-310Ω,Injury Prevention and Wellness,"(4, 4)",,,
ATP-315Ω,Emergency Care for Acute Injuries,"(3, 3)",,,
ATP-315LΩ,Emergency Care for Acute Injuries,"(1, 1)",,,
ATP-320Ω,Emergency Care and Lower,"(4, 4)",,,
ATP-322Ω,Therapeutic Modalities,"(3, 3)",,,
ATP-322LΩ,Therapeutic Modalities Lab,"(1, 1)",,,
ATP-330Ω,Therapeutic Modalities and Upper,"(4, 4)",,,
ATP-360҂Ω,Theory of Prescribing Exercise,"(3, 3)",,,
ATP-360HN҂,Theory of Prescribing Exercise,"(3, 3)",,,
ATP-360L҂Ω,Theory of Prescribing Exercise Lab,"(1, 1)",,,
ATP-401҂Ω,General Medical Conditions,"(3, 3)",,,
ATP-401HN҂,General Medical Conditions,"(3, 3)",,,
ATP-401L҂Ω,General Medical Conditions Lab,"(1, 1)",,,
ATP-402Ω,Pharmacology and Advanced,"(4, 4)",,,
ATP-420Ω,Health Care Administration in,"(4, 4)",,,
ATP-440Ω,Therapeutic Interventions Clinical,"(4, 4)",,,
ATP-450Ω,General Medicine and Health Care,"(4, 4)",,,
ATP-460Ω,Advanced Athletic Training,"(4, 4)",,,
ATP-480∆Ω,Athletic Training Capstone,"(3, 3)",,,
ATP-485Ω,Athletic Training Board of,"(1, 1)",,,
ATP-500,Foundations of Professional,"(2, 2)",,,
ATP-500L,Foundations of Professional,"(1, 1)",,,
ATP-510,"Evaluation, Diagnosis, and","(4, 4)",,,
ATP-511,Evaluation and Diagnosis of the,"(3, 3)",,,
ATP-511L,Evaluation and Diagnosis of the,"(1, 1)",,,
ATP-512,Evaluation and Diagnosis of the,"(3, 3)",,,
ATP-512L,Evaluation and Diagnosis of the,"(1, 1)",,,
ATP-515,Emergency Management for,"(3, 3)",,,
ATP-515L,Response to Emergent and,"(1, 1)",,,
ATP-520,Therapeutic Interventions I -,"(3, 3)",,,
ATP-520L,Therapeutic Interventions I -,"(1, 1)",,,
ATP-521,Therapeutic Interventions II -,"(3, 3)",,,
ATP-521L,Therapeutic Interventions II -,"(1, 1)",,,
