courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 200,Introduction to Managerial Accounting,"(3, 3)",Accounting (Acc),,
ACC 210,Concepts of Financial Reporting,"(3, 3)",Accounting (Acc),,
ACC 220,Introduction to Managerial Accounting,"(3, 3)",Accounting (Acc),,
ACC 230,Individual Income Taxation,"(3, 3)",Accounting (Acc),,
ACC 280,Survey of Financial and Managerial Accounting,"(3, 3)",Accounting (Acc),,
ACC 295,Special Topics in Accounting,"(1, 6)",Accounting (Acc),,
ACC 310,Intermediate Financial Accounting I,"(3, 3)",Accounting (Acc),,
ACC 311,Intermediate Financial Accounting II,"(3, 3)",Accounting (Acc),,
ACC 330,An Introduction To Income Taxation,"(3, 3)",Accounting (Acc),,
ACC 340,Accounting Information Systems,"(3, 3)",Accounting (Acc),,
ACC 411,Business Valuation,"(3, 3)",Accounting (Acc),,
ACC 420,Cost Accounting for Effective Management,"(3, 3)",Accounting (Acc),,
ACC 440,"Enterprise Resource Planning Systems: Implementation, Risk, and Analytics","(3, 3)",Accounting (Acc),,
ACC 450,Auditing and Assurance Services,"(3, 3)",Accounting (Acc),,
ACC 451,Internal Auditing,"(3, 3)",Accounting (Acc),,
ACC 452,Accounting Practicum,"(3, 3)",Accounting (Acc),,
ACC 458,Accounting Analytics: From Data to Decisions,"(3, 3)",Accounting (Acc),,
ACC 459,Analytics in Accounting and Finance,"(3, 3)",Accounting (Acc),,
ACC 460,Governmental and Nonprofit Accounting,"(3, 3)",Accounting (Acc),,
ACC 495,Special Topics in Accounting,"(1, 6)",Accounting (Acc),,
ACC 498,Independent Study in Accounting,"(1, 6)",Accounting (Acc),,
ACC 499,Internship in ACC,"(1, 6)",Accounting (Acc),,
ACC 508,Advanced Commercial Law,"(3, 3)",Accounting (Acc),,
ACC 510,Advanced Financial Accounting,"(3, 3)",Accounting (Acc),,
ACC 519,Applied Financial Management,"(3, 3)",Accounting (Acc),,
ACC 520,Advanced Management Accounting,"(3, 3)",Accounting (Acc),,
ACC 530,Advanced Income Tax,"(3, 3)",Accounting (Acc),,
ACC 533,Accounting and Tax Research,"(3, 3)",Accounting (Acc),,
ACC 534,Essentials of Personal Financial Planning,"(3, 3)",Accounting (Acc),,
ACC 535,Jurisdictional Taxation,"(3, 3)",Accounting (Acc),,
ACC 538,Corporate Tax Matters,"(3, 3)",Accounting (Acc),,
ACC 540,IT Risks and Controls,"(3, 3)",Accounting (Acc),,
ACC 544,Business Process Management for the Accounting Professional,"(3, 3)",Accounting (Acc),,
ACC 545,Information Technology Audit,"(3, 3)",Accounting (Acc),,
ACC 550,Advanced Auditing,"(3, 3)",Accounting (Acc),,
ACC 560,Tools for Tax Analytics,"(1, 1)",Accounting (Acc),,
ACC 561,Database Management in Tax,"(1, 1)",Accounting (Acc),,
