courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ARCH 01120,Advanced Career Discovery: Architecture at Notre Dame,0,Department of Architecture,Undergraduate,
ARCH 10211,Introduction to a Global History of Architecture,3,Department of Architecture,Undergraduate,
ARCH 10214,Glbl Arch & Urbsm PreHist-17C,4,Department of Architecture,Undergraduate,
ARCH 10311,Analysis of Architectural Writing,3,Department of Architecture,Undergraduate,
ARCH 10342,Architectural Principles,2,Department of Architecture,Undergraduate,
ARCH 11011,Graphics I: Drawing,3,Department of Architecture,Undergraduate,
ARCH 11014,3D Digital Modeling,4,Department of Architecture,Undergraduate,
ARCH 11021,Graphics II: Drafting,4,Department of Architecture,Undergraduate,
ARCH 11100,Abstract Design,5,Department of Architecture,Undergraduate,
ARCH 11414,hands on wall,5,Department of Architecture,Undergraduate,
ARCH 12211,Introduction to a Global History of Architecture - Discussion Section,0,Department of Architecture,Undergraduate,
ARCH 12727,Skill Development in Math,1,Department of Architecture,Undergraduate,
ARCH 20111,Introduction to Architecture II - Theory and Composition,3,Department of Architecture,Undergraduate,
ARCH 20211,History of Architecture I,3,Department of Architecture,Undergraduate,
ARCH 20214,Global Arch & Urb 15th-21st C,3,Department of Architecture,Undergraduate,
ARCH 20221,Architectural History II,3,Department of Architecture,Undergraduate,
ARCH 20303,Watercolor I,3,Department of Architecture,Undergraduate,
ARCH 20411,Building Technology I,3,Department of Architecture,Undergraduate,
ARCH 20511,Principles of Structural Engineering,3,Department of Architecture,Undergraduate,
ARCH 20694,Introduction to Urban Studies,3,Department of Architecture,Undergraduate,
ARCH 21011,Introduction to Architecture I - The Architect's Eye,3,Department of Architecture,Undergraduate,
ARCH 21111,Design I,6,Department of Architecture,Undergraduate,
ARCH 21121,Design II,6,Department of Architecture,Undergraduate,
ARCH 23222,Give Me Shelter,0-8,Department of Architecture,Undergraduate,
ARCH 23611,Sustainability in Design,3,Department of Architecture,Undergraduate,
ARCH 24200,Experiencing Architecture,3,Department of Architecture,Undergraduate,
ARCH 24201,Arte y Arquitectura en Espana: Periodos y Estilos,3,Department of Architecture,Undergraduate,
ARCH 24202,Contemporary Architecture: The Pritzker Prize Winners,3,Department of Architecture,Undergraduate,
ARCH 24222,Introduction to Urban Design,3,Department of Architecture,Undergraduate,
ARCH 24611,Sustainable by Design,3,Department of Architecture,Undergraduate,
ARCH 30222,Italian Urbanism & Architecture II,3,Department of Architecture,Undergraduate,
ARCH 31022,Graphics IV: Watercolor,3,Department of Architecture,Undergraduate,
ARCH 34012,Advanced Graphics: Freehand Drawing,3,Department of Architecture,Undergraduate,
ARCH 34022,Advanced Graphics: Watercolor,3,Department of Architecture,Undergraduate,
ARCH 34112,Design III,6,Department of Architecture,Undergraduate,
ARCH 34122,Design IV,6,Department of Architecture,Undergraduate,
ARCH 34212,Roman Urbanism and Architecture I,3,Department of Architecture,Undergraduate,
ARCH 34213,Independent Studies - Remote,3,Department of Architecture,Undergraduate,
ARCH 34222,Roman Urbanism and Architecture II,3,Department of Architecture,Undergraduate,
ARCH 34233,Goan Architecture 1510 - pre,3,Department of Architecture,Undergraduate,
ARCH 34301,The Italian Experience: Roman Cultural Enrichment for Architecture Students I,1,Department of Architecture,Undergraduate,
ARCH 34302,The Italian Experience: Roman Cultural Enrichment for Architecture Students II,1,Department of Architecture,Undergraduate,
ARCH 34303,Ancient Greek Architecture: Archaic to Roman Monuments,3,Department of Architecture,Undergraduate,
ARCH 34311,Roman Urbanism & Architecture,3,Department of Architecture,Undergraduate,
ARCH 34312,Architectural History III,3,Department of Architecture,Undergraduate,
ARCH 34322,Architectural History IV,3,Department of Architecture,Undergraduate,
ARCH 34369,Geographical Perspectives on Rural Change,3,Department of Architecture,Undergraduate,
ARCH 34371,Urban Architecture: Contemporary stories in an Ancient City,3,Department of Architecture,Undergraduate,
ARCH 34939,Exploring the Sustainable City,3,Department of Architecture,Undergraduate,
ARCH 37111,Independent Studies,0-3,Department of Architecture,Undergraduate,
ARCH 40411,Environmental Systems I,3,Department of Architecture,Undergraduate,
ARCH 40421,Building Technology II,3,Department of Architecture,Undergraduate,
ARCH 40424,History of Christian Architecture,3,Department of Architecture,Undergraduate,
ARCH 40511,Structural Design-for Architect,3,Department of Architecture,Undergraduate,
ARCH 40521,Applied Structural Systems,3,Department of Architecture,Undergraduate,
ARCH 40711,"Building the Affordable House: Seeking Solutions That Are Well-Designed, Well-Built, and Affordable",3,Department of Architecture,Undergraduate,
ARCH 40811,Painting with Light: An Examination of Stained Glass through History,3,Department of Architecture,Undergraduate,
ARCH 41011,Graphics V: Computers,3,Department of Architecture,Undergraduate,
ARCH 41110,Berlin Summer Studio Completion,5,Department of Architecture,Undergraduate,
ARCH 41111,Design V,6,Department of Architecture,Undergraduate,
ARCH 41121,Design VI,6,Department of Architecture,Undergraduate,
ARCH 41711,Charrette Lab,3,Department of Architecture,Undergraduate,
ARCH 41811,Beginning Furniture,3,Department of Architecture,Undergraduate,
ARCH 41821,Advanced Furniture,3,Department of Architecture,Undergraduate,
ARCH 43201,American Housing & Social Justice: The History of Housing Segregation & Future of Equitable Cities,3,Department of Architecture,Undergraduate,
ARCH 43213,The Renaissance City and the Natural World: Architectural History and the Environmental Humanities,3,Department of Architecture,Undergraduate,
