courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACT 120,Fraud in Business & Society: Responsibility and Impact [SOCR],,ACT,,
ACT 201,Practical Accounting Procedures,,ACT,,
ACT 230,Fundamentals of Financial Accounting,,ACT,,
ACT 240,Fundamentals of Managerial Accounting,,ACT,,
ACT 301,Financial Accounting I,,ACT,,
ACT 302,Financial Accounting II,,ACT,,
ACT 311,Cost Accounting,,ACT,,
ACT 321,Federal Income Taxation,,ACT,,
ACT 331,Accounting Information Systems,,ACT,,
ACT 403,Financial Accounting III,,ACT,,
ACT 422,Advanced Federal Taxation,,ACT,,
ACT 441,Auditing,,ACT,,
ACT 482,Accounting for Government and Non-Profit Enterprises,,ACT,,
ACT 491,Internship in Accounting,,ACT,,
ACT 495,Variable Topics in Accounting,,ACT,,
ACT 498,Directed Study in Accounting,,ACT,,
AH 102,Growth and Development [INTT],,AH,,
AH 107,Clinical Pharmacology Lecture,,AH,,
AH 171,Medical Terminology,,AH,,
AH 203,Nutrition for Health Professions,,AH,,
AH 336,Health Care in a Multi-Cultural Society [SOCR] [GCIT],,AH,,
AN 100,Introduction to Socio-Cultural Anthropology [SOCR] [GCIT],,AN,,
AN 101,Introduction to Physical Anthropology and Archaeology,,AN,,
AN 110,Introduction to Anthropology [PERS],,AN,,
AN 200,Biological Anthropology,,AN,,
AN 201,Fundamentals of Archaeology,,AN,,
AN 215,Human Evolution,,AN,,
AN 220,Introduction to Linguistic Anthropology,,AN,,
AN 240,Cultural Resource Management in Archaeology,,AN,,
AN 265,Archaeology of the Ancient Americas,,AN,,
AN 287,"Culture, Society, and Happiness [INTT]",,AN,,
AN 295,Special Topics in Anthropology,,AN,,
AN 312,Religion and Society,,AN,,
AN 315,"Myth, Mystery, and Fraud in Anthropology",,AN,,
AN 320,Native Peoples of North America [GCIT],,AN,,
AN 330,Native Peoples of the Great Lakes,,AN,,
AN 338,Visual Anthropology,,AN,,
AN 340,Ethnographic Field Methods,,AN,,
AN 355,Archaeological Field Methods/Field School,,AN,,
AN 360,Forensic Taphonomy,,AN,,
AN 365,Forensic Anthropology,,AN,,
AN 375,Archaeology Lab Methods,,AN,,
AN 383,Medical Anthropology,,AN,,
AN 390,Museum Studies,,AN,,
AN 420,Experimental Archaeology,,AN,,
AN 430,Historical Archaeology,,AN,,
AN 438,Applied and Public Anthropology,,AN,,
AN 440,History of Anthropology,,AN,,
AN 450,Investigative Field Methods,,AN,,
AN 470,Culture and Power,,AN,,
AN 473,Human Osteology,,AN,,
AN 475,Bioarchaeology,,AN,,
AN 476,The Biocultural Body,,AN,,
AN 477,Ethics in Biological Anthropology,,AN,,
AN 478,Modern Human Variation,,AN,,
AN 491,Internship in Anthropology,,AN,,
AN 492,Teaching Assistant in Anthropology,,AN,,
AN 495,Special Topics in Anthropology,,AN,,
AN 498,Directed Study in Anthropology,,AN,,
AD 101,Process and Design,,AD,,
AD 102,Foundational Drawing,,AD,,
AD 108,Artificial Intelligence and Visual Art [INTT],,AD,,
AD 110,Ideas in Art and Design History,,AD,,
AD 181,Visual Literacy in Global Culture [HUME],,AD,,
AD 200,Native American Art and Architecture [GCIT],,AD,,
AD 230,History of World Art: Ancient to Medieval [HUME],,AD,,
AD 235,Introduction to Game Design [INTT],,AD,,
AD 240,History of World Art: Renaissance to Modern [HUME],,AD,,
AD 260,American Art and Architecture [HUME],,AD,,
AD 265,Art and Architecture of Japan [GCIT],,AD,,
