courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 1201,Financial Accounting and Reporting,"(4, 4)",Accounting (Acct),,
ACCT 1209,Financial Accounting and Reporting,"(4, 4)",Accounting (Acct),,
ACCT 1990,Elective,"(1, 4)",Accounting (Acct),,
ACCT 2301,Profit Analysis for Managers and Advisors,"(4, 4)",Accounting (Acct),,
ACCT 2990,Elective,"(1, 4)",Accounting (Acct),,
ACCT 3304,Business Law and Professional Ethics,"(4, 4)",Accounting (Acct),,
ACCT 3401,Financial Reporting and Analysis 1,"(4, 4)",Accounting (Acct),,
ACCT 3402,Financial Reporting and Financial Statement Analysis,"(4, 4)",Accounting (Acct),,
ACCT 3403,Advisory Services and Emerging Accounting Systems,"(4, 4)",Accounting (Acct),,
ACCT 3416,Strategic Cost Analysis for Decision Making,"(4, 4)",Accounting (Acct),,
ACCT 3990,Elective,"(1, 4)",Accounting (Acct),,
ACCT 4412,Auditing and Other Assurance Services,"(4, 4)",Accounting (Acct),,
ACCT 4414,Income Tax Determination and Planning,"(4, 4)",Accounting (Acct),,
ACCT 4501,Financial Reporting and Analysis 2,"(4, 4)",Accounting (Acct),,
ACCT 4990,Elective,"(1, 4)",Accounting (Acct),,
ACCT 4992,Directed Study,"(1, 4)",Accounting (Acct),,
ACCT 5201,Foundations of Financial Reporting and Analysis 1,"(3, 3)",Accounting (Acct),,
ACCT 5202,Foundations of Assurance Services,"(3, 3)",Accounting (Acct),,
ACCT 5203,Foundations of Income Tax Determination and Planning,"(3, 3)",Accounting (Acct),,
ACCT 5204,Foundations of Financial Reporting and Analysis 2,"(3, 3)",Accounting (Acct),,
ACCT 5220,Data Analytics for Advisory Services,"(4, 4)",Accounting (Acct),,
ACCT 5230,Federal Tax Issues and Analysis,"(3, 3)",Accounting (Acct),,
ACCT 5232,Estate and Gift Taxation,"(3, 3)",Accounting (Acct),,
ACCT 5255,Forensic Accounting,"(3, 3)",Accounting (Acct),,
ACCT 5256,Internal Auditing,"(3, 3)",Accounting (Acct),,
ACCT 5976,Directed Study,"(1, 4)",Accounting (Acct),,
ACCT 6200,Financial Reporting and Managerial Decision Making 1,"(3, 3)",Accounting (Acct),,
ACCT 6201,Financial Reporting and Managerial Decision Making 2,"(2, 2)",Accounting (Acct),,
ACCT 6203,Business Entity Taxation,"(3, 3)",Accounting (Acct),,
ACCT 6204,Financial Reporting for Integrated Multinational Enterprises,"(3, 3)",Accounting (Acct),,
ACCT 6205,Auditing in a Big Data Environment,"(3, 3)",Accounting (Acct),,
ACCT 6207,Contemporary and Emerging Issues in Financial Reporting,"(3, 3)",Accounting (Acct),,
ACCT 6216,Financial Reporting for Governments and Nonprofit Entities,"(2, 2)",Accounting (Acct),,
ACCT 6217,"Corporate Governance, Ethics, and Financial Reporting","(3, 3)",Accounting (Acct),,
ACCT 6220,Corporate Financial Reporting and Decision Making 1,"(3, 3)",Accounting (Acct),,
ACCT 6221,Corporate Financial Reporting and Decision Making 2,"(6, 6)",Accounting (Acct),,
ACCT 6222,Corporate and Governmental/Nonprofit Financial Reporting and Decision Making,"(6, 6)",Accounting (Acct),,
ACCT 6223,Audit and Other Assurance Services,"(6, 6)",Accounting (Acct),,
ACCT 6224,Taxation of Individuals and Business Entities,"(6, 6)",Accounting (Acct),,
ACCT 6226,Strategic Cost Management,"(3, 3)",Accounting (Acct),,
ACCT 6227,Accounting for Business Combinations,"(3, 3)",Accounting (Acct),,
ACCT 6228,Contemporary Issues in Accounting Theory,"(3, 3)",Accounting (Acct),,
ACCT 6229,Accounting for Foreign Currency Transactions,"(1, 1)",Accounting (Acct),,
ACCT 6231,Corporations and Shareholders,"(3, 3)",Accounting (Acct),,
ACCT 6235,Partners and Partnerships,"(3, 3)",Accounting (Acct),,
ACCT 6239,State and Local Taxation,"(3, 3)",Accounting (Acct),,
ACCT 6240,International Taxation: Inbound Transactions,"(3, 3)",Accounting (Acct),,
ACCT 6241,International Taxation: Outbound Transactions,"(3, 3)",Accounting (Acct),,
ACCT 6243,Advanced Flow-Through Entities,"(3, 3)",Accounting (Acct),,
ACCT 6248,Income Taxation of Trusts and Estates,"(3, 3)",Accounting (Acct),,
ACCT 6250,Financial Planning for Insurance,"(3, 3)",Accounting (Acct),,
ACCT 6253,Ethics in the Accounting Profession,"(3, 3)",Accounting (Acct),,
ACCT 6254,Accounting Research and Communication,"(3, 3)",Accounting (Acct),,
ACCT 6264,Planning for Estate Tax Issues,"(3, 3)",Accounting (Acct),,
ACCT 6265,Tax Accounting for Income Taxes,"(3, 3)",Accounting (Acct),,
ACCT 6292,"Tax Research, Practice, and Ethics","(3, 3)",Accounting (Acct),,
ACCT 6318,Analyzing Accounting Data for Strategic Decision Making,"(2, 2)",Accounting (Acct),,
ACCT 6962,Elective,"(1, 4)",Accounting (Acct),,
ACCT 7976,Directed Study,"(1, 4)",Accounting (Acct),,
ACC 1990,Elective,"(1, 4)",Cps (Acc),,
ACC 2100,Financial Accounting,"(3, 3)",Cps (Acc),,
ACC 2200,Managerial Accounting,"(3, 3)",Cps (Acc),,
ACC 2300,Cost Accounting,"(3, 3)",Cps (Acc),,
ACC 3201,Financial Reporting and Analysis 1,"(3, 3)",Cps (Acc),,
ACC 3202,Financial Reporting and Analysis 2,"(3, 3)",Cps (Acc),,
ACC 3330,Principles of Auditing,"(3, 3)",Cps (Acc),,
ACC 3410,Principles of Taxation,"(3, 3)",Cps (Acc),,
ACC 3990,Elective,"(1, 4)",Cps (Acc),,
ACC 4320,Financial Statement Analysis,"(3, 3)",Cps (Acc),,
ACC 4410,Advanced Taxation,"(3, 3)",Cps (Acc),,
ACC 4420,Advanced Accounting,"(3, 3)",Cps (Acc),,
ACC 4955,Project,"(1, 4)",Cps (Acc),,
ACC 4990,Elective,"(1, 4)",Cps (Acc),,
ACC 6210,Forensic Accounting Principles,"(3, 3)",Cps (Acc),,
ACC 6220,Dissecting Financial Statements,"(3, 3)",Cps (Acc),,
ACC 6230,Investigative Accounting and Fraud Examination,"(3, 3)",Cps (Acc),,
ACC 6240,Litigation Support,"(3, 3)",Cps (Acc),,
ACC 6962,Elective,"(1, 4)",Cps (Acc),,
AVM 1100,Fundamental Measurement Analysis,"(3, 3)",Cps (Avm),,
AVM 1150,Fundamentals of Manufacturing Systems,"(3, 3)",Cps (Avm),,
AVM 1990,Elective,"(1, 4)",Cps (Avm),,
AVM 2200,Composite Materials and Applications,"(3, 3)",Cps (Avm),,
AVM 2250,Materials Performance and Applications,"(3, 3)",Cps (Avm),,
AVM 2990,Elective,"(1, 4)",Cps (Avm),,
AVM 3000,Materials Processing,"(3, 3)",Cps (Avm),,
AVM 3100,Nondestructive Testing,"(3, 3)",Cps (Avm),,
AVM 3500,Business Operations and Supply Chain,"(3, 3)",Cps (Avm),,
AVM 4100,Mechatronics,"(3, 3)",Cps (Avm),,
AVM 4150,Automation 1,"(3, 3)",Cps (Avm),,
AVM 4160,Automation 2,"(3, 3)",Cps (Avm),,
AVM 4250,Hydraulics and Pneumatics,"(3, 3)",Cps (Avm),,
AVM 4300,Advanced Manufacturing and Additive Processes,"(3, 3)",Cps (Avm),,
AFAM 1990,Elective,"(1, 4)",African American Studies (Afam),,
AFAM 2990,Elective,"(1, 4)",African American Studies (Afam),,
AFAM 3990,Elective,"(1, 4)",African American Studies (Afam),,
AFAM 4990,Elective,"(1, 4)",African American Studies (Afam),,
AFCS 1101,Introduction to African American and Africana Studies,"(4, 4)",Africana Studies (Afcs),,
AFCS 1113,Black Popular Culture,"(4, 4)",Africana Studies (Afcs),,
AFCS 1140,Introduction to African-American History,"(4, 4)",Africana Studies (Afcs),,
AFCS 1225,"Gender, Race, and Medicine","(4, 4)",Africana Studies (Afcs),,
AFCS 1261,Global Caribbean,"(4, 4)",Africana Studies (Afcs),,
AFCS 1270,Introduction to Global Health,"(4, 4)",Africana Studies (Afcs),,
AFCS 1990,Elective,"(1, 4)",Africana Studies (Afcs),,
AFCS 2270,"Race, Ethnicity, and Inequality","(4, 4)",Africana Studies (Afcs),,
AFCS 2296,Early African-American Literature,"(4, 4)",Africana Studies (Afcs),,
AFCS 2318,New England Stories: Storytelling and the African American Experience,"(4, 4)",Africana Studies (Afcs),,
AFCS 2325,Black Feminist Studies,"(4, 4)",Africana Studies (Afcs),,
AFCS 2330,Afro-Latin American Studies,"(4, 4)",Africana Studies (Afcs),,
AFCS 2337,African American History Before 1900,"(4, 4)",Africana Studies (Afcs),,
AFCS 2355,"Race, Identity, Social Change, and Empowerment","(4, 4)",Africana Studies (Afcs),,
AFCS 2380,Black Families and Incarceration,"(4, 4)",Africana Studies (Afcs),,
AFCS 2390,Africa and the World in Early Times,"(4, 4)",Africana Studies (Afcs),,
AFCS 2410,"Possession, Sacrifice, and Divination in African Diasporic Religions","(4, 4)",Africana Studies (Afcs),,
AFCS 2455,American Women Writers,"(4, 4)",Africana Studies (Afcs),,
AFCS 2600,"Issues in Race, Science, and Technology","(4, 4)",Africana Studies (Afcs),,
AFCS 2618,Community Psychology,"(4, 4)",Africana Studies (Afcs),,
AFCS 2619,Race and Religion in Film,"(4, 4)",Africana Studies (Afcs),,
AFCS 2690,Boston in Literature,"(4, 4)",Africana Studies (Afcs),,
AFCS 2900,"Swahili, Culture, and Politics in Kenya","(4, 4)",Africana Studies (Afcs),,
AFCS 2973,Topics in Africana Studies,"(4, 4)",Africana Studies (Afcs),,
AFCS 2990,Elective,"(1, 4)",Africana Studies (Afcs),,
AFCS 2991,Research Practicum,"(2, 4)",Africana Studies (Afcs),,
AFCS 3120,"Race, Crime, and Justice","(4, 4)",Africana Studies (Afcs),,
AFCS 3210,"Black Abolition Studies: Carcerality, Liberation, and Resistance","(4, 4)",Africana Studies (Afcs),,
AFCS 3305,"Beyond the Binary: Race, Sex, and Science","(4, 4)",Africana Studies (Afcs),,
AFCS 3323,"Race, Inequality, and the Law","(4, 4)",Africana Studies (Afcs),,
AFCS 3404,African American Rhetorical Traditions,"(4, 4)",Africana Studies (Afcs),,
AFCS 3424,Epidemiology of Pandemic Diseases and Health Disparities in the African Diaspora,"(4, 4)",Africana Studies (Afcs),,
AFCS 3512,"Religion, Race, and Politics","(4, 4)",Africana Studies (Afcs),,
AFCS 3664,Black Poetry and the Spoken Word,"(4, 4)",Africana Studies (Afcs),,
AFCS 3900,Gender and Black World Literatures,"(4, 4)",Africana Studies (Afcs),,
AFCS 3990,Elective,"(1, 4)",Africana Studies (Afcs),,
AFCS 4526,Afro-Asian Relations in the Americas,"(4, 4)",Africana Studies (Afcs),,
AFCS 4588,Literature in Context,"(4, 4)",Africana Studies (Afcs),,
AFCS 4700,Capstone,"(4, 4)",Africana Studies (Afcs),,
AFCS 4939,"Community Health, Culture, and Development in Kenya","(4, 4)",Africana Studies (Afcs),,
AFCS 4973,Topics in African American Studies,"(4, 4)",Africana Studies (Afcs),,
AFCS 4990,Elective,"(1, 4)",Africana Studies (Afcs),,
AFCS 4991,Research,"(4, 4)",Africana Studies (Afcs),,
AFCS 4992,Directed Study,"(1, 4)",Africana Studies (Afcs),,
AFCS 5001,Special Topics in Race and the Law,"(4, 4)",Africana Studies (Afcs),,
AFCS 5544,Seminar in Black Leadership,"(4, 4)",Africana Studies (Afcs),,
AFCS 6962,Elective,"(1, 4)",Africana Studies (Afcs),,
AFRS 1990,Elective,"(1, 4)",African Studies (Afrs),,
AFRS 2392,African Diaspora,"(4, 4)",African Studies (Afrs),,
AFRS 2990,Elective,"(1, 4)",African Studies (Afrs),,
AFRS 3990,Elective,"(1, 4)",African Studies (Afrs),,
AFRS 4990,Elective,"(1, 4)",African Studies (Afrs),,
AFRS 6962,Elective,"(1, 4)",African Studies (Afrs),,
AMSL 1101,Elementary ASL 1,"(4, 4)",American Sign Language (Amsl),,
AMSL 1102,Elementary ASL 2,"(4, 4)",American Sign Language (Amsl),,
AMSL 1511,ASL Classifiers,"(4, 4)",American Sign Language (Amsl),,
AMSL 1512,ASL Numbers and Fingerspelling,"(4, 4)",American Sign Language (Amsl),,
AMSL 1990,Elective,"(1, 4)",American Sign Language (Amsl),,
AMSL 2101,Intermediate ASL 1,"(4, 4)",American Sign Language (Amsl),,
AMSL 2102,Intermediate ASL 2,"(4, 4)",American Sign Language (Amsl),,
AMSL 2900,Specialized Instruction in ASL,"(1, 4)",American Sign Language (Amsl),,
AMSL 2990,Elective,"(1, 4)",American Sign Language (Amsl),,
AMSL 3101,Advanced ASL 1,"(4, 4)",American Sign Language (Amsl),,
AMSL 3102,Advanced ASL 2,"(4, 4)",American Sign Language (Amsl),,
AMSL 3990,Elective,"(1, 4)",American Sign Language (Amsl),,
AMSL 4990,Elective,"(1, 4)",American Sign Language (Amsl),,
AMSL 4992,Directed Study,"(1, 4)",American Sign Language (Amsl),,
AMSL 5901,Gallaudet University Program,"(20, 20)",American Sign Language (Amsl),,
ALY 1990,Elective,"(1, 4)",Cps (Aly),,
ALY 2010,Probability Theory and Introductory Statistics,"(3, 3)",Cps (Aly),,
ALY 2100,Introduction to Programming for Data Analytics,"(3, 3)",Cps (Aly),,
ALY 3015,Intermediate Statistics for Data Analytics,"(3, 3)",Cps (Aly),,
ALY 3040,Data Mining,"(3, 3)",Cps (Aly),,
ALY 3070,Communication and Visualization for Data Analytics,"(3, 3)",Cps (Aly),,
ALY 3110,Big Data and Web Mining,"(3, 3)",Cps (Aly),,
ALY 4000,Analytics Using R,"(3, 3)",Cps (Aly),,
ALY 4020,Predictive Analytics Using R and Python,"(3, 3)",Cps (Aly),,
ALY 4850,Analytics Capstone,"(3, 3)",Cps (Aly),,
ALY 5000,Introduction to Analytics,"(3, 3)",Cps (Aly),,
ALY 5010,Probability Theory and Introductory Statistics,"(3, 3)",Cps (Aly),,
ALY 5015,Intermediate Analytics,"(3, 3)",Cps (Aly),,
ALY 5030,Data Warehousing and SQL,"(3, 3)",Cps (Aly),,
ALY 5050,Introduction to Enterprise Analytics,"(3, 3)",Cps (Aly),,
ALY 5070,Communication and Visualization for Data Analytics,"(3, 3)",Cps (Aly),,
ALY 6000,Introduction to Analytics,"(3, 3)",Cps (Aly),,
ALY 6010,Probability Theory and Introductory Statistics,"(3, 3)",Cps (Aly),,
ALY 6015,Intermediate Analytics,"(3, 3)",Cps (Aly),,
ALY 6020,Predictive Analytics,"(3, 3)",Cps (Aly),,
ALY 6030,Data Warehousing and SQL,"(3, 3)",Cps (Aly),,
ALY 6040,Data Mining Applications,"(3, 3)",Cps (Aly),,
ALY 6050,Introduction to Enterprise Analytics,"(3, 3)",Cps (Aly),,
ALY 6060,Decision Support and Business Intelligence,"(3, 3)",Cps (Aly),,
ALY 6070,Communication and Visualization for Data Analytics,"(3, 3)",Cps (Aly),,
ALY 6080,Integrated Experiential Learning,"(3, 3)",Cps (Aly),,
ALY 6110,Data Management and Big Data,"(3, 3)",Cps (Aly),,
ALY 6120,Leadership in Analytics,"(3, 3)",Cps (Aly),,
ALY 6130,Risk Management for Analytics,"(3, 3)",Cps (Aly),,
ALY 6140,Python and Analytics Systems Technology,"(3, 3)",Cps (Aly),,
ALY 6150,Healthcare/Pharmaceutical Data and Applications,"(3, 3)",Cps (Aly),,
ALY 6980,Capstone,"(3, 3)",Cps (Aly),,
ALY 6983,Topics,"(3, 3)",Cps (Aly),,
ALY 6995,Project,"(1, 4)",Cps (Aly),,
ANTH 1000,Anthropology at Northeastern,"(1, 1)",Anthropology (Anth),,
ANTH 1101,Peoples and Cultures,"(4, 4)",Anthropology (Anth),,
ANTH 1990,Elective,"(1, 4)",Anthropology (Anth),,
ANTH 2302,Gender and Sexuality: A Cross-Cultural Perspective,"(4, 4)",Anthropology (Anth),,
ANTH 2305,Global Markets and Local Culture,"(4, 4)",Anthropology (Anth),,
ANTH 2315,Religion and Modernity,"(4, 4)",Anthropology (Anth),,
ANTH 2485,"Environment, Technology, and Society","(4, 4)",Anthropology (Anth),,
ANTH 2990,Elective,"(1, 4)",Anthropology (Anth),,
ANTH 2991,Research Practicum,"(2, 4)",Anthropology (Anth),,
ANTH 3100,"Gender, Social Justice, and Transnational Activism","(4, 4)",Anthropology (Anth),,
ANTH 3200,Cities in Global Context,"(4, 4)",Anthropology (Anth),,
ANTH 3410,Ethnographic Field Experience,"(4, 4)",Anthropology (Anth),,
ANTH 3417,Political Anthropology,"(4, 4)",Anthropology (Anth),,
ANTH 3418,Wired/Unwired: Cybercultures and Technopolitics,"(4, 4)",Anthropology (Anth),,
ANTH 3421,Foundations of Anthropological Theory,"(4, 4)",Anthropology (Anth),,
ANTH 3441,Medical Anthropology,"(4, 4)",Anthropology (Anth),,
ANTH 3442,Anthropology of Law,"(4, 4)",Anthropology (Anth),,
ANTH 3990,Elective,"(1, 4)",Anthropology (Anth),,
ANTH 4100,Making Anthropology Public,"(4, 4)",Anthropology (Anth),,
ANTH 4200,Anthropology of Rural America,"(4, 4)",Anthropology (Anth),,
ANTH 4210,Anthropology of Eastern Europe,"(4, 4)",Anthropology (Anth),,
ANTH 4220,South Asian Diasporas,"(4, 4)",Anthropology (Anth),,
ANTH 4350,Ethnography of Southeast Asia,"(4, 4)",Anthropology (Anth),,
ANTH 4410,Neoliberalism in Asia,"(4, 4)",Anthropology (Anth),,
ANTH 4500,Latin American Society and Development,"(4, 4)",Anthropology (Anth),,
ANTH 4510,Anthropology of Africa,"(4, 4)",Anthropology (Anth),,
ANTH 4520,Chinese Society and Culture,"(4, 4)",Anthropology (Anth),,
ANTH 4580,Special Topics in Anthropology,"(4, 4)",Anthropology (Anth),,
ANTH 4600,Senior Seminar,"(4, 4)",Anthropology (Anth),,
ANTH 4970,Junior/Senior Honors Project 1,"(4, 4)",Anthropology (Anth),,
ANTH 4971,Junior/Senior Honors Project 2,"(4, 4)",Anthropology (Anth),,
ANTH 4990,Elective,"(1, 4)",Anthropology (Anth),,
ANTH 4991,Research,"(4, 4)",Anthropology (Anth),,
ANTH 4992,Directed Study,"(1, 4)",Anthropology (Anth),,
ANT 1150,Cultural Anthropology,"(3, 3)",Cps (Ant),,
ANT 1990,Elective,"(1, 4)",Cps (Ant),,
ANT 2990,Elective,"(1, 4)",Cps (Ant),,
ANT 3990,Elective,"(1, 4)",Cps (Ant),,
ANT 4955,Project,"(1, 4)",Cps (Ant),,
ANT 4990,Elective,"(1, 4)",Cps (Ant),,
APL 1990,Elective,"(1, 4)",Cps (Apl),,
APL 2990,Elective,"(1, 4)",Cps (Apl),,
APL 3990,Elective,"(1, 4)",Cps (Apl),,
APL 4990,Elective,"(1, 4)",Cps (Apl),,
APL 6000,Foundations of Applied Logistics Execution,"(3, 3)",Cps (Apl),,
APL 6010,Warehouse Management,"(3, 3)",Cps (Apl),,
APL 6020,Freight Management,"(3, 3)",Cps (Apl),,
APL 6030,ERP Systems for Inventory Management,"(3, 3)",Cps (Apl),,
APL 6050,Supplier Management,"(3, 3)",Cps (Apl),,
APL 6100,Advanced Technology in Logistics and Distribution,"(3, 3)",Cps (Apl),,
APL 6962,Elective,"(1, 4)",Cps (Apl),,
APL 6980,Applied Logistics Capstone,"(3, 3)",Cps (Apl),,
APL 6983,Special Topics,"(3, 3)",Cps (Apl),,
ARAB 1101,Elementary Arabic 1,"(4, 4)",Arabic (Arab),,
ARAB 1102,Elementary Arabic 2,"(4, 4)",Arabic (Arab),,
ARAB 1990,Elective,"(1, 4)",Arabic (Arab),,
ARAB 2101,Intermediate Arabic 1,"(4, 4)",Arabic (Arab),,
ARAB 2102,Intermediate Arabic 2,"(4, 4)",Arabic (Arab),,
ARAB 2990,Elective,"(1, 4)",Arabic (Arab),,
ARAB 3101,Advanced Arabic 1,"(4, 4)",Arabic (Arab),,
ARAB 3990,Elective,"(1, 4)",Arabic (Arab),,
ARAB 4990,Elective,"(1, 4)",Arabic (Arab),,
ARAB 4992,Directed Study,"(1, 4)",Arabic (Arab),,
ARAB 5976,Directed Study,"(1, 1)",Arabic (Arab),,
ARCH 1000,Architecture at Northeastern,"(1, 1)",Architecture (Arch),,
ARCH 1110,Fundamental Architectural Representation,"(4, 4)",Architecture (Arch),,
ARCH 1120,Fundamental Architectural Design,"(6, 6)",Architecture (Arch),,
ARCH 1310,"Buildings and Cities, A Global History","(4, 4)",Architecture (Arch),,
ARCH 1311,Recitation for ARCH 1310,"(0, 0)",Architecture (Arch),,
ARCH 1450,Understanding Design,"(4, 4)",Architecture (Arch),,
ARCH 1453,Designing the American City: Civic Aspirations and Urban Form,"(4, 4)",Architecture (Arch),,
ARCH 1990,Elective,"(1, 4)",Architecture (Arch),,
ARCH 2130,"Site, Space, Program","(6, 6)",Architecture (Arch),,
ARCH 2140,Urban Housing,"(6, 6)",Architecture (Arch),,
ARCH 2240,Architectonic Systems,"(4, 4)",Architecture (Arch),,
ARCH 2260,Introduction to Building Systems,"(4, 4)",Architecture (Arch),,
ARCH 2310,History of Chinese Architecture,"(4, 4)",Architecture (Arch),,
ARCH 2320,Modern Chinese Architecture,"(4, 4)",Architecture (Arch),,
ARCH 2330,Architecture and the City in the Nineteenth Century,"(4, 4)",Architecture (Arch),,
ARCH 2331,Recitation for ARCH 2330,"(0, 0)",Architecture (Arch),,
ARCH 2335,Architecture and Politics,"(4, 4)",Architecture (Arch),,
ARCH 2340,Modern Architecture,"(4, 4)",Architecture (Arch),,
ARCH 2341,Recitation for ARCH 2340,"(0, 0)",Architecture (Arch),,
ARCH 2345,Contemporary Architecture,"(4, 4)",Architecture (Arch),,
ARCH 2355,"Architecture Conservation: Intervention, Transformation, and Reuse","(4, 4)",Architecture (Arch),,
ARCH 2370,Topics in Architectural History,"(4, 4)",Architecture (Arch),,
ARCH 2990,Elective,"(1, 4)",Architecture (Arch),,
