courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AFST 101-7,College Seminar,1,African Studies,Undergraduate,
AFST 101-8,First-Year Writing Seminar,1,African Studies,Undergraduate,
AFST 276-0,African Literature in Translation,1,African Studies,Undergraduate,
AFST 360-SA,"Culture, Language, and Identity in South Africa",1,African Studies,Undergraduate,
AFST 390-0,Topics in African Studies,1,African Studies,Undergraduate,
AFST 390-SA,Topics in African Studies,1,African Studies,Undergraduate,
AFST 392-1,Herskovits Undergraduate Research Award,1,African Studies,Undergraduate,
AFST 392-2,Herskovits Undergraduate Research Award,1,African Studies,Undergraduate,
AFST 395-0,Senior Research Seminar,1,African Studies,Undergraduate,
AFST 399-0,Independent Study,1,African Studies,Undergraduate,
AMER_ST 301-1,Seminar for Majors,1,American Studies,Undergraduate,
AMER_ST 301-2,Seminar for Majors,1,American Studies,Undergraduate,
AMER_ST 301-3,Seminar for Majors,1,American Studies,Undergraduate,
AMER_ST 310-0,Studies in American Culture,1,American Studies,Undergraduate,
AMER_ST 390-1,Senior Project,1,American Studies,Undergraduate,
AMER_ST 390-2,Senior Project,1,American Studies,Undergraduate,
AMER_ST 399-0,Independent Study,1,American Studies,Undergraduate,
ANTHRO 101-7,College Seminar,1,Anthropology,Undergraduate,
ANTHRO 101-8,First-Year Writing Seminar,1,Anthropology,Undergraduate,
ANTHRO 211-0,Culture & Society,1,Anthropology,Undergraduate,
ANTHRO 213-0,Human Origins,1,Anthropology,Undergraduate,
ANTHRO 214-0,Archaeology: Unearthing History,1,Anthropology,Undergraduate,
ANTHRO 215-0,The Study of Culture through Language,1,Anthropology,Undergraduate,
ANTHRO 221-0,Social and Health Inequalities,1,Anthropology,Undergraduate,
ANTHRO 232-0,Myth and Symbolism,1,Anthropology,Undergraduate,
ANTHRO 235-0,Language in Asian America,1,Anthropology,Undergraduate,
ANTHRO 238-0,Food in Culture & Society,1,Anthropology,Undergraduate,
ANTHRO 240-0,Anthropology of Money,1,Anthropology,Undergraduate,
ANTHRO 242-0,"Porous Borders? Geography, Power and Techniques of Movement",1,Anthropology,Undergraduate,
ANTHRO 255-0,Contemporary African Worlds,1,Anthropology,Undergraduate,
ANTHRO 275-0,Introduction to Forensic Anthropology,1,Anthropology,Undergraduate,
ANTHRO 290-0,Topics in Anthropology,1,Anthropology,Undergraduate,
ANTHRO 306-0,Evolution of Life Histories,1,Anthropology,Undergraduate,
ANTHRO 307-0,Anthropology of Peace,1,Anthropology,Undergraduate,
ANTHRO 309-0,Human Osteology,1,Anthropology,Undergraduate,
ANTHRO 312-0,Human Population Biology,1,Anthropology,Undergraduate,
ANTHRO 313-0,Evolutionary Medicine,1,Anthropology,Undergraduate,
ANTHRO 314-0,Human Growth & Development,1,Anthropology,Undergraduate,
