courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 211,Principles of Accounting I,3,Accounting,,
ACC 212,Principles of Accounting II,3,Accounting,,
ACC 215,Computerized Accounting,3,Accounting,,
ACC 219,Governmental and Not-for-Profit Accounting,3,Accounting,,
ACC 220,Accounting for Small Business,3,Accounting,,
ACC 221,Intermediate Accounting I,3,Accounting,,
ACC 222,Intermediate Accounting II,3,Accounting,,
ACC 230,Advanced Accounting,3,Accounting,,
ACC 231,Cost Accounting I,3,Accounting,,
ACC 232,Cost Accounting II,3,Accounting,,
ACC 240,Fraud Examination,3,Accounting,,
ACC 241,Auditing I,3,Accounting,,
ACC 261,Principles of Federal Taxation I,3,Accounting,,
ACC 262,Principles of Federal Taxation II,3,Accounting,,
ACC 263,Data Analytics and Statistics in Accounting,3,Accounting,,
ADJ —,Forensic Elective,3,,,
ADJ 100,Survey of Criminal Justice,3,,,
ADJ 105,The Juvenile Justice System,3,,,
ADJ 110,Introduction to Law Enforcement,3,,,
ADJ 111,Law Enforcement Organization and Administration I,3,,,
ADJ 127,Firearms and Marksmanship,3,,,
ADJ 133,Ethics and the Criminal Justice Professional,3,,,
ADJ 140,Introduction to Corrections,3,,,
ADJ 159,Physical Security,3,,,
ADJ 160,Police Response to Critical Incidents,3,,,
ADJ 163,Crime Analysis and Intelligence,3,,,
ADJ 164,Case Studies in Murder/Violent Crime,3,,,
ADJ 171,Forensic Science I,4,,,
ADJ 172,Forensic Science II,4,,,
ADJ 201,Criminology,3,,,
ADJ 211,"Criminal Law, Evidence, and Procedures I",3,,,
ADJ 212,"Criminal Law, Evidence, and Procedures II",3,,,
ADJ 216,Organized Crime and Corruption,3,,,
ADJ 227,Constitutional Law for Justice,3,,,
ADJ 228,Narcotics and Dangerous Drugs,3,,,
ADJ 229,Community Policing in Modern Society,3,,,
ADJ 233,Multiculturalism in Policing,3,,,
ADJ 234,Terrorism and Counter-Terrorism,3,,,
ADJ 236,Principles of Criminal Investigation,3,,,
ADJ 237,Advanced Criminal Investigation,3,,,
ADJ 240,Techniques of Interviewing,3,,,
ADJ 243,Homeland Security and Law,3,,,
ADJ 247,Criminal Behavior,3,,,
ADJ 248,"Probation, Parole, and Treatment",3,,,
ADJ 250,Global Security Concepts for Law Enforcement and National Security,3,,,
ADJ 252,Counterintelligence Concepts for Law Enforcement and National Security,3,,,
ADJ 275,Forensic Pathology,3,,,
AIR —,Elective,3-4,,,
AIR 111,Air Conditioning and Refrigeration Controls I,3,,,
AIR 121,Air Conditioning and Refrigeration I,4,,,
AIR 122,Air Conditioning and Refrigeration II,4,,,
AIR 134,Circuits and Controls I,3,,,
AIR 154,Heating Systems I,4,,,
AIR 205,Hydronics and Zoning,4,,,
AIR 207,Heat Loads and Psychrometrics,4,,,
AIR 213,Air Conditioning and Refrigeration Controls III,4,,,
AIR 231,Circuits and Controls IV,4,,,
AIR 232,Circuits and Controls V,3,,,
AIR 235,Heat Pumps,4,,,
AIR 238,Advanced Troubleshooting and Service,4,,,
AIR 240,Direct Digital Controls,3,,,
AIR 251,Air Conditioning Systems I,4,,,
AIR 252,Air Conditioning Systems II,4,,,
AIR 257,Gas-Fired Warm Air Furnaces,4,,,
AIR 276,Refrigerant Usage EPA Certification,1,,,
ASL 100,Orientation to Acquisition of ASL as an Adult,2,American Sign Language,,
ASL 101,Beginning American Sign Language I,4,American Sign Language,,
ASL 102,Beginning American Sign Language II,4,American Sign Language,,
ASL 115,Fingerspelling and Number Use in ASL,2,American Sign Language,,
ASL 125,History of the U.S. Deaf Community,3,American Sign Language,,
ASL 150,Working with Deaf and Hard-of-Hearing People,2,American Sign Language,,
ASL 201,Intermediate American Sign Language I,3,American Sign Language,,
ASL 202,Intermediate American Sign Language II,3,American Sign Language,,
ASL 210,ASL Storytelling,3,American Sign Language,,
ASL 220,Comparative Linguistics: ASL and English,3,American Sign Language,,
ASL 261,Advanced American Sign Language I,4,American Sign Language,,
ASL 262,Advanced American Sign Language II,4,American Sign Language,,
ARA 101,Beginning Arabic I,4,Arabic,,
ARA 102,Beginning Arabic II,4,Arabic,,
ARA 201,Intermediate Arabic I,4,Arabic,,
ARA 202,Intermediate Arabic II,4,Arabic,,
— —,Elective,3-4,Architecture,,
ARC —,Technical Elective,2-3,Architecture,,
ARC 123,Architectural Graphics I,3,Architecture,,
ARC 124,Architectural Graphics II,3,Architecture,,
ARC 133,Construction Methodology and Procedures I,3,Architecture,,
ARC 134,Construction Methodology and Procedures II,3,Architecture,,
ARC 138,Structures for Architects,3,Architecture,,
ARC 200,History of Architecture,4,Architecture,,
ARC 201,History of Modern Architecture,3,Architecture,,
ARC 220,Introduction to Landscape Architecture and Site Planning,3,Architecture,,
ARC 225,Site Planning and Technology,3,Architecture,,
ARC 231,Architectural Design and Graphics I,4,Architecture,,
ARC 232,Architectural Design and Graphics II,4,Architecture,,
BIO 150,Microbiology for Health Sciences,4,Biology,,
BIO 165,Principles in Regulatory and Quality Environments for Biotechnology,2,Biology,,
BIO 180,Introduction to Careers in Biotechnology,1,Biology,,
BIO 205,General Microbiology,4,Biology,,
BIO 206,Cell Biology,4,Biology,,
BIO 207,General Zoology,4,Biology,,
BIO 231,Human Anatomy and Physiology I,4,Biology,,
BIO 232,Human Anatomy and Physiology II,4,Biology,,
BIO 250,Biotechnology Research Methods and Skills,3,Biology,,
BIO 251,Protein Applications in Biotechnology,4,Biology,,
BIO 252,Nucleic Acid Methods,4,Biology,,
BIO 253,Biotechnology Concepts,3,Biology,,
BIO 254,Capstone Seminar in Biotechnology,2,Biology,,
BIO 255,Bioinformatics and Computer Applications in Biotechnology,2,Biology,,
BIO 256,General Genetics,4,Biology,,
BIO 270,General Ecology,4,Biology,,
BIO 296,On-site training in Biotechnology,3,Biology,,
BLD 101,Construction Management I,3,Building,,
BLD 102,Construction Management II,3,Building,,
BLD 115,Building Codes,3,Building,,
BLD 165,Construction Field Operations,2,Building,,
BLD 200,Sustainable Construction,2,Building,,
BLD 215,OSHA 30 Construction Safety,2,Building,,
BLD 231,Construction Estimating I,3,Building,,
BLD 232,Construction Estimating II,3,Building,,
BLD 241,Construction Management III,3,Building,,
BLD 242,Construction Management IV,3,Building,,
BLD 247,Construction Planning and Scheduling,3,Building,,
BUS —,Elective,3,,,
BUS 100,Introduction to Business,3,,,
BUS 111,Principles of Supervision I,3,,,
BUS 116,Entrepreneurship,3,,,
BUS 117,Leadership Development,3,,,
BUS 125,Applied Business Mathematics,3,,,
BUS 165,Small Business Management,3,,,
BUS 200,Principles of Management,3,,,
BUS 201,Organizational Behavior,3,,,
BUS 202,Applied Management Principles,3,,,
BUS 204,Project Management,3,,,
BUS 205,Human Resource Management,3,,,
BUS 208,Quality and Productivity Management,3,,,
BUS 220,Introduction to Business Statistics,3,,,
BUS 221,Business Statistics I,3,,,
BUS 222,Business Statistics II,3,,,
BUS 224,Business Statistics,3,,,
BUS 227,Business Analytics,3,,,
BUS 240,Introduction to Business Law,3,,,
BUS 260,Planning for Small Business,3,,,
BUS 265,Ethical Issues in Management,3,,,
BUS 270,Interpersonal Dynamics,3,,,
