courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACTG-GT 1002,Production Crew/Act,"(None, None)",,Graduate,
ACTG-GT 1005,Acting III,"(None, None)",,Graduate,
ACTG-GT 1010,Stage Movement III,"(None, None)",,Graduate,
ACTG-GT 1020,Voice and Speech III,"(None, None)",,Graduate,
ACTG-GT 1200,Acting IV,"(None, None)",,Graduate,
ACTG-GT 1210,Stage Movement IV,"(None, None)",,Graduate,
ACTG-GT 1220,Voice and Speech IV,"(None, None)",,Graduate,
ACTG-GT 1500,Ind Study/Acting,"(None, None)",,Graduate,
ACTG-GT 2000,Graduate Acting,"(None, None)",,Graduate,
ACTG-GT 2010,Graduate Stage Movement,"(None, None)",,Graduate,
ACTG-GT 2020,Grad Voice and Speech,"(None, None)",,Graduate,
AFRS-GA 2000,Proseminar in Africana Studies,"(None, None)",,Graduate,
AFRS-GA 3210,Readings in Africana Studies,"(None, None)",,Graduate,
AFRS-GA 3310,Internship,"(None, None)",,Graduate,
AMLT-GE 2053,Organizational Theory,"(None, None)",,Graduate,
AMST-GA 2302,"NYLON New York: Culture, Politics, Technology","(None, None)",,Graduate,
AMST-GA 2309,American Studies Exam Preparation,"(None, None)",,Graduate,
AMST-GA 3301,American Studies Seminar,"(None, None)",,Graduate,
AMST-GA 3302,Sem American Studies: Latinx Visual Culture,"(None, None)",,Graduate,
AMST-GA 3309,Reading in American Studies,"(None, None)",,Graduate,
AMST-GA 3701,Topics:: Mother Tongue:Theories of Language and Maternality,"(None, None)",,Graduate,
ANST-GA 1000,Animals. Culture and Society,"(None, None)",,Graduate,
ANST-GA 2500,Topics in Animal Studies: Animal Stories: The Art of Crafting Conservation N,"(None, None)",,Graduate,
ANST-GA 2500,"Topics in Animal Studies: Animals, Art, and Technology","(None, None)",,Graduate,
ANST-GA 2500,Topics in Animal Studies: Captive Wild Animal Welfare,"(None, None)",,Graduate,
ANST-GA 2500,Topics in Animal Studies: TBD,"(None, None)",,Graduate,
ANTH-GA 1001,Theories and Methods in the Study of Religion,"(None, None)",,Graduate,
ANTH-GA 1010,Theory and Practice of Social Anthropology I,"(None, None)",,Graduate,
ANTH-GA 1215,Culture & Media I: Hist & Theory of Ethno Film,"(None, None)",,Graduate,
ANTH-GA 1218,Video Production Sem I,"(None, None)",,Graduate,
ANTH-GA 1240,Dental Anthropology,"(None, None)",,Graduate,
ANTH-GA 1262,Anthropology and Abolition,"(None, None)",,Graduate,
ANTH-GA 1507,"Primate Behavior, Ecology and Conservation","(None, None)",,Graduate,
ANTH-GA 1516,Human Osteology and Odontology,"(None, None)",,Graduate,
ANTH-GA 1521,Human Osteology Laboratory,"(None, None)",,Graduate,
ANTH-GA 1541,Internship in Biological Anthropology,"(None, None)",,Graduate,
ANTH-GA 1636,History of Anthropology,"(None, None)",,Graduate,
ANTH-GA 2700,Ethnographic Methods,"(None, None)",,Graduate,
ANTH-GA 3399,Topical Seminar: Forensic Genetics,"(None, None)",,Graduate,
ANTH-GA 3399,Topical Seminar: Geoarchaeology Methods,"(None, None)",,Graduate,
ANTH-GA 3399,Topical Seminar: Latinx Visual Studies,"(None, None)",,Graduate,
ANTH-GA 3910,Reading in Anthropology,"(None, None)",,Graduate,
ANTH-GA 3997,Research in Anthropology,"(None, None)",,Graduate,
APSTA-GE 2001,Statistics for the Social and Behavioral Sciences I,"(None, None)",,Graduate,
APSTA-GE 2003,Interm Quantitative Methods: General Linear Model,"(None, None)",,Graduate,
APSTA-GE 2006,"Math, Statistics and R Programming Bootcamp","(None, None)",,Graduate,
APSTA-GE 2042,Multi-Level Modeling: Nested Data/Longitudinal Data,"(None, None)",,Graduate,
APSTA-GE 2047,Messy Data and Machine Learning,"(None, None)",,Graduate,
APSTA-GE 2085,Basic Statistics,"(None, None)",,Graduate,
APSTA-GE 2110,Large Databases in Applied Research,"(None, None)",,Graduate,
APSTA-GE 2139,Survey Research Methods,"(None, None)",,Graduate,
APSTA-GE 2300,Independent Study,"(None, None)",,Graduate,
APSTA-GE 2310,Internship,"(None, None)",,Graduate,
APSTA-GE 2331,Data Science for Social Impact,"(None, None)",,Graduate,
APSTA-GE 2351,Practicum in Applied Statistics: Applied Probability,"(None, None)",,Graduate,
APSTA-GE 2352,Practicum in Applied Statistics: Statistical Computing,"(None, None)",,Graduate,
APSTA-GE 2356,Practicum in Applied Statistics: Multi-Level Models,"(None, None)",,Graduate,
APSTA-GE 2401,Statistical Consulting Research Seminar,"(None, None)",,Graduate,
APSY-GE 2025,Cognitive Behavior Therapy: Theory and Application,"(None, None)",,Graduate,
APSY-GE 2038,Abnormal Psychology,"(None, None)",,Graduate,
APSY-GE 2070,Research and Evaluation Methods in Behavioral Sciences,"(None, None)",,Graduate,
APSY-GE 2083,Foundations of LGBTQ+ Affirmative Counseling,"(None, None)",,Graduate,
APSY-GE 2084,LGBTQ+ Sexual Wellness and Relationships,"(None, None)",,Graduate,
APSY-GE 2138,Human Growth and Development,"(None, None)",,Graduate,
APSY-GE 2178,Social Justice & Advocacy for the LGBTQ+ Community,"(None, None)",,Graduate,
APSY-GE 2182,Psychopathology and Use of the DSM,"(None, None)",,Graduate,
APSY-GE 2270,Intervention and Prevention Early Childhood Contexts,"(None, None)",,Graduate,
APSY-GE 2271,Survey of Developmental Psychology,"(None, None)",,Graduate,
APSY-GE 2300,Independent Study,"(None, None)",,Graduate,
APSY-GE 2500,Trauma:Theoretical and Clinical Perspectives,"(None, None)",,Graduate,
APSY-GE 2527,The Development of Immigrant Origin Youth,"(None, None)",,Graduate,
APSY-GE 2655,Internship in Counseling Mental Health and Wellness I,"(None, None)",,Graduate,
APSY-GE 2657,Individual Counseling: Theory and Process,"(None, None)",,Graduate,
APSY-GE 2658,Lab in Individual Counseling Skills,"(None, None)",,Graduate,
APSY-GE 2661,Foundations of Counseling for Mental Health and Wellness,"(None, None)",,Graduate,
APSY-GE 2672,Interpretation and Use of Tests in Counseling Adults,"(None, None)",,Graduate,
APSY-GE 2674,Human Sexuality for Mental Health Counselors,"(None, None)",,Graduate,
APSY-GE 2684,"Marriage,Couple & Family Counseling","(None, None)",,Graduate,
APSY-GE 2691,Substance-Related & Addictive Disorders Theory/Rsch/Treatment,"(None, None)",,Graduate,
APSY-GE 2826,Intervention and Social Change,"(None, None)",,Graduate,
APSY-GE 2827,Practicum in Intervention-Research or Policy-Research I,"(None, None)",,Graduate,
APSY-GE 2830,Advanced Seminar in Psychology and Social Intervention,"(None, None)",,Graduate,
APSY-GE 2837,Professional Development Seminar I,"(None, None)",,Graduate,
APSY-GE 2839,Project Research Seminar: PSI,"(None, None)",,Graduate,
APSY-GE 2895,"Counseling Lesbian, Gay, Bisexual & Transgender Youth","(None, None)",,Graduate,
APSY-GE 3009,Departmental Seminar: Theories of Change in Applied Psychology,"(None, None)",,Graduate,
APSY-GE 3016,Internship in Clinical/Counseling Psychology,"(None, None)",,Graduate,
APSY-GE 3020,Research Practicum in Developmental Psychology,"(None, None)",,Graduate,
APSY-GE 3023,The Developmental Psychology Seminar: Current Topics in Developmental Science,"(None, None)",,Graduate,
APSY-GE 3031,Practicum in Clinical Intake and Diagnosis,"(None, None)",,Graduate,
APSY-GE 3607,Supervised Advanced Clinical/Counseling Practicum I,"(None, None)",,Graduate,
APSY-GE 3610,Externship in Clinical/Counseling Psychology,"(None, None)",,Graduate,
APSY-GE 3620,Clinical/Counseling Psychology Program Forum,"(None, None)",,Graduate,
APSY-GE 3629,Practicum in Supervision and Consultation,"(None, None)",,Graduate,
APSY-GE 3665,Psychological Testing and Assessment I,"(None, None)",,Graduate,
APSY-GE 3901,IES-Pre-doctoral Interdisciplinary Training Seminar on Causal Inference in Education I,"(None, None)",,Graduate,
ARCS-GE 2012,Literature & Methodology of Costume Studies,"(None, None)",,Graduate,
ARCS-GE 2022,Research in Costume Studies,"(None, None)",,Graduate,
ARCS-GE 2061,Case Studies in Fashion History: Prehistory to 1800,"(None, None)",,Graduate,
ARCS-GE 2063,20th Century Fashion,"(None, None)",,Graduate,
ARCS-GE 2078,History of Textiles: The Modern Era,"(None, None)",,Graduate,
ARCS-GE 2302,Internship in Costume Studies,"(None, None)",,Graduate,
ARCS-GE 2910,Graduate Projects: Exhibition Praxis,"(None, None)",,Graduate,
ARCS-GE 2911,History of Fashion Photo,"(None, None)",,Graduate,
ARCS-GE 2913,Global Fashion Systems,"(None, None)",,Graduate,
ART-GE 2987,Interdisciplinary Projects: Articulating The Visual Arts,"(None, None)",,Graduate,
ART-GE 2988,Interdisciplinary Projects: Contemporary Art Practice,"(None, None)",,Graduate,
ART-GE 2990,Graduate Studio,"(None, None)",,Graduate,
ART-GE 2993,Visiting Artist & Faculty Critiques,"(None, None)",,Graduate,
ARTCR-GE 2459,Art & Ideas: What is Social Practice Art?,"(None, None)",,Graduate,
ARTED-GE 2015,"Race, Education and the Politics of Visual Representation","(None, None)",,Graduate,
ARTED-GE 2070,"Critical Pedagogy, Artists, and the Public Sphere","(None, None)",,Graduate,
ARTED-GE 2271,Social Justice Education Through Art: Elementary Teaching,"(None, None)",,Graduate,
ARTED-GE 2277,Media Literacy and Visual Culture: Teaching Art in a Digital Age,"(None, None)",,Graduate,
ARTMD-GH 5001,Graduate Critique Seminar 1,"(None, None)",,Graduate,
ARTMD-GH 5051,Individual Studio Critique & Review 1,"(None, None)",,Graduate,
ARTMD-GH 5053,Individual Studio Critique & Review 3,"(None, None)",,Graduate,
ARTMD-GH 5120,"Repetition, Degeneration and Imprint","(None, None)",,Graduate,
ARTMD-GH 5122,Time and Memory Studio Elective Course,"(None, None)",,Graduate,
ARTMD-GH 5132,Ethnography and the Arts,"(None, None)",,Graduate,
ARTMD-GH 5730,"Studio: Archives, Methods, Screens","(None, None)",,Graduate,
ARTP-GE 2300,Independent Study,"(None, None)",,Graduate,
ARTT-GE 2010,Introduction to Art Therapy,"(None, None)",,Graduate,
ARTT-GE 2032,Art Therapy with Groups,"(None, None)",,Graduate,
ARTT-GE 2034,Art Therapy with Adolescents,"(None, None)",,Graduate,
ARTT-GE 2041,Integrative Mental Health,"(None, None)",,Graduate,
ARTT-GE 2145,Theory & Practice of Art Therapy,"(None, None)",,Graduate,
ARTT-GE 2149,Ethical Issues in Art Therapy,"(None, None)",,Graduate,
ARTT-GE 2150,Techniques/Supervision in Art Therapy,"(None, None)",,Graduate,
ARTT-GE 2160,Art for Art Therapists,"(None, None)",,Graduate,
ARTT-GE 2171,Adaptive Techniques in Art Therapy,"(None, None)",,Graduate,
ARTT-GE 2280,Research in Art Therapy,"(None, None)",,Graduate,
ARTT-GE 2302,Internship in Art Therapy,"(None, None)",,Graduate,
ARVA-GE 2000,Visual Arts Administration Colloquium,"(None, None)",,Graduate,
ARVA-GE 2016,Art Collecting,"(None, None)",,Graduate,
ARVA-GE 2019,Exhibition Design,"(None, None)",,Graduate,
ARVA-GE 2030,Environment of Visual Arts Administration,"(None, None)",,Graduate,
ARVA-GE 2032,Development for The Visual Arts,"(None, None)",,Graduate,
ARVA-GE 2109,Digital Technologies and the Art Organization,"(None, None)",,Graduate,
ARVA-GE 2133,Strategic Planning and Governance,"(None, None)",,Graduate,
ARVA-GE 2171,Appraisal & Valuation of Art,"(None, None)",,Graduate,
ARVA-GE 2216,Market Histories,"(None, None)",,Graduate,
ARVA-GE 2299,Research in Visual Arts Administration,"(None, None)",,Graduate,
ARVA-GE 2302,Internship in Visual Arts Administration,"(None, None)",,Graduate,
ARVA-GE 2914,VAA Topics: A Global Survey of Performance Art History,"(None, None)",,Graduate,
ARVA-GE 2915,"VAA Topics: Art Market, Analysis and Investment","(None, None)",,Graduate,
ARVA-GE 2927,VAA Topics: Art During Crisis,"(None, None)",,Graduate,
ASPP-GT 2000,"All School Seminar:: Land, World, Cosmos","(None, None)",,Graduate,
ASPP-GT 2001,Issues in Arts Politics,"(None, None)",,Graduate,
ASPP-GT 2002,Grad Sem Cultural Activism,"(None, None)",,Graduate,
ASPP-GT 2003,Graduate Colloquium,"(None, None)",,Graduate,
ASPP-GT 2006,"Special Topics:: Music, Race, and Ethnicity","(None, None)",,Graduate,
ASPP-GT 2006,"Special Topics:: Traveling Gaze: Empire, the Cinema/ Media","(None, None)",,Graduate,
ASPP-GT 2006,Special Topics:: War: Aesthetic Approaches/Theoretical Retreats,"(None, None)",,Graduate,
ASPP-GT 2049,Memory and Memoir:,"(None, None)",,Graduate,
ASPP-GT 2070,Language as Action: Poetry as Resistance & Love,"(None, None)",,Graduate,
BE-GY 6103,"Anatomy, Physiology, & Biophysics I","(None, None)",,Graduate,
BE-GY 6303,Bio-optics,"(None, None)",,Graduate,
BE-GY 6353,Special Topics in Biomedical Engineering: Computational Biophotonics,"(None, None)",,Graduate,
BE-GY 6403,Digital Signal Processing I,"(None, None)",,Graduate,
BE-GY 6453,Probability and Stochastic Processes,"(None, None)",,Graduate,
