courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAST 597,Independent Study,1-3,African-American Studies,Graduate,
AAST 100S,Introduction to African American Studies,3,African-American Studies,Undergraduate,
AAST 105H,Interpreting the African Past,3,African-American Studies,Undergraduate,
AAST 201,Introduction to Historical Methods,3,African-American Studies,Undergraduate,
AAST 308,Research Design,3,African-American Studies,Undergraduate,
AAST 310,Human Rights and Social Change in Africa,3,African-American Studies,Undergraduate,
AAST 316,Politics of Africa,3,African-American Studies,Undergraduate,
AAST 320,Introduction to Research Methods,3,African-American Studies,Undergraduate,
AAST 323,Sociology of Minority Families,3,African-American Studies,Undergraduate,
AAST 361,African-American History to 1865,3,African-American Studies,Undergraduate,
AAST 368,Internship,3,African-American Studies,Undergraduate,
AAST 381,Africa in the 20th Century,3,African-American Studies,Undergraduate,
AAST 395,Topics in African American Studies,3,African-American Studies,Undergraduate,
AAST 396,Topics in African American Studies,3,African-American Studies,Undergraduate,
AAST 410,Africana Intellectual Thought and Economic Development,3,African-American Studies,Undergraduate,
AAST 412,Politics of the Civil Rights Movement,3,African-American Studies,Undergraduate,
AAST 420W,African American Political and Social Thought,3,African-American Studies,Undergraduate,
AAST 426,Minority Group Relations,3,African-American Studies,Undergraduate,
AAST 451,"Race, Ethnicity, Crime and Justice",3,African-American Studies,Undergraduate,
AAST 452,Diversity in Criminal Justice Organizations,3,African-American Studies,Undergraduate,
AAST 460,Psychology of African Americans,3,African-American Studies,Undergraduate,
AAST 488,Introduction to Critical Race and Media Studies,3,African-American Studies,Undergraduate,
AAST 490,Senior Seminar,3,African-American Studies,Undergraduate,
AAST 495,Topics in African American Studies,3,African-American Studies,Undergraduate,
AAST 497/597,Independent Study,1-3,African-American Studies,Undergraduate,
ACCT 505,Accounting and Auditing in the Public/Nonprofit Sector,3,Accounting,Graduate,
ACCT 511,Financial Auditing,3,Accounting,Graduate,
ACCT 521,Taxation,3,Accounting,Graduate,
ACCT 522,Tax Research,3,Accounting,Graduate,
ACCT 540,Introduction to Accounting,3,Accounting,Graduate,
ACCT 550,International and Advanced Accounting,3,Accounting,Graduate,
ACCT 623,Accounting Analytics and Operational Reviews,3,Accounting,Graduate,
ACCT 624,Information Technology Assurance Services,3,Accounting,Graduate,
ACCT 625,Fraud Examination and Forensic Accounting,3,Accounting,Graduate,
ACCT 626,Financial and Global Accounting,3,Accounting,Graduate,
ACCT 627,Operational Cost Control,3,Accounting,Graduate,
ACCT 630,Business Valuations using Financial Statement Analysis,3,Accounting,Graduate,
ACCT 640,Professional Ethics and Legal Issues In Accounting,3,Accounting,Graduate,
ACCT 645,Accounting for Decision Making,3,Accounting,Graduate,
ACCT 650,Tax Strategies for Business Decisions,3,Accounting,Graduate,
ACCT 651,Taxation of Corporations I,3,Accounting,Graduate,
ACCT 652,Taxation of Partners and Partnerships,3,Accounting,Graduate,
ACCT 653,Taxation of Estates and Gifts,3,Accounting,Graduate,
ACCT 654,"Income Taxation of Estates, Trusts & Beneficiaries",3,Accounting,Graduate,
ACCT 655,Taxation of Corporations II,3,Accounting,Graduate,
ACCT 656,Taxation of Deferred Compensation,3,Accounting,Graduate,
ACCT 657,State and Local Taxation,3,Accounting,Graduate,
ACCT 658,Tax Aspects of International Business,3,Accounting,Graduate,
ACCT 660,Taxation of Property Transactions,3,Accounting,Graduate,
ACCT 661,Taxation of the Small Business Corporation,3,Accounting,Graduate,
ACCT 662,Tax Procedure and Practice,3,Accounting,Graduate,
ACCT 667,Cooperative Education,1-3,Accounting,Graduate,
ACCT 668,Accounting Internship,1-3,Accounting,Graduate,
ACCT 695,Selected Topics in Accounting,3,Accounting,Graduate,
ACCT 697,Independent Study in Taxation,3,Accounting,Graduate,
ACCT 727,Strategic Cost Management,3,Accounting,Graduate,
ACCT 730,Financial Management Decision Making,3,Accounting,Graduate,
ACCT 747,Seminar in Controllership,3,Accounting,Graduate,
ACCT 998,Master's Graduate Credit,1,Accounting,Graduate,
ACCT 999,Doctoral Graduate Credit,1,Accounting,Graduate,
ACCT 201,Principles of Financial Accounting,3,Accounting,Undergraduate,
ACCT 202,Principles of Managerial Accounting,3,Accounting,Undergraduate,
ACCT 226,Honors: Principles of Financial Accounting,3,Accounting,Undergraduate,
ACCT 227,Honors: Principles of Managerial Accounting,3,Accounting,Undergraduate,
ACCT 300,Accounting for Entrepreneurs,3,Accounting,Undergraduate,
ACCT 301,Intermediate Accounting I,3,Accounting,Undergraduate,
ACCT 302,Intermediate Accounting II,3,Accounting,Undergraduate,
ACCT 305,Essentials of Financial Accounting I,3,Accounting,Undergraduate,
ACCT 306,Essentials of Financial Accounting II,3,Accounting,Undergraduate,
ACCT 307,Essentials of Financial Accounting III,3,Accounting,Undergraduate,
ACCT 311,Managerial Accounting,3,Accounting,Undergraduate,
ACCT 367,Cooperative Education,1-6,Accounting,Undergraduate,
ACCT 368,Student Internship,1-3,Accounting,Undergraduate,
ACCT 369,Practicum,1-3,Accounting,Undergraduate,
ACCT 405/505,Accounting and Auditing in the Public/Nonprofit Sector,3,Accounting,Undergraduate,
ACCT 411/511,Financial Auditing,3,Accounting,Undergraduate,
ACCT 421/521,Taxation,3,Accounting,Undergraduate,
ACCT 422/522,Tax Research,3,Accounting,Undergraduate,
ACCT 425,Taxation of Individuals,3,Accounting,Undergraduate,
ACCT 426,Taxation of Business Entities,3,Accounting,Undergraduate,
ACCT 440/540,Introduction to Accounting,3,Accounting,Undergraduate,
ACCT 450/550,International and Advanced Accounting,3,Accounting,Undergraduate,
ACCT 460,Accounting Information Systems,3,Accounting,Undergraduate,
ACCT 495,Selected Topics in Accounting,1-3,Accounting,Undergraduate,
AI 510,Artificial Intelligence (AI) Methods and Models,3,Artificial Intelligence,Graduate,
AI 521,Generative AI in Cybersecurity,3,Artificial Intelligence,Graduate,
AI 546,Artificial Intelligence (AI) Ethics and Policy,3,Artificial Intelligence,Graduate,
AI 566,Principles and Practices of Cyber Defense,3,Artificial Intelligence,Graduate,
AI 581,Trustworthy Health Analytics,3,Artificial Intelligence,Graduate,
AI 583,Artificial Intelligence Applications in Health,3,Artificial Intelligence,Graduate,
