courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AGC 1300,Business Relations and Communication Skills,,AGC,,
ACCT 1000,Financial Accounting for Entrepreneurs,,ACCT,,
ACCT 1005,Accounting for Business Activities,,ACCT,,
ACCT 1010,Foundations of Accounting,,ACCT,,
ACCT 1010A,Honors Experience in Foundations of Accounting,,ACCT,,
ACCT 1020,Decision Making with Accounting,,ACCT,,
ACCT 2700,"Business Processes, Controls and Forensics",,ACCT,,
ACCT 2900,Special Topics in Accounting,,ACCT,,
ACCT 2910,Internship,,ACCT,,
ACCT 3040,Financial Accounting and Reporting I,,ACCT,,
ACCT 3040A,Honors Experience in Financial Accounting and Reporting I,,ACCT,,
ACCT 3050,Financial Accounting and Reporting II,,ACCT,,
ACCT 3100,Managerial Accounting,,ACCT,,
ACCT 3200,Forensic Accounting,,ACCT,,
ACCT 3400,Introduction to Federal Income Tax Planning,,ACCT,,
ACCT 3450,Accounting Systems and Internal Control,,ACCT,,
ACCT 3660,Oil and Gas Accounting,,ACCT,,
ACCT 3770,Entrepreneurial Accounting,,ACCT,,
ACCT 3910,Internship,,ACCT,,
ACCT 4200,Assurance Services and Internal Controls,,ACCT,,
ACCT 4400,Single-entity Accounting and Tax Planning,,ACCT,,
ACCT 4500,Accounting for Non-Business Entities and Contemporary Professional Issues,,ACCT,,
ACCT 4520,Advanced Auditing,,ACCT,,
ACCT 4600,Multiple-Entity Accounting and Tax Planning,,ACCT,,
ACCT 4700,Data Analytics for Accounting,,ACCT,,
ACCT 4900,Special Topics in Accounting,,ACCT,,
ACCT 4910,Internship,,ACCT,,
ACCT 4930,Independent Research,,ACCT,,
ACCT 4931H,Honors Startup Decision Making with Accounting I,,ACCT,,
ACCT 4932H,Honors Startup Decision Making with Accounting II,,ACCT,,
ACCT 4940H,Honors Thesis,,ACCT,,
ATCH 1030,Financial Accounting Procedures,,ATCH,,
ATCH 1040,Managerial Accounting Procedures,,ATCH,,
ATCH 2030,Tax and Governmental Reporting Procedures,,ATCH,,
ATCH 2040,Electronic Data Processing Accounting Procedures,,ATCH,,
ATCH 2050,Manufacturing Accounting,,ATCH,,
ATCH 2090,Business Statistics,,ATCH,,
ATCH 2250,Federal Income Tax Procedures,,ATCH,,
ATCH 2330,Accounting Information Systems,,ATCH,,
ATCH 2410,Auditing Procedures,,ATCH,,
ATCH 2900,Special Topics in Accounting Technology,,ATCH,,
ATCH 2990,Independent Study,,ATCH,,
AST 1010,Air and Space Studies 100 - Heritage and Values,,AST,,
AST 1010L,Leadership Laboratory,,AST,,
AST 1020,Air Force Missions,,AST,,
AST 1020L,Leadership Laboratory,,AST,,
AST 2010,Team & Leadership Fundamentals,,AST,,
AST 2010L,Leadership Laboratory,,AST,,
AST 2020,Air Power Today,,AST,,
AST 2020L,Leadership Laboratory,,AST,,
AST 2900,Special Topics in Aerospace Studies,,AST,,
AST 2910,Field Training,,AST,,
AST 3010,Leading People & Effective Communication,,AST,,
AST 3010L,Leadership Laboratory,,AST,,
AST 3020,Military Professionalism and Leadership Theory,,AST,,
AST 3020L,Leadership Laboratory,,AST,,
AST 3910,Advanced Field Training,,AST,,
AST 4010,National Security/Leadership Responsibilities/Commissioning Preparation,,AST,,
AST 4010L,Leadership Laboratory,,AST,,
AST 4020,Strategy and the Use of Force: American Defense Policymaking,,AST,,
AST 4020L,Leadership Laboratory,,AST,,
AST 4900,Special Topics in Aerospace Studies,,AST,,
AAS 1010,"African American History I, 1526-1875",,AAS,,
AAS 1060,Introduction to African American Studies,,AAS,,
AAS 1100,Introduction to African American Literature,,AAS,,
AAS 1500,Africana Media Studies,,AAS,,
AAS 1900,"Difficult Dialogues: Race, Law, and Religion in America",,AAS,,
AAS 2020,"African American History II, 1876 to late twentieth century",,AAS,,
AAS 2100,Slave Narrative and Freeman/Freewomen Fiction of the 18th and 19th Centuries,,AAS,,
AAS 2110,African American Literature II: Black Writing of the 20th and 21st Centuries,,AAS,,
AAS 2200,Introduction to Black Political Economy,,AAS,,
AAS 2250,History of the African American Worker,,AAS,,
AAS 2500,Blackness and the Arts,,AAS,,
AAS 2540,History of Injustice in the United States,,AAS,,
AAS 2900,Special Topics in African American Studies,,AAS,,
AAS 3100,Postmodern Blackness: Identity and Culture in Contemporary African American Literature,,AAS,,
AAS 3110,Harlem Renaissance: African American Literature of the Early 20th Century,,AAS,,
AAS 3170,Black Transnational Literature: Caribbean and Transcultural African American Writing,,AAS,,
AAS 3400,The African American Community Since World War II,,AAS,,
AAS 3410,African American Personality,,AAS,,
AAS 3450,The Black Woman,,AAS,,
AAS 3460,Black Men and Masculinities,,AAS,,
AAS 3500,African American Arts and Artists,,AAS,,
