courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 2003,Survey of Accounting,"(3, 3)",Accounting,,
ACCT 2103,Financial Accounting,"(3, 3)",Accounting,,
ACCT 2203,Managerial Accounting,"(3, 3)",Accounting,,
ACCT 3001,Practicum in Professional Accounting I,"(1, 1)",Accounting,,
ACCT 3003,Foundational Accounting Skills,"(3, 3)",Accounting,,
ACCT 3004,Foundational Accounting and Data Skills,"(4, 4)",Accounting,,
ACCT 3013,Federal Income Taxation,"(3, 3)",Accounting,,
ACCT 3103,Intermediate Accounting I,"(3, 3)",Accounting,,
ACCT 3104,Intermediate Accounting I and Data Analysis,"(4, 4)",Accounting,,
ACCT 3113,Intermediate Accounting II,"(3, 3)",Accounting,,
ACCT 3203,Cost Accounting,"(3, 3)",Accounting,,
ACCT 3603,Accounting Information Systems and Data Analytic Tools,"(3, 3)",Accounting,,
ACCT 4033,Advanced Federal Income Taxation,"(3, 3)",Accounting,,
ACCT 4133,Advanced Accounting,"(3, 3)",Accounting,,
ACCT 4233,Internal Auditing,"(3, 3)",Accounting,,
ACCT 4503,External Auditing,"(3, 3)",Accounting,,
ACCT 4553,Ethics for Public Accountants,"(3, 3)",Accounting,,
ACCT 4623,Expanding Accounting Horizons in the U.S. for Non-Majors,"(3, 3)",Accounting,,
ACCT 4723,Expanding Accounting Horizons in the US,"(3, 3)",Accounting,,
ACCT 4743,Oil and Gas Accounting,"(3, 3)",Accounting,,
ACCT 4763,International Accounting Abroad (I),"(3, 3)",Accounting,,
ACCT 4901,Advanced Accounting Tools and Technologies,"(1, 1)",Accounting,,
ACCT 4911,Practicum in Professional Accounting II,"(1, 1)",Accounting,,
ACCT 4930,Accounting Projects,"(1, 9)",Accounting,,
ACCT 4933,Internship in Accounting,"(3, 3)",Accounting,,
ACCT 4943,CIA Review,"(3, 3)",Accounting,,
ACCT 4953,CMA Review,"(3, 3)",Accounting,,
ACCT 4963,CPA Review,"(3, 3)",Accounting,,
ACCT 4970,Accounting Professional Certification Review,"(1, 4)",Accounting,,
ACCT 5003,Advanced Federal Income Taxation,"(3, 3)",Accounting,,
ACCT 5013,Tax Research,"(3, 3)",Accounting,,
ACCT 5043,Taxation of Pass-Through Entities,"(3, 3)",Accounting,,
ACCT 5053,Corporate Taxation,"(3, 3)",Accounting,,
ACCT 5093,Reimagine: Innovative Accounting and Analytics Mindset,"(3, 3)",Accounting,,
ACCT 5103,Seminar in Contemporary Accounting Theory I,"(3, 3)",Accounting,,
ACCT 5113,Financial Accounting Research,"(3, 3)",Accounting,,
ACCT 5133,Oil and Gas Accounting,"(3, 3)",Accounting,,
ACCT 5143,Advanced Topics in Financial Reporting,"(3, 3)",Accounting,,
ACCT 5153,Financial Statement Analysis,"(3, 3)",Accounting,,
ACCT 5183,MBA Financial Reporting,"(3, 3)",Accounting,,
ACCT 5204,Financial Reporting I,"(4, 4)",Accounting,,
ACCT 5213,Financial Reporting II,"(3, 3)",Accounting,,
ACCT 5223,Financial Reporting III,"(3, 3)",Accounting,,
ACCT 5283,MBA Managerial Accounting,"(3, 3)",Accounting,,
ACCT 5333,Cost Accounting,"(3, 3)",Accounting,,
ACCT 5343,Accounting Information Systems and Data Analytics Tools,"(3, 3)",Accounting,,
ACCT 5353,Federal Income Taxation,"(3, 3)",Accounting,,
ACCT 5363,External Auditing,"(3, 3)",Accounting,,
ACCT 5453,Ethics for Public Accountants,"(3, 3)",Accounting,,
ACCT 5503,Advanced Auditing,"(3, 3)",Accounting,,
ACCT 5543,Fraud Examination,"(3, 3)",Accounting,,
ACCT 5563,Special Topics in Taxation,"(3, 3)",Accounting,,
