courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ALS 002,Leadership,"(0, 0)",Academic Learning Services,,
ALS 107,Camp Orientation,"(1, 3)",Academic Learning Services,,
ALS 109,Trio-Sss First-Year Student Success,"(2, 2)",Academic Learning Services,,
ALS 114,Career Decision Making,"(2, 2)",Academic Learning Services,,
ALS 116,Academic Success,"(2, 2)",Academic Learning Services,,
ALS 139,Welcome To Osu: International First Year Experience,"(3, 3)",Academic Learning Services,,
ALS 140,Introduction To University Reading And Writing,"(3, 3)",Academic Learning Services,,
ALS 141,Introduction To University Listening And Speaking,"(3, 3)",Academic Learning Services,,
ALS 145,Building Strategies For Graduate Success,"(3, 3)",Academic Learning Services,,
ALS 150,Into Osu Academic Reading And Writing 5,"(3, 3)",Academic Learning Services,,
ALS 151,Into Osu Academic Listening And Speaking 5,"(3, 3)",Academic Learning Services,,
ALS 161,Lecture And Presentation Methods For International Students,"(3, 3)",Academic Learning Services,,
ALS 162,Advanced Academic Writing For International Students,"(3, 3)",Academic Learning Services,,
ALS 165,Technical Communication For International Graduate Students,"(3, 3)",Academic Learning Services,,
ALS 166,Writing/Research Methods For International Graduate Students,"(3, 3)",Academic Learning Services,,
ALS 174,Professional Writing For Graduate Business Students,"(3, 3)",Academic Learning Services,,
ALS 176,Professional Writing For International Graduate Students,"(3, 3)",Academic Learning Services,,
ALS 181,Into Osu Esl Bridge,"(2, 2)",Academic Learning Services,,
ALS 190,Best Orientation,"(1, 5)",Academic Learning Services,,
ALS 191,University Exploratory Studies Pgm First-Year Transitions,"(2, 2)",Academic Learning Services,,
ALS 199,Special Topics,"(1, 3)",Academic Learning Services,,
ALS 199H,Special Topics,"(1, 3)",Academic Learning Services,,
ALS 210,How To Be Successful In Your Internship Search,"(2, 2)",Academic Learning Services,,
ALS 299,Special Topics,"(1, 3)",Academic Learning Services,,
ACTG 317,External Reporting I,"(4, 4)",Accounting,,
ACTG 318,External Reporting Ii,"(4, 4)",Accounting,,
ACTG 319,External Reporting Iii,"(4, 4)",Accounting,,
ACTG 321,Cost Management I,"(4, 4)",Accounting,,
ACTG 379,Accounting Analytics,"(4, 4)",Accounting,,
ACTG 403,Thesis,"(1, 16)",Accounting,,
ACTG 405,Reading & Conference,"(1, 6)",Accounting,,
ACTG 406,Projects,"(1, 16)",Accounting,,
ACTG 407,Seminar,"(1, 12)",Accounting,,
ACTG 409,Practicum,"(1, 12)",Accounting,,
ACTG 410,Internship,"(1, 12)",Accounting,,
ACTG 417,Advanced Accounting,"(4, 4)",Accounting,,
ACTG 420,It Auditing,"(4, 4)",Accounting,,
ACTG 424,Taxation I,"(4, 4)",Accounting,,
ACTG 425,Advanced Taxation,"(4, 4)",Accounting,,
ACTG 427,Assurance And Attestation Services,"(4, 4)",Accounting,,
ACTG 428,Advanced Audit Analytics,"(4, 4)",Accounting,,
ACTG 442,Financial Statement Analysis,"(4, 4)",Accounting,,
ACTG 499,Selected Topics In Accounting,"(1, 6)",Accounting,,
ACTG 520,It Auditing,"(4, 4)",Accounting,,
AHE 410,Internship/Work Experience,"(1, 16)",Adult Education & Higher Education Leadership,,
AHE 440,Introduction To Adult Learning,"(3, 3)",Adult Education & Higher Education Leadership,,
AHE 445,Instructional Methods For Adult Learning,"(3, 3)",Adult Education & Higher Education Leadership,,
AHE 450,Exploring Leadership In Education,"(3, 3)",Adult Education & Higher Education Leadership,,
AHE 501,Research,"(1, 16)",Adult Education & Higher Education Leadership,,
AHE 503,Thesis,"(1, 16)",Adult Education & Higher Education Leadership,,
AHE 506,Projects,"(1, 16)",Adult Education & Higher Education Leadership,,
AHE 510,Internship,"(1, 18)",Adult Education & Higher Education Leadership,,
AHE 522,Instructional Technology I,"(1, 1)",Adult Education & Higher Education Leadership,,
AHE 523,Instructional Technology Ii,"(1, 1)",Adult Education & Higher Education Leadership,,
AHE 524,Instructional Technology Iii,"(1, 1)",Adult Education & Higher Education Leadership,,
