courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
TLED 3160,Application of Development in Learning Contexts,"(3, 3)",,Undergraduate,
PHYSICS 1250,"Mechanics, Work and Energy, Thermal Physics","(5, 5)",,Undergraduate,
SOCWORK 2110,Sport and Positive Youth Development,"(3, 3)",,Undergraduate,
SOCWORK 4501,Generalist Practice with Families,"(3, 3)",,Undergraduate,
CHEM 1210,General Chemistry I,"(5, 5)",,Undergraduate,
CHEM 2540,Organic Chemistry Laboratory I,"(2, 2)",,Undergraduate,
BIOLOGY 1101,Introductory Biology,"(4, 4)",,Undergraduate,
PSYCH 1100,Introduction to Psychology,"(3, 3)",,Undergraduate,
ENGLISH 1110.01,First-Year English Composition,"(3, 3)",,Undergraduate,
PSYCH 3331,Abnormal Psychology,"(3, 3)",,Undergraduate,
PSYCH 3375,Stereotyping and Prejudice,"(3, 3)",,Undergraduate,
MATH 1131,Calculus for Business,"(5, 5)",,Undergraduate,
MATH 1148,College Algebra,"(4, 4)",,Undergraduate,
ECON 2002.01,Principles of Macroeconomics,"(3, 3)",,Undergraduate,
ART 2555,Introduction to Digital Photography and Contemporary Issues,"(3, 3)",,Undergraduate,
TLED 2368,Introduction to Children's Literature,"(3, 3)",,Undergraduate,
ESPHE 3206,School and Society,"(3, 3)",,Undergraduate,
CONSYSM 2305,Professional Development I,"(2, 2)",,Undergraduate,
PHILOS 1300,Introduction to Ethics,"(3, 3)",,Undergraduate,
THEATRE 2700,Understanding Television,"(3, 3)",,Undergraduate,
THEATRE 2811,The Craft of Acting,"(3, 3)",,Undergraduate,
ARTSSCI 3191.01,For-Credit Internship,"(1, 12)",,Undergraduate,
MUSIC 2252,History of Rock 'n' Roll,"(3, 3)",,Undergraduate,
HISTORY 3106,History of Mexico,"(3, 3)",,Undergraduate,
HISTORY 3245,The Age of Reformation,"(3, 3)",,Undergraduate,
ENGLISH 1193,Individual Studies,"(1, 4)",,Undergraduate,
PSYCH 4999.02,Thesis Research II,"(2, 2)",,Undergraduate,
EEOB 2520,Human Physiology,"(3, 3)",,Undergraduate,
HISTORY 2105,Latin America and the World,"(3, 3)",,Undergraduate,
ESSPED 4191.02,Student Teaching in Special Education: Mild/Moderate,"(1, 12)",,Undergraduate,
BUSMHR 2292,Business Skills & Environment,"(3, 3)",,Undergraduate,
SOCWORK 3600,Introduction to Psychopathology and Social Work Practice,"(3, 3)",,Undergraduate,
ENGRTEC 1200,Introduction to Engineering Technology,"(1, 1)",,Undergraduate,
GERMAN 1101.02,Beginning German I (Distance Learning),"(4, 4)",,Undergraduate,
GENED 1201,GE Launch Seminar,"(1, 1)",,Undergraduate,
HISTORY 3676,Leadership in History,"(3, 3)",,Undergraduate,
EXP 1100.01,University Exploration Survey,"(1, 1)",,Undergraduate,
SOCIOL 1101,Introductory Sociology,"(3, 3)",,Undergraduate,
PHILOS 2465,Death and the Meaning of Life,"(3, 3)",,Undergraduate,
CSCFFS 2260,Healthy Finances and Economic Wellbeing for Individuals and Families,"(3, 3)",,Undergraduate,
PHYSICS 1200,"Mechanics, Kinematics, Fluids, Waves","(5, 5)",,Undergraduate,
PHYSICS 1250,"Mechanics, Work and Energy, Thermal Physics","(5, 5)",,Undergraduate,
SOCWORK 2110,Sport and Positive Youth Development,"(3, 3)",,Undergraduate,
SOCWORK 3501,Building Engagement & Interpersonal Skills,"(3, 3)",,Undergraduate,
EDUTL 5137,Teaching and Learning of Social Studies Grades Pre-K - 3,"(3, 3)",,Undergraduate,
TLTED 5469,Language and Word Study for All Learners,"(3, 3)",,Undergraduate,
SOCWORK 1130,Introduction to Social Work in Contemporary Society,"(3, 3)",,Undergraduate,
CHEM 2510,Organic Chemistry I,"(4, 4)",,Undergraduate,
SOCWORK 3401,Research & Statistics for Understanding Social Work Problems and Diverse Populations,"(3, 3)",,Undergraduate,
EARTHSC 1121,The Dynamic Earth,"(3, 3)",,Undergraduate,
PSYCH 1100,Introduction to Psychology,"(3, 3)",,Undergraduate,
ENGLISH 1110.01,First-Year English Composition,"(3, 3)",,Undergraduate,
ANTHROP 2200,Introduction to Biological Anthropology,"(4, 4)",,Undergraduate,
MATH 1050,Precollege Mathematics I,"(5, 5)",,Undergraduate,
MATH 1075,Precollege Mathematics II,"(4, 4)",,Undergraduate,
ART 3002,Intro to Ceramics: Structure,"(3, 3)",,Undergraduate,
ECON 2001.01,Principles of Microeconomics,"(3, 3)",,Undergraduate,
SOCIOL 1101,Introductory Sociology,"(3, 3)",,Undergraduate,
THEATRE 2811,The Craft of Acting,"(3, 3)",,Undergraduate,
HISTORY 2701,History of Technology,"(3, 3)",,Undergraduate,
HISTORY 3712,"Science and Society in Europe, from Newton to Hawking","(3, 3)",,Undergraduate,
ENGLISH 1193,Individual Studies,"(1, 4)",,Undergraduate,
SPHHRNG 4530,Introduction to Autism,"(3, 3)",,Undergraduate,
PHILOS 2340,The Future of Humanity,"(3, 3)",,Undergraduate,
