courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
A HI 1113,The Understanding of Art,"(3, 3)",Art History,,
A HI 1314,Introduction to Art History,"(4, 4)",Art History,,
A HI 2303,Introduction to Art in Europe: 1300-1800,"(3, 3)",Art History,,
A HI 2403,Introduction to American Art,"(3, 3)",Art History,,
A HI 2503,Introduction to Modern Art,"(3, 3)",Art History,,
A HI 2603,Introduction to Contemporary Art,"(3, 3)",Art History,,
A HI 2703,Introduction to Museum Studies,"(3, 3)",Art History,,
A HI 2803,Introduction to Native American Art,"(3, 3)",Art History,,
A HI 2970,Special Topics/Seminar,"(1, 3)",Art History,,
A HI 3133,Survey of Aegean Art and Architecture,"(3, 3)",Art History,,
A HI 3213,Classical Art and Archaeology: Greek Art to the Death of Alexander,"(3, 3)",Art History,,
A HI 3223,Classical Art and Archaeology:  Hellenistic Greek Art; Roman Art,"(3, 3)",Art History,,
A HI 3233,Medieval Art I,"(3, 3)",Art History,,
A HI 3263,Survey of Byzantine Art and Architecture,"(3, 3)",Art History,,
A HI 3303,Renaissance Art in Italy 1200-1600,"(3, 3)",Art History,,
A HI 3313,Art and Culture in Italy,"(3, 3)",Art History,,
A HI 3343,Northern Renaissance Art,"(3, 3)",Art History,,
A HI 3403,Baroque Art and Architecture in Europe:1600-1700,"(3, 3)",Art History,,
A HI 3440,Mentored Research Experience,"(3, 3)",Art History,,
A HI 3503,Art of the 18th Century: The Age of Enlightenment,"(3, 3)",Art History,,
A HI 3553,Nineteenth-Century Art,"(3, 3)",Art History,,
A HI 3603,American Art,"(3, 3)",Art History,,
A HI 3613,Studies in American Art,"(3, 3)",Art History,,
A HI 3663,Contemporary Art,"(3, 3)",Art History,,
A HI 3673,History of Visual Communication,"(3, 3)",Art History,,
A HI 3693,New Media Art,"(3, 3)",Art History,,
A HI 3703,Exhibition Preparation and Presentation,"(3, 3)",Art History,,
A HI 3733,Art of the American West,"(3, 3)",Art History,,
A HI 3803,Pre-Columbian Art & Architecture of Meso- and South America,"(3, 3)",Art History,,
A HI 3813,Colonial Latin American Art,"(3, 3)",Art History,,
A HI 3833,Native American Art of the West,"(3, 3)",Art History,,
A HI 3903,"Art History, Theory and Practice","(3, 3)",Art History,,
A HI 3913,American Visual Culture,"(3, 3)",Art History,,
A HI 3960,Honors Reading,"(1, 3)",Art History,,
A HI 3970,Honors Seminar,"(1, 3)",Art History,,
A HI 3980,Honors Research,"(1, 3)",Art History,,
A HI 3990,Independent Study,"(1, 3)",Art History,,
A HI 4043,"Native Americans, Museums and Exhibitions","(3, 3)",Art History,,
A HI 4163,Etruscan Art,"(3, 3)",Art History,,
A HI 4273,Byzantine Icons,"(3, 3)",Art History,,
A HI 4373,The Italian City: Renaissance and Baroque Architecture,"(3, 3)",Art History,,
A HI 4383,Italian Renaissance Art and Science,"(3, 3)",Art History,,
A HI 4463,Issues in Northern Baroque Art,"(3, 3)",Art History,,
A HI 4523,Art and Power,"(3, 3)",Art History,,
A HI 4573,Impressionist Revolt,"(3, 3)",Art History,,
A HI 4583,Caricature and Satire,"(3, 3)",Art History,,
A HI G4623,Contemporary Art and the Environment,"(3, 3)",Art History,,
A HI 4633,Modern Art: Cezanne to 1950,"(3, 3)",Art History,,
A HI 4643,Art After Modernism,"(3, 3)",Art History,,
A HI 4683,American Material Culture,"(3, 3)",Art History,,
A HI 4723,Cinema of the American West: Then and Now,"(3, 3)",Art History,,
A HI 4733,Contemporary Art in Exhibition,"(3, 3)",Art History,,
A HI 4743,"The American West in Art, Photography and Popular Culture","(3, 3)",Art History,,
A HI 4753,The American West in Photography,"(3, 3)",Art History,,
A HI 4773,Modern Exhibition Histories,"(3, 3)",Art History,,
A HI 4823,20th Century American Indian Art History,"(3, 3)",Art History,,
A HI 4853,American Indian Women Artists,"(3, 3)",Art History,,
A HI 4913,Seminar,"(3, 3)",Art History,,
A HI 4930,Internship,"(1, 6)",Art History,,
A HI 4933,Process and Theory Workshop,"(3, 3)",Art History,,
A HI 4943,Fieldwork for Art History,"(3, 3)",Art History,,
A HI 4953,Museum Studies,"(3, 3)",Art History,,
A HI 4960,Directed Readings,"(2, 6)",Art History,,
A HI 4970,Special Topics/Seminar,"(1, 3)",Art History,,
A HI 4990,Independent Study,"(1, 3)",Art History,,
A HI 4993,Senior Capstone Experience,"(3, 3)",Art History,,
A HI 5043,"Native Americans, Museums and Exhibitions","(3, 3)",Art History,,
A HI 5163,Etruscan Art,"(3, 3)",Art History,,
A HI 5210,Graduate Readings,"(1, 6)",Art History,,
A HI 5220,Graduate Projects,"(1, 6)",Art History,,
A HI 5273,Byzantine Icons,"(3, 3)",Art History,,
A HI 5373,The Italian City: Renaissance and Baroque Architecture,"(3, 3)",Art History,,
A HI 5463,Issues in Northern Baroque Art,"(3, 3)",Art History,,
A HI 5523,Art and Power,"(3, 3)",Art History,,
A HI 5573,Impressionist Revolt,"(3, 3)",Art History,,
A HI 5583,Caricature and Satire,"(3, 3)",Art History,,
A HI 5633,Modern Art: Cezanne to 1950,"(3, 3)",Art History,,
A HI 5643,Art After Modernism,"(3, 3)",Art History,,
A HI 5723,Cinema of the American West: Then and Now,"(3, 3)",Art History,,
A HI 5743,"The American West in Art, Photography, and Popular Culture","(3, 3)",Art History,,
A HI 5753,The American West in Photography,"(3, 3)",Art History,,
A HI 5773,Modern Exhibition Histories,"(3, 3)",Art History,,
A HI 5823,20th Century American Indian Art History,"(3, 3)",Art History,,
A HI 5853,American Indian Women Artists,"(3, 3)",Art History,,
A HI 5903,Methodologies and Theories in Art History,"(3, 3)",Art History,,
A HI 5911,Teaching of Art History,"(1, 1)",Art History,,
A HI 5912,Professional Writing for Art Historians,"(2, 2)",Art History,,
A HI 5913,Seminar,"(3, 3)",Art History,,
A HI 5930,Graduate Internship,"(1, 6)",Art History,,
