courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACTY 001,Dance Team,1,ACTY - Activity,,
ACTY 002,Aerobics,1,ACTY - Activity,,
ACTY 003,Aikido,1,ACTY - Activity,,
ACTY 004,Badminton,1,ACTY - Activity,,
ACTY 005,Bowling,1,ACTY - Activity,,
ACTY 006,Cheerleading,1,ACTY - Activity,,
ACTY 007,Golf,1,ACTY - Activity,,
ACTY 008,Ice Skating,1,ACTY - Activity,,
ACTY 009,Kung Fu,1,ACTY - Activity,,
ACTY 010,Karate,1,ACTY - Activity,,
ACTY 011,Kick Box,1,ACTY - Activity,,
ACTY 012,Running for Health,1,ACTY - Activity,,
ACTY 013,Scuba,1,ACTY - Activity,,
ACTY 014,Advanced Scuba,1,ACTY - Activity,,
ACTY 015,Spirit Squad,1,ACTY - Activity,,
ACTY 016,Strength Training,1,ACTY - Activity,,
ACTY 017,Swimming for Health,1,ACTY - Activity,,
ACTY 018,Tennis,1,ACTY - Activity,,
ACTY 019,Volleyball,1,ACTY - Activity,,
ACTY 020,Filipino Martial Arts/Self-Def,1,ACTY - Activity,,
ACTY 021,Weight Training,1,ACTY - Activity,,
ACTY 022,Yoga,1,ACTY - Activity,,
ACTY 023,Self-Defense for Women,1,ACTY - Activity,,
ACTY 024,Basketball,1,ACTY - Activity,,
ACTY 025,Tae-Kwon Do,1,ACTY - Activity,,
ACTY 050,"Baseball, Intercollegiate",1,ACTY - Activity,,
ACTY 051,"Basketball, Men&#39;s Intercoll.",1,ACTY - Activity,,
ACTY 052,"Football, Intercollegiate",1,ACTY - Activity,,
ACTY 053,"Swimming, Men&#39;s Intercoll.",1,ACTY - Activity,,
ACTY 054,Tennis Men&#39;s Intercollegiate,1,ACTY - Activity,,
ACTY 055,"Volleyball, Men&#39;s Intercoll.",1,ACTY - Activity,,
ACTY 056,"Water Polo, Men&#39;s Intercoll.",1,ACTY - Activity,,
ACTY 057,"Basketball, Women&#39;s Intercoll.",1,ACTY - Activity,,
