courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACTG 199,Special Studies,1-12,Accounting,,
ACTG 281,Accounting Mechanics: Debits and Credit,1,Accounting,,
ACTG 299,Special Studies,1-12,Accounting,,
ACTG 310,Professional Accounting Seminar,2,Accounting,,
ACTG 335,Accounting Information Systems and Analytic Fundamentals,4,Accounting,,
ACTG 360,Management Accounting,2,Accounting,,
ACTG 381,Financial Accounting and Reporting I,4,Accounting,,
ACTG 382,Financial Accounting and Reporting II,4,Accounting,,
ACTG 383,Financial Accounting and Reporting III,4,Accounting,,
ACTG 395,Taxation,4,Accounting,,
ACTG 399,Special Studies,1-12,Accounting,,
ACTG 401,Research,1-12,Accounting,,
ACTG 402,Independent Study,1-12,Accounting,,
ACTG 403,Thesis,1-12,Accounting,,
ACTG 404,Internship,1-12,Accounting,,
ACTG 405,Reading and Conference,1-12,Accounting,,
ACTG 406,Special Projects,1-12,Accounting,,
ACTG 407,Seminar,1-6,Accounting,,
ACTG 408,Workshop,1-12,Accounting,,
ACTG 409,Practicum,1-8,Accounting,,
ACTG 410,Selected Topics,1-12,Accounting,,
ACTG 416,"IT, Cybersecurity and Compliance",4,Accounting,,
ACTG 422,Advanced Taxation,4,Accounting,,
ACTG 430,Governmental Accounting,2,Accounting,,
ACTG 431,Not-For-Profit Accounting,2,Accounting,,
ACTG 445,Forensic Accounting,4,Accounting,,
ACTG 460,Advanced Managerial Accounting,4,Accounting,,
ACTG 485,Business Law,4,Accounting,,
ACTG 490,Advanced Financial Accounting,4,Accounting,,
ACTG 492,Auditing Concepts and Practices,4,Accounting,,
ACTG 493,Advanced Auditing,4,Accounting,,
ACTG 495,Integrated Accounting Issues,4,Accounting,,
ACTG 501,Research,1-9,Accounting,,
ACTG 502,Independent Study,1-9,Accounting,,
ACTG 503,Thesis,1-9,Accounting,,
ACTG 504,Internship,1-9,Accounting,,
ACTG 505,Reading and Conference,1-9,Accounting,,
ACTG 509,Special Projects,1-6,Accounting,,
ACTG 507,Seminar,1-12,Accounting,,
ACTG 507S,Seminar,1-8,Accounting,,
ACTG 508,Workshop,1-9,Accounting,,
ACTG 510,Selected Topics,1-9,Accounting,,
ACTG 511,Financial Reporting,4,Accounting,,
ACTG 513,Managerial Accounting and Control,4,Accounting,,
ACTG 525,Tax Research Documentation and Procedure,4,Accounting,,
ACTG 526,Accounting Methods and Periods,4,Accounting,,
ACTG 527,Corporate Taxation I,4,Accounting,,
ACTG 528,Corporate Taxation II,4,Accounting,,
ACTG 530,Taxation of Property Transactions,2,Accounting,,
ACTG 531,Partnership Taxation,4,Accounting,,
ACTG 532,S Corporations Taxation,2,Accounting,,
ACTG 533,Financial Accounting for Income Taxes,4,Accounting,,
ACTG 535,State and Local Taxation,4,Accounting,,
ACTG 536,International Taxation,4,Accounting,,
ACTG 537,Tax Accounting Capstone Consulting Project,4,Accounting,,
ACTG 539,"Trust, Estate & Gift Taxation",4,Accounting,,
ACTG 540,Practicum / Internship,4,Accounting,,
ACTG 542,Tax Factors in Business Decisions,4,Accounting,,
ACTG 544,Professional Practices Seminar,1,Accounting,,
ACTG 545,Forensic Accounting,4,Accounting,,
ACTG 545S,Forensic Accounting,4,Accounting,,
ACTG 550,Advanced Financial Reporting,4,Accounting,,
ACTG 551,Accounting Information Systems,4,Accounting,,
ACTG 552,Strategic Cost Management,4,Accounting,,
ACTG 553,Financial Statement Analysis,4,Accounting,,
ACTG 560,Professional Ethics and the Public Interest,2,Accounting,,
ACTG 565,Current Topics in Global Financial Accounting,4,Accounting,,
ACTG 585,Business Law,4,Accounting,,
ACTG 585S,Business Law,4,Accounting,,
ACTG 592,Auditing Concepts and Practices,4,Accounting,,
ACTG 592S,Auditing Concepts and Practices,4,Accounting,,
ACTG 593,Advanced Auditing,4,Accounting,,
ACTG 593S,Advanced Auditing,4,Accounting,,
ACTG 601,Research,1-12,Accounting,,
ACTG 607,Seminar,1-12,Accounting,,
ANTH 101,Introduction to Biological Anthropology,4,Anthropology,,
ANTH 102,Introduction to Archaeology,4,Anthropology,,
ANTH 103,Introduction to Social/Cultural Anthropology,4,Anthropology,,
ANTH 199,Special Studies,1-12,Anthropology,,
ANTH 299,Special Studies,1-12,Anthropology,,
ANTH 300U,The Modern World in Anthropological Perspective,4,Anthropology,,
ANTH 301,The Politics of Ethnographic Writing,4,Anthropology,,
ANTH 304,Identity and Society,4,Anthropology,,
ANTH 305,Culture and Power,4,Anthropology,,
ANTH 310U,Chinese Culture and Society,4,Anthropology,,
ANTH 311U,Peoples and Cultures of Latin America,4,Anthropology,,
ANTH 312U,Southeast Asian Societies and Cultures,4,Anthropology,,
ANTH 313U,Native American-Settler Relations,4,Anthropology,,
ANTH 314U,Native Americans,4,Anthropology,,
ANTH 315U,American Culture,4,Anthropology,,
ANTH 317U,South Asia,4,Anthropology,,
ANTH 318U,Asian American Experience,4,Anthropology,,
ANTH 319U,Traditional Cultures of Africa,4,Anthropology,,
ANTH 320,Indigenous Peoples of the Pacific Northwest Coast,4,Anthropology,,
ANTH 325U,"Culture, Health, and Healing",4,Anthropology,,
ANTH 330U,Anthropology of Folklore,4,Anthropology,,
ANTH 333U,Anthropology of Food,4,Anthropology,,
ANTH 340U,"Design, Politics and Society",4,Anthropology,,
ANTH 345,Practicing Anthropology,4,Anthropology,,
ANTH 350,Archaeological Method and Theory,4,Anthropology,,
ANTH 350L,Archaeological Method and Theory Laboratory,1,Anthropology,,
ANTH 355U,Colonial and Postcolonial Historical Archaeology,4,Anthropology,,
ANTH 357U,Archaeology in Popular Culture,4,Anthropology,,
ANTH 361U,The Archaeology of Europe,4,Anthropology,,
ANTH 362U,African Prehistory,4,Anthropology,,
ANTH 363U,Egyptian Archaeology: From Earliest Peoples to the Pyramid Age,4,Anthropology,,
ANTH 364U,The Archaeology of the Pacific Northwest,4,Anthropology,,
ANTH 365U,The Archaeology of North America,4,Anthropology,,
ANTH 366U,The Archaeology of Mesoamerica,4,Anthropology,,
ANTH 368U,The Archaeology of Oceania,4,Anthropology,,
ANTH 370,Paleoanthropology,5,Anthropology,,
ANTH 370L,Paleoanthropology Laboratory,0,Anthropology,,
ANTH 372,Human Variation,4,Anthropology,,
ANTH 373,Primate Ecology and Behavior,4,Anthropology,,
ANTH 376U,The Neandertals,4,Anthropology,,
ANTH 379U,Practicing Forensic Science,4,Anthropology,,
ANTH 399,Special Studies,1-12,Anthropology,,
ANTH 401,Research,1-12,Anthropology,,
ANTH 402,Independent Study,1-12,Anthropology,,
ANTH 403,Thesis,1-12,Anthropology,,
ANTH 404,Cooperative Education/internship,1-12,Anthropology,,
ANTH 405,Reading and Conference,1-6,Anthropology,,
ANTH 406,Projects,1-12,Anthropology,,
ANTH 407,Seminar,1-12,Anthropology,,
ANTH 408,Workshop,1-12,Anthropology,,
ANTH 409,Practicum,1-12,Anthropology,,
ANTH 410,Selected Topics,1-12,Anthropology,,
ANTH 412,Ethnographic Methods,4,Anthropology,,
ANTH 414,Culture and Ecology,4,Anthropology,,
ANTH 415,Applied Anthropology,4,Anthropology,,
ANTH 416,Urban Anthropology,4,Anthropology,,
ANTH 417,Advanced Topics in Native American Studies,4,Anthropology,,
ANTH 418,Environmental Anthropology,4,Anthropology,,
ANTH 425,Topics in Medical Anthropology,4,Anthropology,,
ANTH 426,Transnationalism and Migration,4,Anthropology,,
ANTH 431,Topics in Latin American in Ethnography,4,Anthropology,,
ANTH 432,"Gender, Sex, and Sexuality in Anthropological Perspective",4,Anthropology,,
ANTH 435,Visual Anthropology,4,Anthropology,,
ANTH 440,Design Anthropology,4,Anthropology,,
ANTH 452,Archaeological Lab Methods,4,Anthropology,,
ANTH 453,Archaeological Field Methods,4,Anthropology,,
ANTH 454,Archaeological Field School,6,Anthropology,,
ANTH 455,Analysis of Faunal Remains,5,Anthropology,,
ANTH 456,Cultural and Heritage Resources Management,4,Anthropology,,
ANTH 457,The Archaeology of Hunter-Gatherers,4,Anthropology,,
ANTH 458,The Archaeology of Disaster,4,Anthropology,,
ANTH 460,Public and Community Archaeology,4,Anthropology,,
ANTH 461,Advanced Topics in Archaeology,4,Anthropology,,
ANTH 471,Advanced Topics in Paleoanthropology,4,Anthropology,,
ANTH 472,The Roots of Human Biology,4,Anthropology,,
ANTH 473,Primatology,4,Anthropology,,
ANTH 477,Primatology Field Methods,4,Anthropology,,
ANTH 478,Human Osteology,4,Anthropology,,
ANTH 479,Forensic Anthropology,4,Anthropology,,
ANTH 490,The Anthropology of Violence,4,Anthropology,,
ANTH 491,"Culture, Vulnerability and Disaster Resilience",4,Anthropology,,
ANTH 501,Research,1-9,Anthropology,,
ANTH 502,Independent Study,1-9,Anthropology,,
ANTH 503,Thesis,1-9,Anthropology,,
ANTH 504,Cooperative Education/internship,1-9,Anthropology,,
ANTH 505,Reading and Conference,1-9,Anthropology,,
ANTH 506,Special Projects,1-9,Anthropology,,
ANTH 507,Seminar,1-12,Anthropology,,
ANTH 509,Practicum,1-9,Anthropology,,
ANTH 510,Selected Topics,1-12,Anthropology,,
ANTH 511,Core Seminar in Social and Cultural Anthropology,4,Anthropology,,
ANTH 512,Ethnographic Methods,4,Anthropology,,
ANTH 514,Culture and Ecology,4,Anthropology,,
ANTH 515,Applied Anthropology,4,Anthropology,,
ANTH 516,Urban Anthropology,4,Anthropology,,
ANTH 517,Advanced Topics in Native American Studies,4,Anthropology,,
ANTH 518,Environmental Anthropology,4,Anthropology,,
ANTH 525,Topics in Medical Anthropology,4,Anthropology,,
ANTH 526,Transnationalism and Migration,4,Anthropology,,
ANTH 531,Topics in Latin American in Ethnography,4,Anthropology,,
ANTH 532,"Gender, Sex, and Sexuality in Anthropological Perspectives",4,Anthropology,,
ANTH 535,Visual Anthropology,4,Anthropology,,
ANTH 540,Design Anthropology,4,Anthropology,,
ANTH 550,Core Seminar in Archaeology,4,Anthropology,,
ANTH 552,Archaeological Lab Methods,4,Anthropology,,
ANTH 553,Archaeological Field Methods,4,Anthropology,,
ANTH 554,Archaeological Field School,6,Anthropology,,
