courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
BUSACC 0030,Financial Accounting,"(3, 3)",Accounting,,
BUSACC 0040,Managerial Accounting,"(3, 3)",Accounting,,
BUSACC 1204,Intermediate Financial Reporting 1,"(3, 3)",Accounting,,
BUSACC 1205,Intermediate Financial Reporting 2,"(3, 3)",Accounting,,
BUSACC 1210,Financial Statement Analysis,"(3, 3)",Accounting,,
BUSACC 1216,Advanced Financial Accounting,"(3, 3)",Accounting,,
BUSACC 1221,Strategic Cost Management,"(3, 3)",Accounting,,
BUSACC 1236,Accounting Information Systems,"(3, 3)",Accounting,,
BUSACC 1238,Auditing,"(3, 3)",Accounting,,
BUSACC 1242,Taxes And Decision Making,"(3, 3)",Accounting,,
BUSACC 1245,Volunteer Income Tax Assistance Program,"(3, 3)",Accounting,,
BUSACC 1250,Survey Of International Accounting Issues And The Iasb,"(3, 3)",Accounting,,
BUSACC 1251,Survey Of International Busienss Issues And The City Of London,"(3, 3)",Accounting,,
BUSACC 1296,Accounting Internship,"(3, 3)",Accounting,,
BUSACC 1298,Accounting Independent Study,"(1, 3)",Accounting,,
ADMJ 1210,Juvenile Delinquency,"(3, 3)",Administration Of Justice,,
ADMJ 1246,Financing Terrorism,"(3, 3)",Administration Of Justice,,
AFROTC 0001,Heritage And Values Of United States Air Force 1,"(1, 1)",Space Studies,,
AFROTC 0002,Heritage And Value Of Us Air Force 2,"(1, 1)",Space Studies,,
AFROTC 0003,Evolution Of Air And Space Power,"(1, 1)",Space Studies,,
AFROTC 0004,Team And Leadership 2,"(1, 1)",Space Studies,,
AFROTC 0005,Freshman Leadership Lab,"(0, 0)",Space Studies,,
AFROTC 0006,Sophomore Leadership Lab,"(0, 0)",Space Studies,,
AFROTC 0007,Team And Leadership 1,"(1, 1)",Space Studies,,
AFROTC 1005,Junior Leadership Lab,"(0, 0)",Space Studies,,
AFROTC 1006,Senior Leadership Lab,"(0, 0)",Space Studies,,
AFROTC 1013,Leading People And Effective Communication 1,"(3, 3)",Space Studies,,
AFROTC 1014,Leading And Communications 2,"(3, 3)",Space Studies,,
AFROTC 1015,National Security Affairs/Preparation For Active Duty,"(3, 3)",Space Studies,,
AFROTC 1016,National Security Forces,"(3, 3)",Space Studies,,
AFRCNA 0031,Introduction To Africana Studies,"(3, 3)",Africana Studies,,
AFRCNA 0120,African American Experience Sports,"(3, 3)",Africana Studies,,
AFRCNA 0127,Introduction To Africa,"(3, 3)",Africana Studies,,
AFRCNA 0150,African American Literature,"(3, 3)",Africana Studies,,
AFRCNA 0212,West African Dance,"(3, 3)",Africana Studies,,
AFRCNA 0220,The Black Power Movement In The U.S. And Beyond,"(3, 3)",Africana Studies,,
AFRCNA 0242,Africana Urban Woman,"(3, 3)",Africana Studies,,
AFRCNA 0300,Racialized Police Violence In Global Perspectives,"(1, 1)",Africana Studies,,
AFRCNA 0311,Introduction To The African American Family,"(3, 3)",Africana Studies,,
AFRCNA 0313,The Black Church,"(3, 3)",Africana Studies,,
AFRCNA 0316,Introduction African American Theater,"(3, 3)",Africana Studies,,
AFRCNA 0318,History Of Africa Before 1800,"(3, 3)",Africana Studies,,
AFRCNA 0352,African American Dance,"(3, 3)",Africana Studies,,
AFRCNA 0385,Caribbean History,"(3, 3)",Africana Studies,,
AFRCNA 0400,"Covid-19, Racism And Public Health","(1, 1)",Africana Studies,,
AFRCNA 0434,Psychological Experience African American Female,"(3, 3)",Africana Studies,,
AFRCNA 0454,Man/Woman Literature,"(3, 3)",Africana Studies,,
AFRCNA 0508,Swahili Language And Culture Immersion,"(4, 4)",Africana Studies,,
AFRCNA 0517,Introduction To African American Poetry,"(3, 3)",Africana Studies,,
AFRCNA 0522,Introduction To African Literature,"(3, 3)",Africana Studies,,
AFRCNA 0523,Swahili 1,"(4, 4)",Africana Studies,,
AFRCNA 0524,Swahili 2,"(4, 4)",Africana Studies,,
AFRCNA 0525,Swahili 3,"(3, 3)",Africana Studies,,
AFRCNA 0526,Swahili 4,"(3, 3)",Africana Studies,,
AFRCNA 0536,20Th Century African American Woman History,"(3, 3)",Africana Studies,,
AFRCNA 0586,Early African Civilizations,"(3, 3)",Africana Studies,,
AFRCNA 0628,Afro-Latin America,"(3, 3)",Africana Studies,,
AFRCNA 0629,African American History 1877,"(3, 3)",Africana Studies,,
AFRCNA 0630,African American History Since 1865,"(3, 3)",Africana Studies,,
AFRCNA 0639,History Of Jazz,"(3, 3)",Africana Studies,,
AFRCNA 0787,Black Consciousness,"(3, 3)",Africana Studies,,
AFRCNA 0805,Black Performance Aesthetics,"(3, 3)",Africana Studies,,
AFRCNA 0808,Black Life Onscreen,"(3, 3)",Africana Studies,,
AFRCNA 0885,"Senegal: Intersections Of Culture, History, Religion & Dance","(3, 3)",Africana Studies,,
AFRCNA 1012,Early 20Th Century Black Social Movement,"(3, 3)",Africana Studies,,
AFRCNA 1021,History Of The African Diaspora,"(3, 3)",Africana Studies,,
AFRCNA 1024,West African Cultures And Society,"(3, 3)",Africana Studies,,
AFRCNA 1026,African Presence In Latin American Lit/Culture,"(3, 3)",Africana Studies,,
AFRCNA 1030,Introduction To African Politics,"(3, 3)",Africana Studies,,
AFRCNA 1033,African Americans And Mass Media,"(3, 3)",Africana Studies,,
AFRCNA 1039,History Of Caribbean Slavery,"(3, 3)",Africana Studies,,
AFRCNA 1083,Special Topics,"(3, 3)",Africana Studies,,
AFRCNA 1108,African American Folk Culture,"(3, 3)",Africana Studies,,
AFRCNA 1201,Global Diasporas: Contemporary African And Caribbean Migration,"(3, 3)",Africana Studies,,
AFRCNA 1240,African Literature And Society,"(3, 3)",Africana Studies,,
AFRCNA 1245,Studio In African American Poetry And Poetics,"(3, 3)",Africana Studies,,
AFRCNA 1250,Black Europe,"(3, 3)",Africana Studies,,
AFRCNA 1306,World Literature In English,"(3, 3)",Africana Studies,,
AFRCNA 1309,Women Of African And African Diaspora,"(3, 3)",Africana Studies,,
