courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAS 201,African American Studies and the Black Intellectual Tradition,,AAS,Undergraduate,
AAS 231,The Souls of Black Folk - Reading W.E.B. Du Bois,,AAS,Undergraduate,
AAS 239,Introduction to African Literature and Film,,AAS,Undergraduate,
AAS 244,Introduction to Pre-20th Century Black Diaspora Art,,AAS,Undergraduate,
AAS 268,Introduction to African American History Since Emancipation,,AAS,Undergraduate,
AAS 300,Junior Seminar: Research and Writing in African American Studies,,AAS,Undergraduate,
AAS 306,Topics in Race and Public Policy,,AAS,Undergraduate,
AAS 310,Dancing New York in the Twentieth Century,,AAS,Undergraduate,
AAS 326,Topics in African American Culture & Life,,AAS,Undergraduate,
AAS 350,"Rats, Riots, and Revolution: Housing in the Metropolitan United States",,AAS,Undergraduate,
AAS 372,Postblack - Contemporary African American Art,,AAS,Undergraduate,
AAS 426,"Memory, History and the Archive",,AAS,Undergraduate,
AFS 322,"Contemporary African Politics and Society: Ethnographic Reading, Thinking and Writing",,AFS,Undergraduate,
AMS 101,"Comparative Perspectives on Power, Resistance and Change",,AMS,Undergraduate,
AMS 257,Jews Across the Americas,,AMS,Undergraduate,
AMS 317,Sondheim's Musicals and the Making of America,,AMS,Undergraduate,
AMS 321,Regarding the Pain of Others,,AMS,Undergraduate,
AMS 322,Native American Literature,,AMS,Undergraduate,
AMS 406,Advanced Seminar,,AMS,Undergraduate,
ANT 201,Introduction to Anthropology,,ANT,Undergraduate,
ANT 206,Human Evolution,,ANT,Undergraduate,
ANT 214,Anthropology and Environment,,ANT,Undergraduate,
ANT 223,Policing and Militarization Today,,ANT,Undergraduate,
ANT 240,Medical Anthropology,,ANT,Undergraduate,
ANT 246,Critical Native American and Indigenous Studies,,ANT,Undergraduate,
ANT 252,Visible/Invisible Worlds: Anthropology in Film and Data,,ANT,Undergraduate,
ANT 256,Emotions: On the Makings of Moral and Political Life,,ANT,Undergraduate,
ANT 261,Differences: The Anthropology of Disability,,ANT,Undergraduate,
ANT 263,Justice,,ANT,Undergraduate,
ANT 264,Violence,,ANT,Undergraduate,
ANT 299,People-Centered: Doing Anthropology,,ANT,Undergraduate,
ANT 300,"Ethnography, Evidence and Experience",,ANT,Undergraduate,
ANT 301,The Ethnographer's Craft,,ANT,Undergraduate,
ANT 305,Psychological Anthropology,,ANT,Undergraduate,
ANT 308,Empires of Debt,,ANT,Undergraduate,
ANT 311,"Food, Culture & Society",,ANT,Undergraduate,
ANT 333,Indigenous Futures: Health and Wellbeing within Native Nations,,ANT,Undergraduate,
ANT 337,Queer Becomings,,ANT,Undergraduate,
ANT 339,Behavioral Biology of Women,,ANT,Undergraduate,
ANT 342,The Anthropology of Law,,ANT,Undergraduate,
ANT 344,Masculinities,,ANT,Undergraduate,
ANT 354,Digital Anthropology: Methods for Exploring Virtual Worlds,,ANT,Undergraduate,
ANT 362,Filming the Future of Liberation,,ANT,Undergraduate,
ANT 363,Gangsters and Troublesome Populations,,ANT,Undergraduate,
ANT 368,Ethnography of Schools and Schooling,,ANT,Undergraduate,
ANT 390,Histories of Anthropological Theory,,ANT,Undergraduate,
ANT 437,Gaming Blackness: The Anthropology of Video Games and Race,,ANT,Undergraduate,
ANT 438,Anthropology of Borders,,ANT,Undergraduate,
ANT 440,Gender and the Household,,ANT,Undergraduate,
ANT 457,Anthropologies of Climate and Change,,ANT,Undergraduate,
ANT 501,Proseminar in Anthropology,,ANT,Graduate,
ANT 503,Co-seminar in Anthropology (Full-Term),,ANT,Graduate,
ANT 503A,Co-seminar in Anthropology (Half-Term),,ANT,Graduate,
ANT 503B,Co-seminar in Anthropology (Half-Term),,ANT,Graduate,
ANT 506,Grant-Writing Practicum,,ANT,Graduate,
ANT 521,Topics in Theory and Practice of Anthropology (Half-Term),,ANT,Graduate,
AOS 527,Atmospheric Radiative Transfer,,AOS,Graduate,
AOS 571,Introduction to Geophysical Fluid Dynamics,,AOS,Graduate,
AOS 575,Numerical Prediction of the Atmosphere and Ocean,,AOS,Graduate,
APC 503,Analytical Techniques in Differential Equations,,APC,Graduate,
APC 524,Software Engineering for Scientific Computing,,APC,Graduate,
ARA 101,Elementary Arabic I,,ARA,Undergraduate,
ARA 105,Intermediate Arabic I,,ARA,Undergraduate,
ARA 301,Advanced Arabic I,,ARA,Undergraduate,
ARA 303,Media Arabic I,,ARA,Undergraduate,
ARA 430,Arabic Creative Writing,,ARA,Undergraduate,
ARC 203,Introduction to Architectural Thinking,,ARC,Undergraduate,
ARC 205,Interdisciplinary Design Studio,,ARC,Undergraduate,
ARC 206,Geometry and Architectural Representation,,ARC,Undergraduate,
ARC 308,History of Architectural Theory,,ARC,Undergraduate,
ARC 311,Building Science and Technology: Building Systems,,ARC,Undergraduate,
ARC 322,History of Comparative Architecture,,ARC,Undergraduate,
ARC 350,Junior Studio,,ARC,Undergraduate,
ARC 362,Lives of the Most Excellent Architects,,ARC,Undergraduate,
ARC 403,Topics in the History and Theory of Architecture,,ARC,Undergraduate,
ARC 404,Advanced Design Studio,,ARC,Undergraduate,
ARC 501,Architecture Design Studio,,ARC,Graduate,
ARC 503,Integrated Building Studios,,ARC,Graduate,
ARC 503B,Integrated Building Studios,,ARC,Graduate,
ARC 503C,Integrated Building Studio,,ARC,Graduate,
ARC 504,Integrated Building Studios,,ARC,Graduate,
ARC 505A,Architecture Design Studio,,ARC,Graduate,
ARC 505B,Architecture Design Studio,,ARC,Graduate,
ARC 505C,Architecture Design Studio,,ARC,Graduate,
ARC 507,Thesis Studio,,ARC,Graduate,
ARC 510,Structural Analysis for Architecture,,ARC,Graduate,
ARC 514,"The Environmental Engineering of Buildings, Part I",,ARC,Graduate,
ARC 518,Construction and Interpretation,,ARC,Graduate,
ARC 522,History of Comparative Architecture,,ARC,Graduate,
ARC 523,Against the Settler Colonial City,,ARC,Graduate,
ARC 526,Research in Urbanism,,ARC,Graduate,
ARC 527,Sociological Experiments in Urban Life,,ARC,Graduate,
ARC 530,M.Arch. Thesis Seminar,,ARC,Graduate,
ARC 531,Proseminar for Post-Professional M.Arch.,,ARC,Graduate,
ARC 537,"Architecture, Technology, and the Environment",,ARC,Graduate,
ARC 546,Technology and the City: The Architectural Implications of Networked Urban Landscape,,ARC,Graduate,
ARC 547,Introduction to Formal Analysis,,ARC,Graduate,
ARC 549,History and Theories of Architecture: 20th Century,,ARC,Graduate,
ARC 560,Topics in Contemporary Architecture & Urbanism,,ARC,Graduate,
ARC 560A,Topics in Contemporary Architecture and Urbanism,,ARC,Graduate,
ARC 560B,Topics in Contemporary Architecture & Urbanism,,ARC,Graduate,
ARC 562,Introduction to the Architecture Profession,,ARC,Graduate,
ARC 569,Extramural Research Internship,,ARC,Graduate,
ARC 571,PhD Proseminar,,ARC,Graduate,
ARC 573,"Pro Seminar: Computation, Energy, Technology in Architecture",,ARC,Graduate,
ARC 574,Computational Fabrication,,ARC,Graduate,
ARC 575,Advanced Topics in Modern Architecture,,ARC,Graduate,
ARC 576,Advanced Topics in Modern Architecture,,ARC,Graduate,
ARC 580,"Gender, Cities, and Dissent",,ARC,Graduate,
ART 100,An Introduction to the History of Art: Meanings in the Visual Arts,,ART,Undergraduate,
ART 200,The Art and Archaeology of the Ancient Near East and Egypt,,ART,Undergraduate,
ART 212,European Art: Revolutions and Avant-Gardes,,ART,Undergraduate,
ART 216,Aesthetics and Politics of Chinese Painting,,ART,Undergraduate,
ART 217,The Arts of Japan,,ART,Undergraduate,
ART 220,Modern and Contemporary Latin American Art,,ART,Undergraduate,
ART 260,Introduction to African Art,,ART,Undergraduate,
ART 291,Competing Professions,,ART,Undergraduate,
ART 323,World Art History,,ART,Undergraduate,
ART 335,Byzantine Art,,ART,Undergraduate,
ART 400,Junior Seminar,,ART,Undergraduate,
ART 407,Drawing Archaeology,,ART,Undergraduate,
ART 428,Song Dynasty Painting,,ART,Undergraduate,
ART 430,Seminar. Medieval Art,,ART,Undergraduate,
ART 431,"Art, Culture, and Identity in Medieval Spain",,ART,Undergraduate,
ART 450,Seminar. 19th-Century European Art,,ART,Undergraduate,
ART 455,Seminar in Modernist Art & Theory,,ART,Undergraduate,
ART 456,Seminar. Contemporary Art,,ART,Undergraduate,
ART 483,"Pathologies of Difference: Art, Medicine and Race in the British Empire",,ART,Undergraduate,
ART 485,Collecting and Exhibiting Art of the Ancient Americas,,ART,Undergraduate,
ART 487,Rembrandt,,ART,Undergraduate,
ART 500,Proseminar in the History of Art,,ART,Graduate,
