courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCTG 151,Introductory Financial Accounting I,"(3, 3)",Accounting,Undergraduate,
ACCTG 152,Introductory Financial Accounting II,"(3, 3)",Accounting,Undergraduate,
ACCTG 197,Special Topics,"(1, 9)",Accounting,Undergraduate,
ACCTG 199,Foreign Studies,"(1, 12)",Accounting,Undergraduate,
ACCTG 201,Introduction to Financial Accounting,"(3, 3)",Accounting,Undergraduate,
ACCTG 202,Introduction to Managerial Accounting,"(3, 3)",Accounting,Undergraduate,
ACCTG 211,Financial and Managerial Accounting for Decision Making,"(4, 4)",Accounting,Undergraduate,
ACCTG 211H,Financial and Managerial Accounting for Decision Making,"(4, 4)",Accounting,Undergraduate,
ACCTG 285,Introduction to Cyber Fraud,"(3, 3)",Accounting,Undergraduate,
ACCTG 296,Independent Studies,"(1, 18)",Accounting,Undergraduate,
ACCTG 297,Special Topics,"(1, 9)",Accounting,Undergraduate,
ACCTG 299,Foreign Studies,"(1, 12)",Accounting,Undergraduate,
ACCTG 305,Financial Statements and Management Decisions,"(4, 4)",Accounting,Undergraduate,
ACCTG 310,Federal Taxation I,"(3, 3)",Accounting,Undergraduate,
ACCTG 312,Accounting Technology Lab,"(3, 3)",Accounting,Undergraduate,
ACCTG 340,Cost Accounting,"(3, 3)",Accounting,Undergraduate,
ACCTG 371,Intermediate Accounting I,"(4, 4)",Accounting,Undergraduate,
ACCTG 397,Special Topics,"(1, 9)",Accounting,Undergraduate,
ACCTG 399,Foreign Studies,"(1, 12)",Accounting,Undergraduate,
ACCTG 403,Auditing,"(3, 3)",Accounting,Undergraduate,
ACCTG 403W,Auditing,"(3, 3)",Accounting,Undergraduate,
ACCTG 404,Managerial Accounting: Economic Perspective,"(3, 3)",Accounting,Undergraduate,
ACCTG 405,Principles of Taxation I,"(3, 3)",Accounting,Undergraduate,
ACCTG 406,Principles of Taxation II,"(3, 3)",Accounting,Undergraduate,
ACCTG 410,Federal Taxation II,"(3, 3)",Accounting,Undergraduate,
ACCTG 411,Accounting Practicum:  VITA,"(3, 3)",Accounting,Undergraduate,
ACCTG 417,Corporate and Managerial Communication,"(2, 3)",Accounting,Undergraduate,
ACCTG 422,Accounting Systems,"(3, 3)",Accounting,Undergraduate,
ACCTG 423,Accounting Data Analytics,"(3, 3)",Accounting,Undergraduate,
ACCTG 426,Financial Statement Analysis,"(3, 3)",Accounting,Undergraduate,
ACCTG 431,Advanced Auditing,"(3, 3)",Accounting,Undergraduate,
ACCTG 432,Accounting Information Systems,"(3, 3)",Accounting,Undergraduate,
ACCTG 440,Advanced Management Accounting,"(3, 3)",Accounting,Undergraduate,
ACCTG 450,Advanced Accounting,"(3, 3)",Accounting,Undergraduate,
ACCTG 461,International Accounting,"(3, 3)",Accounting,Undergraduate,
ACCTG 462,Governmental and Not-for-Profit Accounting,"(3, 3)",Accounting,Undergraduate,
ACCTG 471,Intermediate Financial Accounting I,"(3, 3)",Accounting,Undergraduate,
ACCTG 472,Intermediate Financial Accounting II,"(3, 3)",Accounting,Undergraduate,
ACCTG 473,Advanced Financial Accounting,"(3, 3)",Accounting,Undergraduate,
ACCTG 481,Financial Statement Analysis: Accounting Based Evaluation and Decision     Making,"(3, 3)",Accounting,Undergraduate,
ACCTG 483,Forensic Accounting,"(3, 3)",Accounting,Undergraduate,
ACCTG 494,Research Project,"(1, 12)",Accounting,Undergraduate,
ACCTG 494H,Research Project,"(1, 6)",Accounting,Undergraduate,
ACCTG 495,Internship,"(1, 18)",Accounting,Undergraduate,
ACCTG 496,Independent Studies,"(1, 18)",Accounting,Undergraduate,
ACCTG 497,Special Topics,"(1, 9)",Accounting,Undergraduate,
ACCTG 498,Special Topics,"(1, 9)",Accounting,Undergraduate,
ACCTG 499,Foreign Studies,"(1, 12)",Accounting,Undergraduate,
ACS 496,Independent Studies,"(1, 18)",Acoustics,Undergraduate,
ACS 497,Special Topics,"(1, 9)",Acoustics,Undergraduate,
ACS 498,Special Topics,"(1, 9)",Acoustics,Undergraduate,
ADTED 100,Adult Learners in the University,"(3, 3)",Adult Education,Undergraduate,
ADTED 297,Special Topics,"(1, 9)",Adult Education,Undergraduate,
ADTED 300,Social Movements and Education: Global Perspectives,"(3, 3)",Adult Education,Undergraduate,
ADTED 456,Introduction to Family Literacy,"(3, 3)",Adult Education,Undergraduate,
ADTED 457,Adult Literacy,"(3, 3)",Adult Education,Undergraduate,
ADTED 458,Early Literacy Development,"(3, 3)",Adult Education,Undergraduate,
ADTED 459,Interactive Literacy and Parental Involvement: Supporting Academic Success,"(3, 3)",Adult Education,Undergraduate,
ADTED 460,Introduction to Lifelong Learning and Adult Education,"(3, 3)",Adult Education,Undergraduate,
ADTED 470,Introduction to Distance Education,"(3, 3)",Adult Education,Undergraduate,
ADTED 480,Teaching Math and Numeracy to Adults,"(3, 3)",Adult Education,Undergraduate,
ADTED 497,Special Topics,"(1, 9)",Adult Education,Undergraduate,
AERSP 1,Aerospace Explorer--First-Year Seminar,"(1, 1)",Aerospace Engineering,Undergraduate,
AERSP 55,Space Science and Technology,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 97,Special Topics,"(1, 9)",Aerospace Engineering,Undergraduate,
AERSP 199,Foreign Studies,"(1, 12)",Aerospace Engineering,Undergraduate,
AERSP 204,Flight Vehicle Design and Fabrication I,"(2, 2)",Aerospace Engineering,Undergraduate,
AERSP 299,Foreign Studies,"(1, 12)",Aerospace Engineering,Undergraduate,
AERSP 301,Aerospace Structures,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 304,Dynamics and Control of Aerospace Systems,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 305W,Aerospace Technology Laboratory,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 306,Aeronautics,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 308,Mechanics of Fluids,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 309,Astronautics,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 311,Aerodynamics I,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 312,Aerodynamics II,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 313,Aerospace Analysis,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 397,Special Topics,"(1, 18)",Aerospace Engineering,Undergraduate,
AERSP 399,Foreign Studies,"(1, 12)",Aerospace Engineering,Undergraduate,
AERSP 401A,Spacecraft Design--Preliminary,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 401B,Spacecraft Design--Detailed,"(2, 2)",Aerospace Engineering,Undergraduate,
AERSP 402A,Aircraft Design--Preliminary,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 402B,Aircraft Design--Detailed,"(2, 2)",Aerospace Engineering,Undergraduate,
AERSP 403A,Autonomous Aerospace Vehicle Design - Preliminary,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 403B,Autonomous Aerospace Vehicle Design - Detailed,"(2, 2)",Aerospace Engineering,Undergraduate,
AERSP 404,Flight Vehicle Design and Fabrication II,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 405,Experimental Methods and Projects,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 407,Aerodynamics of V/STOL Aircraft,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 410,Aerospace Propulsion,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 412,Turbulent Flow,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 413,Stability and Control of Aircraft,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 415,Spacecraft/Environment Interactions,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 420,Principles of Flight Testing,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 423,Introduction to Numerical Methods in Fluid Dynamics,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 424,Advanced Computer Programming,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 425,Theory of Flight,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 430,Space Propulsion and Power Systems,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 440,Introduction to Software Engineering for Aerospace Engineers,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 450,Orbit and Attitude Control of Spacecraft,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 458,Advanced Orbital Mechanics,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 460,Aerospace Control Systems,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 462,Aerospace Autonomy,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 470,Advanced Aerospace Structures,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 473,Composites Processing,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 490,Introduction to Plasmas,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 492,Space Astronomy and Introduction to Space Science,"(3, 3)",Aerospace Engineering,Undergraduate,
AERSP 494,Aerospace Undergraduate Thesis,"(1, 12)",Aerospace Engineering,Undergraduate,
AERSP 494H,Aerospace Undergraduate Thesis,"(1, 3)",Aerospace Engineering,Undergraduate,
AERSP 496,Independent Studies,"(1, 18)",Aerospace Engineering,Undergraduate,
AERSP 497,Special Topics,"(1, 9)",Aerospace Engineering,Undergraduate,
AERSP 499,Foreign Studies,"(1, 12)",Aerospace Engineering,Undergraduate,
AFAM 3,Scholarship and Community,"(1, 1)",African American Studies,Undergraduate,
AFAM 4,Educational Equity Scholarship and Community II,"(1, 1)",African American Studies,Undergraduate,
AFAM 83,First-Year Seminar in African American Studies,"(3, 3)",African American Studies,Undergraduate,
AFAM 100N,Black Freedom Struggles,"(3, 3)",African American Studies,Undergraduate,
AFAM 101N,African American Women,"(3, 3)",African American Studies,Undergraduate,
AFAM 102,Women of the African Diaspora,"(3, 3)",African American Studies,Undergraduate,
AFAM 103,Racism and Sexism,"(3, 3)",African American Studies,Undergraduate,
AFAM 105N,Afro-Latin America: Race and Revolution,"(3, 3)",African American Studies,Undergraduate,
AFAM 110N,Introduction to African American Studies,"(3, 3)",African American Studies,Undergraduate,
AFAM 111N,Introduction to Anti-Black racism in the United States: The African American Experience,"(3, 3)",African American Studies,Undergraduate,
AFAM 114N,"Race, Gender and Sport","(3, 3)",African American Studies,Undergraduate,
AFAM 116,Muslims in America,"(3, 3)",African American Studies,Undergraduate,
AFAM 126N,The Popular Arts in America: The History of Hip-Hop,"(3, 3)",African American Studies,Undergraduate,
AFAM 132,Afro-Hispanic Civilization,"(3, 3)",African American Studies,Undergraduate,
AFAM 136,"Race, Gender, and Employment","(3, 3)",African American Studies,Undergraduate,
AFAM 136Y,"Race, Gender, and Employment","(3, 3)",African American Studies,Undergraduate,
AFAM 139,African American Literature,"(3, 3)",African American Studies,Undergraduate,
