courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AC501,Financial Accounting and Reporting,,Accounting,Graduate,
AC502,Business Law for Accountants,,Accounting,Graduate,
AC503,Advanced Auditing,,Accounting,Graduate,
AC504,Ethical Issues in Business and Accounting,,Accounting,Graduate,
AC505,Advanced Managerial/Cost Accounting,,Accounting,Graduate,
AC507,Business Taxation and Strategies,,Accounting,Graduate,
AC550,Accounting Information Systems,,Accounting,Graduate,
AC551,Accounting Research,,Accounting,Graduate,
AC552,Business Reorganizations and Restructuring,,Accounting,Graduate,
AC556,Government and Not-For-Profit Accounting,,Accounting,Graduate,
AC557,"Internal Control Design, Development, and Evaluation",,Accounting,Graduate,
AC558,International Accounting Standards and Global Financial Reporting,,Accounting,Graduate,
AC561,Taxation of Estates and Trusts,,Accounting,Graduate,
AC565,Fraud Examination and Enterprise Risk Management,,Accounting,Graduate,
AC566,Tax Research and Intro to International Taxation,,Accounting,Graduate,
AC570,Data Analytics for Accountants,,Accounting,Graduate,
AC599,Graduate Capstone in Accounting,,Accounting,Graduate,
BA525,Experimental Analysis of Behavior,,Behavior Analysis,Graduate,
BA580,Graduate Research Project in Applied Behavior Analysis,,Behavior Analysis,Graduate,
BI597,Graduate Business and Technology Internship I,,Business and Technology,Graduate,
BI598,Graduate Business and Technology Internship II,,Business and Technology,Graduate,
CJ501,Criminological Theory,,Criminal Justice,Graduate,
CJ503,Organizational Behavior,,Criminal Justice,Graduate,
CJ505,Critical Issues in Criminal Justice,,Criminal Justice,Graduate,
CJ508,Evidentiary Issues in Criminal Cases,,Criminal Justice,Graduate,
CJ509,Comparative Criminal Justice Systems,,Criminal Justice,Graduate,
CJ510,Specialized Criminal Statutes and Complex Investigations,,Criminal Justice,Graduate,
CJ511,Employment and Policy Law,,Criminal Justice,Graduate,
CJ513,Critical Issues in Terrorism,,Criminal Justice,Graduate,
CJ521,Critical Issues in Corrections,,Criminal Justice,Graduate,
CJ523,Critical Issues in Juvenile Justice,,Criminal Justice,Graduate,
CJ524,Community-Based Corrections,,Criminal Justice,Graduate,
CJ525,Applied Research in Public Safety,,Criminal Justice,Graduate,
CJ527,Socially Responsible Leadership in Public Safety,,Criminal Justice,Graduate,
CJ598,Master's Capstone in Criminal Justice,,Criminal Justice,Graduate,
CL500,Fundamentals,,Law,Graduate,
CL550,Fundamentals II,,Law,Graduate,
CL555,Foundations for Law School Excellence (FLEX),,Law,Graduate,
CL600,Introduction to Legal Analysis I,,Law,Graduate,
CL601,Introduction to Legal Analysis II,,Law,Graduate,
CL610,Contracts I,,Law,Graduate,
CL611,Contracts II,,Law,Graduate,
CL623,Torts I,,Law,Graduate,
CL624,Torts II,,Law,Graduate,
CL630,Criminal Law I,,Law,Graduate,
CL631,Criminal Law II,,Law,Graduate,
CL650,Constitutional Law I,,Law,Graduate,
CL651,Constitutional Law II,,Law,Graduate,
CL660,Real Property I,,Law,Graduate,
CL661,Real Property II,,Law,Graduate,
CL670,Civil Procedure I,,Law,Graduate,
CL671,Civil Procedure II,,Law,Graduate,
CL685,Criminal Procedure,,Law,Graduate,
CL700,Corporations and Business Organizations I,,Law,Graduate,
CL701,Corporations and Business Organizations II,,Law,Graduate,
CL710,Evidence I,,Law,Graduate,
CL711,Evidence II,,Law,Graduate,
CL727,Legal Analysis and Writing,,Law,Graduate,
CL728,Advanced Legal Analysis and Writing - Regulatory and Transactional,,Law,Graduate,
CL729,Advanced Legal Analysis and Writing - Litigation,,Law,Graduate,
CL730,Electronic Legal Research,,Law,Graduate,
CL735,Professional Responsibility,,Law,Graduate,
CL740,Modern Law Practice,,Law,Graduate,
CL745,Cross Professional Ethics,,Law,Graduate,
CL750,"Estates, Wills, and Trusts I",,Law,Graduate,
CL751,"Estates, Wills, and Trusts II",,Law,Graduate,
CL760,Community Property,,Law,Graduate,
CL761,Family Law Practicum,,Law,Graduate,
CL772,Remedies,,Law,Graduate,
CL780,Capstone I,,Law,Graduate,
CL781,Capstone II,,Law,Graduate,
CL782,Capstone II NextGen,,Law,Graduate,
CL801,Contract Drafting,,Law,Graduate,
CL802,Business Planning and Skills Training - Practicum,,Law,Graduate,
CL805,Federal Taxation,,Law,Graduate,
CL806,Bankruptcy Law,,Law,Graduate,
CL807,Compliance and Risk Management,,Law,Graduate,
CL810,Artificial Intelligence Law,,Law,Graduate,
CL811,Administrative Law,,Law,Graduate,
CL813,Employment Discrimination,,Law,Graduate,
CL816,Immigration Law,,Law,Graduate,
CL817,Rural Law Practice,,Law,Graduate,
CL820,Intellectual Property,,Law,Graduate,
CL821,Cyber Law,,Law,Graduate,
CL822,Patent Law Fundamentals,,Law,Graduate,
CL826,Cybersecurity Law,,Law,Graduate,
CL827,Employment Law,,Law,Graduate,
CL830,Health Law,,Law,Graduate,
CL831,Medical Malpractice/Professional Liability,,Law,Graduate,
CL833,Medical Products Liability,,Law,Graduate,
CL834,Risk Management in Health Care,,Law,Graduate,
CL836,Health Law Independent Study,,Law,Graduate,
CL839,"Trial Advocacy - Theories, Tactics, and Techniques",,Law,Graduate,
CL841,ADR and Technology,,Law,Graduate,
CL843,Virtual Law Practice,,Law,Graduate,
CL845,Administrative Advocacy,,Law,Graduate,
CL850,Education Law,,Law,Graduate,
CL855,Special Education Law,,Law,Graduate,
CL860,Criminal Law Clinic,,Law,Graduate,
CL861,Criminal Practice Simulation,,Law,Graduate,
CL870,Negotiation,,Law,Graduate,
CL875,Accounting for Lawyers,,Law,Graduate,
CL884,Legal Education Experience Program I (LEEP I),,Law,Graduate,
CL887,Legal Education Experience Program II (LEEP II),,Law,Graduate,
CL890,Independent Study,,Law,Graduate,
CL892,Independent Study,,Law,Graduate,
CL894,Moot Court - Honors Program Track A,,Law,Graduate,
CL895,Moot Court - Honors Program Track B,,Law,Graduate,
CM780,Applied Business Research Methods and Communication,,Communication and Composition,Graduate,
CM801,Doctoral Writing and Research,,Communication and Composition,Graduate,
DN703,Scientific Foundations for Practice Doctorate,,Doctoral-Level Nursing,Graduate,
DN713,Epidemiology and Social Determinants of Population Health,,Doctoral-Level Nursing,Graduate,
DN723,DNP Project - Analytic Methods and Project Proposal,,Doctoral-Level Nursing,Graduate,
DN733,"Ethics, Policy, and Advocacy for Population Health",,Doctoral-Level Nursing,Graduate,
DN743,Clinical Decision Making for Practice Doctorate,,Doctoral-Level Nursing,Graduate,
DN753,Transforming the Health Care Organization,,Doctoral-Level Nursing,Graduate,
DN803,Data-Driven Decision Making,,Doctoral-Level Nursing,Graduate,
DN813,DNP Project Implementation and Evaluation,,Doctoral-Level Nursing,Graduate,
DN820A,DNP Extension Course,,Doctoral-Level Nursing,Graduate,
DN823,DNP Project Dissemination,,Doctoral-Level Nursing,Graduate,
DN891,Independent Directed Study I,,Doctoral-Level Nursing,Graduate,
DN892,Independent Directed Study II,,Doctoral-Level Nursing,Graduate,
DN893,Independent Directed Study III,,Doctoral-Level Nursing,Graduate,
ED502,Transforming Teaching Practice,,Education,Graduate,
ED503,Educational Psychology,,Education,Graduate,
ED519,Academic Integrity and Scholarly Writing,,Education,Graduate,
ED521,Reading and Writing in the Content Areas,,Education,Graduate,
ED522,Classroom Management,,Education,Graduate,
ED532,Curriculum Design,,Education,Graduate,
ED533,Perspectives on Inclusion and Belonging,,Education,Graduate,
ED553,History and Philosophy of Education,,Education,Graduate,
ED558,Leadership Essentials,,Education,Graduate,
ED562,Assessment in Education,,Education,Graduate,
ED730,Educational Systems,,Education,Graduate,
ED740,Ethics and Accountability in Leadership,,Education,Graduate,
ED750,Research in Responsive Curriculum Design and Development,,Education,Graduate,
ED760,Learning and Professional Practice,,Education,Graduate,
ED770,Transformative Learning Environments,,Education,Graduate,
ED780,"Creativity, Innovation, and Intrapreneurship in Education",,Education,Graduate,
ED810,Applied Research Project I Academic Writing and Project Proposal,,Education,Graduate,
ED810A,Applied Research Project I Extension Course,,Education,Graduate,
ED820,Applied Research Project II Qualitative and Quantitative Research Design,,Education,Graduate,
ED820A,Applied Research Project II Extension Course,,Education,Graduate,
ED822,Applied Research Project II Research Methodology and Design,,Education,Graduate,
ED825,Applied Research and IRB Preparation,,Education,Graduate,
