courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 100,INDEPENDENT STUDY: ACCOUNTING,0-4,Accounting (ACCT),UG - Undergraduate,
ACCT 200,INDEPENDENT STUDY: ACCOUNTING,0-4,Accounting (ACCT),UG - Undergraduate,
ACCT 221,PRINCIPLES OF FINANCIAL ACCOUNTING,0-4,Accounting (ACCT),UG - Undergraduate,
ACCT 222,PRINCIPLES OF MANAGERIAL ACCOUNTING,0-4,Accounting (ACCT),UG - Undergraduate,
ACCT 300,INDEPENDENT STUDY: ACCOUNTING,0-4,Accounting (ACCT),UG - Undergraduate,
ACCT 321,INTERMEDIATE ACCOUNTING I,0-4,Accounting (ACCT),UG - Undergraduate,
ACCT 322,INTERMEDIATE ACCOUNTING II,0-4,Accounting (ACCT),UG - Undergraduate,
ACCT 329,FEDERAL TAXATION I,0-4,Accounting (ACCT),UG - Undergraduate,
ACCT 332,FEDERAL TAXATION II,0-4,Accounting (ACCT),UG - Undergraduate,
ACCT 390,TOPICS:,0-4,Accounting (ACCT),UG - Undergraduate,
ACCT 400,INDEPENDENT STUDY: ACCOUNTING,0-4,Accounting (ACCT),UG - Undergraduate,
ACCT 411,COST ACCOUNTING,0-4,Accounting (ACCT),UG - Undergraduate,
ACCT 421,AUDITING,0-4,Accounting (ACCT),UG - Undergraduate,
ACCT 423,ADVANCED FINANCIAL ACCOUNTING,0-4,Accounting (ACCT),UG - Undergraduate,
ACCT 490,TOPICS:,0-4,Accounting (ACCT),UG - Undergraduate,
ACCT 500,INDEPENDENT STUDY: ACCOUNTING,0-4,Accounting (ACCT),GR - Graduate,
ACCT 502,GOVERNMENT AND NOT-FOR-PROFIT ACCOUNTING,0-3,Accounting (ACCT),GR - Graduate,
ACCT 505,CORPORATE TAXATION FOR DECISION MAKERS,0-3,Accounting (ACCT),GR - Graduate,
ACCT 510,FOUNDATIONS OF ACCOUNTING,0-2,Accounting (ACCT),GR - Graduate,
ACCT 511,INTERMEDIATE ACCOUNTING TOPICS,0-3,Accounting (ACCT),GR - Graduate,
ACCT 520,ADVANCED TOPICS IN COST/MANAGERIAL ACCOUNTING,0-3,Accounting (ACCT),GR - Graduate,
ACCT 530,TAX ANALYTICS,0-3,Accounting (ACCT),GR - Graduate,
ACCT 535,AI AND DATA ANALYTICS FOR ACCOUNTANTS,0-3,Accounting (ACCT),GR - Graduate,
ACCT 540,STATE AND LOCAL TAXES,0-3,Accounting (ACCT),GR - Graduate,
ACCT 590,TOPICS:,0-3,Accounting (ACCT),GR - Graduate,
ACCT 592,TOPICS:,0-3,Accounting (ACCT),GR - Graduate,
ACCT 595,TOPICS:,0-3,Accounting (ACCT),GR - Graduate,
ACCT 596,TOPICS:,0-3,Accounting (ACCT),GR - Graduate,
ACCT 600,INDEPENDENT STUDY: ACCOUNTING,0-3,Accounting (ACCT),GR - Graduate,
ACCT 604,FINANCIAL STATEMENT ANALYSIS,0-3,Accounting (ACCT),GR - Graduate,
ACCT 605,ADVANCED AUDITING AND INFORMATION TECHNOLOGY SYSTEMS,0-3,Accounting (ACCT),GR - Graduate,
ACCT 610,FORENSIC ACCOUNTING,0-3,Accounting (ACCT),GR - Graduate,
ACCT 615,ADVANCED FEDERAL TAXATION ISSUES,0-3,Accounting (ACCT),GR - Graduate,
ACCT 620,FRAUD EXAMINATION & ADVANCED AUDIT,0-3,Accounting (ACCT),GR - Graduate,
ACCT 625,INTERNATIONAL ACCOUNTING,0-3,Accounting (ACCT),GR - Graduate,
ACCT 630,CONTEMPORARY ISSUES IN ACCOUNTING PRACTICE,0-3,Accounting (ACCT),GR - Graduate,
ACCT 680,FUNDAMENTAL ACCOUNTING RESEARCH AND ADVANCED TOPICS,0-3,Accounting (ACCT),GR - Graduate,
ACCT 690,TOPICS:,0-3,Accounting (ACCT),GR - Graduate,
AFST 100,INDEPENDENT STUDY: AFRICANA STUDIES,0-4,Africana Studies (AFST),UG - Undergraduate,
AFST 200,INDEPENDENT STUDY: AFRICANA STUDIES,0-4,Africana Studies (AFST),UG - Undergraduate,
AFST 202,INTRODUCTION TO AFRICAN STUDIES,0-4,Africana Studies (AFST),UG - Undergraduate,
AFST 208,AFRICAN AMERICAN SOCIAL & POLITICAL THOUGHT,0-4,Africana Studies (AFST),UG - Undergraduate,
AFST 215,AFRICAN AMERICANS IN FILM,0-4,Africana Studies (AFST),UG - Undergraduate,
AFST 220,HIP HOP AND SOCIETY,0-4,Africana Studies (AFST),UG - Undergraduate,
AFST 300,INDEPENDENT STUDY: AFRICANA STUDIES,0-4,Africana Studies (AFST),UG - Undergraduate,
AFST 400,INDEPENDENT STUDY: AFRICANA STUDIES,0-4,Africana Studies (AFST),UG - Undergraduate,
AFST 490,TOPICS:,0-4,Africana Studies (AFST),UG - Undergraduate,
AIID 190,TOPICS:,0-4,Interdisciplinary Studies (AIID),UG - Undergraduate,
AIID 201,STUDIES IN THE ARTS & HUMANITIES,0-4,Interdisciplinary Studies (AIID),UG - Undergraduate,
AIID 300,INDEPENDENT STUDY: AMERICAN/INTERNATIONAL INTERDISCIPLINARY,0-4,Interdisciplinary Studies (AIID),UG - Undergraduate,
AIID 311,DISABILITY STUDIES,0-4,Interdisciplinary Studies (AIID),UG - Undergraduate,
AIID 388,CO-OP/INTERNSHIP AMERICAN/INTERNATIONAL INTERDISCIPLINARY,0-4,Interdisciplinary Studies (AIID),UG - Undergraduate,
AIID 401,AMER AS MULTICULTURAL SOCIETY,0-3,Interdisciplinary Studies (AIID),UG - Undergraduate,
AIID 402,CONQUEST OF CALIBAN,0-3,Interdisciplinary Studies (AIID),UG - Undergraduate,
AIID 403,SEARCH FOR MEANING,0-3,Interdisciplinary Studies (AIID),UG - Undergraduate,
AIID 429,DEATH&DYING-CROSS CULT PERSP,0-3,Interdisciplinary Studies (AIID),UG - Undergraduate,
AIID 448,ISLAM AND WESTERN CIVILIZATION,0-3,Interdisciplinary Studies (AIID),UG - Undergraduate,
AIID 456,AMERICAN FOLK,0-3,Interdisciplinary Studies (AIID),UG - Undergraduate,
AIID 461,REDEFINING GENDER:JOAN OF ARC,0-3,Interdisciplinary Studies (AIID),UG - Undergraduate,
AIID 462,MARRIAGE & RELA IN MODERN LIT,0-3,Interdisciplinary Studies (AIID),UG - Undergraduate,
AMER 100,INDEPENDENT STUDY: AMERICAN STUDIES,0-4,American Studies (AMER),UG - Undergraduate,
AMER 200,INDEPENDENT STUDY: AMERICAN STUDIES,0-4,American Studies (AMER),UG - Undergraduate,
AMER 206,ASIAN PACIFIC AMERICANS,0-4,American Studies (AMER),UG - Undergraduate,
AMER 214,NATIVE AMERICANS,0-4,American Studies (AMER),UG - Undergraduate,
AMER 220,COMICS AND AMERICAN CULTURE,0-4,American Studies (AMER),UG - Undergraduate,
AMER 225,INTRODUCTION TO AMERICAN STUDIES,0-4,American Studies (AMER),UG - Undergraduate,
AMER 230,DRUGS IN MODERN AMERICA,0-4,American Studies (AMER),UG - Undergraduate,
AMER 235,THE AMERICAN ENVIRONMENT,0-4,American Studies (AMER),UG - Undergraduate,
AMER 237,AMERICAN EMPIRE,0-4,American Studies (AMER),UG - Undergraduate,
AMER 250,PURSUING THE AMERICAN DREAM,0-4,American Studies (AMER),UG - Undergraduate,
AMER 300,INDEPENDENT STUDY: AMERICAN STUDIES,0-5,American Studies (AMER),UG - Undergraduate,
AMER 305,INSIDE AMERICA,0-4,American Studies (AMER),UG - Undergraduate,
