courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAAS 110,INTRODUCTION TO AFRICAN RELIGIONS,,African and African American Studies,,
AAAS 115,BLACK GODS OF THE CARIBBEAN,,African and African American Studies,,
AAAS 157,RELIGION AND HIP HOP CULTURE IN AMERICA,,African and African American Studies,,
AAAS 200,KNOWING BLACKNESS: INTRODUCTION TO AFRICAN AND AFRICAN AMERICAN STUDIES,,African and African American Studies,,
AAAS 204,INTRODUCTION TO BLACK ART IN AMERICA: 1900S TO TODAY,,African and African American Studies,,
AAAS 210,INTRODUCTION TO AFRICAN RELIGIONS,,African and African American Studies,,
AAAS 211,AFRICAN MODERNISM,,African and African American Studies,,
AAAS 217,RELIGION AND SOCIAL ACTIVISM IN THE 21ST CENTURY,,African and African American Studies,,
AAAS 223,FREEDOM AND STRUGGLE IN MODERN AFRICA,,African and African American Studies,,
AAAS 225,"DYNAMICS OF EMPIRE: PORTUGUESE, AFRICAN, AND BRAZILIAN INTERCONNECTIONS",,African and African American Studies,,
AAAS 238,SPECIAL TOPICS,,African and African American Studies,,
AAAS 245,"RACE, RESISTANCE, AND REVOLUTION: BLACKS AND BLACKNESS IN THE MAKING OF LATIN AMERICA AND THE CARIBB",,African and African American Studies,,
AAAS 248,AFRICA AND THE GLOBAL COLD WAR,,African and African American Studies,,
AAAS 266,GRAPHIC NOVELS IN THE AFRICAN AMERICAN LITERARY TRADITION,,African and African American Studies,,
AAAS 267,INTRODUCTION TO AFRICAN AMERICAN LITERATURE,,African and African American Studies,,
AAAS 269,"AFRICAN ECONOMIES, DEVELOPMENT, & HUMANITARIANISM",,African and African American Studies,,
AAAS 270,INTRODUCTION TO THE BLACK CHURCH IN THE UNITED STATES,,African and African American Studies,,
AAAS 279,BLACK SCI-FI & SPECULATIVE FICTIONS,,African and African American Studies,,
AAAS 299,HOUSTON BEYOND THE BAYOU: BLACK COMMUNITIES AND THEIR STORIES,,African and African American Studies,,
AAAS 300,CONTEMPORARY BLACK FICTION,,African and African American Studies,,
AAAS 306,RADICAL BLACK THOUGHT IN THE STUDIO,,African and African American Studies,,
AAAS 308,"BLACK VISUAL CULTURE: FROM ""LEMONADE"" TO ""THEY NOT LIKE US""",,African and African American Studies,,
AAAS 309,CONTEMPORARY ART OF AFRICA,,African and African American Studies,,
AAAS 311,REPRESENTATIONS OF DISABILITY,,African and African American Studies,,
AAAS 312,"BEAUTY AND THE BEAST(S): SEX, VIOLENCE, AND FOLKTALES IN THE AFRICAN DIASPORA",,African and African American Studies,,
AAAS 317,"RACE, MEDICINE, AND MASS INCARCERATION IN THE UNITED STATES",,African and African American Studies,,
AAAS 318,JOURNEY TOWARDS JUSTICE: BLACK LIBERATION AND THE CIVIL RIGHTS MOVEMENT,,African and African American Studies,,
AAAS 323,HISTORY OF ATLANTIC AFRICA,,African and African American Studies,,
AAAS 324,FROM SLAVERY TO HIP HOP: LINGUISTIC LIBERATION IN THE AFRICAN DIASPORA,,African and African American Studies,,
AAAS 348,CHRISTIANITY AND ISLAM IN AFRICA,,African and African American Studies,,
AAAS 349,BLACK LIFE BEHIND THE IRON CURTAIN,,African and African American Studies,,
AAAS 355,VOICES OF HAITI,,African and African American Studies,,
AAAS 357,"SPIRITS, SCIENCE, AND MENTAL HEALTH IN AFRICA",,African and African American Studies,,
AAAS 366,RADICAL BLACK THOUGHT IN THE STUDIO: ARTISTS CITING BLACK STUDIES,,African and African American Studies,,
AAAS 394,TONI MORRISON & WILLIAM FAULKNER SEMINAR,,African and African American Studies,,
AAAS 396,RACE ON TRIAL FROM THE AMERICAN REVOLUTION TO GEORGE FLOYD,,African and African American Studies,,
AAAS 398,SLAVERY IN 20TH AND 21ST CENTURY FILM AND FICTION,,African and African American Studies,,
AAAS 406,COMPARATIVE SLAVERY IN THE TIME OF RACIAL SLAVERY,,African and African American Studies,,
AAAS 413,BLACK VENUS/VÉNUS NOIRE: REPRESENTATIONS OF BLACK WOMEN IN THE LONG 19TH CENTURY,,African and African American Studies,,
AAAS 414,SEX AND RACE IN THE FRENCH ATLANTIC,,African and African American Studies,,
AAAS 426,RELIGION AND LITERATURE IN AFRICA,,African and African American Studies,,
AAAS 510,INTRODUCTION TO AFRICAN AND AFRICAN AMERICAN STUDIES,,African and African American Studies,,
AAAS 520,THEORY AND METHOD IN AFRICAN HISTORY,,African and African American Studies,,
AAAS 524,COMPARATIVE HISTORIES OF SLAVERY AND FREEDOM IN THE ERA OF RACIAL SLAVERY,,African and African American Studies,,
AAAS 572,BLACK ARCHIVES IN THEORY AND PRACTICE,,African and African American Studies,,
AAAS 600,AFRICAN AND AFRICAN AMERICAN STUDIES COLLOQUIUM,,African and African American Studies,,
AFSC 101,FOUNDATION OF THE USAF I,,Air Force Science,,
AFSC 102,FOUNDATION OF THE USAF II,,Air Force Science,,
AFSC 201,EVOLUTION OF AIR POWER I,,Air Force Science,,
AFSC 202,EVOLUTION OF AIR POWER II,,Air Force Science,,
AFSC 238,SPECIAL TOPICS,,Air Force Science,,
AFSC 301,AIR FORCE LEADERSHIP STUDY I,,Air Force Science,,
AFSC 302,AIR FORCE LEADERSHIP STUDY II,,Air Force Science,,
AFSC 381,FIELD TRAINING,,Air Force Science,,
AFSC 401,NATIONAL SECURITY AFFAIRS I,,Air Force Science,,
AFSC 402,NATIONAL SECURITY AFFAIRS II,,Air Force Science,,
AFSC 477,SPECIAL TOPICS,,Air Force Science,,
AMCI 238,SPECIAL TOPICS,,Ancient Mediterranean Civilizations,,
AMCI 400,DIRECTED HONORS RESEARCH,,Ancient Mediterranean Civilizations,,
AMCI 477,SPECIAL TOPICS,,Ancient Mediterranean Civilizations,,
ANTH 200,INTRODUCTION TO THE SCIENTIFIC STUDY OF LANGUAGE,,Anthropology,,
ANTH 201,INTRODUCTION TO SOCIAL/CULTURAL ANTHROPOLOGY,,Anthropology,,
ANTH 203,INTRODUCTION TO BIOLOGICAL ANTHROPOLOGY,,Anthropology,,
ANTH 205,INTRODUCTION TO ARCHAEOLOGY,,Anthropology,,
ANTH 206,INDIGENOUS ENVIRONMENTAL MOVEMENTS,,Anthropology,,
ANTH 210,EAT ME: FOOD AND CULTURE IN GLOBAL PERSPECTIVE,,Anthropology,,
ANTH 212,PERSPECTIVES ON MODERN ASIA,,Anthropology,,
ANTH 238,SPECIAL TOPICS,,Anthropology,,
ANTH 250,PLAGUES AND PEOPLE,,Anthropology,,
ANTH 251,THE SCIENCE OF THE HUMAN PAST,,Anthropology,,
ANTH 277,LOVE AND HEARTBREAK,,Anthropology,,
ANTH 299,EXPERIENTIAL EDUCATION IN ANTHROPOLOGY,,Anthropology,,
ANTH 302,ANTHROPOLOGICAL THEORY: A SURVEY,,Anthropology,,
ANTH 303,INTRODUCTION TO ARCHAEOLOGICAL SCIENCE,,Anthropology,,
ANTH 304,"JERKS, BULLIES, AND TOXIC PEOPLE: THE ANTHROPOLOGY OF BAD BEHAVIOR",,Anthropology,,
ANTH 306,ILLNESS NARRATIVES: RE-WRITING HEALTH INEQUALITIES,,Anthropology,,
ANTH 307,THE GLOBAL LIFE OF CORPORATIONS,,Anthropology,,
ANTH 308,HISTORICAL ARCHAEOLOGY: METHODS AND ANALYSIS,,Anthropology,,
ANTH 309,GLOBAL CULTURES,,Anthropology,,
ANTH 311,MASCULINITIES,,Anthropology,,
ANTH 312,THE ARCHAEOLOGY OF AFRICA,,Anthropology,,
ANTH 313,DEEP EVOLUTION: USING ARTIFICIAL INTELLIGENCE TO DECODE EARLY HUMAN ORIGINS,,Anthropology,,
ANTH 314,SHIPS IN THE ANTHROPOLOGICAL IMAGINATION,,Anthropology,,
ANTH 315,ZOOARCHAEOLOGY,,Anthropology,,
ANTH 316,BLACK DECOLONIAL FEMINISMS IN THE AMERICAS,,Anthropology,,
ANTH 317,REVOLUTIONS AND UTOPIAS,,Anthropology,,
ANTH 318,CERAMICS AND SOCIETY,,Anthropology,,
ANTH 319,COMMODITIES AND CONSUMPTION,,Anthropology,,
ANTH 320,CLIMATE CHANGE AND SOCIAL INEQUALITY,,Anthropology,,
ANTH 321,SOCIAL LIFE OF DNA,,Anthropology,,
ANTH 322,"GLOBAL IM/MOBILITIES: BORDERS, MIGRATION, AND CITIZENSHIP",,Anthropology,,
ANTH 323,CLIMATE CHANGE AND HUMAN EVOLUTION: AFRICAN SAVANNA ECOLOGY AND PALEOECOLOGY,,Anthropology,,
ANTH 324,DOCUMENTARY PRODUCTION,,Anthropology,,
ANTH 326,"LAW, POWER AND CULTURE",,Anthropology,,
ANTH 327,CULTURES OF DEMOCRACY AND AUTOCRACY,,Anthropology,,
ANTH 328,VISUAL ANTHROPOLOGY,,Anthropology,,
ANTH 329,INTERSECTIONS IN ART AND ANTHROPOLOGY,,Anthropology,,
ANTH 330,GEOARCHAEOLOGY,,Anthropology,,
ANTH 331,ARCHAEOLOGY OF THE AFRICAN DIASPORA,,Anthropology,,
ANTH 332,THE SOCIAL LIFE OF CLEAN ENERGY,,Anthropology,,
ANTH 333,THE MATERIAL WORLD,,Anthropology,,
ANTH 334,BLACK FEMINIST SCIENCE & TECHNOLOGY STUDIES,,Anthropology,,
ANTH 336,ALL Y'ALL: ANTHROPOLOGY OF TEXAS,,Anthropology,,
ANTH 340,NEOLIBERALISM AND GLOBALIZATION,,Anthropology,,
ANTH 341,"MUSEUMS AND HERITAGE: EXHIBITING ART, EXHIBITING CULTURE",,Anthropology,,
ANTH 342,ETHNOGRAPHIES OF CARE,,Anthropology,,
ANTH 344,CITY/CULTURE,,Anthropology,,
ANTH 345,THE POLITICS OF THE PAST: ARCHAEOLOGY IN SOCIAL CONTEXT,,Anthropology,,
ANTH 346,QUEER ARCHAEOLOGY,,Anthropology,,
ANTH 348,ANTHROPOLOGIES OF NATURE,,Anthropology,,
ANTH 350,BAD LANGUAGE AND SEMIOTIC CRIMES,,Anthropology,,
ANTH 351,CULTURES OF NATIONALISM,,Anthropology,,
ANTH 352,PEOPLE AND ANIMALS IN THE PAST,,Anthropology,,
ANTH 354,"ILLNESS, DISABILITY, AND THE GENDERED BODY",,Anthropology,,
ANTH 355,"SPACE, PLACE, AND LANDSCAPE",,Anthropology,,
ANTH 356,QUEER ANTHROPOLOGY,,Anthropology,,
ANTH 357,"CONSERVATION, INDIGENEITY, DISPLACEMENT",,Anthropology,,
ANTH 358,THE FOURTH WORLD: ISSUES OF INDIGENOUS PEOPLE,,Anthropology,,
ANTH 360,TOPICS IN AFRICAN CULTURE AND ETHNOGRAPHY,,Anthropology,,
ANTH 361,LATIN AMERICAN TOPICS,,Anthropology,,
ANTH 362,ARCHAEOLOGICAL FIELD TECHNIQUES,,Anthropology,,
ANTH 363,THE ARCHAEOLOGY OF CITIES AND STATES,,Anthropology,,
ANTH 364,AFRICAN ARCHAEOLOGY FIELD TECHNIQUES,,Anthropology,,
ANTH 366,"SCIENCE, LOCAL AND GLOBAL",,Anthropology,,
ANTH 367,SLOW READING SEMINAR,,Anthropology,,
ANTH 368,SOCIAL DESIGN STUDIO,,Anthropology,,
ANTH 370,ARCHAEOLOGICAL LABORATORY TECHNIQUES AND ANALYSIS,,Anthropology,,
ANTH 371,MONEY AND EVERYDAY LIFE,,Anthropology,,
ANTH 372,CULTURES OF CAPITALISM,,Anthropology,,
ANTH 373,APPLIED ARCHAEOLOGY,,Anthropology,,
ANTH 375,MULTIMODAL MULTIMEDIA: SOCIAL SCIENTIFIC TECHNIQUES,,Anthropology,,
ANTH 376,ART AND ACTIVISM,,Anthropology,,
ANTH 377,SOUTH ASIAN ECOLOGIES,,Anthropology,,
ANTH 378,ARCHAEOLOGY OF COLONIALISM,,Anthropology,,
ANTH 379,WHAT IS THE GLOBAL SOUTH?,,Anthropology,,
ANTH 380,GLOBAL HEALTH JUSTICE: HEALTHCARE INEQUALITIES IN CONFLICTS,,Anthropology,,
ANTH 381,MEDICAL ANTHROPOLOGY,,Anthropology,,
ANTH 382,"BODY, TECHNOLOGY, AND ENHANCEMENT",,Anthropology,,
ANTH 383,TEXAS ARCHAEOLOGY,,Anthropology,,
ANTH 384,PALEO-TECHNOLOGY,,Anthropology,,
ANTH 385,"MEDIA, CULTURE, AND SOCIETY",,Anthropology,,
ANTH 386,MEDICAL ANTHROPOLOGY OF FOOD AND HEALTH,,Anthropology,,
ANTH 388,NATIONALISM AND BEYOND,,Anthropology,,
ANTH 389,THE ARCHAEOLOGY OF FOOD,,Anthropology,,
ANTH 391,SPECULATIVE FUTURES,,Anthropology,,
ANTH 392,"KINGS, QUEENS, AND COMMONERS: THE ARCHAEOLOGY OF ANCIENT MESOAMERICA",,Anthropology,,
ANTH 393,THE ANTHROPOLOGY OF TOXICITY: RETHINKING HEALTH AND SOVEREIGNTY,,Anthropology,,
ANTH 395,CULTURES AND COMMUNICATION,,Anthropology,,
ANTH 396,LAW AND RESISTANCE IN THE EVERYDAY,,Anthropology,,
ANTH 397,ANTHROPOLOGY JOURNAL CLUB,,Anthropology,,
ANTH 398,ETHNOGRAPHIC RESEARCH METHODS,,Anthropology,,
ANTH 399,ANTHROPOLOGY OF REPRODUCTION,,Anthropology,,
ANTH 402,US-MEXICO RESEARCH EXPERIENCE,,Anthropology,,
ANTH 403,ANALYZING PRACTICE,,Anthropology,,
ANTH 404,INDEPENDENT STUDY,,Anthropology,,
ANTH 405,MUSEUM INTERNSHIP AND DIRECTED READING,,Anthropology,,
ANTH 406,ADVANCED RESEARCH METHODS IN ZOOARCHAEOLOGY,,Anthropology,,
ANTH 417,"ONTOLOGIES, VITALITIES, THINGS",,Anthropology,,
ANTH 418,WRITING ETHNOGRAPHY,,Anthropology,,
ANTH 422,INFRASTRUCTURES AND POWER,,Anthropology,,
ANTH 425,ADVANCED TOPICS IN ARCHAEOLOGY,,Anthropology,,
ANTH 428,FEMINIST SCIENCE AND TECHNOLOGY STUDIES,,Anthropology,,
ANTH 429,ACTIVISM AND SOCIAL MOVEMENTS,,Anthropology,,
ANTH 430,WHEN HUMAN RIGHTS FAIL: THE ANTHROPOLOGY OF HUMAN RIGHTS,,Anthropology,,
ANTH 431,GLOBAL INDIGENOUS POLITICS,,Anthropology,,
ANTH 442,MUSEUMS: THEORY AND PRACTICE,,Anthropology,,
ANTH 443,"ANTHROPOLOGY OF RACE, ETHNICITY AND HEALTH",,Anthropology,,
ANTH 446,ADVANCED TOPICS IN BIOMEDICAL ANTHROPOLOGY,,Anthropology,,
ANTH 448,PHENOMENOLOGICAL ANTHROPOLOGY,,Anthropology,,
ANTH 450,INTERNATIONAL RESEARCH EXPERIENCE,,Anthropology,,
ANTH 451,THE ANTHROPOLOGY OF WATER,,Anthropology,,
ANTH 456,HERITAGE MANAGEMENT,,Anthropology,,
ANTH 458,HUMAN OSTEOLOGY,,Anthropology,,
ANTH 460,ADVANCED ARCHAEOLOGICAL THEORY,,Anthropology,,
ANTH 461,SOCIAL DESIGN STUDIO,,Anthropology,,
ANTH 462,BLACK ANTHROPOLOGY,,Anthropology,,
ANTH 464,ZOMBIES AND GHOSTS: MONSTERS AND SPECTRAL FIGURES IN THE SOCIAL IMAGINARY,,Anthropology,,
ANTH 477,SPECIAL TOPICS,,Anthropology,,
ANTH 483,SEMINAR ON DOCUMENTARY AND ETHNOGRAPHIC FILM,,Anthropology,,
ANTH 490,DIRECTED HONORS RESEARCH,,Anthropology,,
ANTH 491,DIRECTED HONORS RESEARCH,,Anthropology,,
ANTH 493,SENIOR RESEARCH PREPARATION,,Anthropology,,
ANTH 495,ANTHROPOLOGY CAPSTONE,,Anthropology,,
ANTH 503,INTRODUCTION TO ARCHAEOLOGICAL SCIENCE,,Anthropology,,
ANTH 506,HISTORY OF ANTHROPOLOGICAL IDEAS,,Anthropology,,
ANTH 507,ANTHROPOLOGICAL DIRECTIONS FROM SECOND WORLD WAR TO PRESENT,,Anthropology,,
ANTH 509,GLOBAL CULTURES,,Anthropology,,
ANTH 511,MASCULINITIES,,Anthropology,,
ANTH 512,THE ARCHAEOLOGY OF AFRICA,,Anthropology,,
ANTH 514,SHIPS IN THE ANTHROPOLOGICAL IMAGINATION,,Anthropology,,
ANTH 515,ZOOARCHAEOLOGY,,Anthropology,,
ANTH 516,BLACK DECOLONIAL FEMINISMS IN THE AMERICAS,,Anthropology,,
ANTH 517,REVOLUTIONS AND UTOPIAS,,Anthropology,,
ANTH 518,CERAMICS AND SOCIETY,,Anthropology,,
ANTH 521,SOCIAL LIFE OF DNA,,Anthropology,,
ANTH 522,"GLOBAL IM/MOBILITIES: BORDERS, MIGRATION, AND CITIZENSHIP",,Anthropology,,
ANTH 526,"LAW, POWER AND CULTURE",,Anthropology,,
ANTH 527,GENDER AND SYMBOLISM,,Anthropology,,
ANTH 528,VISUAL ANTHROPOLOGY,,Anthropology,,
ANTH 529,INTERSECTIONS IN ART AND ANTHROPOLOGY,,Anthropology,,
ANTH 531,ARCHAEOLOGY OF THE AFRICAN DIASPORA,,Anthropology,,
ANTH 532,THE SOCIAL LIFE OF CLEAN ENERGY,,Anthropology,,
ANTH 533,THE MATERIAL WORLD,,Anthropology,,
ANTH 534,BLACK FEMINIST SCIENCE & TECHNOLOGY STUDIES,,Anthropology,,
ANTH 540,NEOLIBERALISM AND GLOBALIZATION,,Anthropology,,
ANTH 541,"MUSEUMS AND HERITAGE: EXHIBITING ART, EXHIBITING CULTURE",,Anthropology,,
ANTH 542,ETHNOGRAPHIES OF CARE,,Anthropology,,
ANTH 544,CITY/CULTURE,,Anthropology,,
ANTH 545,THE POLITICS OF THE PAST: ARCHAEOLOGY IN SOCIAL CONTEXT,,Anthropology,,
ANTH 546,QUEER ARCHAEOLOGY,,Anthropology,,
ANTH 548,ANTHROPOLOGIES OF NATURE,,Anthropology,,
ANTH 551,CULTURES OF NATIONALISM,,Anthropology,,
ANTH 552,PEOPLE AND ANIMALS IN THE PAST,,Anthropology,,
ANTH 554,"ILLNESS, DISABILITY, AND THE GENDERED BODY",,Anthropology,,
ANTH 555,"SPACE, PLACE, AND LANDSCAPE",,Anthropology,,
ANTH 556,QUEER ANTHROPOLOGY,,Anthropology,,
ANTH 557,"CONSERVATION, INDIGENEITY, DISPLACEMENT",,Anthropology,,
ANTH 558,THE FOURTH WORLD: ISSUES OF INDIGENOUS PEOPLES,,Anthropology,,
ANTH 561,LATIN AMERICAN TOPICS,,Anthropology,,
ANTH 562,ARCHAEOLOGICAL FIELD TECHNIQUES,,Anthropology,,
ANTH 563,THE ARCHAEOLOGY OF CITIES AND STATES,,Anthropology,,
ANTH 564,AFRICAN ARCHAEOLOGY FIELD TECHNIQUES,,Anthropology,,
ANTH 566,"SCIENCE, LOCAL AND GLOBAL",,Anthropology,,
