courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 02314,Individual Taxation,3,Accounting,,
ACC 03150,Introduction to Business and Analytics for Financial Information,3,Accounting,,
ACC 03210,Principles of Accounting I,3,Accounting,,
ACC 03211,Principles of Accounting II,3,Accounting,,
ACC 03300,Supervised Internship in Accounting,3,Accounting,,
ACC 03301,Accounting Analytics,3,Accounting,,
ACC 03310,Intermediate Accounting I,3,Accounting,,
ACC 03311,Intermediate Accounting II,3,Accounting,,
ACC 03320,Accounting Information Systems,,Accounting,,
ACC 03326,Strategic Cost Analysis,3,Accounting,,
ACC 03405,Foundations of Accounting,3,Accounting,,
ACC 03410,Auditing,3,Accounting,,
ACC 03411,Advanced Auditing and Analytics,3,Accounting,,
ACC 03415,Independent Study-Accounting,1,Accounting,,
ACC 03416,Advanced Accounting,3,Accounting,,
ACC 03419,Forensic Accounting and Fraud Investigation,3,Accounting,,
ACC 03425,International Accounting,3,Accounting,,
ACC 03428,Integrative Accounting Seminar,3,Accounting,,
ACC 03430,Individual Taxation,3,Accounting,,
ACC 03431,Taxation of Business Entities,3,Accounting,,
ACC 03432,Federal Taxation,3,Accounting,,
ACC 03499,Accounting CPA Apprenticeship,1,Accounting,,
ACC 03500,Financial and Managerial Accounting,3,Accounting,,
ACC 03507,Government and Not-For-Profit Accounting,3,Accounting,,
ACC 03510,Financial Statement Analysis,3,Accounting,,
ACC 03511,Introduction to Federal Taxation,3,Accounting,,
ACC 03512,Advanced Accounting Information Systems and Business Process Controls,3,Accounting,,
ACC 03516,Innovation and Analytics in Accounting,3,Accounting,,
ACC 03599,Special Topics in Accounting,3,Accounting,,
ACC 98300,Law for Accountants,3,Accounting,,
ADV 04232,Advertising Media Budgeting,3,Advertising,,
ADV 04330,Introduction to Advertising,3,Advertising,,
ADV 04352,Advertising Strategies,3,Advertising,,
ADV 04355,Advertising Practicum,1,Advertising,,
ADV 04360,Integrated Marketing Communication,3,Advertising,,
ADV 04370,Essentials of Design,3,Advertising,,
ADV 04375,Advertising Copywriting,3,Advertising,,
ADV 04405,Independent Study - Advertising,1,Advertising,,
ADV 04420,Portfolio Preparation,3,Advertising,,
ADV 04421,Account Planning,3,Advertising,,
ADV 04432,Media Planning,3,Advertising,,
ADV 04433,Digital Advertising Strategies,3,Advertising,,
ADV 04434,Advertising Campaigns - WI,3,Advertising,,
AFST 11104,Introduction to Africana Studies,3,Africana Studies,,
AFST 11304,Africana Social Thought,3,Africana Studies,,
AFST 11350,Topics in Africana Studies,3,Africana Studies,,
AFST 11450,Senior Seminar in Africana Studies,3,Africana Studies,,
AFST 53535,Black History for Educators: An Interdisciplinary Approach,3,Africana Studies,,
ASL 01101,Elementary American Sign Language I,3,American Sign Language,,
ASL 01102,Elementary American Sign Language II,3,American Sign Language,,
ASL 01201,Intermediate American Sign Language I,3,American Sign Language,,
ASL 01211,Intermediate American Sign Language II,3,American Sign Language,,
ASL 01301,American Sign Language Literature,3,American Sign Language,,
ASL 01320,Deaf Culture and Communities,3,American Sign Language,,
ASL 01440,Special Topics in World Languages,3,American Sign Language,,
AMST 13101,Introduction to American Studies,3,American Studies,,
AMST 13301,Interdisciplinary Research and Writing,3,American Studies,,
AMST 13320,American Studies in the Classroom-WI,3,American Studies,,
AMST 13402,Senior Seminar in American Studies - WI,3,American Studies,,
ANS 00501,Clinically Integrated Human Anatomy,8,Anatomical Sciences,,
ANS 00502,Clinical Neuroscience,3,Anatomical Sciences,,
ANS 00503,Teaching Practicum in Human Anatomy Dissection I,3,Anatomical Sciences,,
ANS 00504,Human Anatomy in Diagnostic Imaging,3,Anatomical Sciences,,
ANS 00505,Human Developmental Anatomy,3,Anatomical Sciences,,
ANS 00506,Teaching Practicum in Human Anatomy Dissection II,2,Anatomical Sciences,,
ANS 00507,Teaching Practicum in Human Anatomy Dissection III,1,Anatomical Sciences,,
ANTH 02200,Introduction to Bioarcheology,3,Anthropology,,
ANTH 02202,Introduction to Cultural Anthropology,3,Anthropology,,
ANTH 02203,Introduction to Archeology,3,Anthropology,,
ANTH 02205,Mummies and Burial Practices of Ancient Cultures,3,Anthropology,,
ANTH 02210,Natives of South America,3,Anthropology,,
ANTH 02215,Medical Anthropology,3,Anthropology,,
ANTH 02221,Human Variation,3,Anthropology,,
ANTH 02225,Arts and Medicine,3,Anthropology,,
ANTH 02240,Food and Culture,3,Anthropology,,
ANTH 02245,Sport and Culture,3,Anthropology,,
ANTH 02250,Introduction to Anthropological Linguistics,3,Anthropology,,
