courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAI 500,Applied Probability and Statistics for AI,3,Graduate Studies - Engineering,,
AAI 501,Introduction to Artificial Intelligence and Machine Learning,3,Graduate Studies - Engineering,,
AAI 510,Agentic AI Systems,3,Graduate Studies - Engineering,,
AAI 511,Neural Networks and Deep Learning,3,Graduate Studies - Engineering,,
AAI 520,Natural Language Processing and GenAI,3,Graduate Studies - Engineering,,
AAI 521,Applied Computer Vision for AI,3,Graduate Studies - Engineering,,
AAI 530,Large Language Model Engineering,3,Graduate Studies - Engineering,,
AAI 531,Applied Artificial Intelligence Ethics,3,Graduate Studies - Engineering,,
AAI 540,Machine Learning Operations (MLOps),3,Graduate Studies - Engineering,,
AAI 589,Directed AI Research Extension,1-3,Graduate Studies - Engineering,,
AAI 590,Capstone Project,3,Graduate Studies - Engineering,,
AAI 594,Special Topics in Artificial Intelligence,1-6,Graduate Studies - Engineering,,
AAI 598,Practicum in Applied Artificial Intelligence,1,Graduate Studies - Engineering,,
ABRD 700,Study Abroad - Doctoral Level,1-15,Arts & Science Dean's Office,,
ACCT 201,Principles of Financial Accounting,3,Accounting,,
ACCT 202,Principles of Managerial Accounting,3,Accounting,,
ACCT 294,Special Topics in Accounting,1-4,Accounting,,
ACCT 300,Intermediate Accounting I,3,Accounting,,
ACCT 301,Intermediate Accounting II,3,Accounting,,
ACCT 302,Cost Accounting,3,Accounting,,
ACCT 303,Accounting Information Systems,3,Accounting,,
ACCT 303W,Accounting Info Systems,3,Accounting,,
ACCT 306,Federal Tax Accounting I,3,Accounting,,
ACCT 320,Ethics for Accountants,3,Accounting,,
ACCT 401,Advanced Accounting,3,Accounting,,
ACCT 401W,Advanced Accounting,3,Accounting,,
ACCT 407,Federal Tax Accounting II,3,Accounting,,
ACCT 408,Auditing,3,Accounting,,
ACCT 415,Ethics for Accounting Professionals,3,Accounting,,
ACCT 420,Fundamentals of Personal Financial Planning,3,Accounting,,
ACCT 425,Financial Statement Analysis for Accountants,3,Accounting,,
ACCT 430,International Financial Analysis and Reporting,3,Accounting,,
ACCT 431,Applied Research for Financial Accountants and Auditors,3,Accounting,,
ACCT 433,Accounting Analytics,3,Accounting,,
ACCT 435,Not-for-Profit Accounting,3,Accounting,,
ACCT 440,Controllership and Strategic Cost Management,3,Accounting,,
ACCT 445,Forensic Accounting,3,Accounting,,
ACCT 460,Tax Research,3,Accounting,,
ACCT 461,Partnership Taxation,3,Accounting,,
ACCT 462,Estate and Gift Taxation and Planning,3,Accounting,,
ACCT 464,Advanced Corporate Taxation,3,Accounting,,
ACCT 465,Taxation Policies and Procedures,3,Accounting,,
ACCT 480,International Accounting Experience,3,Accounting,,
ACCT 481,European Accounting Business Environment,3,Accounting,,
ACCT 485,Accounting and Public Policy,3,Accounting,,
ACCT 492,Tax Consulting Simulation,3,Accounting,,
ACCT 494,Special Topics in Accounting,1-4,Accounting,,
ACCT 496,Undergraduate Research,1-3,Accounting,,
ACCT 498,Internship,1-3,Accounting,,
ACCT 499,Independent Study,1-4,Accounting,,
ACCT LD200,SBA Majors,3,,,
ACCT LD201,SBA Majors,3,,,
ACNS 521,Advanced Physical Assessment,4,MSN Programs/Nursing,,
ACNS 524,Advanced Pharmacology,3,MSN Programs/Nursing,,
ACNS 600,Transition to CNS Practice,1,MSN Programs/Nursing,,
ACNS 601,Specialty Population Immersion I,1,Adult Gerontology CNS,,
ACNS 602,Specialty Population Immersion II,1,Adult Gerontology CNS,,
ACNS 603,Specialty Population Immersion III,1,Adult Gerontology CNS,,
ACNS 619,CNS Specialty Role and Practice Foundations,3,Adult Gerontology CNS,,
ACNS 621,Advanced Physical Assessment,4,Adult Gerontology CNS,,
