courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AERM 55000,Aero Composites Technician Trk,10.2,AERM,,
ACCT 2301,Principles of Financial Acct,3,Accounting (ACCT),,
ACCT 2302,Principles of Managerial Acct,3,Accounting (ACCT),,
ACNT 1303,Introduction to Accounting I,3,Accounting (ACNT),,
ACNT 1304,Introduction to Accounting II,3,Accounting (ACNT),,
ACNT 1311,Intro Computerized Accounting,3,Accounting (ACNT),,
ACNT 1313,Computerized Accounting Appls,3,Accounting (ACNT),,
ACNT 1329,Payroll and Business Tax Acct,3,Accounting (ACNT),,
ACNT 1331,Federal Income Tax Individual,3,Accounting (ACNT),,
ACNT 2302,Accounting Capstone,3,Accounting (ACNT),,
ACNT 2303,Intermediate Accounting I,3,Accounting (ACNT),,
ACNT 2304,Intermediate Accounting II,3,Accounting (ACNT),,
ACNT 2309,Cost Accounting,3,Accounting (ACNT),,
ACNT 2345,Technical Writing for Acnt,3,Accounting (ACNT),,
ACNT 2366,Practicum Accounting,3,Accounting (ACNT),,
ACNT 2367,Practicum Accounting,3,Accounting (ACNT),,
ACNT 39004,Retirement Planning Today,0,Accounting (ACNT),,
ACNT 39005,Socially Responsib Investing,0.8,Accounting (ACNT),,
ACNT 41000,Bookkeeping,4.8-6.4,Accounting (ACNT),,
ACNT 41001,Beginning Bookkeeping,1.6-4.8,Accounting (ACNT),,
ACNT 41002,Beginning Accounting,1.6-4.8,Accounting (ACNT),,
ACNT 41003,Introduction to Accounting I,4.8-9.6,Accounting (ACNT),,
ACNT 41004,Introduction to Accounting II,4.8-9.6,Accounting (ACNT),,
ACNT 41010,Introduction to Computerized A,1.6-3.2,Accounting (ACNT),,
ACNT 41015,Payroll Accounting,0.7-3.2,Accounting (ACNT),,
ACNT 41019,Introduction to Appraisal,1.6-3.2,Accounting (ACNT),,
ACNT 41020,Business Taxation,1.6-4.8,Accounting (ACNT),,
ACNT 41025,Principles of Accounting I,4.8-9.6,Accounting (ACNT),,
ACNT 41026,Principles of Accounting II,4.8-9.6,Accounting (ACNT),,
ACNT 41029,Payroll and Business Tax Accou,4.8-6.4,Accounting (ACNT),,
ACNT 41031,Federal Income Tax: Individua,4.8-9.6,Accounting (ACNT),,
ACNT 41041,Intermediate Accounting,1.6-4.8,Accounting (ACNT),,
ACNT 41042,Intermediate Bookkeeping,1.6-4.8,Accounting (ACNT),,
ACNT 41043,Intermediate Computerized Acco,1.6-3.2,Accounting (ACNT),,
ACNT 41044,Accounting,3.2-9.6,Accounting (ACNT),,
ACNT 41047,Federal Income Tax for Partner,4.8,Accounting (ACNT),,
ACNT 41050,The Texas Property Tax System,1.6-3.2,Accounting (ACNT),,
ACNT 41051,Property Tax Assessment,1.6-3.2,Accounting (ACNT),,
ACNT 41052,Property Tax Law,1.6-3.2,Accounting (ACNT),,
ACNT 41053,Property Tax Collections,1.6-3.2,Accounting (ACNT),,
ACNT 41054,Computerized Accounting,4.8-9.6,Accounting (ACNT),,
ACNT 41091,Special Topics in Accounting,0.7-11.2,Accounting (ACNT),,
ACNT 41092,Special Topics in Accounting T,0.7-11.2,Accounting (ACNT),,
ACNT 41093,Special Topics in Accounting,0.7-11.2,Accounting (ACNT),,
ACNT 41094,Special Topics in Taxation,0.7-11.2,Accounting (ACNT),,
ACNT 42001,Accounting Technician Capstone,4.8-9.6,Accounting (ACNT),,
ACNT 42002,Accounting Capstone,4.8-9.6,Accounting (ACNT),,
ACNT 42003,Intermediate Accounting I,4.8-9.6,Accounting (ACNT),,
ACNT 42009,Cost Accounting,4.8-9.6,Accounting (ACNT),,
ACNT 42011,Managerial Accounting,4.8-6.4,Accounting (ACNT),,
ACNT 42030,Governmental and Not-for-Profi,4.8-6.4,Accounting (ACNT),,
ACNT 42032,Accounting Information Systems,4.8-9.6,Accounting (ACNT),,
ACNT 42033,Advanced Computerized Accounti,1.6-3.2,Accounting (ACNT),,
ACNT 42034,Advanced Accounting,4.8-6.4,Accounting (ACNT),,
ACNT 42035,Advanced Bookkeeping,1.6-4.8,Accounting (ACNT),,
ACNT 42037,Advanced Property Tax Collecti,1.6-3.2,Accounting (ACNT),,
ACNT 42041,Appraisal of Personal Property,1.6-3.2,Accounting (ACNT),,
ACNT 42043,Tax Preparation Update,0.7-3.2,Accounting (ACNT),,
ACNT 42044,Accounts Payable with Computer,1.6-3.2,Accounting (ACNT),,
ACNT 42045,Accounts Receivable with Compu,1.6-3.2,Accounting (ACNT),,
ACNT 55000,Principles of Financial Acct,7.2,Accounting (ACNT),,
ACNT 55001,Principles of Managerial Acct,4.8,Accounting (ACNT),,
ACNT 55002,Introduction to Accounting I,4.8,Accounting (ACNT),,
ACNT 55003,Federal Income Tax Accntng,4.8,Accounting (ACNT),,
ACNT 55004,Intermediate Accounting I,4.8,Accounting (ACNT),,
ACNT 55005,Intro to Computerized Acctng,4.8,Accounting (ACNT),,
ACNT 55007,Introduction to Accounting II,4.8,Accounting (ACNT),,
ACNT 55008,Payroll/Business Tax Acctng,4.8,Accounting (ACNT),,
ACNT 55009,SAP Supply Chain Overview,0.8,Accounting (ACNT),,
ACNT 55010,Automated Accounting,7.6,Accounting (ACNT),,
ACNT 55011,Bookkeeping Essentials,4.8,Accounting (ACNT),,
ACNT 55012,QuickBooks - Basic Skills,3.2,Accounting (ACNT),,
ACNT 55013,QuickBooks-Business Solution,0.7,Accounting (ACNT),,
ACNT 55014,QuickBooks-Company Setup,0.7,Accounting (ACNT),,
ACNT 55015,QuickBooks Financials,0.7,Accounting (ACNT),,
ACNT 55016,Basic Bookkeeping,1.5,Accounting (ACNT),,
