courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 222,Survey of Accounting,"(3, 3)",Accounting,,
ACCT 225,Introduction to Financial Accounting,"(3, 3)",Accounting,,
ACCT 226,Introduction to Managerial Accounting,"(3, 3)",Accounting,,
ACCT 324,Survey of Commercial Law,"(3, 3)",Accounting,,
ACCT 335,Survey of Federal Taxation,"(3, 3)",Accounting,,
ACCT 401,Financial Accounting I,"(3, 3)",Accounting,,
ACCT 402,Cost/Managerial Accounting,"(3, 3)",Accounting,,
ACCT 403,Tax I,"(3, 3)",Accounting,,
ACCT 404,Accounting Information Systems I,"(3, 3)",Accounting,,
ACCT 405,Financial Accounting II,"(3, 3)",Accounting,,
ACCT 406,Auditing I,"(3, 3)",Accounting,,
ACCT 421,Advanced Accounting,"(3, 3)",Accounting,,
ACCT 422,Managerial Accounting for Decision Making,"(3, 3)",Accounting,,
ACCT 423,Business Entity Tax Issues,"(3, 3)",Accounting,,
ACCT 424,Legal Issues for Accountants & Managers,"(3, 3)",Accounting,,
ACCT 425,Governmental and Nonprofit Accounting,"(3, 3)",Accounting,,
ACCT 426,International Financial Reporting,"(3, 3)",Accounting,,
ACCT 470,Financial Statement Analysis,"(3, 3)",Accounting,,
ACCT 475,Integrated Business Processes with Enterprise Systems,"(3, 3)",Accounting,,
ACCT 490,Special Topics in Accounting,"(3, 3)",Accounting,,
ACCT 499,Business Internship in Accounting,"(3, 6)",Accounting,,
ACCT 550,Sustainability Reporting & Analysis,"(3, 3)",Accounting,,
ACCT 621,Advanced Accounting,"(3, 3)",Accounting,,
ACCT 622,Managerial Accounting for Decision Making,"(3, 3)",Accounting,,
ACCT 623,Business Entity Tax Issues,"(3, 3)",Accounting,,
ACCT 624,Legal Issues for Accountants & Managers,"(3, 3)",Accounting,,
ACCT 625,Governmental and Nonprofit Accounting,"(3, 3)",Accounting,,
ACCT 626,International Financial Reporting,"(3, 3)",Accounting,,
ACCT 690,Special Topics in Accounting,"(3, 3)",Accounting,,
AESP 101,Introduction into Aerospace Engineering,"(3, 3)",Aerospace Engineering,,
AESP 265,Aerodynamics I Incompressible Flow,"(3, 3)",Aerospace Engineering,,
AESP 314,Air-Breathing and Rocket Propulsion Technologies,"(3, 3)",Aerospace Engineering,,
AESP 350,Aerospace Systems,"(3, 3)",Aerospace Engineering,,
AESP 361,Aerospace Laboratory I,"(3, 3)",Aerospace Engineering,,
AESP 362,Aerospace Laboratory II,"(3, 3)",Aerospace Engineering,,
AESP 365,Aerodynamics II: Compressible Flow,"(3, 3)",Aerospace Engineering,,
AESP 415,Aircraft Design Part I Basics,"(3, 3)",Aerospace Engineering,,
AESP 420,Flight and Orbital Mechanics,"(3, 3)",Aerospace Engineering,,
AESP 428,Design I,"(3, 3)",Aerospace Engineering,,
AESP 460,Special Problems: Aerospace Engineering,"(1, 3)",Aerospace Engineering,,
AESP 466,Flight Dynamics and Control,"(3, 3)",Aerospace Engineering,,
AESP 543,Aerospace Propulsion,"(3, 3)",Aerospace Engineering,,
