courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCTG 201,Financial Accounting Fundamentals,"(3, 3)",Accountancy,,
ACCTG 202,Managerial Accounting Fundamentals,"(3, 3)",Accountancy,,
ACCTG 296,Experimental Topics,"(1, 4)",Accountancy,,
ACCTG 325,Intermediate Managerial and Tax Accounting,"(3, 3)",Accountancy,,
ACCTG 326,Intermediate Financial Accounting,"(3, 3)",Accountancy,,
ACCTG 331,Intermediate Accounting I,"(3, 3)",Accountancy,,
ACCTG 332,Federal Income Taxation,"(3, 3)",Accountancy,,
ACCTG 333,Accounting Information Systems,"(3, 3)",Accountancy,,
ACCTG 334,Intermediate Accounting II,"(3, 3)",Accountancy,,
ACCTG 390W,Reporting Techniques for Accountants,"(3, 3)",Accountancy,,
ACCTG 409,Field Study in Taxation,"(1, 1)",Accountancy,,
ACCTG 431,Auditing,"(3, 3)",Accountancy,,
ACCTG 432,Cost Management,"(4, 4)",Accountancy,,
ACCTG 496,Selected Topics in Accountancy,"(1, 4)",Accountancy,,
ACCTG 498,Investigation and Report,"(1, 3)",Accountancy,,
ACCTG 499,Special Study,"(1, 3)",Accountancy,,
ACCTG 501,Advanced Financial Accounting,"(3, 3)",Accountancy,,
ACCTG 503,Federal Taxation of Individuals,"(3, 3)",Accountancy,,
ACCTG 505,Fraud Examination,"(3, 3)",Accountancy,,
ACCTG 508,Accounting for Not-For-Profit Organizations,"(3, 3)",Accountancy,,
ACCTG 522,International Financial Reporting,"(3, 3)",Accountancy,,
ACCTG 530,Ethics in Accounting,"(3, 3)",Accountancy,,
ACCTG 596,Contemporary Topics in Accounting,"(1, 3)",Accountancy,,
ACCTG 620,Financial Measurement and Reporting,"(3, 3)",Accountancy,,
ACCTG 621,Accounting Information Systems,"(3, 3)",Accountancy,,
ACCTG 624,Business Entity Taxation,"(3, 3)",Accountancy,,
ACCTG 625,Managerial Analysis and Financial Reporting,"(3, 3)",Accountancy,,
ACCTG 626,Auditing and Assurance Services,"(3, 3)",Accountancy,,
ACCTG 650,Accounting Research and Communication,"(3, 3)",Accountancy,,
ACCTG 651,Seminar in Corporate Tax,"(3, 3)",Accountancy,,
ACCTG 654,Seminar in Partnership Taxation,"(3, 3)",Accountancy,,
ACCTG 655,Tax Planning for Individuals,"(3, 3)",Accountancy,,
ACCTG 656,Multijurisdictional Tax,"(3, 3)",Accountancy,,
ACCTG 657,Accounting for Income Taxes,"(3, 3)",Accountancy,,
ACCTG 659,Seminar in Taxation Topics,"(1, 3)",Accountancy,,
ACCTG 661,Seminar in International Accounting,"(3, 3)",Accountancy,,
ACCTG 663,Financial Statement Analysis,"(3, 3)",Accountancy,,
ACCTG 670,Seminar in Assurance Services,"(3, 3)",Accountancy,,
ACCTG 673,Accounting Information Systems (AIS) Development,"(3, 3)",Accountancy,,
ACCTG 675,Seminar in Accounting Information Systems Audit and Control,"(3, 3)",Accountancy,,
ACCTG 677,Data Analytics for Accounting,"(3, 3)",Accountancy,,
ACCTG 680,Seminar in Managerial Accounting,"(3, 3)",Accountancy,,
