courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 100,Introduction to Financial Accounting,"(3, 3)",Accounting,,
ACCT 100AS,Academic Support for Introduction to Financial Accounting,"(1, 1)",Accounting,,
ACCT 100SI,Supplemental Instruction for Introduction to Financial Accounting,"(1, 1)",Accounting,,
ACCT 101,Introduction to Managerial Accounting,"(3, 3)",Accounting,,
ACCT 101AS,Academic Support for Introduction to Managerial Accounting,"(1, 1)",Accounting,,
ACCT 101SI,Supplemental Instruction: Introduction to Managerial Accounting,"(1, 1)",Accounting,,
ACCT 301,Intermediate Financial Accounting I,"(3, 3)",Accounting,,
ACCT 302,Intermediate Financial Accounting II,"(3, 3)",Accounting,,
ACCT 305,Cost Accounting,"(3, 3)",Accounting,,
ACCT 307,Accounting Information Systems,"(3, 3)",Accounting,,
ACCT 317,Accounting Internship,"(1, 1)",Accounting,,
ACCT 320,Legal Aspects of Business Transactions,"(3, 3)",Accounting,,
ACCT 501,Advanced Accounting,"(3, 3)",Accounting,,
ACCT 504,Government and Non-Profit Accounting,"(3, 3)",Accounting,,
ACCT 506,Auditing,"(3, 3)",Accounting,,
ACCT 507,Information Systems Auditing,"(3, 3)",Accounting,,
ACCT 508,Federal Tax Accounting I,"(3, 3)",Accounting,,
ACCT 509,Federal Tax Accounting II,"(3, 3)",Accounting,,
ACCT 513,International Accounting,"(3, 3)",Accounting,,
ACCT 514,Fundamentals of Data Analytics in Accounting,"(3, 3)",Accounting,,
ACCT 517,Accounting Ethics and Professional Responsibilities,"(3, 3)",Accounting,,
ACCT 518,Accounting Fraud Examination,"(3, 3)",Accounting,,
ACCT 527,Artificial Intelligence Powered Accounting: Natural Language Processing & Robotic Process Automation,"(3, 3)",Accounting,,
ACCT 531,Fundamentals of Financial Statement Analysis and Valuation,"(3, 3)",Accounting,,
ACCT 551,Principles of Internal Auditing,"(3, 3)",Accounting,,
ACCT 699,Independent Study,"(1, 3)",Accounting,,
ACCT 780,Financial Accounting,"(3, 3)",Accounting,,
ACCT 800,Financial Accounting I,"(3, 3)",Accounting,,
ACCT 801,Financial Accounting II,"(3, 3)",Accounting,,
ACCT 802,Strategic Management Accounting,"(3, 3)",Accounting,,
ACCT 803,Auditing Principles and Practice,"(3, 3)",Accounting,,
ACCT 804,Legal and Professional Responsibilities in Accounting,"(3, 3)",Accounting,,
ACCT 805,"Artificial Intelligence, Blockchain and Accounting","(3, 3)",Accounting,,
ACCT 807,Seminar in Accounting Information Systems,"(3, 3)",Accounting,,
ACCT 808,International Accounting,"(3, 3)",Accounting,,
ACCT 810,Comprehensive Financial Accounting,"(3, 3)",Accounting,,
ACCT 811,Introduction to Federal Tax,"(3, 3)",Accounting,,
ACCT 812,Advanced Federal Taxation,"(3, 3)",Accounting,,
ACCT 814,Seminar in Accounting Data Analytics,"(3, 3)",Accounting,,
ACCT 818,Advanced Accounting Ethics,"(3, 3)",Accounting,,
ACCT 823,Advanced Topics in Not-for-Profit Accounting,"(3, 3)",Accounting,,
ACCT 831,Financial Statement Analysis,"(3, 3)",Accounting,,
