courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 5080,Independent Study,1-3,Accounting,Graduate,
ACCT 5085,Special Topic,1-3,Accounting,Graduate,
ACCT 5300,Analysis of Accounting Information,3,Accounting,Graduate,
ACCT 5302,Financial Reporting & Business Decisions,3,Accounting,Graduate,
ACCT 5304,Accounting For Management,3,Accounting,Graduate,
ACCT 5311,Advanced Financial Reporting I,3,Accounting,Graduate,
ACCT 5312,Advanced Financial Reporting II,3,Accounting,Graduate,
ACCT 5315,Seminar in Accounting Theory,3,Accounting,Graduate,
ACCT 5324,Information System Auditing & Assurance,3,Accounting,Graduate,
ACCT 5333,Financial Statement Analysis,3,Accounting,Graduate,
ACCT 5347,Managerial Accounting Application,3,Accounting,Graduate,
ACCT 5352,Corporate & Pass Through Entity Taxation,3,Accounting,Graduate,
ACCT 5355,Personal Tax Planning,3,Accounting,Graduate,
ACCT 5357,Multijurisdictional Taxation Concepts,3,Accounting,Graduate,
ACCT 5358,"Tax Research, Practice & Procedure",3,Accounting,Graduate,
ACCT 5360,Analytics in Accounting,3,Accounting,Graduate,
ACCT 5375,ERP Business Process Integration,3,Accounting,Graduate,
ACCT 5379,Professional Ethics & Responsibility,3,Accounting,Graduate,
ACCT 5382,Current Issues in Assurance Services,3,Accounting,Graduate,
ACCT 5388,Employee Benefit Plan Accounting & Assurance,3,Accounting,Graduate,
ACCT 5399,Advanced Auditing Theory & Practice,3,Accounting,Graduate,
AGRI 5064,Agricultural Internship,1-6,Agricultural Sciences,Graduate,
AGRI 5096,Independent Study,1-3,Agricultural Sciences,Graduate,
AGRI 5300,Advanced Fusing Metals & Non-Metals,3,Agricultural Sciences,Graduate,
AGRI 5310,Mechanized Harvesting & Handling Agricultural Products,3,Agricultural Sciences,Graduate,
AGRI 5330,Advanced Rural Utilities,3,Agricultural Sciences,Graduate,
AGRI 5337,Behavior & Management of Domestic Animals,3,Agricultural Sciences,Graduate,
AGRI 5340,Advanced Animal Growth & Performance,3,Agricultural Sciences,Graduate,
AGRI 5341,Contemporary Animal Agriculture Issues,3,Agricultural Sciences,Graduate,
AGRI 5350,Advanced Principles of Livestock Management,3,Agricultural Sciences,Graduate,
AGRI 5351,Agricultural Biosecurity,3,Agricultural Sciences,Graduate,
AGRI 5360,Contemporary Agricultural Business Issues,3,Agricultural Sciences,Graduate,
AGRI 5361,Agricultural Policy,3,Agricultural Sciences,Graduate,
AGRI 5362,Principles of Crop Protection,3,Agricultural Sciences,Graduate,
AGRI 5369,Special Topics in Advanced Agriculture,3,Agricultural Sciences,Graduate,
AGRI 5370,Food and Fiber Crops,3,Agricultural Sciences,Graduate,
AGRI 5371,Agricultural Safety & Health,3,Agricultural Sciences,Graduate,
AGRI 5374,Agricultural Statistics,3,Agricultural Sciences,Graduate,
AGRI 5379,Advanced Equine Nutrition,3,Agricultural Sciences,Graduate,
AGRI 5386,Capital Management in Agricultural Business,3,Agricultural Sciences,Graduate,
AGRI 5394,Applied Horticultural Science,3,Agricultural Sciences,Graduate,
AGRI 5397,Animal Diseases & Public Health,3,Agricultural Sciences,Graduate,
AGRI 5398,Economics Of Agricultural Production,3,Agricultural Sciences,Graduate,
AGRI 6099,Thesis,1-3,Agricultural Sciences,Graduate,
AGRI 6140,Graduate Seminar,1,Agricultural Sciences,Graduate,
AGRI 6350,Techniques & Interpretation of Agricultural Research,3,Agricultural Sciences,Graduate,
AGRI 6398,Thesis,3,Agricultural Sciences,Graduate,
AGED 5364,Advanced Problems in Agriculture Education,3,Agriculture Education,Graduate,
AGED 5376,Personal Leadership & Organizational Dynamics,3,Agriculture Education,Graduate,
AGED 5388,Secondary Agricultural Education Program Management,3,Agriculture Education,Graduate,
AGED 5393,Methods of Teaching Agricultural Education,3,Agriculture Education,Graduate,
AGED 5394,Agricultural Education Learning Environments,3,Agriculture Education,Graduate,
ANAT 7801,Clinical Anatomy,8,Anatomy,Graduate,
ARTS 5079,Independent Study,1-3,Art,Graduate,
ARTS 5311,Studio Critique,3,Art,Graduate,
ARTS 5312,Studio Seminar,3,Art,Graduate,
ARTS 5313,Teaching Seminar in Art,3,Art,Graduate,
ARTS 5315,Professional & Social Practice,3,Art,Graduate,
ARTS 5381,Socially Engaged Art,3,Art,Graduate,
ARTS 5385,Contemporary Art and Theory,3,Art,Graduate,
ARTS 6079,Special Topic,1-3,Art,Graduate,
ARTS 6311,Collaborative Studio,3,Art,Graduate,
ARTS 6312,Community Seminar,3,Art,Graduate,
ARTS 6313,Studio Critique II,3,Art,Graduate,
ARTS 6381,Research Methods in Art,3,Art,Graduate,
ARTS 6385,Seminar in Art History,3,Art,Graduate,
ARTS 6398,Thesis Project I,3,Art,Graduate,
ARTS 6399,Thesis Project II,3,Art,Graduate,
ATTR 5111,Lower Extremity Injuries Lab,1,Athletic Training,Graduate,
ATTR 5112,Upper Extremity Injuries Lab,1,Athletic Training,Graduate,
ATTR 5115,Non-Orthopedic Pathologies Lab,1,Athletic Training,Graduate,
ATTR 5121,Prehospital Emergency Medicine and Acute Care Lab,1,Athletic Training,Graduate,
ATTR 5130,Therapeutic Intervention I Lab,1,Athletic Training,Graduate,
ATTR 5131,Therapeutic Intervention II Lab,1,Athletic Training,Graduate,
ATTR 5140,Clinical Experiences in Athletic Training IV,1,Athletic Training,Graduate,
ATTR 5210,Clinical Experiences in Athletic Training I,2,Athletic Training,Graduate,
ATTR 5220,Clinical Experiences in Athletic Training II,2,Athletic Training,Graduate,
ATTR 5230,Clinical Experiences in Athletic Training III,2,Athletic Training,Graduate,
ATTR 5300,Injury Prevention and Protective Strategies,3,Athletic Training,Graduate,
ATTR 5310,Clinical Evaluation and Assessment Fundamentals,3,Athletic Training,Graduate,
ATTR 5311,Lower Extremity Injuries,3,Athletic Training,Graduate,
ATTR 5312,Upper Extremity Injuries,3,Athletic Training,Graduate,
ATTR 5313,Head and Facial Injuries in Sport,3,Athletic Training,Graduate,
ATTR 5314,Spine and Pelvis Injuries,3,Athletic Training,Graduate,
ATTR 5315,Non-Orthopedic Pathologies in Sport and Exercise,3,Athletic Training,Graduate,
ATTR 5320,Acute and Emergency Care in Athletic Training,3,Athletic Training,Graduate,
ATTR 5321,Prehospital Emergency Medicine and Acute Care,3,Athletic Training,Graduate,
ATTR 5330,Therapeutic Interventions I,3,Athletic Training,Graduate,
ATTR 5331,Therapeutic Interventions II,3,Athletic Training,Graduate,
ATTR 5340,Administration in Athletic Training,3,Athletic Training,Graduate,
ATTR 5450,Immersive Clinical Experiences in Athletic Training,4,Athletic Training,Graduate,
BSSN 5201,Individual Performances-Bassoon,2,Bassoon,Graduate,
BESL 5302,Social and Cultural Language Influences On Learning,3,Bilingual/Eng as Sec lang,Graduate,
BESL 5303,Teaching ESL: Oral and Written Language,3,Bilingual/Eng as Sec lang,Graduate,
BESL 5304,Second Language Acquisition and Development,3,Bilingual/Eng as Sec lang,Graduate,
BESL 5311,Applied Linguistics in ESL/EFL Settings,3,Bilingual/Eng as Sec lang,Graduate,
BESL 5312,Second Language Literacy,3,Bilingual/Eng as Sec lang,Graduate,
BESL 5313,English as a Second/Foreign Language (ESL/EFL) Methodology,3,Bilingual/Eng as Sec lang,Graduate,
BESL 5314,Second Language Acquisition for Bilingual Diagnosticians,3,Bilingual/Eng as Sec lang,Graduate,
BESL 5316,Computer Assisted Language Learning in English as a Second Language/English as a Foreign Language,3,Bilingual/Eng as Sec lang,Graduate,
BESL 5317,Second Language Assessment,3,Bilingual/Eng as Sec lang,Graduate,
BESL 5318,Sheltered Instruction in Prekindergarten-12,3,Bilingual/Eng as Sec lang,Graduate,
BESL 6088,Special Topics International Literacy,1-3,Bilingual/Eng as Sec lang,Graduate,
BESL 6089,Independent Study in TESOL,1-3,Bilingual/Eng as Sec lang,Graduate,
BESL 6301,Multilingual Program Development in Content Areas,3,Bilingual/Eng as Sec lang,Graduate,
BESL 6311,English for Specific Purposes,3,Bilingual/Eng as Sec lang,Graduate,
BESL 6315,Action Research in Second Language Learning,3,Bilingual/Eng as Sec lang,Graduate,
BESL 6320,Workshop In Education: Multilingual Education,3,Bilingual/Eng as Sec lang,Graduate,
BESL 6325,Teaching Second Language Writing,3,Bilingual/Eng as Sec lang,Graduate,
BESL 6335,English as a Second/Foreign Language (ESL/EFL) Practicum,3,Bilingual/Eng as Sec lang,Graduate,
BESL 6336,Teaching ESL and STEM to English Learners,3,Bilingual/Eng as Sec lang,Graduate,
BIOL 5095,Independent Graduate Study in Biology,1-4,Biology,Graduate,
BIOL 5300,Professional Aspects of Scientists,3,Biology,Graduate,
BIOL 5301,Seminar in Biology Research I,3,Biology,Graduate,
BIOL 5302,Seminar in Biology Research II,3,Biology,Graduate,
BIOL 5305,Medical/Criminal Entomology,3,Biology,Graduate,
BIOL 5310,Classical and Natural History of Plants,3,Biology,Graduate,
BIOL 5320,Statistical Design in Biology,3,Biology,Graduate,
BIOL 5330,Model Organisms,3,Biology,Graduate,
BIOL 5350,Plant Evolutionary Biology,3,Biology,Graduate,
BIOL 5360,Principles Of Systematics,3,Biology,Graduate,
BIOL 5361,Evolutionary Biology,3,Biology,Graduate,
BIOL 5363,Genomics and Bioinformatics,3,Biology,Graduate,
BIOL 5364,Cell Structure And Physiology,3,Biology,Graduate,
BIOL 5365,Genetic Analysis of Human Disease,3,Biology,Graduate,
BIOL 5368,Advanced Invertebrate Zoology,3,Biology,Graduate,
BIOL 5371,Advanced Evolution,3,Biology,Graduate,
BIOL 5374,Biostatistics,3,Biology,Graduate,
BIOL 5375,Bacterial Physiology,3,Biology,Graduate,
BIOL 5378,Virology,3,Biology,Graduate,
BIOL 5380,Advanced Ecology,3,Biology,Graduate,
BIOL 5381,Ecological Computer Modeling,3,Biology,Graduate,
BIOL 5382,Ichthyology,3,Biology,Graduate,
BIOL 5383,Herpetology,3,Biology,Graduate,
BIOL 5384,Ornithology,3,Biology,Graduate,
BIOL 5385,Mammalogy,3,Biology,Graduate,
BIOL 5390,Limnology,3,Biology,Graduate,
BIOL 5391,Advanced Genetics,3,Biology,Graduate,
BIOL 5394,Special Topics In Graduate Biology,3,Biology,Graduate,
BIOL 5410,General Entomology,4,Biology,Graduate,
BIOL 5480,Comparative Animal Physiology,4,Biology,Graduate,
BIOL 6099,Thesis,1-3,Biology,Graduate,
BIOL 6398,Thesis,3,Biology,Graduate,
BUAD 5080,Independent Study,1-3,Business Administration,Graduate,
BUAD 5085,Special Topic,1-3,Business Administration,Graduate,
BUAD 5310,Managerial Communication,3,Business Administration,Graduate,
BUAD 5348,Entrepreneurship: Theory and Practice,3,Business Administration,Graduate,
BUAD 5355,Managerial Law,3,Business Administration,Graduate,
BANA 5080,Independent Study,1-3,Business Analysis,Graduate,
BANA 5300,Quantitative Tools For Business,3,Business Analysis,Graduate,
BANA 5368,Techniques Of Statistical Analysis,3,Business Analysis,Graduate,
CATM 5364,Advanced Problems in Career & Technology Education,3,Career and Technology,Graduate,
CHEM 5001,Independent Study in Chemistry,1-3,Chemistry,Graduate,
CHEM 5100,Chemical Literature & Seminar,1,Chemistry,Graduate,
CHEM 5361,Physical Organic Chemistry,3,Chemistry,Graduate,
CHEM 5362,Organic Reaction Mechanisms,3,Chemistry,Graduate,
CHEM 5367,Chemical Nano Sensing,3,Chemistry,Graduate,
CHEM 5368,Analytical Spectroscopy,3,Chemistry,Graduate,
CHEM 5372,Advanced Biochemistry I,3,Chemistry,Graduate,
CHEM 5373,Drug and Toxin Biochemistry,3,Chemistry,Graduate,
CHEM 5374,Chemistry of Coordination Compounds,3,Chemistry,Graduate,
CHEM 5375,Organometallic Chemistry,3,Chemistry,Graduate,
CHEM 5381,Advanced Physical and Chemical Thermodynamics,3,Chemistry,Graduate,
CHEM 5382,Symmetry and Spectroscopy,3,Chemistry,Graduate,
CHEM 5385,Selected Topics in Advanced Chemistry,3,Chemistry,Graduate,
CHEM 6099,Thesis,1-3,Chemistry,Graduate,
CHEM 6398,Graduate Research in Chemistry,3,Chemistry,Graduate,
CLAR 5201,Individual Performances - Clarinet,2,Clarinet,Graduate,
CLIN 7010,Elective Clerkship,1-4,Clinical,Graduate,
CLIN 7201,Wellness for Healthcare Professionals,2,Clinical,Graduate,
CLIN 7214,Osteopathic Manipulative Medicine Clerkship 2 Week,2,Clinical,Graduate,
CLIN 7271,Clinical Hematology,2,Clinical,Graduate,
CLIN 7401,General Surgery Clerkship,4,Clinical,Graduate,
CLIN 7402,Adult Inpatient Medicine Clerkship,4,Clinical,Graduate,
CLIN 7403,Emergency Medicine Clerkship,4,Clinical,Graduate,
CLIN 7404,Psychiatry Clerkship,4,Clinical,Graduate,
CLIN 7405,Family Medicine Clerkship,4,Clinical,Graduate,
CLIN 7406,Pediatrics Clerkship,4,Clinical,Graduate,
CLIN 7407,Ob/Gyn Clerkship,4,Clinical,Graduate,
CLIN 7408,Rural & Underserved Medicine Clerkship,4,Clinical,Graduate,
CLIN 7409,Adult Inpatient Med-II,4,Clinical,Graduate,
CLIN 7411,Womens Health and Wellness,4,Clinical,Graduate,
CLIN 7414,Medicine Selective Clerkship,4,Clinical,Graduate,
