courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
KIN 1,Adapted Physical Activities,"(1, 1)",Activity/Physical Education Classes,,
KIN 2A,Beginning Swimming,"(1, 1)",Activity/Physical Education Classes,,
KIN 2B,Intermediate Swimming,"(1, 1)",Activity/Physical Education Classes,,
KIN 2C,Advanced Swimming,"(1, 1)",Activity/Physical Education Classes,,
KIN 3,Water Polo,"(1, 1)",Activity/Physical Education Classes,,
KIN 6A,Beginning Pickleball,"(1, 1)",Activity/Physical Education Classes,,
KIN 7,Mexican Folklorico Dance,"(1, 1)",Activity/Physical Education Classes,,
KIN 8,Skin and SCUBA Diving,"(2, 2)",Activity/Physical Education Classes,,
KIN 9A,Beginning Sailing,"(1, 1)",Activity/Physical Education Classes,,
KIN 10A,Beginning Kayaking,"(1, 1)",Activity/Physical Education Classes,,
KIN 11A,Beginning Rowing,"(1, 1)",Activity/Physical Education Classes,,
KIN 13A,Beginning Rugby,"(1, 1)",Activity/Physical Education Classes,,
KIN 14A,Beginning Volleyball,"(1, 1)",Activity/Physical Education Classes,,
KIN 14B,Intermediate Volleyball,"(1, 1)",Activity/Physical Education Classes,,
KIN 14C,Advanced Volleyball,"(1, 1)",Activity/Physical Education Classes,,
KIN 15A,Beginning Basketball,"(1, 1)",Activity/Physical Education Classes,,
KIN 15B,Intermediate Basketball,"(1, 1)",Activity/Physical Education Classes,,
KIN 16A,Beginning Team Handball,"(1, 1)",Activity/Physical Education Classes,,
KIN 17A,Beginning Flag Football,"(1, 1)",Activity/Physical Education Classes,,
KIN 18A,Beginning Handball,"(1, 1)",Activity/Physical Education Classes,,
KIN 18B,Intermediate Handball,"(1, 1)",Activity/Physical Education Classes,,
KIN 19A,Beginning Soccer,"(1, 1)",Activity/Physical Education Classes,,
KIN 19B,Intermediate Soccer,"(1, 1)",Activity/Physical Education Classes,,
KIN 20A,Beginning Badminton,"(1, 1)",Activity/Physical Education Classes,,
KIN 20B,Intermediate Badminton,"(1, 1)",Activity/Physical Education Classes,,
KIN 20C,Advanced Badminton,"(1, 1)",Activity/Physical Education Classes,,
KIN 21A,Beginning Tennis,"(1, 1)",Activity/Physical Education Classes,,
KIN 21B,Intermediate Tennis,"(1, 1)",Activity/Physical Education Classes,,
KIN 22A,Beginning Racquetball,"(1, 1)",Activity/Physical Education Classes,,
KIN 22B,Intermediate Racquetball,"(1, 1)",Activity/Physical Education Classes,,
KIN 23A,Beginning Archery,"(1, 1)",Activity/Physical Education Classes,,
KIN 23B,Intermediate Archery,"(1, 1)",Activity/Physical Education Classes,,
KIN 24A,Beginning Bowling,"(1, 1)",Activity/Physical Education Classes,,
KIN 24B,Intermediate Bowling,"(1, 1)",Activity/Physical Education Classes,,
KIN 25A,Beginning Golf,"(1, 1)",Activity/Physical Education Classes,,
KIN 25B,Intermediate Golf,"(1, 1)",Activity/Physical Education Classes,,
KIN 27A,Beginning Table Tennis,"(1, 1)",Activity/Physical Education Classes,,
KIN 27B,Intermediate Table Tennis,"(1, 1)",Activity/Physical Education Classes,,
KIN 28A,Beginning Gymnastics,"(1, 1)",Activity/Physical Education Classes,,
KIN 29,Cardio Kickboxing,"(1, 1)",Activity/Physical Education Classes,,
KIN 30,Pilates,"(1, 1)",Activity/Physical Education Classes,,
KIN 31,Body Sculpting,"(1, 1)",Activity/Physical Education Classes,,
KIN 32,Aerobics,"(1, 1)",Activity/Physical Education Classes,,
KIN 33,Advanced Aerobic Activities,"(1, 1)",Activity/Physical Education Classes,,
KIN 34,Step Training,"(1, 1)",Activity/Physical Education Classes,,
KIN 35A,Beginning Weight Training,"(1, 1)",Activity/Physical Education Classes,,
KIN 35B,Intermediate Weight Training,"(1, 1)",Activity/Physical Education Classes,,
KIN 36,Conditioning through Cross Training,"(1, 1)",Activity/Physical Education Classes,,
KIN 37,Fitness Walking,"(1, 1)",Activity/Physical Education Classes,,
KIN 38,Beginning Jogging,"(1, 1)",Activity/Physical Education Classes,,
KIN 40A,Topics in Modern Dance I,"(2, 2)",Activity/Physical Education Classes,,
KIN 41A,Topics in Ballet I,"(2, 2)",Activity/Physical Education Classes,,
KIN 42A,Topics in Jazz Dance I,"(2, 2)",Activity/Physical Education Classes,,
KIN 45A,Beginning Lindy Hop and Night Club Swing,"(1, 1)",Activity/Physical Education Classes,,
KIN 46A,Beginning Social Dance,"(1, 1)",Activity/Physical Education Classes,,
KIN 48A,Beginning Latin Dance,"(1, 1)",Activity/Physical Education Classes,,
KIN 49A,Topics in Tap Dance I,"(1, 1)",Activity/Physical Education Classes,,
KIN 50,Tai Chi (Non-Combative),"(1, 1)",Activity/Physical Education Classes,,
KIN 51A,Beginning Aikido,"(1, 1)",Activity/Physical Education Classes,,
KIN 51B,Intermediate Aikido,"(1, 1)",Activity/Physical Education Classes,,
KIN 52A,Beginning Judo,"(1, 1)",Activity/Physical Education Classes,,
KIN 52B,Intermediate Judo,"(1, 1)",Activity/Physical Education Classes,,
KIN 52C,Competitive Judo,"(1, 1)",Activity/Physical Education Classes,,
KIN 53A,Beginning Karate,"(1, 1)",Activity/Physical Education Classes,,
KIN 53B,Intermediate Karate,"(1, 1)",Activity/Physical Education Classes,,
