courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 101,Concepts of Financial Acct,3,Accounting,,
ACC 102,Managerial Accounting,3,Accounting,,
ACC 205,Fin Acc Info Sys I,3,Accounting,,
ACC 206,Fin Acc Info Sys II,3,Accounting,,
ACC 212,Management Acc Info Systems,3,Accounting,,
ACC 307,Fin Acc Info Sys III,3,Accounting,,
ACC 312,Management Accounting Analytic,3,Accounting,,
ACC 315,Federal Income Taxation,3,Accounting,,
ACC 317,Auditing &amp; Assurance Services,3,Accounting,,
ACC 370,Special Topics in Accounting,3,Accounting,,
ACC 407,Contemp Topics: Financial Acct,3,Accounting,,
ACC 409,Curricular Practical Training,1,Accounting,,
ACC 410,Fin. Stmt. Analysis &amp; Val.,3,Accounting,,
ACC 415,Special Topics in Fed Taxation,3,Accounting,,
ACC 417,Audit Decision Analytics,3,Accounting,,
ACC 420,Fund Accounting,3,Accounting,,
ACC 422,Forensic Accounting,3,Accounting,,
ACC 423,Accounting Control Systems,3,Accounting,,
ACC 430,International Accounting,3,Accounting,,
ACC 450,Professional Accounting Pract,3,Accounting,,
ACC 470,Special Topics in Accounting,3,Accounting,,
ACC 490,Accounting Winter Internship,3,Accounting,,
ACC 491,Accounting Summer Internship,3,Accounting,,
ACC 493,Accounting Research,1-3,Accounting,,
ACC 509,Curricular Practical Training,1,Accounting,,
ACC 550,Creat &amp; Meas Shareholder Value,3,Accounting,,
ACC 570,Creat&amp;Meas Share Value,2,Accounting,,
ACC 601,Tax Planning,3,Accounting,,
ACC 610,Fin. Stmt. Analysis &amp; Val.,3,Accounting,,
ACC 615,Special Topics in Fed Taxation,3,Accounting,,
ACC 617,Audit Decision Analytics,3,Accounting,,
ACC 620,Fin Statement Analysis,1,Accounting,,
ACC 622,Forensic Accounting,3,Accounting,,
ACC 623,Accounting Control Systems,3,Accounting,,
ACC 650,Professional Accounting Pract,3,Accounting,,
ACC 670,Special Topics in Accounting,3,Accounting,,
ACC 793,Research in Accounting,3,Accounting,,
ASC 150,First Year Seminar,3,Actuarial Science,,
ASC 170,Topics in Actuarial Science,3,Actuarial Science,,
ASC 201,Financial Methods in Act Sci,3,Actuarial Science,,
ASC 270,Topics in Actuarial Science,3,Actuarial Science,,
ASC 300,Intro to Actuarial Probability,3,Actuarial Science,,
ASC 301,Actuarial Probability,3,Actuarial Science,,
ASC 370,Topics in Actuarial Science,3,Actuarial Science,,
ASC 401,Financial Math - Actuarial Sci,3,Actuarial Science,,
ASC 402,Investment Mathematics,3,Actuarial Science,,
ASC 410,Modern Actuarial Statistics,3,Actuarial Science,,
ASC 420,Fundamentals of Actuarial Math,3,Actuarial Science,,
ASC 470,Topics in Actuarial Science,3,Actuarial Science,,
ASC 471,Independent Study,3,Actuarial Science,,
ASC 472,Independent Study,3,Actuarial Science,,
AER 101,Heritage and Values I,1,Aerospace Studies,,
AER 102,Heritage and Values II,1,Aerospace Studies,,
AER 200,Leadership Lab,0,Aerospace Studies,,
AER 201,Team Leadership &amp; Fund I,1,Aerospace Studies,,
AER 202,Team Leadership &amp; Fund II,1,Aerospace Studies,,
AER 301,Leading Ppl &amp; Effective Com I,3,Aerospace Studies,,
AER 302,Leading Ppl &amp; Effective Com II,3,Aerospace Studies,,
AER 401,Nat Security &amp; Prep Act Duty I,3,Aerospace Studies,,
AER 402,Nat Security &amp; Prep Act DutyII,3,Aerospace Studies,,
AER 520,AFROTC Leadership Laboratory,0,Aerospace Studies,,
AER 570,AFROTC Studies Special Topics,1,Aerospace Studies,,
AER 670,Advanced AFROTC Special Topic,3,Aerospace Studies,,
ASL 101,American Sign Language I,3,American Sign Language,,
ASL 102,American Sign Language II,3,American Sign Language,,
ASL 170,Special Topics in ASL,3,American Sign Language,,
ASL 201,Intermediate Amer Sign Lang I,3,American Sign Language,,
ASL 202,Intermediate Amer Sign Lang II,3,American Sign Language,,
ABA 100,Intro Autism Spectrum Disorder,3,Applied Behavior Analysis,,
ABA 101,Intro App Behavior Analysis,3,Applied Behavior Analysis,,
ABA 102,ABA Ethics &amp; Professionalism,3,Applied Behavior Analysis,,
